trading_date,commodity_id,rank,member_name,volume,volume_change
2018-11-28,SP,1,长江期货,3333,49
2018-11-28,SP,2,银河期货,1944,1112
2018-11-28,SP,3,平安期货,1893,677
2018-11-28,SP,4,徽商期货,1840,514
2018-11-28,SP,5,倍特期货,1642,-36
2018-11-28,SP,6,国泰君安,1619,712
2018-11-28,SP,7,东方财富,1283,219
2018-11-28,SP,8,渤海期货,1258,251
2018-11-28,SP,9,弘业期货,1236,650
2018-11-28,SP,10,方正中期,1179,452
2018-11-28,SP,11,永安期货,1159,154
2018-11-28,SP,12,海通期货,1152,572
2018-11-28,SP,13,国投安信,1068,546
2018-11-28,SP,14,浙商期货,1041,-71
2018-11-28,SP,15,华安期货,1020,-4
2018-11-28,SP,16,中信期货,973,161
2018-11-28,SP,17,宏源期货,917,622
2018-11-28,SP,18,东吴期货,754,665
2018-11-28,SP,19,中信建投,705,197
2018-11-28,SP,20,国海良时,704,242
2018-11-29,SP,1,永安期货,2826,1667
2018-11-29,SP,2,徽商期货,2505,665
2018-11-29,SP,3,国泰君安,1890,271
2018-11-29,SP,4,平安期货,1818,-75
2018-11-29,SP,5,华安期货,1671,651
2018-11-29,SP,6,浙商期货,1540,499
2018-11-29,SP,7,中信期货,1494,521
2018-11-29,SP,8,弘业期货,1361,125
2018-11-29,SP,9,方正中期,1318,139
2018-11-29,SP,10,渤海期货,1307,49
2018-11-29,SP,11,海通期货,1237,85
2018-11-29,SP,12,宏源期货,1101,184
2018-11-29,SP,13,英大期货,1077,538
2018-11-29,SP,14,银河期货,1058,-886
2018-11-29,SP,15,长江期货,996,-2337
2018-11-29,SP,16,中国国际,925,265
2018-11-29,SP,17,上海大陆,877,263
2018-11-29,SP,18,东航期货,853,178
2018-11-29,SP,19,国海良时,837,133
2018-11-29,SP,20,广发期货,831,425
2018-11-30,SP,1,徽商期货,2912,407
2018-11-30,SP,2,平安期货,2558,740
2018-11-30,SP,3,海通期货,2413,1176
2018-11-30,SP,4,永安期货,2332,-494
