trading_date,commodity_id,rank,member_name,volume,volume_change
2018-11-28,SP,1,永安期货,6490,-170
2018-11-28,SP,2,方正中期,4131,1285
2018-11-28,SP,3,国泰君安,2191,343
2018-11-28,SP,4,中投期货,1976,1448
2018-11-28,SP,5,迈科期货,1819,825
2018-11-28,SP,6,国投安信,1700,302
2018-11-28,SP,7,银河期货,1573,-639
2018-11-28,SP,8,华泰期货,1442,167
2018-11-28,SP,9,徽商期货,1343,879
2018-11-28,SP,10,中信期货,1163,-253
2018-11-28,SP,11,申万期货,1156,93
2018-11-28,SP,12,兴证期货,1141,889
2018-11-28,SP,13,建信期货,1074,30
2018-11-28,SP,14,浙商期货,1022,242
2018-11-28,SP,15,海通期货,901,532
2018-11-28,SP,16,美尔雅,878,819
2018-11-28,SP,17,东海期货,858,335
2018-11-28,SP,18,国贸期货,792,339
2018-11-28,SP,19,平安期货,737,300
2018-11-28,SP,20,冠通期货,725,-2296
2018-11-29,SP,1,永安期货,6438,-52
2018-11-29,SP,2,方正中期,4095,-36
2018-11-29,SP,3,迈科期货,2772,953
2018-11-29,SP,4,国泰君安,2312,121
2018-11-29,SP,5,华泰期货,2067,625
2018-11-29,SP,6,银河期货,2042,469
2018-11-29,SP,7,国投安信,1757,57
2018-11-29,SP,8,中信期货,1393,230
2018-11-29,SP,9,国贸期货,1374,582
2018-11-29,SP,10,兴证期货,1346,205
2018-11-29,SP,11,申万期货,1333,177
2018-11-29,SP,12,五矿经易,1323,623
2018-11-29,SP,13,中投期货,1305,-671
2018-11-29,SP,14,建信期货,1234,160
2018-11-29,SP,15,华安期货,1105,393
2018-11-29,SP,16,徽商期货,869,-474
2018-11-29,SP,17,东兴期货,863,785
2018-11-29,SP,18,平安期货,850,113
2018-11-29,SP,19,广发期货,843,290
2018-11-29,SP,20,浙商期货,804,-218
2018-11-30,SP,1,永安期货,6855,417
2018-11-30,SP,2,方正中期,6505,2410
2018-11-30,SP,3,银河期货,3828,1786
2018-11-30,SP,4,兴证期货,3105,1759
2018-11-30,SP,5,迈科期货,2880,108
2018-11-30,SP,6,五矿经易,2736,1413
2018-11-30,SP,7,华泰期货,2378,311
2018-11-30,SP,8,国泰君安,1943,-369
2018-11-30,SP,9,创元期货,1781,1631
2018-11-30,SP,10,国投安信,1652,-105
2018-11-30,SP,11,申万期货,1586,253
2018-11-30,SP,12,中投期货,1564,259
2018-11-30,SP,13,国贸期货,1526,152
2018-11-30,SP,14,建信期货,1483,249
2018-11-30,SP,15,徽商期货,1421,552
2018-11-30,SP,16,浙商期货,1338,534
2018-11-30,SP,17,中信期货,1238,-155
2018-11-30,SP,18,国金期货,1123,945
2018-11-30,SP,19,东兴期货,1067,204
2018-11-30,SP,20,华安期货,1016,-89
2018-12-03,SP,1,永安期货,7742,887
2018-12-03,SP,2,方正中期,7433,928
2018-12-03,SP,3,兴证期货,5157,2052
2018-12-03,SP,4,冠通期货,4226,3603
2018-12-03,SP,5,银河期货,4055,227
2018-12-03,SP,6,海通期货,2990,2191
2018-12-03,SP,7,五矿经易,2885,149
2018-12-03,SP,8,华泰期货,2755,377
2018-12-03,SP,9,徽商期货,2623,1202
2018-12-03,SP,10,国贸期货,2458,932
2018-12-03,SP,11,国泰君安,2339,396
2018-12-03,SP,12,浙商期货,2286,948
2018-12-03,SP,13,国金期货,2178,1055
2018-12-03,SP,14,上海大陆,2173,2026
2018-12-03,SP,15,建信期货,2143,660
2018-12-03,SP,16,光大期货,2073,1701
2018-12-03,SP,17,申万期货,1867,281
2018-12-03,SP,18,国投安信,1810,158
2018-12-03,SP,19,中国国际,1754,1396
2018-12-03,SP,20,中信期货,1705,467
2018-12-04,SP,1,永安期货,10882,3140
2018-12-04,SP,2,方正中期,9449,2016
2018-12-04,SP,3,兴证期货,4855,-302
2018-12-04,SP,4,银河期货,3975,-80
2018-12-04,SP,5,浙商期货,3719,1433
2018-12-04,SP,6,冠通期货,3705,-521
2018-12-04,SP,7,国金期货,3039,861
2018-12-04,SP,8,华泰期货,2793,38
2018-12-04,SP,9,国泰君安,2459,120
2018-12-04,SP,10,中信期货,2427,722
2018-12-04,SP,11,海通期货,2236,-754
2018-12-04,SP,12,建信期货,2198,55
2018-12-04,SP,13,徽商期货,2122,-501
2018-12-04,SP,14,五矿经易,2098,-787
2018-12-04,SP,15,申万期货,2097,230
2018-12-04,SP,16,国投安信,1857,47
2018-12-04,SP,17,光大期货,1608,-465
2018-12-04,SP,18,东方财富,1385,362
2018-12-04,SP,19,大地期货,1146,-224
2018-12-04,SP,20,国元期货,1133,37
2018-12-05,SP,1,方正中期,10561,1112
2018-12-05,SP,2,永安期货,10172,-710
2018-12-05,SP,3,浙商期货,3911,192
2018-12-05,SP,4,国金期货,3361,322
2018-12-05,SP,5,银河期货,3291,-684
2018-12-05,SP,6,国泰君安,2794,335
2018-12-05,SP,7,华泰期货,2753,-40
2018-12-05,SP,8,海通期货,2693,457
2018-12-05,SP,9,申万期货,2606,509
2018-12-05,SP,10,国富期货,2322,1720
2018-12-05,SP,11,五矿经易,2124,26
2018-12-05,SP,12,中信期货,1913,-514
2018-12-05,SP,13,光大期货,1569,-39
2018-12-05,SP,14,国投安信,1477,-380
2018-12-05,SP,15,建信期货,1423,-775
2018-12-05,SP,16,南华期货,1298,275
2018-12-05,SP,17,徽商期货,1240,-882
2018-12-05,SP,18,东方财富,1197,-188
2018-12-05,SP,19,中信建投,1030,389
2018-12-05,SP,20,华安期货,980,78
2018-12-06,SP,1,方正中期,11217,656
2018-12-06,SP,2,永安期货,8732,-1440
2018-12-06,SP,3,海通期货,4803,2110
2018-12-06,SP,4,浙商期货,4573,662
2018-12-06,SP,5,国金期货,3794,433
2018-12-06,SP,6,华泰期货,3287,534
2018-12-06,SP,7,中信期货,3262,1349
2018-12-06,SP,8,国泰君安,3079,285
2018-12-06,SP,9,银河期货,2902,-389
2018-12-06,SP,10,申万期货,2494,-112
2018-12-06,SP,11,国富期货,2490,168
2018-12-06,SP,12,首创期货,2355,2191
2018-12-06,SP,13,五矿经易,2137,13
2018-12-06,SP,14,南华期货,1493,195
2018-12-06,SP,15,国投安信,1308,-169
2018-12-06,SP,16,徽商期货,1227,-13
2018-12-06,SP,17,平安期货,1162,331
2018-12-06,SP,18,建信期货,1151,-272
2018-12-06,SP,19,中信建投,1010,-20
2018-12-06,SP,20,中粮期货,861,142
2018-12-07,SP,1,方正中期,12261,1044
2018-12-07,SP,2,永安期货,9716,984
2018-12-07,SP,3,浙商期货,5071,498
2018-12-07,SP,4,海通期货,4287,-516
2018-12-07,SP,5,银河期货,3555,653
2018-12-07,SP,6,国金期货,3517,-277
2018-12-07,SP,7,五矿经易,3138,1001
2018-12-07,SP,8,中信期货,3016,-246
2018-12-07,SP,9,国泰君安,2853,-226
2018-12-07,SP,10,华泰期货,2612,-675
2018-12-07,SP,11,国富期货,2596,106
2018-12-07,SP,12,申万期货,2467,-27
2018-12-07,SP,13,南华期货,1441,-52
2018-12-07,SP,14,国投安信,1374,66
2018-12-07,SP,15,中辉期货,1199,775
2018-12-07,SP,16,平安期货,1193,31
2018-12-07,SP,17,建信期货,1161,10
