trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,SR,1,万达期货,21865,-1062
2013-11-05,SR,2,中粮期货,19556,404
2013-11-05,SR,3,海通期货,17647,-935
2013-11-05,SR,4,华泰长城,16334,1825
2013-11-05,SR,5,中国国际,14631,3
2013-11-05,SR,6,光大期货,14343,1875
2013-11-05,SR,7,永安期货,14197,-58
2013-11-05,SR,8,银河期货,9150,515
2013-11-05,SR,9,金瑞期货,8614,3105
2013-11-05,SR,10,中投天琪,7627,349
2013-11-05,SR,11,华联期货,7609,-696
2013-11-05,SR,12,国泰君安,6641,294
2013-11-05,SR,13,南华期货,6085,1044
2013-11-05,SR,14,申银万国,5991,1068
2013-11-05,SR,15,广发期货,5617,296
2013-11-05,SR,16,新湖期货,5423,182
2013-11-05,SR,17,中证期货,4879,-1538
2013-11-05,SR,18,摩根大通,4650,0
2013-11-05,SR,19,中信新际,4439,-15
2013-11-05,SR,20,国海良时,4008,1502
2013-11-06,SR,1,万达期货,22818,953
2013-11-06,SR,2,中粮期货,20567,1011
2013-11-06,SR,3,华泰长城,18722,2388
2013-11-06,SR,4,海通期货,16516,-1131
2013-11-06,SR,5,中国国际,15191,560
2013-11-06,SR,6,光大期货,14303,-40
2013-11-06,SR,7,永安期货,14216,19
2013-11-06,SR,8,银河期货,10149,999
2013-11-06,SR,9,金瑞期货,7784,-830
2013-11-06,SR,10,华联期货,7704,95
2013-11-06,SR,11,中投天琪,7512,-115
2013-11-06,SR,12,国泰君安,6634,-7
2013-11-06,SR,13,申银万国,6326,335
2013-11-06,SR,14,广发期货,5917,300
2013-11-06,SR,15,新湖期货,5525,102
2013-11-06,SR,16,南华期货,5067,-1018
2013-11-06,SR,17,中证期货,4974,95
2013-11-06,SR,18,摩根大通,4650,0
2013-11-06,SR,19,中信新际,4449,10
2013-11-06,SR,20,北京中期,3856,3
2013-11-07,SR,1,万达期货,22482,-336
2013-11-07,SR,2,中粮期货,20447,-120
2013-11-07,SR,3,华泰长城,17759,-963
2013-11-07,SR,4,海通期货,16194,-322
2013-11-07,SR,5,中国国际,15318,127
2013-11-07,SR,6,永安期货,13476,-740
2013-11-07,SR,7,光大期货,13136,-1167
2013-11-07,SR,8,银河期货,9576,-573
2013-11-07,SR,9,华联期货,7943,239
2013-11-07,SR,10,中投天琪,7056,-456
2013-11-07,SR,11,国泰君安,6279,-355
2013-11-07,SR,12,金瑞期货,6073,-1711
2013-11-07,SR,13,申银万国,5509,-817
2013-11-07,SR,14,新湖期货,5492,-33
2013-11-07,SR,15,广发期货,4949,-968
2013-11-07,SR,16,南华期货,4824,-243
2013-11-07,SR,17,摩根大通,4620,-30
2013-11-07,SR,18,中证期货,4617,-357
2013-11-07,SR,19,浙江中大,4512,899
2013-11-07,SR,20,中信新际,4437,-12
2013-11-08,SR,1,万达期货,22515,33
2013-11-08,SR,2,中粮期货,18839,-1608
2013-11-08,SR,3,海通期货,15482,-712
2013-11-08,SR,4,中国国际,14821,-497
2013-11-08,SR,5,华泰长城,14358,-3401
2013-11-08,SR,6,永安期货,12730,-746
2013-11-08,SR,7,光大期货,11621,-1515
2013-11-08,SR,8,银河期货,8275,-1301
2013-11-08,SR,9,华联期货,7883,-60
2013-11-08,SR,10,中投天琪,7479,423
2013-11-08,SR,11,新湖期货,5737,245
2013-11-08,SR,12,申银万国,5391,-118
2013-11-08,SR,13,金瑞期货,5244,-829
2013-11-08,SR,14,广发期货,5176,227
2013-11-08,SR,15,国泰君安,5031,-1248
2013-11-08,SR,16,南华期货,4914,90
2013-11-08,SR,17,摩根大通,4620,0
2013-11-08,SR,18,中证期货,4208,-409
2013-11-08,SR,19,中信新际,4181,-256
2013-11-08,SR,20,长江期货,4058,-62
2013-11-11,SR,1,万达期货,25868,3353
2013-11-11,SR,2,中粮期货,20285,1446
2013-11-11,SR,3,华泰长城,17731,3373
2013-11-11,SR,4,中国国际,15580,759
2013-11-11,SR,5,永安期货,12948,218
2013-11-11,SR,6,海通期货,11822,-3660
2013-11-11,SR,7,光大期货,11090,-531
2013-11-11,SR,8,银河期货,8251,-24
2013-11-11,SR,9,华联期货,7802,-81
2013-11-11,SR,10,中投天琪,7461,-18
2013-11-11,SR,11,新湖期货,5682,-55
2013-11-11,SR,12,金瑞期货,4916,-328
2013-11-11,SR,13,南华期货,4793,-121
2013-11-11,SR,14,国泰君安,4774,-257
2013-11-11,SR,15,申银万国,4687,-704
2013-11-11,SR,16,摩根大通,4620,0
2013-11-11,SR,17,浙江中大,4250,355
2013-11-11,SR,18,广发期货,4210,-966
2013-11-11,SR,19,中信新际,4184,3
2013-11-11,SR,20,长江期货,4009,-49
2013-11-12,SR,1,万达期货,25790,-78
2013-11-12,SR,2,华泰长城,20274,2543
2013-11-12,SR,3,中粮期货,19186,-1099
2013-11-12,SR,4,中国国际,15619,39
2013-11-12,SR,5,光大期货,11882,792
2013-11-12,SR,6,银河期货,10564,2313
2013-11-12,SR,7,华联期货,7784,-18
2013-11-12,SR,8,永安期货,7332,-5616
2013-11-12,SR,9,中投天琪,7331,-130
2013-11-12,SR,10,海通期货,6976,-4846
2013-11-12,SR,11,新湖期货,5860,178
2013-11-12,SR,12,金瑞期货,4866,-50
2013-11-12,SR,13,南华期货,4741,-52
2013-11-12,SR,14,国泰君安,4633,-141
2013-11-12,SR,15,摩根大通,4620,0
2013-11-12,SR,16,长江期货,4439,430
2013-11-12,SR,17,中信新际,4202,18
2013-11-12,SR,18,申银万国,4031,-656
2013-11-12,SR,19,浙江中大,3996,-254
2013-11-12,SR,20,大连良运,3846,-56
2013-11-13,SR,1,万达期货,25249,-541
2013-11-13,SR,2,华泰长城,18602,-1672
2013-11-13,SR,3,中粮期货,17838,-1348
2013-11-13,SR,4,中国国际,15548,-71
2013-11-13,SR,5,光大期货,11249,-633
2013-11-13,SR,6,永安期货,10545,3213
2013-11-13,SR,7,银河期货,10089,-475
2013-11-13,SR,8,华联期货,7589,-195
2013-11-13,SR,9,中投天琪,7164,-167
2013-11-13,SR,10,海通期货,6920,-56
2013-11-13,SR,11,新湖期货,6127,267
2013-11-13,SR,12,国泰君安,5382,749
2013-11-13,SR,13,南华期货,5091,350
2013-11-13,SR,14,金瑞期货,4929,63
2013-11-13,SR,15,摩根大通,4620,0
2013-11-13,SR,16,广发期货,4587,1001
2013-11-13,SR,17,长江期货,4540,101
2013-11-13,SR,18,浙江中大,4286,290
2013-11-13,SR,19,申银万国,4234,203
2013-11-13,SR,20,中信新际,4202,0
2013-11-14,SR,1,万达期货,24203,-1046
2013-11-14,SR,2,华泰长城,19323,721
2013-11-14,SR,3,中粮期货,18541,703
2013-11-14,SR,4,中国国际,14701,-847
2013-11-14,SR,5,光大期货,11571,322
2013-11-14,SR,6,银河期货,9460,-629
2013-11-14,SR,7,永安期货,9354,-1191
2013-11-14,SR,8,华联期货,7474,-115
2013-11-14,SR,9,中投天琪,7181,17
2013-11-14,SR,10,海通期货,7153,233
2013-11-14,SR,11,新湖期货,6247,120
2013-11-14,SR,12,冠通期货,6088,3652
2013-11-14,SR,13,北方期货,5710,3606
2013-11-14,SR,14,国泰君安,5243,-139
2013-11-14,SR,15,金瑞期货,5139,210
2013-11-14,SR,16,南华期货,5134,43
2013-11-14,SR,17,摩根大通,4620,0
2013-11-14,SR,18,申银万国,4528,294
2013-11-14,SR,19,浙江中大,4524,238
2013-11-14,SR,20,首创期货,4455,732
2013-11-15,SR,1,万达期货,26414,2211
2013-11-15,SR,2,中粮期货,21256,2715
2013-11-15,SR,3,华泰长城,21048,1725
2013-11-15,SR,4,中国国际,15632,931
2013-11-15,SR,5,银河期货,11674,2214
2013-11-15,SR,6,光大期货,11532,-39
2013-11-15,SR,7,永安期货,8720,-634
2013-11-15,SR,8,华联期货,7699,225
2013-11-15,SR,9,中投天琪,7280,99
2013-11-15,SR,10,海通期货,7215,62
2013-11-15,SR,11,长江期货,6148,2270
2013-11-15,SR,12,新湖期货,5684,-563
2013-11-15,SR,13,南华期货,4840,-294
2013-11-15,SR,14,金瑞期货,4688,-451
2013-11-15,SR,15,首创期货,4646,191
2013-11-15,SR,16,摩根大通,4620,0
2013-11-15,SR,17,浙商期货,4292,1334
2013-11-15,SR,18,中证期货,4222,-101
2013-11-15,SR,19,国泰君安,4208,-1035
2013-11-15,SR,20,中信新际,4185,-30
2013-11-18,SR,1,万达期货,27465,1051
2013-11-18,SR,2,中粮期货,25063,3807
2013-11-18,SR,3,华泰长城,23015,1967
2013-11-18,SR,4,中国国际,13897,-1735
2013-11-18,SR,5,光大期货,11868,336
2013-11-18,SR,6,银河期货,11824,150
2013-11-18,SR,7,永安期货,11801,3081
2013-11-18,SR,8,海通期货,8122,907
2013-11-18,SR,9,华联期货,7847,148
2013-11-18,SR,10,中投天琪,7223,-57
2013-11-18,SR,11,长江期货,6114,-34
2013-11-18,SR,12,新湖期货,6080,396
2013-11-18,SR,13,首创期货,5016,370
2013-11-18,SR,14,南华期货,4883,43
2013-11-18,SR,15,摩根大通,4620,0
2013-11-18,SR,16,浙江新世纪,4601,718
2013-11-18,SR,17,中证期货,4371,149
2013-11-18,SR,18,金瑞期货,4315,-373
2013-11-18,SR,19,国泰君安,4309,101
2013-11-18,SR,20,中信新际,4212,27
2013-11-19,SR,1,万达期货,28848,1383
2013-11-19,SR,2,中粮期货,26966,1903
2013-11-19,SR,3,华泰长城,23231,216
2013-11-19,SR,4,中国国际,14366,469
2013-11-19,SR,5,永安期货,12627,826
2013-11-19,SR,6,银河期货,11679,-145
2013-11-19,SR,7,光大期货,11491,-377
2013-11-19,SR,8,海通期货,8268,146
2013-11-19,SR,9,华联期货,7769,-78
2013-11-19,SR,10,中投天琪,7456,233
2013-11-19,SR,11,长江期货,6234,120
2013-11-19,SR,12,新湖期货,5971,-109
2013-11-19,SR,13,首创期货,5202,186
2013-11-19,SR,14,南华期货,4855,-28
2013-11-19,SR,15,摩根大通,4620,0
2013-11-19,SR,16,中证期货,4589,218
2013-11-19,SR,17,金瑞期货,4461,146
2013-11-19,SR,18,浙江中大,4346,382
2013-11-19,SR,19,中信新际,4213,1
2013-11-19,SR,20,上海中期,4117,2006
2013-11-20,SR,1,中粮期货,28656,1690
2013-11-20,SR,2,万达期货,28165,-683
2013-11-20,SR,3,华泰长城,20781,-2450
2013-11-20,SR,4,中国国际,14294,-72
2013-11-20,SR,5,永安期货,12767,140
2013-11-20,SR,6,光大期货,12101,610
2013-11-20,SR,7,银河期货,9832,-1847
2013-11-20,SR,8,海通期货,8152,-116
2013-11-20,SR,9,华联期货,7617,-152
2013-11-20,SR,10,中投天琪,7314,-142
2013-11-20,SR,11,长江期货,6150,-84
2013-11-20,SR,12,新湖期货,5753,-218
2013-11-20,SR,13,首创期货,5196,-6
2013-11-20,SR,14,国泰君安,5172,1395
2013-11-20,SR,15,南华期货,4737,-118
2013-11-20,SR,16,浙江中大,4659,313
2013-11-20,SR,17,摩根大通,4620,0
2013-11-20,SR,18,上海中期,4351,234
2013-11-20,SR,19,中信新际,4209,-4
2013-11-20,SR,20,金瑞期货,4181,-280
2013-11-21,SR,1,中粮期货,28239,-417
2013-11-21,SR,2,万达期货,27493,-672
2013-11-21,SR,3,华泰长城,21478,697
2013-11-21,SR,4,中国国际,14398,104
2013-11-21,SR,5,永安期货,12534,-233
2013-11-21,SR,6,光大期货,12150,49
2013-11-21,SR,7,银河期货,9723,-109
2013-11-21,SR,8,海通期货,7820,-332
2013-11-21,SR,9,华联期货,7662,45
2013-11-21,SR,10,中投天琪,7310,-4
2013-11-21,SR,11,长江期货,5875,-275
2013-11-21,SR,12,新湖期货,5796,43
2013-11-21,SR,13,首创期货,5196,0
2013-11-21,SR,14,南华期货,4779,42
2013-11-21,SR,15,国泰君安,4729,-443
2013-11-21,SR,16,摩根大通,4620,0
2013-11-21,SR,17,红塔期货,4436,467
2013-11-21,SR,18,金瑞期货,4330,149
2013-11-21,SR,19,浙江中大,4229,-430
2013-11-21,SR,20,中信新际,4204,-5
2013-11-22,SR,1,中粮期货,29407,1168
2013-11-22,SR,2,万达期货,26969,-524
2013-11-22,SR,3,华泰长城,21255,-223
2013-11-22,SR,4,永安期货,16775,4241
2013-11-22,SR,5,中国国际,13625,-773
2013-11-22,SR,6,光大期货,11584,-566
2013-11-22,SR,7,银河期货,9659,-64
2013-11-22,SR,8,华联期货,7730,68
2013-11-22,SR,9,中投天琪,7238,-72
2013-11-22,SR,10,长江期货,5720,-155
2013-11-22,SR,11,海通期货,5655,-2165
2013-11-22,SR,12,新湖期货,5609,-187
2013-11-22,SR,13,首创期货,5393,197
2013-11-22,SR,14,红塔期货,5226,790
2013-11-22,SR,15,南华期货,4891,112
2013-11-22,SR,16,金瑞期货,4675,345
2013-11-22,SR,17,摩根大通,4620,0
2013-11-22,SR,18,上海中期,4357,197
2013-11-22,SR,19,中证期货,4305,677
2013-11-22,SR,20,中信新际,4208,4
2013-11-25,SR,1,中粮期货,28710,-697
2013-11-25,SR,2,万达期货,22018,-4951
2013-11-25,SR,3,华泰长城,21384,129
2013-11-25,SR,4,永安期货,16973,198
2013-11-25,SR,5,中国国际,13020,-605
2013-11-25,SR,6,光大期货,11723,139
