trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,SR,1,华泰长城,34322,5857
2013-11-05,SR,2,光大期货,33396,1665
2013-11-05,SR,3,万达期货,20883,-1998
2013-11-05,SR,4,首创期货,20677,1784
2013-11-05,SR,5,中粮期货,19455,665
2013-11-05,SR,6,经易期货,12730,54
2013-11-05,SR,7,银河期货,10871,2513
2013-11-05,SR,8,中证期货,9315,1048
2013-11-05,SR,9,金瑞期货,8480,3039
2013-11-05,SR,10,上海中期,7910,-93
2013-11-05,SR,11,国投期货,7686,-473
2013-11-05,SR,12,红塔期货,7191,-711
2013-11-05,SR,13,格林期货,6757,23
2013-11-05,SR,14,平安期货,6266,34
2013-11-05,SR,15,成都倍特,6195,-289
2013-11-05,SR,16,宏源期货,5965,979
2013-11-05,SR,17,中国国际,5500,593
2013-11-05,SR,18,安信期货,5486,696
2013-11-05,SR,19,一德期货,5388,874
2013-11-05,SR,20,中钢期货,5098,175
2013-11-06,SR,1,华泰长城,34657,335
2013-11-06,SR,2,光大期货,33622,226
2013-11-06,SR,3,万达期货,21275,392
2013-11-06,SR,4,首创期货,19990,-687
2013-11-06,SR,5,中粮期货,17865,-1590
2013-11-06,SR,6,经易期货,12926,196
2013-11-06,SR,7,银河期货,10083,-788
2013-11-06,SR,8,中证期货,9313,-2
2013-11-06,SR,9,金瑞期货,8281,-199
2013-11-06,SR,10,上海中期,7898,-12
2013-11-06,SR,11,国投期货,7835,149
2013-11-06,SR,12,红塔期货,7143,-48
2013-11-06,SR,13,一德期货,7006,1618
2013-11-06,SR,14,格林期货,6704,-53
2013-11-06,SR,15,平安期货,6224,-42
2013-11-06,SR,16,成都倍特,6126,-69
2013-11-06,SR,17,安信期货,5496,10
2013-11-06,SR,18,广发期货,5159,65
2013-11-06,SR,19,中钢期货,5104,6
2013-11-06,SR,20,海通期货,5034,-32
2013-11-07,SR,1,华泰长城,31937,-2720
2013-11-07,SR,2,光大期货,26348,-7274
2013-11-07,SR,3,万达期货,20435,-840
2013-11-07,SR,4,首创期货,17911,-2079
2013-11-07,SR,5,中粮期货,17704,-161
2013-11-07,SR,6,经易期货,12619,-307
2013-11-07,SR,7,中证期货,9107,-206
2013-11-07,SR,8,银河期货,8661,-1422
2013-11-07,SR,9,上海中期,7903,5
2013-11-07,SR,10,国投期货,7705,-130
2013-11-07,SR,11,一德期货,7125,119
2013-11-07,SR,12,红塔期货,7027,-116
2013-11-07,SR,13,格林期货,6825,121
2013-11-07,SR,14,金瑞期货,6673,-1608
2013-11-07,SR,15,平安期货,6228,4
2013-11-07,SR,16,成都倍特,6076,-50
2013-11-07,SR,17,宏源期货,5944,1059
2013-11-07,SR,18,安信期货,5575,79
2013-11-07,SR,19,中国国际,5068,36
2013-11-07,SR,20,中钢期货,5064,-40
2013-11-08,SR,1,华泰长城,28499,-3438
2013-11-08,SR,2,光大期货,22280,-4068
2013-11-08,SR,3,万达期货,19585,-850
2013-11-08,SR,4,中粮期货,16792,-912
2013-11-08,SR,5,首创期货,14838,-3073
2013-11-08,SR,6,经易期货,12683,64
2013-11-08,SR,7,上海中期,9459,1556
2013-11-08,SR,8,中证期货,9104,-3
2013-11-08,SR,9,银河期货,7747,-914
2013-11-08,SR,10,国投期货,7542,-163
2013-11-08,SR,11,红塔期货,6966,-61
2013-11-08,SR,12,一德期货,6819,-306
2013-11-08,SR,13,平安期货,6228,0
2013-11-08,SR,14,格林期货,6110,-715
2013-11-08,SR,15,成都倍特,6029,-47
2013-11-08,SR,16,金瑞期货,5955,-718
2013-11-08,SR,17,安信期货,5532,-43
2013-11-08,SR,18,宏源期货,5465,-479
2013-11-08,SR,19,中国国际,5397,329
2013-11-08,SR,20,中钢期货,5060,-4
2013-11-11,SR,1,华泰长城,26888,-1611
2013-11-11,SR,2,光大期货,19499,-2781
2013-11-11,SR,3,中粮期货,19217,2425
2013-11-11,SR,4,万达期货,16796,-2789
2013-11-11,SR,5,首创期货,13621,-1217
2013-11-11,SR,6,经易期货,12524,-159
2013-11-11,SR,7,中证期货,9697,593
2013-11-11,SR,8,上海中期,9364,-95
2013-11-11,SR,9,银河期货,9175,1428
2013-11-11,SR,10,安信期货,7749,2217
2013-11-11,SR,11,宏源期货,7690,2225
2013-11-11,SR,12,国投期货,7027,-515
2013-11-11,SR,13,一德期货,6152,-667
2013-11-11,SR,14,平安期货,6133,-95
2013-11-11,SR,15,格林期货,6089,-21
2013-11-11,SR,16,成都倍特,6073,44
2013-11-11,SR,17,红塔期货,5946,-1020
2013-11-11,SR,18,金瑞期货,5541,-414
2013-11-11,SR,19,中钢期货,5073,13
2013-11-11,SR,20,海通期货,4980,-64
2013-11-12,SR,1,华泰长城,22427,-4461
2013-11-12,SR,2,光大期货,19163,-336
2013-11-12,SR,3,中粮期货,18498,-719
2013-11-12,SR,4,万达期货,16802,6
2013-11-12,SR,5,首创期货,13188,-433
2013-11-12,SR,6,经易期货,12591,67
2013-11-12,SR,7,上海中期,9385,21
2013-11-12,SR,8,银河期货,8922,-253
2013-11-12,SR,9,宏源期货,7663,-27
2013-11-12,SR,10,国投期货,7421,394
2013-11-12,SR,11,安信期货,7015,-734
2013-11-12,SR,12,中证期货,6574,-3123
2013-11-12,SR,13,格林期货,6333,244
2013-11-12,SR,14,成都倍特,6109,36
2013-11-12,SR,15,平安期货,6026,-107
2013-11-12,SR,16,一德期货,5965,-187
2013-11-12,SR,17,红塔期货,5913,-33
2013-11-12,SR,18,海通期货,5560,580
2013-11-12,SR,19,金瑞期货,5529,-12
2013-11-12,SR,20,中钢期货,5164,91
2013-11-13,SR,1,华泰长城,25577,3150
2013-11-13,SR,2,光大期货,19321,158
2013-11-13,SR,3,万达期货,18291,1489
2013-11-13,SR,4,中粮期货,17697,-801
2013-11-13,SR,5,首创期货,13635,447
2013-11-13,SR,6,经易期货,12819,228
2013-11-13,SR,7,银河期货,8742,-180
2013-11-13,SR,8,上海中期,8681,-704
2013-11-13,SR,9,宏源期货,7828,165
2013-11-13,SR,10,国投期货,7456,35
2013-11-13,SR,11,安信期货,6889,-126
2013-11-13,SR,12,中证期货,6406,-168
2013-11-13,SR,13,成都倍特,6275,166
2013-11-13,SR,14,一德期货,6075,110
2013-11-13,SR,15,平安期货,5936,-90
2013-11-13,SR,16,红塔期货,5898,-15
2013-11-13,SR,17,格林期货,5526,-807
2013-11-13,SR,18,金瑞期货,5464,-65
2013-11-13,SR,19,广发期货,5315,1045
2013-11-13,SR,20,中钢期货,5168,4
2013-11-14,SR,1,华泰长城,26610,1033
2013-11-14,SR,2,光大期货,20476,1155
2013-11-14,SR,3,万达期货,19339,1048
2013-11-14,SR,4,中粮期货,17877,180
2013-11-14,SR,5,首创期货,14834,1199
2013-11-14,SR,6,经易期货,13039,220
2013-11-14,SR,7,上海中期,8744,63
2013-11-14,SR,8,银河期货,8719,-23
2013-11-14,SR,9,宏源期货,7689,-139
2013-11-14,SR,10,国投期货,7421,-35
2013-11-14,SR,11,安信期货,6879,-10
2013-11-14,SR,12,中证期货,6546,140
2013-11-14,SR,13,成都倍特,6373,98
2013-11-14,SR,14,一德期货,6119,44
2013-11-14,SR,15,红塔期货,6110,212
2013-11-14,SR,16,平安期货,5834,-102
2013-11-14,SR,17,金瑞期货,5745,281
2013-11-14,SR,18,格林期货,5475,-51
2013-11-14,SR,19,海通期货,5399,471
2013-11-14,SR,20,广发期货,5191,-124
2013-11-15,SR,1,华泰长城,22967,-3643
2013-11-15,SR,2,万达期货,18618,-721
2013-11-15,SR,3,中粮期货,17581,-296
2013-11-15,SR,4,光大期货,15870,-4606
2013-11-15,SR,5,经易期货,12996,-43
2013-11-15,SR,6,首创期货,12541,-2293
2013-11-15,SR,7,银河期货,9437,718
2013-11-15,SR,8,永安期货,9196,6913
2013-11-15,SR,9,上海中期,7505,-1239
2013-11-15,SR,10,宏源期货,6968,-721
2013-11-15,SR,11,安信期货,6951,72
2013-11-15,SR,12,成都倍特,6324,-49
2013-11-15,SR,13,海通期货,6271,872
2013-11-15,SR,14,一德期货,6231,112
2013-11-15,SR,15,平安期货,5728,-106
2013-11-15,SR,16,南华期货,5471,705
2013-11-15,SR,17,金瑞期货,5342,-403
2013-11-15,SR,18,广发期货,5137,-54
2013-11-15,SR,19,中钢期货,5080,-87
2013-11-15,SR,20,中国国际,5042,1015
2013-11-18,SR,1,华泰长城,22895,-72
2013-11-18,SR,2,万达期货,18766,148
2013-11-18,SR,3,中粮期货,18075,494
2013-11-18,SR,4,光大期货,17996,2126
2013-11-18,SR,5,首创期货,14197,1656
2013-11-18,SR,6,经易期货,13276,280
2013-11-18,SR,7,银河期货,8737,-700
2013-11-18,SR,8,一德期货,8300,2069
2013-11-18,SR,9,永安期货,8012,-1184
2013-11-18,SR,10,国投期货,7770,3010
2013-11-18,SR,11,安信期货,7011,60
2013-11-18,SR,12,宏源期货,6952,-16
2013-11-18,SR,13,海通期货,6843,572
2013-11-18,SR,14,中国国际,6612,1570
2013-11-18,SR,15,成都倍特,6513,189
2013-11-18,SR,16,南华期货,5770,299
2013-11-18,SR,17,新湖期货,5764,777
2013-11-18,SR,18,上海中期,5565,-1940
2013-11-18,SR,19,广发期货,5465,328
2013-11-18,SR,20,格林期货,5216,920
2013-11-19,SR,1,华泰长城,23256,361
2013-11-19,SR,2,光大期货,21080,3084
2013-11-19,SR,3,万达期货,17631,-1135
2013-11-19,SR,4,中粮期货,17378,-697
2013-11-19,SR,5,首创期货,14662,465
2013-11-19,SR,6,经易期货,13204,-72
2013-11-19,SR,7,银河期货,9450,713
2013-11-19,SR,8,一德期货,8248,-52
2013-11-19,SR,9,国投期货,7786,16
2013-11-19,SR,10,海通期货,7178,335
2013-11-19,SR,11,宏源期货,7034,82
2013-11-19,SR,12,中国国际,6858,246
2013-11-19,SR,13,安信期货,6771,-240
2013-11-19,SR,14,永安期货,6665,-1347
2013-11-19,SR,15,成都倍特,6446,-67
2013-11-19,SR,16,新湖期货,5768,4
2013-11-19,SR,17,上海中期,5589,24
2013-11-19,SR,18,中证期货,5387,191
2013-11-19,SR,19,南华期货,5340,-430
2013-11-19,SR,20,金瑞期货,5292,221
2013-11-20,SR,1,华泰长城,23321,65
2013-11-20,SR,2,光大期货,23205,2125
2013-11-20,SR,3,中粮期货,17686,308
2013-11-20,SR,4,万达期货,16643,-988
2013-11-20,SR,5,首创期货,16553,1891
2013-11-20,SR,6,经易期货,13226,22
2013-11-20,SR,7,银河期货,8966,-484
2013-11-20,SR,8,国投期货,7687,-99
2013-11-20,SR,9,格林期货,7536,2537
2013-11-20,SR,10,宏源期货,7132,98
2013-11-20,SR,11,一德期货,6881,-1367
2013-11-20,SR,12,安信期货,6772,1
2013-11-20,SR,13,海通期货,6645,-533
2013-11-20,SR,14,成都倍特,6458,12
2013-11-20,SR,15,中证期货,6011,624
2013-11-20,SR,16,上海中期,5955,366
2013-11-20,SR,17,中国国际,5912,-946
2013-11-20,SR,18,新湖期货,5595,-173
2013-11-20,SR,19,广发期货,5220,-49
2013-11-20,SR,20,金瑞期货,5055,-237
2013-11-21,SR,1,华泰长城,23785,464
2013-11-21,SR,2,光大期货,23066,-139
2013-11-21,SR,3,首创期货,17009,456
2013-11-21,SR,4,中粮期货,15977,-1709
2013-11-21,SR,5,万达期货,14606,-2037
2013-11-21,SR,6,经易期货,13162,-64
2013-11-21,SR,7,银河期货,9060,94
2013-11-21,SR,8,国投期货,7340,-347
2013-11-21,SR,9,宏源期货,7211,79
2013-11-21,SR,10,格林期货,7198,-338
2013-11-21,SR,11,一德期货,6931,50
2013-11-21,SR,12,安信期货,6864,92
2013-11-21,SR,13,成都倍特,6478,20
2013-11-21,SR,14,海通期货,6160,-485
2013-11-21,SR,15,上海中期,5932,-23
2013-11-21,SR,16,中证期货,5746,-265
2013-11-21,SR,17,中国国际,5630,-282
2013-11-21,SR,18,广发期货,5275,55
2013-11-21,SR,19,红塔期货,5213,1981
2013-11-21,SR,20,新湖期货,5190,-405
2013-11-22,SR,1,华泰长城,24312,527
2013-11-22,SR,2,光大期货,23316,250
2013-11-22,SR,3,中粮期货,18002,2025
2013-11-22,SR,4,首创期货,17923,914
2013-11-22,SR,5,万达期货,13847,-759
2013-11-22,SR,6,经易期货,13249,87
2013-11-22,SR,7,银河期货,8750,-310
2013-11-22,SR,8,国投期货,8070,730
2013-11-22,SR,9,格林期货,7709,511
2013-11-22,SR,10,一德期货,6791,-140
2013-11-22,SR,11,中国国际,6561,931
2013-11-22,SR,12,宏源期货,6212,-999
2013-11-22,SR,13,广发期货,6097,822
2013-11-22,SR,14,中证期货,6019,273
2013-11-22,SR,15,红塔期货,5968,755
2013-11-22,SR,16,上海中期,5843,-89
2013-11-22,SR,17,金友期货,5767,1330
2013-11-22,SR,18,金瑞期货,5509,395
2013-11-22,SR,19,成都倍特,5453,-1025
2013-11-22,SR,20,浙江中大,5246,911
2013-11-25,SR,1,华泰长城,27387,3075
2013-11-25,SR,2,光大期货,22898,-418
2013-11-25,SR,3,中粮期货,18684,682
2013-11-25,SR,4,首创期货,18306,383
2013-11-25,SR,5,万达期货,15686,1839
2013-11-25,SR,6,经易期货,13548,299
2013-11-25,SR,7,银河期货,8829,79
2013-11-25,SR,8,国投期货,7907,-163
2013-11-25,SR,9,格林期货,7892,183
2013-11-25,SR,10,一德期货,7368,577
2013-11-25,SR,11,中国国际,6970,409
2013-11-25,SR,12,广发期货,6447,350
2013-11-25,SR,13,红塔期货,6171,203
2013-11-25,SR,14,上海中期,5920,77
2013-11-25,SR,15,金瑞期货,5715,206
2013-11-25,SR,16,金友期货,5581,-186
2013-11-25,SR,17,成都倍特,5522,69
2013-11-25,SR,18,中证期货,5511,-508
2013-11-25,SR,19,宏源期货,5455,-757
2013-11-25,SR,20,新湖期货,5407,218
2013-11-26,SR,1,华泰长城,26537,-850
2013-11-26,SR,2,光大期货,22159,-739
2013-11-26,SR,3,首创期货,19568,1262
2013-11-26,SR,4,中粮期货,18533,-151
2013-11-26,SR,5,万达期货,16315,629
2013-11-26,SR,6,经易期货,13589,41
2013-11-26,SR,7,银河期货,8857,28
2013-11-26,SR,8,上海中期,8171,2251
2013-11-26,SR,9,国投期货,7963,56
2013-11-26,SR,10,格林期货,7880,-12
2013-11-26,SR,11,一德期货,7211,-157
2013-11-26,SR,12,红塔期货,6927,756
2013-11-26,SR,13,中国国际,6417,-553
2013-11-26,SR,14,新湖期货,6239,832
2013-11-26,SR,15,广发期货,6206,-241
2013-11-26,SR,16,金瑞期货,5664,-51
2013-11-26,SR,17,金友期货,5543,-38
2013-11-26,SR,18,宏源期货,5474,19
2013-11-26,SR,19,成都倍特,5455,-67
2013-11-26,SR,20,安信期货,5402,84
2013-11-27,SR,1,华泰长城,24258,-2279
2013-11-27,SR,2,光大期货,20617,-1542
2013-11-27,SR,3,中粮期货,19844,1311
2013-11-27,SR,4,首创期货,19672,104
2013-11-27,SR,5,万达期货,16465,150
2013-11-27,SR,6,经易期货,13449,-140
2013-11-27,SR,7,上海中期,8730,559
2013-11-27,SR,8,银河期货,8687,-170
2013-11-27,SR,9,格林期货,8281,401
2013-11-27,SR,10,红塔期货,8037,1110
2013-11-27,SR,11,国投期货,8010,47
2013-11-27,SR,12,中国国际,7567,1150
2013-11-27,SR,13,一德期货,7440,229
2013-11-27,SR,14,中证期货,7191,1923
2013-11-27,SR,15,广发期货,6418,212
2013-11-27,SR,16,金瑞期货,6123,459
2013-11-27,SR,17,浙江中大,5769,410
2013-11-27,SR,18,金友期货,5526,-17
2013-11-27,SR,19,宏源期货,5456,-18
2013-11-27,SR,20,成都倍特,5431,-24
2013-11-28,SR,1,华泰长城,26715,2457
2013-11-28,SR,2,光大期货,25046,4429
2013-11-28,SR,3,首创期货,19610,-62
2013-11-28,SR,4,中粮期货,18327,-1517
2013-11-28,SR,5,经易期货,13963,514
2013-11-28,SR,6,万达期货,13884,-2581
2013-11-28,SR,7,上海中期,9774,1044
2013-11-28,SR,8,中证期货,9216,2025
2013-11-28,SR,9,银河期货,8640,-47
2013-11-28,SR,10,国投期货,8106,96
2013-11-28,SR,11,一德期货,7616,176
2013-11-28,SR,12,格林期货,7013,-1268
2013-11-28,SR,13,中国国际,6719,-848
2013-11-28,SR,14,广发期货,6470,52
2013-11-28,SR,15,红塔期货,6093,-1944
2013-11-28,SR,16,金瑞期货,6022,-101
2013-11-28,SR,17,金友期货,5782,256
2013-11-28,SR,18,成都倍特,5384,-47
2013-11-28,SR,19,宏源期货,5384,-72
2013-11-28,SR,20,浙商期货,5281,739
2013-11-29,SR,1,光大期货,26115,1069
2013-11-29,SR,2,华泰长城,26066,-649
2013-11-29,SR,3,中粮期货,21010,2683
2013-11-29,SR,4,首创期货,19928,318
2013-11-29,SR,5,经易期货,14070,107
2013-11-29,SR,6,万达期货,13963,79
2013-11-29,SR,7,上海中期,9649,-125
2013-11-29,SR,8,银河期货,8572,-68
2013-11-29,SR,9,国投期货,8046,-60
2013-11-29,SR,10,一德期货,7564,-52
2013-11-29,SR,11,格林期货,7548,535
