trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,TA,1,中粮期货,52637,-94
2013-11-05,TA,2,浙江新世纪,27492,205
2013-11-05,TA,3,南华期货,25452,-1545
2013-11-05,TA,4,浙商期货,23558,-17
2013-11-05,TA,5,永安期货,22863,33
2013-11-05,TA,6,银河期货,16811,314
2013-11-05,TA,7,宝城期货,13687,582
2013-11-05,TA,8,上海通联,12155,0
2013-11-05,TA,9,光大期货,8881,-1207
2013-11-05,TA,10,新湖期货,7229,50
2013-11-05,TA,11,国联期货,6420,338
2013-11-05,TA,12,金友期货,6398,-2
2013-11-05,TA,13,中国国际,5662,-9
2013-11-05,TA,14,大越期货,5118,81
2013-11-05,TA,15,广发期货,4632,100
2013-11-05,TA,16,浙江中大,4410,26
2013-11-05,TA,17,国海良时,3744,155
2013-11-05,TA,18,弘业期货,3459,-309
2013-11-05,TA,19,创元期货,3045,42
2013-11-05,TA,20,中证期货,3014,-233
2013-11-06,TA,1,中粮期货,57541,4904
2013-11-06,TA,2,浙江新世纪,27366,-126
2013-11-06,TA,3,南华期货,24935,-517
2013-11-06,TA,4,浙商期货,23034,-524
2013-11-06,TA,5,永安期货,22772,-91
2013-11-06,TA,6,银河期货,16132,-679
2013-11-06,TA,7,宝城期货,13410,-277
2013-11-06,TA,8,上海通联,12150,-5
2013-11-06,TA,9,光大期货,7575,-1306
2013-11-06,TA,10,新湖期货,6929,-300
2013-11-06,TA,11,金友期货,6474,76
2013-11-06,TA,12,国联期货,6177,-243
2013-11-06,TA,13,中国国际,5569,-93
2013-11-06,TA,14,大越期货,5084,-34
2013-11-06,TA,15,广发期货,4558,-74
2013-11-06,TA,16,浙江中大,4533,123
2013-11-06,TA,17,弘业期货,3664,205
2013-11-06,TA,18,创元期货,3203,158
2013-11-06,TA,19,国海良时,3039,-705
2013-11-06,TA,20,中证期货,2981,-33
2013-11-07,TA,1,中粮期货,52531,-5010
2013-11-07,TA,2,浙江新世纪,27427,61
2013-11-07,TA,3,南华期货,23243,-1692
2013-11-07,TA,4,浙商期货,22853,-181
2013-11-07,TA,5,永安期货,22228,-544
2013-11-07,TA,6,银河期货,15926,-206
2013-11-07,TA,7,宝城期货,13397,-13
2013-11-07,TA,8,上海通联,12150,0
2013-11-07,TA,9,光大期货,7336,-239
2013-11-07,TA,10,国联期货,5795,-382
