trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,TA,1,银河期货,38749,903
2013-11-05,TA,2,永安期货,26990,2279
2013-11-05,TA,3,光大期货,21966,-1334
2013-11-05,TA,4,大越期货,14916,114
2013-11-05,TA,5,浙商期货,14442,-796
2013-11-05,TA,6,中证期货,12831,725
2013-11-05,TA,7,申银万国,11424,187
2013-11-05,TA,8,南华期货,10545,-2932
2013-11-05,TA,9,格林期货,9711,526
2013-11-05,TA,10,东吴期货,9386,0
2013-11-05,TA,11,中国国际,8387,-1654
2013-11-05,TA,12,新湖期货,7252,58
2013-11-05,TA,13,国泰君安,7103,-1694
2013-11-05,TA,14,华安期货,6873,-41
2013-11-05,TA,15,海通期货,6654,-141
2013-11-05,TA,16,中粮期货,6556,947
2013-11-05,TA,17,鲁证期货,6152,-114
2013-11-05,TA,18,华泰长城,5988,123
2013-11-05,TA,19,东航期货,5869,-8
2013-11-05,TA,20,国联期货,5267,1296
2013-11-06,TA,1,银河期货,36812,-1937
2013-11-06,TA,2,永安期货,27303,313
2013-11-06,TA,3,光大期货,21070,-896
2013-11-06,TA,4,大越期货,15101,185
2013-11-06,TA,5,浙商期货,14588,146
2013-11-06,TA,6,中证期货,13209,378
2013-11-06,TA,7,申银万国,11565,141
2013-11-06,TA,8,南华期货,9871,-674
2013-11-06,TA,9,格林期货,9419,-292
2013-11-06,TA,10,东吴期货,9127,-259
2013-11-06,TA,11,中国国际,8097,-290
2013-11-06,TA,12,华安期货,7453,580
2013-11-06,TA,13,新湖期货,7424,172
2013-11-06,TA,14,海通期货,6799,145
2013-11-06,TA,15,华泰长城,6758,770
2013-11-06,TA,16,鲁证期货,6717,565
2013-11-06,TA,17,中粮期货,6380,-176
2013-11-06,TA,18,国泰君安,6358,-745
2013-11-06,TA,19,国联期货,5269,2
2013-11-06,TA,20,国贸期货,5190,97
2013-11-07,TA,1,银河期货,37747,935
2013-11-07,TA,2,永安期货,28072,769
2013-11-07,TA,3,光大期货,19075,-1995
2013-11-07,TA,4,大越期货,16001,900
2013-11-07,TA,5,中证期货,14316,1107
2013-11-07,TA,6,浙商期货,13413,-1175
2013-11-07,TA,7,格林期货,11498,2079
2013-11-07,TA,8,申银万国,10048,-1517
2013-11-07,TA,9,南华期货,9119,-752
2013-11-07,TA,10,国联期货,8926,3657
2013-11-07,TA,11,中国国际,8453,356
2013-11-07,TA,12,东吴期货,8190,-937
2013-11-07,TA,13,新湖期货,6931,-493
2013-11-07,TA,14,华泰长城,6715,-43
2013-11-07,TA,15,鲁证期货,6469,-248
2013-11-07,TA,16,华安期货,6361,-1092
2013-11-07,TA,17,中粮期货,6044,-336
2013-11-07,TA,18,国贸期货,5305,115
2013-11-07,TA,19,深圳金汇,4499,1720
2013-11-07,TA,20,海通期货,4096,-2703
2013-11-08,TA,1,银河期货,39109,1362
2013-11-08,TA,2,永安期货,31734,3662
2013-11-08,TA,3,光大期货,19301,226
2013-11-08,TA,4,大越期货,15982,-19
2013-11-08,TA,5,中证期货,14491,175
2013-11-08,TA,6,浙商期货,13530,117
2013-11-08,TA,7,格林期货,12608,1110
2013-11-08,TA,8,申银万国,10023,-25
2013-11-08,TA,9,中粮期货,8998,2954
2013-11-08,TA,10,国联期货,8585,-341
2013-11-08,TA,11,东吴期货,8221,31
2013-11-08,TA,12,新湖期货,6996,65
2013-11-08,TA,13,国贸期货,6540,1235
2013-11-08,TA,14,中国国际,6298,-2155
2013-11-08,TA,15,鲁证期货,6202,-267
2013-11-08,TA,16,华安期货,5827,-534
2013-11-08,TA,17,华泰长城,5773,-942
2013-11-08,TA,18,国泰君安,4786,1203
2013-11-08,TA,19,深圳金汇,4700,201
2013-11-08,TA,20,兴证期货,4669,870
2013-11-11,TA,1,银河期货,39162,53
2013-11-11,TA,2,永安期货,33824,2090
2013-11-11,TA,3,光大期货,20287,986
2013-11-11,TA,4,大越期货,15905,-77
2013-11-11,TA,5,中证期货,14475,-16
2013-11-11,TA,6,浙商期货,13455,-75
2013-11-11,TA,7,格林期货,12656,48
2013-11-11,TA,8,申银万国,10399,376
2013-11-11,TA,9,中粮期货,9785,787
2013-11-11,TA,10,东吴期货,9065,844
2013-11-11,TA,11,国联期货,8698,113
2013-11-11,TA,12,中国国际,7237,939
2013-11-11,TA,13,国贸期货,6741,201
2013-11-11,TA,14,鲁证期货,5995,-207
2013-11-11,TA,15,华安期货,5838,11
2013-11-11,TA,16,华泰长城,5816,43
2013-11-11,TA,17,国泰君安,4996,210
2013-11-11,TA,18,深圳金汇,4954,254
2013-11-11,TA,19,兴证期货,4760,91
2013-11-11,TA,20,东海期货,4408,8
2013-11-12,TA,1,银河期货,38761,-401
2013-11-12,TA,2,永安期货,33178,-646
2013-11-12,TA,3,光大期货,19468,-819
2013-11-12,TA,4,大越期货,15544,-361
2013-11-12,TA,5,中证期货,14438,-37
2013-11-12,TA,6,浙商期货,13418,-37
2013-11-12,TA,7,格林期货,13304,648
2013-11-12,TA,8,申银万国,10329,-70
2013-11-12,TA,9,中粮期货,9034,-751
2013-11-12,TA,10,国联期货,8960,262
2013-11-12,TA,11,东吴期货,8792,-273
2013-11-12,TA,12,中国国际,7490,253
2013-11-12,TA,13,华安期货,5825,-13
2013-11-12,TA,14,华泰长城,5821,5
2013-11-12,TA,15,鲁证期货,5787,-208
2013-11-12,TA,16,国贸期货,5682,-1059
2013-11-12,TA,17,国泰君安,5306,310
2013-11-12,TA,18,深圳金汇,4920,-34
2013-11-12,TA,19,兴证期货,4335,-425
2013-11-12,TA,20,东海期货,4055,-353
2013-11-13,TA,1,银河期货,38880,119
2013-11-13,TA,2,永安期货,32770,-408
2013-11-13,TA,3,光大期货,18674,-794
2013-11-13,TA,4,大越期货,15602,58
2013-11-13,TA,5,浙商期货,13233,-185
2013-11-13,TA,6,中证期货,12848,-1590
2013-11-13,TA,7,格林期货,12526,-778
2013-11-13,TA,8,申银万国,10187,-142
2013-11-13,TA,9,国联期货,9175,215
2013-11-13,TA,10,东吴期货,9065,273
2013-11-13,TA,11,中粮期货,8848,-186
2013-11-13,TA,12,中国国际,8202,712
2013-11-13,TA,13,深圳金汇,7352,2432
2013-11-13,TA,14,华泰长城,5882,61
2013-11-13,TA,15,华安期货,5857,32
2013-11-13,TA,16,国贸期货,5702,20
2013-11-13,TA,17,国泰君安,5367,61
2013-11-13,TA,18,鲁证期货,5314,-473
2013-11-13,TA,19,兴证期货,4349,14
2013-11-13,TA,20,东海期货,4015,-40
2013-11-14,TA,1,银河期货,39444,564
2013-11-14,TA,2,永安期货,34411,1641
2013-11-14,TA,3,光大期货,19495,821
2013-11-14,TA,4,大越期货,15731,129
2013-11-14,TA,5,浙商期货,13163,-70
2013-11-14,TA,6,格林期货,12877,351
2013-11-14,TA,7,国联期货,12384,3209
2013-11-14,TA,8,深圳金汇,11264,3912
2013-11-14,TA,9,中证期货,10886,-1962
2013-11-14,TA,10,申银万国,10094,-93
2013-11-14,TA,11,东吴期货,9740,675
2013-11-14,TA,12,中粮期货,9143,295
2013-11-14,TA,13,中国国际,8455,253
2013-11-14,TA,14,华泰长城,6307,425
2013-11-14,TA,15,东海期货,6013,1998
2013-11-14,TA,16,华安期货,5818,-39
2013-11-14,TA,17,国贸期货,5701,-1
2013-11-14,TA,18,国泰君安,5246,-121
2013-11-14,TA,19,鲁证期货,5124,-190
2013-11-14,TA,20,华鑫期货,5003,1476
2013-11-15,TA,1,银河期货,40328,884
2013-11-15,TA,2,永安期货,36960,2549
2013-11-15,TA,3,光大期货,18896,-599
2013-11-15,TA,4,大越期货,15618,-113
2013-11-15,TA,5,格林期货,13677,800
2013-11-15,TA,6,浙商期货,13504,341
2013-11-15,TA,7,国联期货,12752,368
2013-11-15,TA,8,深圳金汇,10318,-946
2013-11-15,TA,9,中证期货,10306,-580
2013-11-15,TA,10,申银万国,10200,106
2013-11-15,TA,11,中粮期货,9954,811
2013-11-15,TA,12,东吴期货,9286,-454
2013-11-15,TA,13,中国国际,7944,-511
2013-11-15,TA,14,东海期货,6504,491
2013-11-15,TA,15,华泰长城,6289,-18
2013-11-15,TA,16,华安期货,5972,154
2013-11-15,TA,17,国泰君安,5754,508
2013-11-15,TA,18,国贸期货,5714,13
2013-11-15,TA,19,华鑫期货,5450,447
2013-11-15,TA,20,锦泰期货,5309,639
2013-11-18,TA,1,银河期货,39108,-1220
2013-11-18,TA,2,永安期货,38142,1182
2013-11-18,TA,3,光大期货,18444,-452
2013-11-18,TA,4,浙商期货,15966,2462
2013-11-18,TA,5,大越期货,15629,11
2013-11-18,TA,6,格林期货,13477,-200
2013-11-18,TA,7,中证期货,13406,3100
2013-11-18,TA,8,申银万国,12746,2546
2013-11-18,TA,9,国联期货,10741,-2011
2013-11-18,TA,10,中粮期货,10430,476
2013-11-18,TA,11,深圳金汇,10359,41
2013-11-18,TA,12,东吴期货,9172,-114
2013-11-18,TA,13,中国国际,8494,550
2013-11-18,TA,14,华泰长城,7865,1576
2013-11-18,TA,15,鲁证期货,7647,2578
2013-11-18,TA,16,国泰君安,5987,233
2013-11-18,TA,17,华安期货,5916,-56
2013-11-18,TA,18,国贸期货,4675,-1039
2013-11-18,TA,19,东海期货,4574,-1930
2013-11-18,TA,20,兴证期货,4430,-404
2013-11-19,TA,1,银河期货,39770,662
2013-11-19,TA,2,永安期货,32834,-5308
2013-11-19,TA,3,浙商期货,17510,1544
2013-11-19,TA,4,光大期货,16956,-1488
2013-11-19,TA,5,大越期货,16047,418
2013-11-19,TA,6,中证期货,13365,-41
2013-11-19,TA,7,申银万国,12751,5
2013-11-19,TA,8,格林期货,11311,-2166
2013-11-19,TA,9,国联期货,11158,417
2013-11-19,TA,10,中粮期货,10601,171
2013-11-19,TA,11,中国国际,10374,1880
2013-11-19,TA,12,深圳金汇,9639,-720
2013-11-19,TA,13,东吴期货,8026,-1146
2013-11-19,TA,14,华泰长城,8019,154
2013-11-19,TA,15,鲁证期货,7636,-11
2013-11-19,TA,16,华安期货,6357,441
2013-11-19,TA,17,国泰君安,6227,240
2013-11-19,TA,18,东海期货,5710,1136
2013-11-19,TA,19,兴证期货,5393,963
2013-11-19,TA,20,华鑫期货,5081,683
2013-11-20,TA,1,银河期货,39886,116
2013-11-20,TA,2,永安期货,34987,2153
2013-11-20,TA,3,浙商期货,16810,-700
2013-11-20,TA,4,光大期货,16740,-216
2013-11-20,TA,5,大越期货,16025,-22
2013-11-20,TA,6,中证期货,13039,-326
2013-11-20,TA,7,申银万国,12548,-203
2013-11-20,TA,8,格林期货,11959,648
2013-11-20,TA,9,中国国际,11428,1054
2013-11-20,TA,10,国联期货,11133,-25
2013-11-20,TA,11,中粮期货,11117,516
2013-11-20,TA,12,深圳金汇,10004,365
2013-11-20,TA,13,东吴期货,8516,490
2013-11-20,TA,14,华泰长城,7984,-35
2013-11-20,TA,15,鲁证期货,7732,96
2013-11-20,TA,16,国泰君安,6741,514
2013-11-20,TA,17,东海期货,6553,843
2013-11-20,TA,18,华安期货,6013,-344
2013-11-20,TA,19,兴证期货,5636,243
2013-11-20,TA,20,华鑫期货,5300,219
2013-11-21,TA,1,银河期货,40504,618
2013-11-21,TA,2,永安期货,33327,-1660
2013-11-21,TA,3,浙商期货,17711,901
2013-11-21,TA,4,大越期货,15995,-30
2013-11-21,TA,5,中证期货,15902,2863
2013-11-21,TA,6,光大期货,15760,-980
2013-11-21,TA,7,格林期货,12299,340
2013-11-21,TA,8,申银万国,12268,-280
2013-11-21,TA,9,中粮期货,10932,-185
2013-11-21,TA,10,国联期货,10757,-376
2013-11-21,TA,11,深圳金汇,10497,493
2013-11-21,TA,12,中国国际,10493,-935
2013-11-21,TA,13,东吴期货,8658,142
2013-11-21,TA,14,华泰长城,7683,-301
2013-11-21,TA,15,鲁证期货,7154,-578
2013-11-21,TA,16,东海期货,6951,398
2013-11-21,TA,17,国泰君安,6737,-4
2013-11-21,TA,18,华安期货,5784,-229
2013-11-21,TA,19,华鑫期货,5734,434
2013-11-21,TA,20,大地期货,5695,820
2013-11-22,TA,1,银河期货,40965,461
2013-11-22,TA,2,永安期货,32634,-693
2013-11-22,TA,3,浙商期货,17963,252
2013-11-22,TA,4,大越期货,16444,449
2013-11-22,TA,5,中证期货,16282,380
2013-11-22,TA,6,光大期货,15229,-531
2013-11-22,TA,7,格林期货,12966,667
2013-11-22,TA,8,申银万国,12389,121
2013-11-22,TA,9,中粮期货,11371,439
2013-11-22,TA,10,国联期货,10931,174
2013-11-22,TA,11,东吴期货,8963,305
2013-11-22,TA,12,中国国际,8525,-1968
2013-11-22,TA,13,深圳金汇,8257,-2240
2013-11-22,TA,14,华泰长城,7966,283
2013-11-22,TA,15,鲁证期货,7100,-54
2013-11-22,TA,16,东海期货,7065,114
2013-11-22,TA,17,华鑫期货,7032,1298
2013-11-22,TA,18,大地期货,6931,1236
2013-11-22,TA,19,国泰君安,6912,175
2013-11-22,TA,20,华安期货,5797,13
2013-11-25,TA,1,银河期货,41477,512
2013-11-25,TA,2,永安期货,31052,-1582
2013-11-25,TA,3,浙商期货,16881,-1082
2013-11-25,TA,4,中证期货,16806,524
2013-11-25,TA,5,光大期货,16177,948
2013-11-25,TA,6,大越期货,15868,-576
2013-11-25,TA,7,申银万国,13700,1311
2013-11-25,TA,8,格林期货,12707,-259
2013-11-25,TA,9,中粮期货,11789,418
2013-11-25,TA,10,国联期货,11763,832
2013-11-25,TA,11,中国国际,10246,1721
2013-11-25,TA,12,华泰长城,9241,1275
2013-11-25,TA,13,东吴期货,8149,-814
2013-11-25,TA,14,华鑫期货,7469,437
2013-11-25,TA,15,鲁证期货,7448,348
2013-11-25,TA,16,深圳金汇,6999,-1258
2013-11-25,TA,17,国泰君安,6274,-638
2013-11-25,TA,18,大地期货,6223,-708
2013-11-25,TA,19,华安期货,6056,259
2013-11-25,TA,20,东海期货,5801,-1264
2013-11-26,TA,1,银河期货,41235,-242
2013-11-26,TA,2,永安期货,30108,-944
2013-11-26,TA,3,光大期货,18309,2132
2013-11-26,TA,4,中证期货,17015,209
2013-11-26,TA,5,浙商期货,16338,-543
2013-11-26,TA,6,大越期货,15577,-291
2013-11-26,TA,7,格林期货,13364,657
2013-11-26,TA,8,中粮期货,13108,1319
2013-11-26,TA,9,国联期货,11945,182
2013-11-26,TA,10,申银万国,10362,-3338
2013-11-26,TA,11,深圳金汇,9211,2212
2013-11-26,TA,12,华泰长城,8415,-826
2013-11-26,TA,13,华鑫期货,7817,348
2013-11-26,TA,14,东吴期货,7753,-396
2013-11-26,TA,15,中国国际,7701,-2545
2013-11-26,TA,16,国泰君安,6913,639
2013-11-26,TA,17,东海期货,6751,950
2013-11-26,TA,18,鲁证期货,6280,-1168
2013-11-26,TA,19,大地期货,6186,-37
2013-11-26,TA,20,兴证期货,5985,2024
2013-11-27,TA,1,银河期货,42123,888
2013-11-27,TA,2,永安期货,29826,-282
2013-11-27,TA,3,光大期货,19264,955
2013-11-27,TA,4,中证期货,16356,-659
2013-11-27,TA,5,浙商期货,16347,9
2013-11-27,TA,6,大越期货,15656,79
2013-11-27,TA,7,格林期货,13464,100
2013-11-27,TA,8,国联期货,12157,212
2013-11-27,TA,9,中粮期货,11407,-1701
2013-11-27,TA,10,申银万国,9724,-638
2013-11-27,TA,11,深圳金汇,8772,-439
2013-11-27,TA,12,华泰长城,8301,-114
2013-11-27,TA,13,东吴期货,7868,115
2013-11-27,TA,14,华鑫期货,7757,-60
2013-11-27,TA,15,国泰君安,7270,357
2013-11-27,TA,16,中国国际,7045,-656
2013-11-27,TA,17,鲁证期货,6736,456
2013-11-27,TA,18,东海期货,6317,-434
2013-11-27,TA,19,大地期货,6226,40
2013-11-27,TA,20,新湖期货,6158,220
2013-11-28,TA,1,银河期货,42186,63
2013-11-28,TA,2,永安期货,29996,170
2013-11-28,TA,3,光大期货,19927,663
2013-11-28,TA,4,中证期货,16317,-39
2013-11-28,TA,5,浙商期货,16241,-106
2013-11-28,TA,6,大越期货,15708,52
2013-11-28,TA,7,格林期货,13006,-458
2013-11-28,TA,8,中粮期货,12502,1095
2013-11-28,TA,9,国联期货,12206,49
2013-11-28,TA,10,深圳金汇,10316,1544
2013-11-28,TA,11,申银万国,9668,-56
2013-11-28,TA,12,华泰长城,8326,25
2013-11-28,TA,13,华鑫期货,7908,151
2013-11-28,TA,14,国泰君安,7898,628
2013-11-28,TA,15,东吴期货,7872,4
2013-11-28,TA,16,东海期货,7448,1131
2013-11-28,TA,17,中国国际,7180,135
2013-11-28,TA,18,大地期货,6857,631
2013-11-28,TA,19,鲁证期货,6636,-100
2013-11-28,TA,20,兴证期货,6488,820
2013-11-29,TA,1,银河期货,42901,715
2013-11-29,TA,2,永安期货,31505,1509
2013-11-29,TA,3,光大期货,22343,2416
2013-11-29,TA,4,浙商期货,16292,51
2013-11-29,TA,5,中证期货,16122,-195
2013-11-29,TA,6,大越期货,15982,274
2013-11-29,TA,7,国联期货,14438,2232
2013-11-29,TA,8,中粮期货,13788,1286
2013-11-29,TA,9,格林期货,13109,103
2013-11-29,TA,10,深圳金汇,12491,2175
2013-11-29,TA,11,申银万国,9407,-261
2013-11-29,TA,12,华鑫期货,8886,978
