trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,V,1,中国国际,3567,-1
2013-11-05,V,2,华安期货,1484,-8
2013-11-05,V,3,乾坤期货,1200,0
2013-11-05,V,4,东兴期货,976,0
2013-11-05,V,5,浙江中大,902,28
2013-11-05,V,6,广州期货,839,4
2013-11-05,V,7,永安期货,708,-10
2013-11-05,V,8,信达期货,580,100
2013-11-05,V,9,东海期货,539,0
2013-11-05,V,10,徽商期货,517,25
2013-11-05,V,11,华泰长城,461,-2
2013-11-05,V,12,申银万国,397,-23
2013-11-05,V,13,银河期货,388,48
2013-11-05,V,14,海通期货,383,-7
2013-11-05,V,15,大有期货,368,126
2013-11-05,V,16,南华期货,363,1
2013-11-05,V,17,一德期货,329,-67
2013-11-05,V,18,金友期货,259,0
2013-11-05,V,19,中衍期货,252,-3
2013-11-05,V,20,大地期货,231,1
2013-11-06,V,1,中国国际,3574,7
2013-11-06,V,2,华安期货,1494,10
2013-11-06,V,3,乾坤期货,1200,0
2013-11-06,V,4,东兴期货,976,0
2013-11-06,V,5,浙江中大,956,54
2013-11-06,V,6,广州期货,843,4
2013-11-06,V,7,永安期货,704,-4
2013-11-06,V,8,东海期货,571,32
2013-11-06,V,9,华泰长城,565,104
2013-11-06,V,10,信达期货,558,40
2013-11-06,V,11,徽商期货,537,20
2013-11-06,V,12,南华期货,515,152
2013-11-06,V,13,海通期货,407,24
2013-11-06,V,14,银河期货,372,-16
2013-11-06,V,15,大有期货,370,2
2013-11-06,V,16,申银万国,338,-59
2013-11-06,V,17,金友期货,271,12
2013-11-06,V,18,中衍期货,260,8
2013-11-06,V,19,一德期货,250,24
2013-11-06,V,20,大地期货,232,1
2013-11-07,V,1,中国国际,3575,1
2013-11-07,V,2,华安期货,1494,0
2013-11-07,V,3,乾坤期货,1200,0
2013-11-07,V,4,东兴期货,976,0
2013-11-07,V,5,浙江中大,892,0
2013-11-07,V,6,广州期货,839,-4
2013-11-07,V,7,信达期货,664,106
2013-11-07,V,8,永安期货,661,-43
2013-11-07,V,9,东海期货,565,-6
2013-11-07,V,10,华泰长城,564,-1
2013-11-07,V,11,徽商期货,552,15
2013-11-07,V,12,南华期货,518,3
2013-11-07,V,13,海通期货,423,16
2013-11-07,V,14,银河期货,386,14
2013-11-07,V,15,大有期货,370,0
2013-11-07,V,16,申银万国,343,5
2013-11-07,V,17,金友期货,261,-10
2013-11-07,V,18,中衍期货,255,-5
2013-11-07,V,19,浙商期货,253,38
