trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,V,1,永安期货,3891,12
2013-11-05,V,2,弘业期货,3249,0
2013-11-05,V,3,中国国际,1801,24
2013-11-05,V,4,大连良运,1404,0
2013-11-05,V,5,浙商期货,1328,286
2013-11-05,V,6,中证期货,1282,-43
2013-11-05,V,7,天风期货,1259,0
2013-11-05,V,8,新湖期货,990,0
2013-11-05,V,9,光大期货,939,-10
2013-11-05,V,10,申银万国,789,0
2013-11-05,V,11,国泰君安,592,0
2013-11-05,V,12,财富期货,458,0
2013-11-05,V,13,华西期货,445,0
2013-11-05,V,14,南华期货,437,0
2013-11-05,V,15,鲁证期货,270,0
2013-11-05,V,16,海通期货,228,-3
2013-11-05,V,17,华安期货,178,0
2013-11-05,V,18,华泰长城,159,0
2013-11-05,V,19,上海金源,141,-1
2013-11-05,V,20,东航期货,133,7
2013-11-06,V,1,永安期货,3787,-104
2013-11-06,V,2,弘业期货,3264,15
2013-11-06,V,3,中国国际,1879,78
2013-11-06,V,4,浙商期货,1592,264
2013-11-06,V,5,大连良运,1404,0
2013-11-06,V,6,中证期货,1292,10
2013-11-06,V,7,天风期货,1259,0
2013-11-06,V,8,光大期货,1055,140
2013-11-06,V,9,新湖期货,988,-2
2013-11-06,V,10,国泰君安,942,350
2013-11-06,V,11,申银万国,795,6
2013-11-06,V,12,财富期货,458,0
2013-11-06,V,13,华西期货,445,0
2013-11-06,V,14,南华期货,439,2
2013-11-06,V,15,鲁证期货,273,3
2013-11-06,V,16,海通期货,230,2
2013-11-06,V,17,华安期货,178,0
2013-11-06,V,18,华泰长城,159,0
2013-11-06,V,19,东航期货,153,20
2013-11-06,V,20,上海金源,141,0
2013-11-07,V,1,永安期货,3761,-26
2013-11-07,V,2,弘业期货,3264,0
2013-11-07,V,3,中国国际,1880,1
2013-11-07,V,4,浙商期货,1813,221
2013-11-07,V,5,大连良运,1404,0
2013-11-07,V,6,中证期货,1292,0
2013-11-07,V,7,天风期货,1259,0
2013-11-07,V,8,新湖期货,1061,73
2013-11-07,V,9,光大期货,1035,-20
2013-11-07,V,10,国泰君安,942,0
2013-11-07,V,11,申银万国,795,0
2013-11-07,V,12,财富期货,458,0
2013-11-07,V,13,南华期货,457,18
2013-11-07,V,14,华西期货,445,0
2013-11-07,V,15,鲁证期货,273,0
2013-11-07,V,16,海通期货,230,0
2013-11-07,V,17,华安期货,178,0
2013-11-07,V,18,宏源期货,149,100
2013-11-07,V,19,上海金源,141,0
2013-11-07,V,20,华泰长城,109,-50
2013-11-08,V,1,弘业期货,4243,979
2013-11-08,V,2,永安期货,3735,-26
2013-11-08,V,3,中国国际,1872,-8
2013-11-08,V,4,浙商期货,1820,7
2013-11-08,V,5,中证期货,1282,-10
2013-11-08,V,6,国泰君安,1154,212
2013-11-08,V,7,新湖期货,1039,-22
2013-11-08,V,8,光大期货,1033,-2
2013-11-08,V,9,大连良运,702,-702
2013-11-08,V,10,天风期货,557,-702
2013-11-08,V,11,财富期货,458,0
2013-11-08,V,12,南华期货,455,-2
2013-11-08,V,13,华西期货,445,0
2013-11-08,V,14,鲁证期货,347,72
2013-11-08,V,15,宏源期货,233,84
2013-11-08,V,16,徽商期货,194,29
2013-11-08,V,17,华安期货,178,0
2013-11-08,V,18,海通期货,157,-73
2013-11-08,V,19,上海金源,141,0
2013-11-08,V,20,华泰长城,109,0
2013-11-11,V,1,弘业期货,4246,3
2013-11-11,V,2,永安期货,3746,11
2013-11-11,V,3,中国国际,1870,-2
2013-11-11,V,4,浙商期货,1820,0
2013-11-11,V,5,中证期货,1280,-2
2013-11-11,V,6,国泰君安,1154,0
2013-11-11,V,7,新湖期货,1079,40
2013-11-11,V,8,光大期货,1033,0
2013-11-11,V,9,大连良运,702,0
2013-11-11,V,10,天风期货,557,0
2013-11-11,V,11,华西期货,545,100
2013-11-11,V,12,财富期货,458,0
2013-11-11,V,13,南华期货,455,0
2013-11-11,V,14,鲁证期货,349,2
2013-11-11,V,15,宏源期货,234,1
2013-11-11,V,16,徽商期货,209,15
2013-11-11,V,17,华安期货,178,0
2013-11-11,V,18,海通期货,149,-8
2013-11-11,V,19,上海金源,141,0
2013-11-11,V,20,华泰长城,109,0
2013-11-12,V,1,弘业期货,4246,0
2013-11-12,V,2,永安期货,3734,-12
2013-11-12,V,3,中国国际,1870,0
2013-11-12,V,4,浙商期货,1821,1
2013-11-12,V,5,中证期货,1276,-4
2013-11-12,V,6,新湖期货,1234,155
2013-11-12,V,7,国泰君安,1152,-2
2013-11-12,V,8,光大期货,1033,0
2013-11-12,V,9,大连良运,702,0
2013-11-12,V,10,天风期货,552,-5
2013-11-12,V,11,华西期货,545,0
2013-11-12,V,12,财富期货,458,0
2013-11-12,V,13,南华期货,455,0
2013-11-12,V,14,鲁证期货,300,-37
2013-11-12,V,15,宏源期货,234,0
2013-11-12,V,16,徽商期货,183,-26
2013-11-12,V,17,华安期货,174,-4
2013-11-12,V,18,上海金源,141,0
2013-11-12,V,19,华泰长城,139,30
2013-11-12,V,20,东航期货,123,-3
2013-11-13,V,1,弘业期货,4258,12
2013-11-13,V,2,永安期货,3729,-5
2013-11-13,V,3,中国国际,1831,-39
2013-11-13,V,4,浙商期货,1822,1
2013-11-13,V,5,中证期货,1355,79
2013-11-13,V,6,新湖期货,1229,-5
2013-11-13,V,7,光大期货,1038,5
2013-11-13,V,8,国泰君安,1002,-150
2013-11-13,V,9,大连良运,702,0
2013-11-13,V,10,天风期货,547,-5
2013-11-13,V,11,华西期货,545,0
2013-11-13,V,12,财富期货,458,0
2013-11-13,V,13,南华期货,448,-7
2013-11-13,V,14,鲁证期货,310,10
2013-11-13,V,15,申银万国,216,84
2013-11-13,V,16,宏源期货,204,-30
2013-11-13,V,17,徽商期货,189,6
2013-11-13,V,18,华安期货,174,0
2013-11-13,V,19,华泰长城,144,5
2013-11-13,V,20,上海金源,141,0
2013-11-14,V,1,弘业期货,4246,-12
2013-11-14,V,2,永安期货,3726,-3
2013-11-14,V,3,浙商期货,1854,32
2013-11-14,V,4,中国国际,1796,161
2013-11-14,V,5,中证期货,1359,4
2013-11-14,V,6,新湖期货,1222,-7
2013-11-14,V,7,光大期货,1123,85
2013-11-14,V,8,国泰君安,1001,-1
2013-11-14,V,9,申银万国,718,502
2013-11-14,V,10,大连良运,702,0
2013-11-14,V,11,华西期货,545,0
2013-11-14,V,12,财富期货,458,0
2013-11-14,V,13,南华期货,444,-4
2013-11-14,V,14,鲁证期货,335,25
2013-11-14,V,15,宏源期货,174,0
2013-11-14,V,16,华泰长城,144,0
2013-11-14,V,17,东航期货,141,13
2013-11-14,V,18,上海金源,120,-21
2013-11-14,V,19,美尔雅期货,113,39
2013-11-14,V,20,海通期货,107,1
2013-11-15,V,1,弘业期货,4259,13
