trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,Y,1,永安期货,42129,-10264
2013-11-05,Y,2,中证期货,28764,-2098
2013-11-05,Y,3,中粮期货,24617,345
2013-11-05,Y,4,南华期货,23754,524
2013-11-05,Y,5,银河期货,21489,-98
2013-11-05,Y,6,东证期货,20095,3144
2013-11-05,Y,7,深圳年年丰,17545,1140
2013-11-05,Y,8,上海中期,17184,-1309
2013-11-05,Y,9,海通期货,16941,303
2013-11-05,Y,10,万达期货,15952,-1378
2013-11-05,Y,11,中国国际,12410,301
2013-11-05,Y,12,国投期货,11792,-1153
2013-11-05,Y,13,申银万国,10253,-4604
2013-11-05,Y,14,浙商期货,9946,73
2013-11-05,Y,15,广发期货,9864,-408
2013-11-05,Y,16,新湖期货,8922,-1335
2013-11-05,Y,17,红塔期货,8906,40
2013-11-05,Y,18,瑞达期货,8176,661
2013-11-05,Y,19,美尔雅期货,7562,210
2013-11-05,Y,20,宏源期货,6933,126
2013-11-06,Y,1,永安期货,39637,-2492
2013-11-06,Y,2,中证期货,25872,-2892
2013-11-06,Y,3,中粮期货,25276,659
2013-11-06,Y,4,南华期货,22001,-1753
2013-11-06,Y,5,东证期货,21853,1758
2013-11-06,Y,6,银河期货,20791,-1398
2013-11-06,Y,7,深圳年年丰,17825,280
2013-11-06,Y,8,万达期货,17419,1467
2013-11-06,Y,9,上海中期,17093,-91
2013-11-06,Y,10,国投期货,16929,-609
2013-11-06,Y,11,中国国际,12780,370
2013-11-06,Y,12,海通期货,11451,-3061
2013-11-06,Y,13,申银万国,11102,849
2013-11-06,Y,14,浙商期货,9978,32
2013-11-06,Y,15,瑞达期货,9946,1770
2013-11-06,Y,16,新湖期货,9198,276
2013-11-06,Y,17,红塔期货,8776,-130
2013-11-06,Y,18,华泰长城,8577,934
2013-11-06,Y,19,美尔雅期货,7478,-84
2013-11-06,Y,20,宏源期货,6547,-386
2013-11-07,Y,1,永安期货,39783,146
2013-11-07,Y,2,中证期货,26360,488
2013-11-07,Y,3,东证期货,23652,1799
2013-11-07,Y,4,中粮期货,23043,-2233
2013-11-07,Y,5,南华期货,22458,457
2013-11-07,Y,6,银河期货,20076,-715
2013-11-07,Y,7,深圳年年丰,18105,280
2013-11-07,Y,8,上海中期,17914,821
2013-11-07,Y,9,万达期货,16442,-977
2013-11-07,Y,10,海通期货,12903,1452
2013-11-07,Y,11,中国国际,12218,-562
2013-11-07,Y,12,国投期货,10716,0
2013-11-07,Y,13,申银万国,9823,-1279
2013-11-07,Y,14,浙商期货,9724,-254
2013-11-07,Y,15,新湖期货,9324,126
2013-11-07,Y,16,红塔期货,8796,20
2013-11-07,Y,17,华泰长城,8358,-219
2013-11-07,Y,18,光大期货,8157,1208
2013-11-07,Y,19,弘业期货,7861,-115
2013-11-07,Y,20,美尔雅期货,7444,-34
2013-11-08,Y,1,永安期货,32208,-7574
2013-11-08,Y,2,中证期货,24656,-1704
2013-11-08,Y,3,南华期货,24138,1680
2013-11-08,Y,4,银河期货,21292,1216
2013-11-08,Y,5,中粮期货,20800,-2243
2013-11-08,Y,6,东证期货,20339,-3313
2013-11-08,Y,7,深圳年年丰,18852,747
2013-11-08,Y,8,上海中期,18062,148
2013-11-08,Y,9,万达期货,17114,672
2013-11-08,Y,10,中国国际,13200,982
2013-11-08,Y,11,格林期货,11672,491
2013-11-08,Y,12,海通期货,10064,-3578
2013-11-08,Y,13,申银万国,9792,-31
2013-11-08,Y,14,浙商期货,9703,-21
2013-11-08,Y,15,新湖期货,9588,264
2013-11-08,Y,16,瑞达期货,9343,836
2013-11-08,Y,17,国投期货,8809,-1907
2013-11-08,Y,18,红塔期货,8713,-83
2013-11-08,Y,19,弘业期货,8160,299
2013-11-08,Y,20,华泰长城,7852,-506
2013-11-11,Y,1,永安期货,34965,2757
2013-11-11,Y,2,中证期货,24214,-442
2013-11-11,Y,3,南华期货,24112,-26
2013-11-11,Y,4,中粮期货,21711,911
2013-11-11,Y,5,银河期货,20120,-1172
2013-11-11,Y,6,深圳年年丰,19696,844
2013-11-11,Y,7,东证期货,19327,-1012
2013-11-11,Y,8,万达期货,16734,-380
2013-11-11,Y,9,上海中期,14230,-3832
2013-11-11,Y,10,中国国际,12797,-403
2013-11-11,Y,11,格林期货,12211,539
2013-11-11,Y,12,瑞达期货,10166,823
2013-11-11,Y,13,新湖期货,10055,467
2013-11-11,Y,14,海通期货,9775,-289
2013-11-11,Y,15,浙商期货,9515,-188
2013-11-11,Y,16,红塔期货,8694,-19
2013-11-11,Y,17,华泰长城,8513,661
2013-11-11,Y,18,弘业期货,8422,262
2013-11-11,Y,19,申银万国,8115,-691
2013-11-11,Y,20,光大期货,7006,88
2013-11-12,Y,1,永安期货,37131,2166
2013-11-12,Y,2,中证期货,25902,1688
2013-11-12,Y,3,南华期货,22787,-1325
2013-11-12,Y,4,银河期货,19912,-208
2013-11-12,Y,5,深圳年年丰,19356,-340
2013-11-12,Y,6,东证期货,18742,-585
2013-11-12,Y,7,万达期货,17561,827
2013-11-12,Y,8,中粮期货,15723,-5988
2013-11-12,Y,9,上海中期,13721,-509
2013-11-12,Y,10,中国国际,12506,-291
2013-11-12,Y,11,格林期货,11772,-439
2013-11-12,Y,12,新湖期货,10768,713
2013-11-12,Y,13,海通期货,9281,-494
2013-11-12,Y,14,华泰长城,8968,455
