trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,Y,1,中粮期货,87901,-46
2013-11-05,Y,2,国投期货,61200,95
2013-11-05,Y,3,万达期货,55387,-4725
2013-11-05,Y,4,信达期货,28325,-240
2013-11-05,Y,5,永安期货,26836,-1006
2013-11-05,Y,6,中粮集团,19000,0
2013-11-05,Y,7,格林期货,18560,850
2013-11-05,Y,8,新湖期货,18142,-225
2013-11-05,Y,9,光大期货,17992,-2043
2013-11-05,Y,10,弘业期货,17261,-382
2013-11-05,Y,11,中国国际,17093,-258
2013-11-05,Y,12,中证期货,16537,-1911
2013-11-05,Y,13,浙商期货,15891,-543
2013-11-05,Y,14,摩根大通,15861,-200
2013-11-05,Y,15,中信新际,15097,-30
2013-11-05,Y,16,北京首创,11004,3758
2013-11-05,Y,17,徽商期货,10861,-626
2013-11-05,Y,18,东证期货,10037,1082
2013-11-05,Y,19,鲁证期货,7795,-26
2013-11-05,Y,20,银河期货,6772,-316
2013-11-06,Y,1,中粮期货,88447,546
2013-11-06,Y,2,国投期货,61043,-157
2013-11-06,Y,3,万达期货,56156,769
2013-11-06,Y,4,永安期货,31392,4556
2013-11-06,Y,5,信达期货,28112,-213
2013-11-06,Y,6,光大期货,19409,1417
2013-11-06,Y,7,中粮集团,19000,0
2013-11-06,Y,8,新湖期货,17935,-207
2013-11-06,Y,9,中国国际,17137,44
2013-11-06,Y,10,弘业期货,16982,-279
2013-11-06,Y,11,格林期货,16518,-2042
2013-11-06,Y,12,摩根大通,16337,476
2013-11-06,Y,13,浙商期货,15541,-350
2013-11-06,Y,14,中证期货,15327,-1210
2013-11-06,Y,15,中信新际,15128,31
2013-11-06,Y,16,徽商期货,11102,241
2013-11-06,Y,17,东证期货,8899,-1138
2013-11-06,Y,18,鲁证期货,8024,229
2013-11-06,Y,19,北京首创,7162,-3842
2013-11-06,Y,20,银河期货,6412,-406
2013-11-07,Y,1,中粮期货,88019,-428
2013-11-07,Y,2,国投期货,60707,-336
2013-11-07,Y,3,万达期货,54697,-1459
2013-11-07,Y,4,永安期货,31236,-156
2013-11-07,Y,5,信达期货,27963,-149
2013-11-07,Y,6,光大期货,20312,903
2013-11-07,Y,7,中粮集团,19000,0
2013-11-07,Y,8,格林期货,18392,1874
2013-11-07,Y,9,新湖期货,18346,656
2013-11-07,Y,10,弘业期货,16878,-104
2013-11-07,Y,11,中国国际,15652,-1485
2013-11-07,Y,12,浙商期货,15361,-180
2013-11-07,Y,13,中信新际,15184,56
2013-11-07,Y,14,中证期货,14915,-412
2013-11-07,Y,15,摩根大通,14337,-2000
2013-11-07,Y,16,徽商期货,11155,53
2013-11-07,Y,17,东证期货,9498,599
2013-11-07,Y,18,鲁证期货,8557,533
2013-11-07,Y,19,北京首创,7292,130
2013-11-07,Y,20,银河期货,7046,634
2013-11-08,Y,1,中粮期货,85819,-2200
2013-11-08,Y,2,国投期货,57385,-3322
2013-11-08,Y,3,万达期货,55780,1083
2013-11-08,Y,4,信达期货,28050,87
2013-11-08,Y,5,永安期货,26452,-4784
2013-11-08,Y,6,光大期货,24595,4283
2013-11-08,Y,7,中粮集团,19000,0
2013-11-08,Y,8,新湖期货,18967,372
2013-11-08,Y,9,格林期货,17988,-404
2013-11-08,Y,10,弘业期货,16276,-602
2013-11-08,Y,11,中信新际,15168,-16
2013-11-08,Y,12,摩根大通,14649,312
2013-11-08,Y,13,中国国际,14109,545
2013-11-08,Y,14,中证期货,12122,-2793
2013-11-08,Y,15,浙商期货,11913,-717
2013-11-08,Y,16,徽商期货,10860,-295
2013-11-08,Y,17,北京首创,8986,-122
2013-11-08,Y,18,银河期货,7713,667
2013-11-08,Y,19,广发期货,7182,752
2013-11-08,Y,20,东证期货,6407,86
2013-11-11,Y,1,中粮期货,88093,2274
2013-11-11,Y,2,国投期货,58525,1140
2013-11-11,Y,3,万达期货,51808,-3972
2013-11-11,Y,4,信达期货,27530,-520
2013-11-11,Y,5,光大期货,25330,735
2013-11-11,Y,6,永安期货,24517,-1935
2013-11-11,Y,7,中粮集团,19000,0
2013-11-11,Y,8,格林期货,18414,426
2013-11-11,Y,9,新湖期货,17566,-1152
2013-11-11,Y,10,摩根大通,15649,1000
2013-11-11,Y,11,中信新际,15204,36
2013-11-11,Y,12,中国国际,14020,-89
2013-11-11,Y,13,中证期货,13643,3273
2013-11-11,Y,14,弘业期货,12126,-4150
2013-11-11,Y,15,浙商期货,12067,154
2013-11-11,Y,16,徽商期货,10759,-101
2013-11-11,Y,17,北京首创,9028,42
2013-11-11,Y,18,银河期货,8445,732
2013-11-11,Y,19,广发期货,7175,-7
2013-11-11,Y,20,鲁证期货,5436,-228
2013-11-12,Y,1,中粮期货,91659,3566
2013-11-12,Y,2,国投期货,58231,-294
2013-11-12,Y,3,万达期货,51425,-383
2013-11-12,Y,4,信达期货,27406,-124
2013-11-12,Y,5,光大期货,25597,267
2013-11-12,Y,6,永安期货,24622,105
2013-11-12,Y,7,摩根大通,19050,3401
2013-11-12,Y,8,中粮集团,19000,0
2013-11-12,Y,9,新湖期货,17685,119
2013-11-12,Y,10,格林期货,17256,-1158
2013-11-12,Y,11,中信新际,15237,33
2013-11-12,Y,12,中国国际,15130,1110
2013-11-12,Y,13,中证期货,14051,408
2013-11-12,Y,14,浙商期货,13823,1756
2013-11-12,Y,15,徽商期货,10935,176
2013-11-12,Y,16,弘业期货,10501,-1625
2013-11-12,Y,17,银河期货,8968,523
2013-11-12,Y,18,北京首创,8510,-518
2013-11-12,Y,19,广发期货,7350,175
2013-11-12,Y,20,东证期货,5523,807
2013-11-13,Y,1,中粮期货,88091,-3568
2013-11-13,Y,2,国投期货,56090,-2141
2013-11-13,Y,3,万达期货,49886,-1539
2013-11-13,Y,4,光大期货,28022,2425
2013-11-13,Y,5,信达期货,27441,35
2013-11-13,Y,6,永安期货,23642,-980
2013-11-13,Y,7,摩根大通,19650,600
2013-11-13,Y,8,中粮集团,19000,0
2013-11-13,Y,9,格林期货,18373,1117
2013-11-13,Y,10,新湖期货,17277,-408
2013-11-13,Y,11,中信新际,15231,-6
2013-11-13,Y,12,中国国际,14406,-2263
2013-11-13,Y,13,浙商期货,14117,294
2013-11-13,Y,14,徽商期货,10944,9
2013-11-13,Y,15,中证期货,10538,-3513
2013-11-13,Y,16,弘业期货,10135,-366
2013-11-13,Y,17,鲁证期货,8891,204
2013-11-13,Y,18,北京首创,8140,-370
2013-11-13,Y,19,广发期货,7627,277
2013-11-13,Y,20,银河期货,6923,-1342
2013-11-14,Y,1,中粮期货,92228,4137
2013-11-14,Y,2,国投期货,58884,2794
2013-11-14,Y,3,万达期货,51646,1760
2013-11-14,Y,4,光大期货,27855,-167
2013-11-14,Y,5,信达期货,27352,-89
2013-11-14,Y,6,永安期货,23077,-565
2013-11-14,Y,7,摩根大通,21641,1991
2013-11-14,Y,8,格林期货,19670,1297
2013-11-14,Y,9,中粮集团,19000,0
2013-11-14,Y,10,新湖期货,18737,1460
2013-11-14,Y,11,浙商期货,15603,339
2013-11-14,Y,12,中信新际,15230,-1
2013-11-14,Y,13,中国国际,14753,347
2013-11-14,Y,14,徽商期货,11328,384
2013-11-14,Y,15,弘业期货,9968,-167
2013-11-14,Y,16,鲁证期货,9536,645
2013-11-14,Y,17,中证期货,8941,-1597
2013-11-14,Y,18,广发期货,7903,276
2013-11-14,Y,19,北京首创,7738,-11
2013-11-14,Y,20,银河期货,7037,114
2013-11-15,Y,1,中粮期货,88920,-3308
2013-11-15,Y,2,国投期货,54476,-4408
2013-11-15,Y,3,万达期货,52728,1082
2013-11-15,Y,4,信达期货,27481,129
2013-11-15,Y,5,光大期货,26444,-1411
2013-11-15,Y,6,摩根大通,23141,1500
2013-11-15,Y,7,永安期货,20236,-2841
2013-11-15,Y,8,格林期货,19688,18
2013-11-15,Y,9,中粮集团,19000,0
2013-11-15,Y,10,新湖期货,15560,4980
2013-11-15,Y,11,中信新际,15290,60
2013-11-15,Y,12,浙商期货,13339,-2264
2013-11-15,Y,13,中国国际,12665,-2088
2013-11-15,Y,14,徽商期货,10815,-513
2013-11-15,Y,15,鲁证期货,10048,512
2013-11-15,Y,16,中证期货,10012,1071
2013-11-15,Y,17,弘业期货,9404,-564
2013-11-15,Y,18,广发期货,7795,-108
2013-11-15,Y,19,北京首创,7219,-519
2013-11-15,Y,20,银河期货,6446,-591
2013-11-18,Y,1,中粮期货,95769,6849
2013-11-18,Y,2,万达期货,59204,6476
2013-11-18,Y,3,国投期货,54293,-183
2013-11-18,Y,4,信达期货,27459,-22
2013-11-18,Y,5,光大期货,26087,-357
2013-11-18,Y,6,永安期货,23017,2781
2013-11-18,Y,7,格林期货,21442,636
2013-11-18,Y,8,摩根大通,20219,-2410
2013-11-18,Y,9,中粮集团,19000,0
2013-11-18,Y,10,新湖期货,15405,-155
2013-11-18,Y,11,中信新际,15199,-91
2013-11-18,Y,12,浙商期货,13485,146
2013-11-18,Y,13,中国国际,12079,-586
2013-11-18,Y,14,中证期货,11203,1191
2013-11-18,Y,15,徽商期货,11000,185
2013-11-18,Y,16,弘业期货,9256,-148
2013-11-18,Y,17,鲁证期货,8953,-1095
2013-11-18,Y,18,广发期货,7921,126
2013-11-18,Y,19,北京首创,7699,480
2013-11-18,Y,20,银河期货,5958,-488
2013-11-19,Y,1,中粮期货,96120,351
2013-11-19,Y,2,万达期货,58728,-476
2013-11-19,Y,3,国投期货,54239,-54
2013-11-19,Y,4,信达期货,27091,-368
2013-11-19,Y,5,光大期货,26841,754
2013-11-19,Y,6,永安期货,24139,1122
2013-11-19,Y,7,摩根大通,21998,1779
2013-11-19,Y,8,格林期货,21301,-141
2013-11-19,Y,9,中粮集团,19000,0
2013-11-19,Y,10,中信新际,15130,-69
2013-11-19,Y,11,新湖期货,14672,-733
2013-11-19,Y,12,浙商期货,12646,469
2013-11-19,Y,13,中国国际,11957,-122
2013-11-19,Y,14,中证期货,11117,-86
2013-11-19,Y,15,徽商期货,10970,-30
2013-11-19,Y,16,鲁证期货,9098,145
2013-11-19,Y,17,弘业期货,9039,-217
2013-11-19,Y,18,广发期货,7530,-391
2013-11-19,Y,19,北京首创,7409,-290
2013-11-19,Y,20,国都期货,7000,2000
2013-11-20,Y,1,中粮期货,90218,-5902
2013-11-20,Y,2,万达期货,63287,4559
2013-11-20,Y,3,国投期货,54585,346
2013-11-20,Y,4,信达期货,27115,24
2013-11-20,Y,5,光大期货,26461,-380
2013-11-20,Y,6,永安期货,25399,1260
2013-11-20,Y,7,摩根大通,22829,831
2013-11-20,Y,8,格林期货,21423,122
2013-11-20,Y,9,中粮集团,19000,0
2013-11-20,Y,10,新湖期货,15248,-368
2013-11-20,Y,11,中信新际,15146,16
2013-11-20,Y,12,浙商期货,12906,260
2013-11-20,Y,13,中国国际,11991,34
2013-11-20,Y,14,徽商期货,11037,67
2013-11-20,Y,15,国都期货,9011,2011
2013-11-20,Y,16,弘业期货,8395,945
2013-11-20,Y,17,中证期货,8385,-2732
2013-11-20,Y,18,银河期货,7491,1800
2013-11-20,Y,19,北京首创,7459,50
2013-11-20,Y,20,广发期货,7278,-252
2013-11-21,Y,1,中粮期货,89710,-508
2013-11-21,Y,2,万达期货,62439,-848
2013-11-21,Y,3,国投期货,56368,1783
2013-11-21,Y,4,信达期货,31153,4038
2013-11-21,Y,5,光大期货,27166,713
2013-11-21,Y,6,永安期货,25148,-251
2013-11-21,Y,7,摩根大通,22829,0
2013-11-21,Y,8,格林期货,22782,1359
2013-11-21,Y,9,中粮集团,19000,0
2013-11-21,Y,10,新湖期货,17041,1663
2013-11-21,Y,11,中信新际,15185,39
2013-11-21,Y,12,浙商期货,12854,-52
2013-11-21,Y,13,中国国际,12809,818
2013-11-21,Y,14,徽商期货,11416,379
2013-11-21,Y,15,银河期货,9860,2369
2013-11-21,Y,16,国都期货,9011,0
2013-11-21,Y,17,南证期货,8791,455
2013-11-21,Y,18,弘业期货,8549,154
2013-11-21,Y,19,北京首创,8066,607
2013-11-21,Y,20,广发期货,7233,-45
2013-11-22,Y,1,中粮期货,89062,-648
2013-11-22,Y,2,国投期货,63632,7264
2013-11-22,Y,3,万达期货,61748,-691
2013-11-22,Y,4,信达期货,31154,1
2013-11-22,Y,5,永安期货,29986,4838
2013-11-22,Y,6,光大期货,25935,-1231
2013-11-22,Y,7,格林期货,22729,-53
2013-11-22,Y,8,摩根大通,22329,-500
2013-11-22,Y,9,中粮集团,19000,0
2013-11-22,Y,10,新湖期货,17980,939
2013-11-22,Y,11,中信新际,15163,-22
2013-11-22,Y,12,浙商期货,13302,66
2013-11-22,Y,13,中国国际,13037,228
2013-11-22,Y,14,徽商期货,11398,-18
2013-11-22,Y,15,银河期货,10060,200
2013-11-22,Y,16,国都期货,9019,8
2013-11-22,Y,17,南证期货,8711,-79
2013-11-22,Y,18,弘业期货,8673,124
2013-11-22,Y,19,北京首创,8003,-63
2013-11-22,Y,20,广发期货,6898,-335
2013-11-25,Y,1,中粮期货,87435,-1627
2013-11-25,Y,2,国投期货,63859,227
2013-11-25,Y,3,万达期货,61164,-584
2013-11-25,Y,4,信达期货,30979,-175
2013-11-25,Y,5,永安期货,30398,412
2013-11-25,Y,6,光大期货,27185,1250
2013-11-25,Y,7,格林期货,23058,329
2013-11-25,Y,8,摩根大通,22829,500
2013-11-25,Y,9,中粮集团,19000,0
2013-11-25,Y,10,新湖期货,17952,-28
2013-11-25,Y,11,中信新际,15198,35
2013-11-25,Y,12,中国国际,12278,-759
2013-11-25,Y,13,浙商期货,11734,-1568
2013-11-25,Y,14,徽商期货,11314,-84
2013-11-25,Y,15,银河期货,10768,708
2013-11-25,Y,16,弘业期货,10682,2009
2013-11-25,Y,17,国都期货,9041,22
2013-11-25,Y,18,中证期货,8753,530
2013-11-25,Y,19,北京首创,7812,-191
2013-11-25,Y,20,广发期货,7287,389
2013-11-26,Y,1,中粮期货,83513,-3922
2013-11-26,Y,2,国投期货,63060,-799
2013-11-26,Y,3,万达期货,59605,-1559
2013-11-26,Y,4,信达期货,31001,22
2013-11-26,Y,5,光大期货,28741,1556
2013-11-26,Y,6,永安期货,28306,-2092
2013-11-26,Y,7,格林期货,23118,60
2013-11-26,Y,8,摩根大通,22829,0
2013-11-26,Y,9,中粮集团,19000,0
2013-11-26,Y,10,新湖期货,18096,144
2013-11-26,Y,11,中信新际,17093,1895
2013-11-26,Y,12,徽商期货,13216,1902
2013-11-26,Y,13,中国国际,11528,-750
2013-11-26,Y,14,浙商期货,11073,-661
2013-11-26,Y,15,北京首创,11050,3238
2013-11-26,Y,16,弘业期货,9627,-1055
2013-11-26,Y,17,国都期货,9063,22
2013-11-26,Y,18,南证期货,8641,-254
2013-11-26,Y,19,银河期货,8223,-2545
2013-11-26,Y,20,广发期货,7964,677
2013-11-27,Y,1,中粮期货,84383,870
2013-11-27,Y,2,国投期货,63194,134
2013-11-27,Y,3,万达期货,59097,-508
2013-11-27,Y,4,信达期货,30768,-233
2013-11-27,Y,5,永安期货,29961,1655
2013-11-27,Y,6,光大期货,28398,-343
2013-11-27,Y,7,格林期货,23124,6
2013-11-27,Y,8,摩根大通,22829,0
2013-11-27,Y,9,中粮集团,19000,0
2013-11-27,Y,10,新湖期货,18053,-43
2013-11-27,Y,11,中信新际,17104,11
2013-11-27,Y,12,徽商期货,13189,-27
2013-11-27,Y,13,北京首创,11559,509
2013-11-27,Y,14,浙商期货,11206,133
2013-11-27,Y,15,中国国际,10378,-439
2013-11-27,Y,16,弘业期货,9555,-72
2013-11-27,Y,17,国都期货,9063,0
2013-11-27,Y,18,中证期货,8645,851
2013-11-27,Y,19,银河期货,8295,72
2013-11-27,Y,20,广发期货,6905,-1059
2013-11-28,Y,1,中粮期货,79486,-4897
2013-11-28,Y,2,国投期货,62139,-1055
2013-11-28,Y,3,万达期货,57929,-1168
2013-11-28,Y,4,信达期货,30647,-121
2013-11-28,Y,5,永安期货,30388,427
2013-11-28,Y,6,光大期货,28520,122
2013-11-28,Y,7,摩根大通,23429,600
2013-11-28,Y,8,格林期货,22976,-148
2013-11-28,Y,9,中粮集团,19000,0
2013-11-28,Y,10,中信新际,17081,-23
2013-11-28,Y,11,新湖期货,16927,-1126
2013-11-28,Y,12,徽商期货,13063,-126
2013-11-28,Y,13,北京首创,11803,244
2013-11-28,Y,14,浙商期货,11798,592
2013-11-28,Y,15,中国国际,10300,-78
2013-11-28,Y,16,弘业期货,9676,121
2013-11-28,Y,17,国都期货,9063,0
2013-11-28,Y,18,银河期货,8795,500
2013-11-28,Y,19,广发期货,8495,1590
2013-11-28,Y,20,中证期货,8457,-188
2013-11-29,Y,1,中粮期货,83418,3932
2013-11-29,Y,2,国投期货,66394,4255
2013-11-29,Y,3,万达期货,57628,-301
2013-11-29,Y,4,永安期货,32021,1633
2013-11-29,Y,5,信达期货,30903,256
2013-11-29,Y,6,光大期货,29123,603
2013-11-29,Y,7,摩根大通,24929,1500
