trading_date,commodity_id,rank,member_name,volume,volume_change
2015-05-18,ZC,1,广发期货,15,15
2015-05-18,ZC,2,瑞达期货,7,7
2015-05-18,ZC,3,国联期货,3,3
2015-05-18,ZC,4,先融期货,3,3
2015-05-18,ZC,5,弘业期货,2,2
2015-05-18,ZC,6,上海中财,1,1
2015-05-18,ZC,7,方正中期,1,1
2015-05-18,ZC,8,美尔雅,1,1
2015-05-18,ZC,9,安信期货,1,1
2015-05-18,ZC,10,国泰君安,1,1
2015-05-18,ZC,11,广州期货,1,1
2015-05-18,ZC,12,新湖期货,1,1
2015-05-18,ZC,13,兴证期货,1,1
2015-05-18,ZC,14,新纪元期货,0,0
2015-05-18,ZC,15,华泰长城,0,0
2015-05-18,ZC,16,银河期货,0,0
2015-05-18,ZC,17,中信期货,0,0
2015-05-18,ZC,18,长江期货,0,0
2015-05-18,ZC,19,海通期货,0,0
2015-05-18,ZC,20,浙商期货,0,0
2015-05-19,ZC,1,广发期货,20,5
2015-05-19,ZC,2,瑞达期货,7,0
2015-05-19,ZC,3,国联期货,3,0
2015-05-19,ZC,4,先融期货,3,0
2015-05-19,ZC,5,上海中财,1,0
2015-05-19,ZC,6,弘业期货,1,-1
2015-05-19,ZC,7,美尔雅,1,0
2015-05-19,ZC,8,安信期货,1,0
2015-05-19,ZC,9,文峰期货,1,1
2015-05-19,ZC,10,国泰君安,1,0
2015-05-19,ZC,11,广州期货,1,0
2015-05-19,ZC,12,新湖期货,1,0
2015-05-19,ZC,13,兴证期货,1,0
2015-05-19,ZC,14,新纪元期货,0,0
2015-05-19,ZC,15,方正中期,0,-1
2015-05-19,ZC,16,银河期货,0,0
2015-05-19,ZC,17,中信期货,0,0
2015-05-19,ZC,18,华鑫期货,0,0
2015-05-19,ZC,19,永安期货,0,0
2015-05-19,ZC,20,南华期货,0,0
2015-05-20,ZC,1,广发期货,21,1
2015-05-20,ZC,2,瑞达期货,7,0
2015-05-20,ZC,3,国联期货,3,0
2015-05-20,ZC,4,先融期货,3,0
2015-05-20,ZC,5,上海中财,1,0
2015-05-20,ZC,6,弘业期货,1,0
2015-05-20,ZC,7,美尔雅,1,0
2015-05-20,ZC,8,安信期货,1,0
2015-05-20,ZC,9,国泰君安,1,0
2015-05-20,ZC,10,广州期货,1,0
2015-05-20,ZC,11,新湖期货,1,0
2015-05-20,ZC,12,兴证期货,1,0
2015-05-20,ZC,13,新纪元期货,0,0
2015-05-20,ZC,14,徽商期货,0,0
2015-05-20,ZC,15,银河期货,0,0
2015-05-20,ZC,16,中信期货,0,0
2015-05-20,ZC,17,文峰期货,0,-1
2015-05-20,ZC,18,华鑫期货,0,0
2015-05-20,ZC,19,永安期货,0,0
2015-05-20,ZC,20,南华期货,0,0
2015-05-21,ZC,1,广发期货,19,-2
2015-05-21,ZC,2,先融期货,10,7
2015-05-21,ZC,3,南证期货,9,9
2015-05-21,ZC,4,瑞达期货,7,0
2015-05-21,ZC,5,永安期货,6,6
2015-05-21,ZC,6,国联期货,3,0
2015-05-21,ZC,7,上海大陆,1,1
2015-05-21,ZC,8,宝城期货,1,1
2015-05-21,ZC,9,安信期货,1,0
2015-05-21,ZC,10,中信建投,1,1
2015-05-21,ZC,11,国泰君安,1,0
2015-05-21,ZC,12,新湖期货,1,0
2015-05-21,ZC,13,兴证期货,1,0
2015-05-21,ZC,14,新纪元期货,0,0
2015-05-21,ZC,15,上海中财,0,-1
2015-05-21,ZC,16,弘业期货,0,-1
2015-05-21,ZC,17,银河期货,0,0
2015-05-21,ZC,18,中信期货,0,0
2015-05-21,ZC,19,东方汇金期货,0,0
2015-05-21,ZC,20,美尔雅,0,-1
2015-05-22,ZC,1,广发期货,21,2
2015-05-22,ZC,2,南证期货,18,9
2015-05-22,ZC,3,先融期货,10,0
2015-05-22,ZC,4,永安期货,8,2
2015-05-22,ZC,5,瑞达期货,7,0
2015-05-22,ZC,6,东证期货,6,6
2015-05-22,ZC,7,华泰长城,1,1
2015-05-22,ZC,8,上海大陆,1,0
2015-05-22,ZC,9,宝城期货,1,0
2015-05-22,ZC,10,中信建投,1,0
2015-05-22,ZC,11,国泰君安,1,0
2015-05-22,ZC,12,新湖期货,1,0
2015-05-22,ZC,13,兴证期货,1,0
2015-05-22,ZC,14,新纪元期货,0,0
2015-05-22,ZC,15,弘业期货,0,0
2015-05-22,ZC,16,银河期货,0,0
2015-05-22,ZC,17,中信期货,0,0
2015-05-22,ZC,18,金友期货,0,0
2015-05-22,ZC,19,安信期货,0,-1
2015-05-22,ZC,20,国联期货,0,-3
2015-05-25,ZC,1,广发期货,20,-1
2015-05-25,ZC,2,南证期货,18,0
2015-05-25,ZC,3,先融期货,10,0
2015-05-25,ZC,4,永安期货,8,0
2015-05-25,ZC,5,瑞达期货,7,0
2015-05-25,ZC,6,东证期货,6,0
2015-05-25,ZC,7,华泰长城,2,1
2015-05-25,ZC,8,上海大陆,1,0
2015-05-25,ZC,9,宝城期货,1,0
2015-05-25,ZC,10,中信建投,1,0
2015-05-25,ZC,11,国泰君安,1,0
2015-05-25,ZC,12,新湖期货,1,0
2015-05-25,ZC,13,兴证期货,1,0
2015-05-25,ZC,14,新纪元期货,0,0
2015-05-25,ZC,15,银河期货,0,0
2015-05-25,ZC,16,中信期货,0,0
2015-05-25,ZC,17,金友期货,0,0
2015-05-25,ZC,18,华鑫期货,0,0
2015-05-25,ZC,19,南华期货,0,0
