trading_date,commodity_id,rank,member_name,volume,volume_change
2015-05-18,ZC,1,永安期货,18,18
2015-05-18,ZC,2,中信期货,16,16
2015-05-18,ZC,3,新纪元期货,2,2
2015-05-18,ZC,4,银河期货,2,2
2015-05-18,ZC,5,华泰长城,0,0
2015-05-18,ZC,6,上海中财,0,0
2015-05-18,ZC,7,弘业期货,0,0
2015-05-18,ZC,8,方正中期,0,0
2015-05-18,ZC,9,长江期货,0,0
2015-05-18,ZC,10,海通期货,0,0
2015-05-18,ZC,11,美尔雅,0,0
2015-05-18,ZC,12,浙商期货,0,0
2015-05-18,ZC,13,瑞达期货,0,0
2015-05-18,ZC,14,安信期货,0,0
2015-05-18,ZC,15,广发期货,0,0
2015-05-18,ZC,16,国联期货,0,0
2015-05-18,ZC,17,上海中期,0,0
2015-05-18,ZC,18,国泰君安,0,0
2015-05-18,ZC,19,先融期货,0,0
2015-05-18,ZC,20,广州期货,0,0
2015-05-19,ZC,1,永安期货,18,0
2015-05-19,ZC,2,中信期货,16,0
2015-05-19,ZC,3,新纪元期货,2,0
2015-05-19,ZC,4,银河期货,2,0
2015-05-19,ZC,5,南华期货,2,2
2015-05-19,ZC,6,广发期货,1,1
2015-05-19,ZC,7,华鑫期货,1,1
2015-05-19,ZC,8,上海中财,0,0
2015-05-19,ZC,9,弘业期货,0,0
2015-05-19,ZC,10,方正中期,0,0
2015-05-19,ZC,11,美尔雅,0,0
2015-05-19,ZC,12,瑞达期货,0,0
2015-05-19,ZC,13,安信期货,0,0
2015-05-19,ZC,14,国联期货,0,0
2015-05-19,ZC,15,文峰期货,0,0
2015-05-19,ZC,16,国泰君安,0,0
2015-05-19,ZC,17,先融期货,0,0
2015-05-19,ZC,18,广州期货,0,0
2015-05-19,ZC,19,新湖期货,0,0
2015-05-19,ZC,20,兴证期货,0,0
2015-05-20,ZC,1,永安期货,18,0
2015-05-20,ZC,2,中信期货,16,0
2015-05-20,ZC,3,新纪元期货,2,0
2015-05-20,ZC,4,银河期货,2,0
2015-05-20,ZC,5,广发期货,2,1
2015-05-20,ZC,6,南华期货,2,0
2015-05-20,ZC,7,上海中财,0,0
2015-05-20,ZC,8,弘业期货,0,0
