trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,ZN,1,上海中期,5956,-334
2013-11-05,ZN,2,中国国际,4648,-98
2013-11-05,ZN,3,永安期货,4293,1
2013-11-05,ZN,4,银河期货,4103,98
2013-11-05,ZN,5,中粮期货,3485,-15
2013-11-05,ZN,6,中辉期货,2945,0
2013-11-05,ZN,7,迈科期货,2931,62
2013-11-05,ZN,8,光大期货,2924,32
2013-11-05,ZN,9,国贸期货,2541,-2
2013-11-05,ZN,10,五矿期货,2219,0
2013-11-05,ZN,11,一德期货,2205,-13
2013-11-05,ZN,12,中证期货,2040,-347
2013-11-05,ZN,13,华融期货,2014,2
2013-11-05,ZN,14,鲁证期货,1690,-11
2013-11-05,ZN,15,申万期货,1687,-89
2013-11-05,ZN,16,中银国际,1621,0
2013-11-05,ZN,17,方正期货,1583,-3
2013-11-05,ZN,18,东证期货,1567,-6
2013-11-05,ZN,19,中信建投,1445,-14
2013-11-05,ZN,20,中钢期货,1318,-32
2013-11-06,ZN,1,上海中期,5279,-677
2013-11-06,ZN,2,银河期货,4683,580
2013-11-06,ZN,3,中国国际,4405,-243
2013-11-06,ZN,4,永安期货,4325,32
2013-11-06,ZN,5,中粮期货,3371,-114
2013-11-06,ZN,6,国贸期货,3176,635
2013-11-06,ZN,7,中辉期货,2903,-42
2013-11-06,ZN,8,光大期货,2895,-29
2013-11-06,ZN,9,迈科期货,2883,-48
2013-11-06,ZN,10,五矿期货,2263,44
2013-11-06,ZN,11,一德期货,2109,-96
2013-11-06,ZN,12,中证期货,2010,-30
2013-11-06,ZN,13,中银国际,1831,210
2013-11-06,ZN,14,申万期货,1807,120
2013-11-06,ZN,15,鲁证期货,1670,-20
2013-11-06,ZN,16,方正期货,1637,54
2013-11-06,ZN,17,东证期货,1577,10
2013-11-06,ZN,18,华融期货,1529,-485
2013-11-06,ZN,19,金瑞期货,1474,44
2013-11-06,ZN,20,中信建投,1443,-2
2013-11-07,ZN,1,上海中期,5231,-48
2013-11-07,ZN,2,国贸期货,4751,1575
2013-11-07,ZN,3,银河期货,4697,14
2013-11-07,ZN,4,永安期货,4337,12
2013-11-07,ZN,5,中国国际,4234,-171
2013-11-07,ZN,6,中粮期货,3337,-34
2013-11-07,ZN,7,中辉期货,2910,7
2013-11-07,ZN,8,光大期货,2853,-42
2013-11-07,ZN,9,中银国际,2451,620
2013-11-07,ZN,10,迈科期货,2448,7
2013-11-07,ZN,11,五矿期货,2403,140
2013-11-07,ZN,12,华融期货,2131,602
2013-11-07,ZN,13,中证期货,2017,7
2013-11-07,ZN,14,申万期货,1801,-6
2013-11-07,ZN,15,一德期货,1745,-364
2013-11-07,ZN,16,鲁证期货,1675,5
2013-11-07,ZN,17,方正期货,1620,-17
2013-11-07,ZN,18,东证期货,1576,-1
2013-11-07,ZN,19,中信建投,1352,-91
2013-11-07,ZN,20,中钢期货,1175,-25
2013-11-08,ZN,1,上海中期,5237,6
2013-11-08,ZN,2,银河期货,4927,230
2013-11-08,ZN,3,国贸期货,4751,0
2013-11-08,ZN,4,永安期货,4255,-82
2013-11-08,ZN,5,中国国际,4056,-178
2013-11-08,ZN,6,中粮期货,3354,17
2013-11-08,ZN,7,中辉期货,3066,156
2013-11-08,ZN,8,光大期货,3051,198
