trading_date,commodity_id,rank,member_name,volume,volume_change
2013-11-05,ZN,1,五矿期货,12448,483
2013-11-05,ZN,2,上海中期,6615,-30
2013-11-05,ZN,3,经易期货,5832,-578
2013-11-05,ZN,4,迈科期货,4427,344
2013-11-05,ZN,5,东兴期货,4262,37
2013-11-05,ZN,6,金瑞期货,3808,-100
2013-11-05,ZN,7,中粮期货,3691,-406
2013-11-05,ZN,8,财富期货,3298,0
2013-11-05,ZN,9,上海通联,3069,-8
2013-11-05,ZN,10,中证期货,2924,91
2013-11-05,ZN,11,天鸿期货,2863,-5
2013-11-05,ZN,12,万达期货,2519,21
2013-11-05,ZN,13,云晨期货,2463,0
2013-11-05,ZN,14,光大期货,2140,-3
2013-11-05,ZN,15,中信新际,1897,-127
2013-11-05,ZN,16,国海良时,1742,-47
2013-11-05,ZN,17,上海金源,1683,-71
2013-11-05,ZN,18,国泰君安,1441,-9
2013-11-05,ZN,19,广州期货,1231,-200
2013-11-05,ZN,20,中钢期货,1164,-83
2013-11-06,ZN,1,五矿期货,12614,166
2013-11-06,ZN,2,上海中期,6830,215
2013-11-06,ZN,3,经易期货,5762,-70
2013-11-06,ZN,4,迈科期货,4337,-90
2013-11-06,ZN,5,东兴期货,4262,0
2013-11-06,ZN,6,金瑞期货,3694,-114
2013-11-06,ZN,7,中粮期货,3531,-160
2013-11-06,ZN,8,财富期货,3298,0
2013-11-06,ZN,9,上海通联,3070,1
2013-11-06,ZN,10,中证期货,2883,-41
2013-11-06,ZN,11,天鸿期货,2863,0
2013-11-06,ZN,12,光大期货,2784,-116
2013-11-06,ZN,13,万达期货,2470,-49
2013-11-06,ZN,14,云晨期货,2459,-4
2013-11-06,ZN,15,中信新际,1866,-31
2013-11-06,ZN,16,上海金源,1790,107
2013-11-06,ZN,17,国海良时,1683,-59
2013-11-06,ZN,18,广州期货,1231,0
2013-11-06,ZN,19,中钢期货,1153,-11
2013-11-06,ZN,20,华泰长城,1016,-19
2013-11-07,ZN,1,五矿期货,12764,150
2013-11-07,ZN,2,上海中期,7796,966
2013-11-07,ZN,3,经易期货,5630,-132
2013-11-07,ZN,4,迈科期货,4550,213
2013-11-07,ZN,5,东兴期货,4350,88
2013-11-07,ZN,6,金瑞期货,3660,-34
2013-11-07,ZN,7,中证期货,3516,633
2013-11-07,ZN,8,中粮期货,3431,-100
2013-11-07,ZN,9,财富期货,3298,0
2013-11-07,ZN,10,上海通联,3167,97
2013-11-07,ZN,11,天鸿期货,2863,0
2013-11-07,ZN,12,云晨期货,2455,-4
2013-11-07,ZN,13,万达期货,2440,-30
2013-11-07,ZN,14,光大期货,2045,-1
2013-11-07,ZN,15,中信新际,1845,-21
2013-11-07,ZN,16,上海金源,1802,12
2013-11-07,ZN,17,国海良时,1523,-160
2013-11-07,ZN,18,中衍期货,1407,365
2013-11-07,ZN,19,广州期货,1231,0
2013-11-07,ZN,20,中钢期货,1096,-57
2013-11-08,ZN,1,五矿期货,12295,-469
2013-11-08,ZN,2,上海中期,9200,1404
2013-11-08,ZN,3,经易期货,5490,-140
2013-11-08,ZN,4,迈科期货,5195,434
2013-11-08,ZN,5,东兴期货,4263,-87
2013-11-08,ZN,6,金瑞期货,3739,79
2013-11-08,ZN,7,中证期货,3490,14
2013-11-08,ZN,8,财富期货,3468,170
2013-11-08,ZN,9,中粮期货,3357,-74
2013-11-08,ZN,10,上海通联,3226,59
2013-11-08,ZN,11,光大期货,3011,272
2013-11-08,ZN,12,天鸿期货,2972,109
2013-11-08,ZN,13,云晨期货,2855,398
2013-11-08,ZN,14,万达期货,2060,-380
2013-11-08,ZN,15,中信新际,1770,-75
2013-11-08,ZN,16,上海金源,1550,-252
2013-11-08,ZN,17,国泰君安,1515,111
2013-11-08,ZN,18,广州期货,1231,0
2013-11-08,ZN,19,国海良时,1066,-457
2013-11-08,ZN,20,中钢期货,1033,-63
2013-11-11,ZN,1,五矿期货,11516,-779
2013-11-11,ZN,2,上海中期,9257,57
2013-11-11,ZN,3,经易期货,5291,-199
2013-11-11,ZN,4,迈科期货,5066,-129
2013-11-11,ZN,5,东兴期货,4171,-92
2013-11-11,ZN,6,金瑞期货,4061,322
2013-11-11,ZN,7,中粮期货,3760,403
2013-11-11,ZN,8,中证期货,3601,111
2013-11-11,ZN,9,财富期货,3468,0
2013-11-11,ZN,10,光大期货,3439,493
2013-11-11,ZN,11,云晨期货,3255,400
2013-11-11,ZN,12,上海通联,3204,-22
2013-11-11,ZN,13,天鸿期货,3065,93
2013-11-11,ZN,14,中信新际,2095,325
2013-11-11,ZN,15,万达期货,2063,3
2013-11-11,ZN,16,上海金源,1438,-112
2013-11-11,ZN,17,广州期货,1232,1
2013-11-11,ZN,18,中钢期货,1075,21
2013-11-11,ZN,19,北京中期,926,66
2013-11-11,ZN,20,同信久恒,917,97
2013-11-12,ZN,1,上海中期,10139,802
2013-11-12,ZN,2,五矿期货,9801,-1715
2013-11-12,ZN,3,经易期货,5206,-85
2013-11-12,ZN,4,金瑞期货,5023,962
2013-11-12,ZN,5,迈科期货,4756,-310
2013-11-12,ZN,6,东兴期货,4310,139
2013-11-12,ZN,7,中证期货,4288,687
2013-11-12,ZN,8,中粮期货,4109,349
2013-11-12,ZN,9,光大期货,3535,96
2013-11-12,ZN,10,财富期货,3468,0
2013-11-12,ZN,11,云晨期货,3455,200
2013-11-12,ZN,12,上海通联,3091,-113
2013-11-12,ZN,13,天鸿期货,3085,20
2013-11-12,ZN,14,中信新际,2221,126
2013-11-12,ZN,15,万达期货,1781,-282
2013-11-12,ZN,16,北京中期,1569,627
2013-11-12,ZN,17,上海金源,1342,-96
2013-11-12,ZN,18,华泰长城,1318,98
2013-11-12,ZN,19,广州期货,1232,0
2013-11-12,ZN,20,同信久恒,903,-14
2013-11-13,ZN,1,上海中期,10337,198
2013-11-13,ZN,2,五矿期货,8413,-1388
2013-11-13,ZN,3,迈科期货,6235,1479
2013-11-13,ZN,4,金瑞期货,5207,184
2013-11-13,ZN,5,中证期货,5191,903
2013-11-13,ZN,6,经易期货,5129,-77
2013-11-13,ZN,7,中粮期货,4379,270
2013-11-13,ZN,8,东兴期货,4305,-5
2013-11-13,ZN,9,光大期货,4044,509
2013-11-13,ZN,10,天鸿期货,4032,572
2013-11-13,ZN,11,云晨期货,3213,-242
2013-11-13,ZN,12,上海通联,3081,-10
2013-11-13,ZN,13,财富期货,2996,170
2013-11-13,ZN,14,中信新际,2211,-10
2013-11-13,ZN,15,华泰长城,1349,31
2013-11-13,ZN,16,广州期货,1237,5
2013-11-13,ZN,17,北京中期,1102,42
2013-11-13,ZN,18,万达期货,1054,-37
2013-11-13,ZN,19,同信久恒,903,0
2013-11-13,ZN,20,国信期货,874,533
2013-11-14,ZN,1,上海中期,9737,-600
2013-11-14,ZN,2,五矿期货,6801,-1612
2013-11-14,ZN,3,迈科期货,6193,-42
2013-11-14,ZN,4,金瑞期货,5730,523
2013-11-14,ZN,5,中证期货,5203,12
2013-11-14,ZN,6,经易期货,5076,-53
2013-11-14,ZN,7,中粮期货,4438,59
2013-11-14,ZN,8,光大期货,4419,375
2013-11-14,ZN,9,东兴期货,4059,-246
2013-11-14,ZN,10,天鸿期货,4032,0
2013-11-14,ZN,11,云晨期货,3213,0
2013-11-14,ZN,12,上海通联,3177,96
2013-11-14,ZN,13,财富期货,3060,64
2013-11-14,ZN,14,中信新际,2161,-50
2013-11-14,ZN,15,上海金源,1348,5
2013-11-14,ZN,16,北京中期,1111,-501
