trading_date,AG_total_oi
2013-11-05,416204.0
2013-11-06,430684.0
2013-11-07,426022.0
2013-11-08,418874.0
2013-11-11,473422.0
2013-11-12,500178.0
2013-11-13,549370.0
2013-11-14,544248.0
2013-11-15,564340.0
2013-11-18,528768.0
2013-11-19,594806.0
2013-11-20,596224.0
2013-11-21,592246.0
2013-11-22,572152.0
2013-11-25,622422.0
2013-11-26,560608.0
2013-11-27,566232.0
2013-11-28,608790.0
2013-11-29,595008.0
2013-12-02,585486.0
2013-12-03,663440.0
2013-12-04,685748.0
2013-12-05,652420.0
2013-12-06,679928.0
2013-12-09,717938.0
2013-12-10,752706.0
2013-12-11,724244.0
2013-12-12,729898.0
2013-12-13,718128.0
2013-12-16,710524.0
2013-12-17,675820.0
2013-12-18,697230.0
2013-12-19,723320.0
2013-12-20,742634.0
2013-12-23,767782.0
2013-12-24,763670.0
2013-12-25,714448.0
2013-12-26,710206.0
2013-12-27,732382.0
2013-12-30,700300.0
2013-12-31,670182.0
2014-01-02,711594.0
2014-01-03,666450.0
2014-01-06,641004.0
2014-01-07,644534.0
2014-01-08,676178.0
2014-01-09,657330.0
2014-01-10,625488.0
2014-01-13,638872.0
2014-01-14,639826.0
2014-01-15,627380.0
2014-01-16,606800.0
2014-01-17,599288.0
2014-01-20,609818.0
2014-01-21,595310.0
2014-01-22,585670.0
2014-01-23,603844.0
2014-01-24,549974.0
2014-01-27,564544.0
2014-01-28,540830.0
2014-01-29,515094.0
2014-01-30,481250.0
2014-02-07,439758.0
2014-02-10,567380.0
2014-02-11,560896.0
2014-02-12,551918.0
2014-02-13,558566.0
2014-02-14,688186.0
2014-02-17,725036.0
2014-02-18,698228.0
2014-02-19,741282.0
2014-02-20,703784.0
2014-02-21,686526.0
2014-02-24,677552.0
2014-02-25,665360.0
2014-02-26,701354.0
2014-02-27,563418.0
2014-02-28,565350.0
2014-03-03,556232.0
2014-03-04,567824.0
2014-03-05,552632.0
2014-03-06,544594.0
2014-03-07,535056.0
2014-03-10,547198.0
2014-03-11,499134.0
2014-03-12,488014.0
2014-03-13,502530.0
2014-03-14,484588.0
2014-03-17,495710.0
2014-03-18,498952.0
2014-03-19,505294.0
2014-03-20,470372.0
2014-03-21,459044.0
2014-03-24,477448.0
2014-03-25,509068.0
2014-03-26,507412.0
2014-03-27,514674.0
2014-03-28,506892.0
2014-03-31,500194.0
2014-04-01,510298.0
2014-04-02,503826.0
2014-04-03,489576.0
2014-04-04,484876.0
2014-04-08,508656.0
2014-04-09,530450.0
2014-04-10,504986.0
2014-04-11,519274.0
2014-04-14,519844.0
2014-04-15,604084.0
2014-04-16,628666.0
2014-04-17,628652.0
2014-04-18,586384.0
2014-04-21,634704.0
2014-04-22,593598.0
2014-04-23,582610.0
2014-04-24,556512.0
2014-04-25,524458.0
2014-04-28,521422.0
2014-04-29,535176.0
2014-04-30,506060.0
2014-05-05,487410.0
2014-05-06,495176.0
2014-05-07,483544.0
2014-05-08,548952.0
2014-05-09,570536.0
2014-05-12,609636.0
2014-05-13,617990.0
2014-05-14,615478.0
2014-05-15,613234.0
2014-05-16,605728.0
2014-05-19,615766.0
2014-05-20,610328.0
2014-05-21,583208.0
2014-05-22,589088.0
2014-05-23,567230.0
2014-05-26,557388.0
2014-05-27,590832.0
2014-05-28,574630.0
2014-05-29,584642.0
2014-05-30,535216.0
2014-06-03,539650.0
2014-06-04,547044.0
2014-06-05,534202.0
2014-06-06,507430.0
2014-06-09,502262.0
2014-06-10,462594.0
2014-06-11,450748.0
2014-06-12,440764.0
2014-06-13,445356.0
2014-06-16,471244.0
2014-06-17,436148.0
2014-06-18,440304.0
2014-06-19,463802.0
2014-06-20,562466.0
2014-06-23,573264.0
2014-06-24,579022.0
2014-06-25,545414.0
2014-06-26,508410.0
2014-06-27,521946.0
2014-06-30,495222.0
2014-07-01,474604.0
2014-07-02,464188.0
2014-07-03,459274.0
2014-07-04,482604.0
2014-07-07,440736.0
2014-07-08,432674.0
2014-07-09,437984.0
2014-07-10,459156.0
2014-07-11,503976.0
2014-07-14,462260.0
2014-07-15,436488.0
2014-07-16,448576.0
2014-07-17,446440.0
2014-07-18,418874.0
2014-07-21,420440.0
2014-07-22,435092.0
2014-07-23,458846.0
2014-07-24,464150.0
2014-07-25,483684.0
2014-07-28,457638.0
2014-07-29,464312.0
2014-07-30,463840.0
2014-07-31,471390.0
2014-08-01,460782.0
2014-08-04,465538.0
2014-08-05,500548.0
2014-08-06,544430.0
2014-08-07,534156.0
2014-08-08,559160.0
2014-08-11,545764.0
2014-08-12,539508.0
2014-08-13,541920.0
2014-08-14,545328.0
2014-08-15,545554.0
2014-08-18,484042.0
2014-08-19,483566.0
2014-08-20,473286.0
2014-08-21,487600.0
2014-08-22,491012.0
2014-08-25,501770.0
2014-08-26,510682.0
2014-08-27,513060.0
2014-08-28,567250.0
2014-08-29,566810.0
2014-09-01,561012.0
2014-09-02,563874.0
2014-09-03,574938.0
2014-09-04,582338.0
2014-09-05,579078.0
2014-09-09,583370.0
2014-09-10,599320.0
2014-09-11,601780.0
2014-09-12,658442.0
2014-09-15,642420.0
2014-09-16,618708.0
2014-09-17,610804.0
2014-09-18,614786.0
2014-09-19,617672.0
2014-09-22,754532.0
2014-09-23,742872.0
2014-09-24,733020.0
2014-09-25,762422.0
2014-09-26,706538.0
2014-09-29,665806.0
2014-09-30,648874.0
2014-10-08,638486.0
2014-10-09,668412.0
2014-10-10,714446.0
2014-10-13,662494.0
2014-10-14,667320.0
2014-10-15,727978.0
2014-10-16,687504.0
2014-10-17,667670.0
2014-10-20,676800.0
2014-10-21,670252.0
2014-10-22,646030.0
2014-10-23,686546.0
2014-10-24,687124.0
2014-10-27,697516.0
2014-10-28,670116.0
2014-10-29,663114.0
2014-10-30,747576.0
2014-10-31,798182.0
2014-11-03,728348.0
2014-11-04,769826.0
2014-11-05,855098.0
2014-11-06,868662.0
2014-11-07,882486.0
2014-11-10,778786.0
2014-11-11,765576.0
2014-11-12,751808.0
2014-11-13,756626.0
2014-11-14,824462.0
2014-11-17,698066.0
2014-11-18,636306.0
2014-11-19,633622.0
2014-11-20,627284.0
2014-11-21,613182.0
2014-11-24,605500.0
2014-11-25,598032.0
2014-11-26,587224.0
2014-11-27,583432.0
2014-11-28,597488.0
2014-12-01,610180.0
2014-12-02,494608.0
2014-12-03,485904.0
2014-12-04,473090.0
2014-12-05,479022.0
2014-12-08,478910.0
2014-12-09,474846.0
2014-12-10,507108.0
2014-12-11,499352.0
2014-12-12,515492.0
2014-12-15,504154.0
2014-12-16,470684.0
2014-12-17,445448.0
2014-12-18,410758.0
2014-12-19,427700.0
2014-12-22,452440.0
2014-12-23,468754.0
2014-12-24,452988.0
2014-12-25,449516.0
2014-12-26,436370.0
2014-12-29,418690.0
2014-12-30,424702.0
2014-12-31,406930.0
2015-01-05,424780.0
2015-01-06,464514.0
2015-01-07,416282.0
2015-01-08,426520.0
2015-01-09,413918.0
2015-01-12,420472.0
2015-01-13,409722.0
2015-01-14,395934.0
2015-01-15,419092.0
2015-01-16,397714.0
2015-01-19,483564.0
2015-01-20,491658.0
2015-01-21,521660.0
2015-01-22,538534.0
2015-01-23,525422.0
2015-01-26,538820.0
2015-01-27,546752.0
2015-01-28,537598.0
2015-01-29,535188.0
2015-01-30,515832.0
2015-02-02,484432.0
2015-02-03,465890.0
2015-02-04,482236.0
2015-02-05,456308.0
2015-02-06,441064.0
2015-02-09,463928.0
2015-02-10,445594.0
2015-02-11,413504.0
2015-02-12,413132.0
2015-02-13,386378.0
2015-02-16,351448.0
2015-02-17,336410.0
2015-02-25,333578.0
2015-02-26,365280.0
2015-02-27,399096.0
2015-03-02,410792.0
2015-03-03,414660.0
2015-03-04,445438.0
2015-03-05,449870.0
2015-03-06,445792.0
2015-03-09,508144.0
2015-03-10,530294.0
2015-03-11,535806.0
2015-03-12,604572.0
2015-03-13,601622.0
2015-03-16,618394.0
2015-03-17,624352.0
2015-03-18,631760.0
2015-03-19,612146.0
2015-03-20,597740.0
2015-03-23,610436.0
2015-03-24,591354.0
2015-03-25,572102.0
2015-03-26,579604.0
2015-03-27,537472.0
2015-03-30,554664.0
2015-03-31,552042.0
2015-04-01,547554.0
2015-04-02,514260.0
2015-04-03,480188.0
2015-04-07,484670.0
2015-04-08,488642.0
2015-04-09,541688.0
2015-04-10,543936.0
2015-04-13,545138.0
2015-04-14,558438.0
2015-04-15,561358.0
2015-04-16,548350.0
2015-04-17,585528.0
2015-04-20,568400.0
2015-04-21,616598.0
2015-04-22,625292.0
2015-04-23,665788.0
2015-04-24,651144.0
2015-04-27,685892.0
2015-04-28,714292.0
2015-04-29,658344.0
2015-04-30,642490.0
2015-05-04,635776.0
2015-05-05,639890.0
2015-05-06,643670.0
2015-05-07,634320.0
2015-05-08,640944.0
2015-05-11,643390.0
2015-05-12,628082.0
2015-05-13,688074.0
2015-05-14,711214.0
2015-05-15,635726.0
2015-05-18,692306.0
2015-05-19,607290.0
2015-05-20,462860.0
2015-05-21,450542.0
2015-05-22,469586.0
2015-05-25,457744.0
2015-05-26,486168.0
2015-05-27,477136.0
2015-05-28,482536.0
2015-05-29,460030.0
2015-06-01,467316.0
2015-06-02,466264.0
2015-06-03,471244.0
2015-06-04,489750.0
2015-06-05,538792.0
2015-06-08,574546.0
2015-06-09,607918.0
2015-06-10,638186.0
2015-06-11,656082.0
2015-06-12,646188.0
2015-06-15,652318.0
2015-06-16,627308.0
2015-06-17,634548.0
2015-06-18,613912.0
2015-06-19,578618.0
2015-06-23,598890.0
2015-06-24,650524.0
2015-06-25,636702.0
2015-06-26,655436.0
2015-06-29,612222.0
2015-06-30,620882.0
2015-07-01,632506.0
2015-07-02,638244.0
2015-07-03,617480.0
2015-07-06,617726.0
2015-07-07,599252.0
2015-07-08,598300.0
2015-07-09,440138.0
2015-07-10,446472.0
2015-07-13,450792.0
2015-07-14,486192.0
2015-07-15,480658.0
2015-07-16,526890.0
2015-07-17,524364.0
2015-07-20,562392.0
2015-07-21,562678.0
2015-07-22,576840.0
2015-07-23,592402.0
2015-07-24,611730.0
2015-07-27,619576.0
2015-07-28,607132.0
2015-07-29,598588.0
2015-07-30,595904.0
2015-07-31,596744.0
2015-08-03,582384.0
2015-08-04,655330.0
2015-08-05,661446.0
2015-08-06,644382.0
2015-08-07,615944.0
2015-08-10,606102.0
2015-08-11,643380.0
2015-08-12,652844.0
2015-08-13,552306.0
2015-08-14,553778.0
2015-08-17,520058.0
2015-08-18,503568.0
2015-08-19,521826.0
2015-08-20,528990.0
2015-08-21,530490.0
2015-08-24,500666.0
2015-08-25,484228.0
2015-08-26,493950.0
2015-08-27,473514.0
2015-08-28,441056.0
2015-08-31,430878.0
2015-09-01,429876.0
2015-09-02,416370.0
2015-09-07,426328.0
2015-09-08,434724.0
2015-09-09,396144.0
2015-09-10,397840.0
2015-09-11,413922.0
2015-09-14,434016.0
2015-09-15,455878.0
2015-09-16,433814.0
2015-09-17,415110.0
2015-09-18,421946.0
2015-09-21,420918.0
2015-09-22,425988.0
2015-09-23,400018.0
2015-09-24,410556.0
2015-09-25,424576.0
2015-09-28,415588.0
2015-09-29,410516.0
2015-09-30,378356.0
2015-10-08,374796.0
2015-10-09,412542.0
2015-10-12,436278.0
2015-10-13,433636.0
2015-10-14,473186.0
2015-10-15,488678.0
2015-10-16,487348.0
2015-10-19,479122.0
2015-10-20,476438.0
2015-10-21,483306.0
2015-10-22,470496.0
2015-10-23,499524.0
2015-10-26,473056.0
2015-10-27,478356.0
2015-10-28,492908.0
2015-10-29,479458.0
2015-10-30,464132.0
2015-11-02,452338.0
2015-11-03,447868.0
2015-11-04,441392.0
2015-11-05,460726.0
2015-11-06,450524.0
2015-11-09,447606.0
2015-11-10,437500.0
2015-11-11,443846.0
2015-11-12,474630.0
2015-11-13,495002.0
2015-11-16,506166.0
2015-11-17,523520.0
2015-11-18,520776.0
2015-11-19,525974.0
2015-11-20,526274.0
2015-11-23,595158.0
2015-11-24,573794.0
2015-11-25,555408.0
2015-11-26,541102.0
2015-11-27,561728.0
2015-11-30,551178.0
2015-12-01,520164.0
2015-12-02,516364.0
2015-12-03,546264.0
2015-12-04,520706.0
2015-12-07,507820.0
2015-12-08,497062.0
2015-12-09,495856.0
2015-12-10,496510.0
2015-12-11,494464.0
2015-12-14,519322.0
2015-12-15,547876.0
2015-12-16,502552.0
2015-12-17,481978.0
2015-12-18,535522.0
2015-12-21,507504.0
2015-12-22,506638.0
2015-12-23,501088.0
2015-12-24,509820.0
2015-12-25,505282.0
2015-12-28,486362.0
2015-12-29,501628.0
2015-12-30,516086.0
2015-12-31,519966.0
2016-01-04,516890.0
2016-01-05,499584.0
2016-01-06,520200.0
2016-01-07,552356.0
2016-01-08,515688.0
2016-01-11,514176.0
2016-01-12,514212.0
2016-01-13,511994.0
2016-01-14,500802.0
2016-01-15,498348.0
2016-01-18,482088.0
2016-01-19,496498.0
2016-01-20,483000.0
2016-01-21,481286.0
2016-01-22,491790.0
2016-01-25,482542.0
2016-01-26,518732.0
2016-01-27,511716.0
2016-01-28,499040.0
2016-01-29,496286.0
2016-02-01,499966.0
2016-02-02,499454.0
2016-02-03,501406.0
2016-02-04,518054.0
2016-02-05,498882.0
2016-02-15,504318.0
2016-02-16,508642.0
2016-02-17,519134.0
2016-02-18,526116.0
2016-02-19,543884.0
2016-02-22,542388.0
