trading_date,rank,volume,volume_change
2013-11-05,210,372801705,-5779
2013-11-06,210,433708458,10144
2013-11-07,210,489646738,7473
2013-11-08,210,501268685,277
2013-11-11,210,607361738,15226
2013-11-12,210,644453457,8946
2013-11-13,210,772875764,10390
2013-11-14,210,835500882,8597
2013-11-15,210,911241226,6901
2013-11-18,210,769687269,-9081
2013-11-19,210,1051960035,22062
2013-11-20,210,995425703,12039
2013-11-21,210,802013232,-1789
2013-11-22,210,897164681,1192
2013-11-25,210,950405730,8119
2013-11-26,210,1042605488,4865
2013-11-27,210,1043899063,4682
2013-11-28,210,1212565770,13709
2013-11-29,210,1109601128,8843
2013-12-02,210,1087876212,-215
2013-12-03,210,1150007341,16014
2013-12-04,210,1227727773,5245
2013-12-05,210,1124633641,1885
2013-12-06,210,1399144493,13871
2013-12-09,210,1633064013,11038
2013-12-10,210,2224124368,29653
2013-12-11,210,1867647571,-2104
2013-12-12,210,1902160535,6168
2013-12-13,210,1551681639,-12875
2013-12-16,210,1665048344,6053
2013-12-17,210,1683331746,4489
2013-12-18,210,1733565633,7866
2013-12-19,210,1705449626,12330
2013-12-20,210,1736850723,13642
2013-12-23,210,1945967936,16507
2013-12-24,210,1872993838,-991
2013-12-25,210,1748498254,-5399
2013-12-26,210,1731986335,198
2013-12-27,210,1848867748,4560
2013-12-30,210,1697584147,49
2013-12-31,210,1500640756,-8533
2014-01-02,210,1889766232,26372
2014-01-03,210,1484053087,-11722
2014-01-06,210,1191287941,-12093
2014-01-07,210,1268811590,4074
2014-01-08,210,1434436784,9294
2014-01-09,210,1421351180,4647
2014-01-10,210,1284063761,-6935
2014-01-13,210,1237642220,4317
2014-01-14,210,1326208750,3705
2014-01-15,210,1175215353,1538
2014-01-16,210,1044315703,-2145
2014-01-17,210,1019156026,-1200
2014-01-20,210,1067978119,4353
2014-01-21,210,1063133028,-502
2014-01-22,210,1026429192,-1842
2014-01-23,210,1132616758,8638
2014-01-24,210,935725188,-12289
2014-01-27,210,1038747395,8294
2014-01-28,210,981580572,-3782
2014-01-29,210,908410488,-5280
2014-01-30,210,863948292,4801
2014-02-07,210,843073688,-1085
2014-02-10,210,1478856583,44319
2014-02-11,210,1395834310,1453
2014-02-12,210,1082426150,-10683
2014-02-13,210,1068288650,19
2014-02-14,210,1601012808,55278
2014-02-17,210,2018346280,28945
2014-02-18,210,1824167790,-4968
2014-02-19,210,1913104364,18708
2014-02-20,210,1746056416,-3518
2014-02-21,210,1499981044,-9445
2014-02-24,210,1457934126,594
2014-02-25,210,1413236185,3695
2014-02-26,210,1413218142,12857
2014-02-27,210,1037175576,-1472
2014-02-28,210,959652312,-1909
2014-03-03,210,931631987,-1034
2014-03-04,210,964704838,13223
2014-03-05,210,966404901,-171
2014-03-06,210,963766377,2128
2014-03-07,210,828997548,11898
2014-03-10,210,1030562577,17839
2014-03-11,210,780001062,-10138
2014-03-12,210,853806210,7937
2014-03-13,210,819489649,2448
2014-03-14,210,766395969,1713
2014-03-17,210,759493285,10915
2014-03-18,210,769276948,4836
2014-03-19,210,794658931,3717
2014-03-20,210,690673347,-791
2014-03-21,210,648496559,-20
2014-03-24,210,722117342,6359
2014-03-25,210,829198253,10403
2014-03-26,210,945637547,8274
2014-03-27,210,824354810,-5941
2014-03-28,210,846229178,1038
2014-03-31,210,720178570,-4867
2014-04-01,210,672153694,-2318
2014-04-02,210,644698947,-1649
2014-04-03,210,643263676,618
2014-04-04,210,623941207,2099
2014-04-08,210,763263876,18014
2014-04-09,210,810030731,8311
2014-04-10,210,899141053,163
2014-04-11,210,932886232,3529
2014-04-14,210,937305508,-357
2014-04-15,210,1232239258,20063
2014-04-16,210,1253298573,6279
2014-04-17,210,1247178860,-361
2014-04-18,210,1169707419,-2443
2014-04-21,210,1349543577,13844
2014-04-22,210,1096075706,-6015
2014-04-23,210,1131908547,-1
2014-04-24,210,1030351014,-6876
2014-04-25,210,923667048,-3508
2014-04-28,210,954224598,4283
2014-04-29,210,910331695,-744
2014-04-30,210,805532800,1123
2014-05-05,210,746503920,-4687
2014-05-06,210,789041210,7754
2014-05-07,210,797836401,-356
2014-05-08,210,1029287078,20916
2014-05-09,210,1198882640,10182
2014-05-12,210,1411054543,16934
2014-05-13,210,1481899943,12489
2014-05-14,210,1511983973,1498
2014-05-15,210,1518311126,2979
2014-05-16,210,1524455579,-342
2014-05-19,210,1617725643,7764
2014-05-20,210,1669635607,3569
2014-05-21,210,1481923366,-3258
2014-05-22,210,1360452072,-2279
2014-05-23,210,1497890430,4071
2014-05-26,210,1475101394,1176
2014-05-27,210,1389201482,6694
2014-05-28,210,1317365125,2619
2014-05-29,210,1323861971,2126
2014-05-30,210,1180088204,-1951
2014-06-03,210,1204722511,2545
2014-06-04,210,1238997136,6212
2014-06-05,210,1185202862,720
2014-06-06,210,1088375165,-5434
2014-06-09,210,1107451266,1023
2014-06-10,210,865284036,-3428
2014-06-11,210,804583911,-4013
2014-06-12,210,790346004,-756
2014-06-13,210,774831539,6026
2014-06-16,210,859073013,15156
2014-06-17,210,853383633,-170
2014-06-18,210,871694060,1465
2014-06-19,210,1007362894,11153
2014-06-20,210,1504023682,36004
2014-06-23,210,1612234944,6937
2014-06-24,210,1642046273,7595
2014-06-25,210,1446333481,-1488
2014-06-26,210,908226679,-15859
2014-06-27,210,1044713626,12019
2014-06-30,210,997489436,-983
2014-07-01,210,939265698,-3287
2014-07-02,210,865539540,-3461
2014-07-03,210,918364143,1721
2014-07-04,210,974929204,7970
2014-07-07,210,919370725,-1831
2014-07-08,210,913005849,-674
2014-07-09,210,915442728,1331
2014-07-10,210,956649582,4054
2014-07-11,210,1108165446,10152
2014-07-14,210,1105077336,3958
2014-07-15,210,1011931678,-2960
2014-07-16,210,1117650725,9037
2014-07-17,210,1150908160,1449
2014-07-18,210,1020145550,-8540
2014-07-21,210,997092040,2104
2014-07-22,210,1173039612,10013
2014-07-23,210,1308703036,16922
2014-07-24,210,1313661723,733
2014-07-25,210,1284529774,13821
2014-07-28,210,1273149451,-4649
2014-07-29,210,1209291698,-1137
2014-07-30,210,1168409192,-174
2014-07-31,210,1296814877,7067
2014-08-01,210,1298636557,-1300
2014-08-04,210,1359546153,8712
2014-08-05,210,1419180195,6250
2014-08-06,210,1616785981,13924
2014-08-07,210,1817515403,6544
2014-08-08,210,1884252666,4623
2014-08-11,210,1621176305,-6417
2014-08-12,210,1583019006,-1531
2014-08-13,210,1572344718,580
2014-08-14,210,1624938872,3141
2014-08-15,210,1595579548,-1796
2014-08-18,210,1174783897,-12675
2014-08-19,210,1123423862,-3564
2014-08-20,210,1101009475,-2674
2014-08-21,210,1111408797,4983
2014-08-22,210,1159595748,4554
2014-08-25,210,1223467326,3839
2014-08-26,210,1221490437,3963
2014-08-27,210,1237563766,4424
2014-08-28,210,1460699268,29598
2014-08-29,210,1488024087,2618
2014-09-01,210,1473543320,-1731
2014-09-02,210,1492356549,552
2014-09-03,210,1468899709,-926
2014-09-04,210,1521081950,5225
2014-09-05,210,1499616866,106
2014-09-09,210,1539408568,2066
2014-09-10,210,1774515156,6027
2014-09-11,210,1773941990,-1312
2014-09-12,210,2087369564,16432
2014-09-15,210,1972128487,-4739
2014-09-16,210,1913269772,-1745
2014-09-17,210,1853789525,3134
2014-09-18,210,1785448700,-3836
2014-09-19,210,1892207917,5788
2014-09-22,210,2663800376,39728
2014-09-23,210,2439415181,-1186
2014-09-24,210,2450006106,828
2014-09-25,210,2704979895,9015
2014-09-26,210,2360715442,-12459
2014-09-29,210,2159236485,-8777
2014-09-30,210,2061777040,-4173
2014-10-08,210,2092452155,3688
2014-10-09,210,2114085302,7753
2014-10-10,210,2296884579,7953
2014-10-13,210,2009285630,-13437
2014-10-14,210,1911008430,-2367
2014-10-15,210,2167573172,13257
2014-10-16,210,2056312698,-3504
2014-10-17,210,1906456003,-6771
2014-10-20,210,1951740943,2969
2014-10-21,210,2056925783,3555
2014-10-22,210,1855883829,-9255
2014-10-23,210,2034045527,10608
2014-10-24,210,1951060663,1627
2014-10-27,210,2038314127,3008
2014-10-28,210,1905379613,-5672
2014-10-29,210,1792057211,-5011
2014-10-30,210,2153448271,13616
2014-10-31,210,2115088861,1184
2014-11-03,210,1848018868,-10124
2014-11-04,210,2122623711,18279
2014-11-05,210,2520654284,28223
2014-11-06,210,2432462637,6951
2014-11-07,210,2470045904,-189
2014-11-10,210,2142200364,-10589
2014-11-11,210,2005718268,-2817
2014-11-12,210,2005649357,1568
2014-11-13,210,2057084072,4872
2014-11-14,210,2485504341,17298
2014-11-17,210,2023686779,-12014
2014-11-18,210,1558103937,-22145
2014-11-19,210,1468719995,-2615
2014-11-20,210,1458586737,-307
2014-11-21,210,1400106562,-4187
2014-11-24,210,1405311398,-679
2014-11-25,210,1414105629,-2677
2014-11-26,210,1247980279,-4689
2014-11-27,210,1249568739,4309
2014-11-28,210,1411702716,7412
2014-12-01,210,1324998671,12682
2014-12-02,210,908524887,-19749
2014-12-03,210,921496217,1331
2014-12-04,210,835996303,-2869
2014-12-05,210,888636031,4025
2014-12-08,210,844691335,-3489
2014-12-09,210,879314542,3943
2014-12-10,210,1624993978,28854
2014-12-11,210,1414770030,-4566
2014-12-12,210,1436323613,1735
2014-12-15,210,1231819629,-5319
2014-12-16,210,956821718,-4461
2014-12-17,210,683915896,-7225
2014-12-18,210,591716962,-2900
2014-12-19,210,633290226,6221
2014-12-22,210,1068078649,24629
2014-12-23,210,1077346765,12066
2014-12-24,210,1030842744,-1534
2014-12-25,210,1072198155,1071
2014-12-26,210,1032647023,-2767
2014-12-29,210,950892644,-5189
2014-12-30,210,961624571,1788
2014-12-31,210,945028197,1158
2015-01-05,210,955863306,591
2015-01-06,210,1126404799,8744
2015-01-07,210,851268550,-14150
2015-01-08,210,881233306,6625
2015-01-09,210,949923462,2789
2015-01-12,210,1004308615,5675
2015-01-13,210,949980682,-2903
2015-01-14,210,778174612,-1667
2015-01-15,210,863610197,6956
2015-01-16,210,647326222,-5475
2015-01-19,210,1028761601,30781
2015-01-20,210,1048151063,3810
2015-01-21,210,1177798194,11324
2015-01-22,210,1115542170,3812
2015-01-23,210,1022463459,1602
2015-01-26,210,1143904632,10556
2015-01-27,210,1212370538,5000
2015-01-28,210,1163415833,-241
2015-01-29,210,1195424958,5007
2015-01-30,210,1050919708,-7427
2015-02-02,210,989901065,-4019
2015-02-03,210,906637439,-1895
2015-02-04,210,957373448,5362
2015-02-05,210,930580242,-978
2015-02-06,210,767832366,-9342
2015-02-09,210,790293051,9982
2015-02-10,210,765177665,-3566
2015-02-11,210,677320146,-2414
2015-02-12,210,626048514,-2878
2015-02-13,210,569883459,-4254
2015-02-16,210,492307779,-4033
2015-02-17,210,449141425,-1699
2015-02-25,210,369749857,-4969
2015-02-26,210,379115108,4434
2015-02-27,210,464834919,8965
2015-03-02,210,514597929,6811
2015-03-03,210,568635438,5686
2015-03-04,210,625884809,4862
2015-03-05,210,667454698,5621
2015-03-06,210,661675704,797
2015-03-09,210,816123423,28694
2015-03-10,210,927893482,7897
2015-03-11,210,950056989,7583
2015-03-12,210,1429837166,32577
2015-03-13,210,1400066486,1131
2015-03-16,210,1593232152,7572
2015-03-17,210,1636269473,3229
2015-03-18,210,1696749185,3922
2015-03-19,210,1633405714,-1524
2015-03-20,210,1568538541,-1569
2015-03-23,210,1745460121,9677
2015-03-24,210,1516670262,-8420
2015-03-25,210,1406447082,-4620
2015-03-26,210,1440992190,2196
2015-03-27,210,1136868711,-13434
2015-03-30,210,1164286066,2188
2015-03-31,210,1143647468,4329
2015-04-01,210,1121755254,-798
2015-04-02,210,799429939,-15040
2015-04-03,210,1004100614,-5485
2015-04-07,210,977090837,541
2015-04-08,210,1044435993,3199
2015-04-09,210,1455741437,19202
2015-04-10,210,1466225632,1815
2015-04-13,210,1542663656,4083
2015-04-14,210,1666505711,4222
2015-04-15,210,1572948427,15
2015-04-16,210,1493658146,2898
2015-04-17,210,1659545165,12623
2015-04-20,210,1527400858,-7971
2015-04-21,210,1708749616,10176
2015-04-22,210,1759621065,2091
2015-04-23,210,1945905763,11905
2015-04-24,210,1888035658,1790
2015-04-27,210,1974555873,9297
2015-04-28,210,2044422912,34592
2015-04-29,210,1741559964,-4115
2015-04-30,210,1626161277,-5674
2015-05-04,210,1607544009,-1815
2015-05-05,210,1480674926,1113
2015-05-06,210,1508148251,10768
2015-05-07,210,1538223300,6097
2015-05-08,210,1603260402,4308
2015-05-11,210,1580008168,1480
2015-05-12,210,1607122022,571
2015-05-13,210,1649044057,10568
2015-05-14,210,1735799329,17505
2015-05-15,210,1560432577,-4611
2015-05-18,210,1883036300,20581
2015-05-19,210,1471373724,-18478
2015-05-20,210,927763726,-12955
2015-05-21,210,867357761,-2726
2015-05-22,210,956494320,5242
2015-05-25,210,863742698,902
2015-05-26,210,927105551,7535
2015-05-27,210,823509849,-2996
2015-05-28,210,857481789,3556
2015-05-29,210,808345390,6018
2015-06-01,210,807387815,1568
2015-06-02,210,859733414,9645
2015-06-03,210,875535380,1741
2015-06-04,210,868686237,3565
2015-06-05,210,1031028002,12122
2015-06-08,210,1207410095,11333
2015-06-09,210,1367157852,11238
2015-06-10,210,1466182943,9117
2015-06-11,210,1553547101,6480
2015-06-12,210,1506485729,-2297
2015-06-15,210,1506818144,169
2015-06-16,210,1464710869,3388
2015-06-17,210,1566336893,5245
2015-06-18,210,1458979695,-5629
2015-06-19,210,1203408964,-4178
2015-06-23,210,1369359577,7196
2015-06-24,210,1444142342,11538
2015-06-25,210,1391948769,85
2015-06-26,210,1623824026,14385
2015-06-29,210,1379719757,-10337
2015-06-30,210,1623014945,14205
2015-07-01,210,1772833708,1504
2015-07-02,210,1769077515,1649
2015-07-03,210,1661566058,-5261
2015-07-06,210,1697563288,1645
2015-07-07,210,1590809254,-4200
2015-07-08,210,1765830523,17142
2015-07-09,210,1065762362,-27820
2015-07-10,210,1108210517,2993
2015-07-13,210,1105426172,730
2015-07-14,210,1193463112,7425
2015-07-15,210,1142342220,-3298
2015-07-16,210,1350017355,17650
2015-07-17,210,1332954382,-839
2015-07-20,210,1373222625,6680
2015-07-21,210,1570071262,5063
2015-07-22,210,1588382560,1414
2015-07-23,210,1677920220,9399
2015-07-24,210,1751130234,4586
2015-07-27,210,1820234706,10570
2015-07-28,210,1787392436,2523
2015-07-29,210,1756351777,2866
2015-07-30,210,1671665980,-2447
2015-07-31,210,1656599116,-493
2015-08-03,210,1661534378,2452
2015-08-04,210,2003392991,23239
2015-08-05,210,2116435478,6420
2015-08-06,210,2059465976,-1832
2015-08-07,210,1946227795,-4311
2015-08-10,210,1852675186,-2487
2015-08-11,210,2213719474,26526
2015-08-12,210,2377524629,10558
2015-08-13,210,1925742542,-15209
2015-08-14,210,1870611675,122
2015-08-17,210,1713893816,-7064
2015-08-18,210,1682067187,-1639
2015-08-19,210,1740715377,6540
2015-08-20,210,1720118150,1039
2015-08-21,210,1760425514,2604
2015-08-24,210,1715112994,-2059
2015-08-25,210,1235426450,-7598
2015-08-26,210,1170704502,5401
2015-08-27,210,995405348,-8846
2015-08-28,210,898630879,-5051
2015-08-31,210,884901740,1142
2015-09-01,210,889097294,1780
2015-09-02,210,967925319,-968
2015-09-07,210,1019857082,1348
2015-09-08,210,1057136573,5638
2015-09-09,210,622239080,-7958
2015-09-10,210,600042081,224
2015-09-11,210,583701012,1253
2015-09-14,210,704802880,8076
2015-09-15,210,753029766,6541
2015-09-16,210,602014074,-7552
2015-09-17,210,736920127,14026
2015-09-18,210,835742063,6352
2015-09-21,210,1031904792,8277
2015-09-22,210,1051178120,3977
2015-09-23,210,855080956,-8653
2015-09-24,210,846930527,2255
2015-09-25,210,1024921479,13826
2015-09-28,210,1022442652,-1967
