trading_date,rank,volume,volume_change
2013-11-05,210,690331400,2532
2013-11-06,210,725172187,2590
2013-11-07,210,676353179,-1864
2013-11-08,210,660204932,-2058
2013-11-11,210,900208390,19459
2013-11-12,210,998417630,8683
2013-11-13,210,1264422641,17415
2013-11-14,210,1051143599,-2094
2013-11-15,210,1218182052,15688
2013-11-18,210,1251506774,2222
2013-11-19,210,1566907981,18475
2013-11-20,210,1574073367,6602
2013-11-21,210,1504845863,-2
2013-11-22,210,1326617990,-6829
2013-11-25,210,1634553723,23259
2013-11-26,210,1092585539,-13916
2013-11-27,210,1228018538,10724
2013-11-28,210,1494467373,21143
2013-11-29,210,1491626772,4355
2013-12-02,210,1472248155,13265
2013-12-03,210,1950443006,24584
2013-12-04,210,2136423021,10939
2013-12-05,210,1873165546,-8400
2013-12-06,210,2083296276,15496
2013-12-09,210,2284949206,10381
2013-12-10,210,2376607303,7077
2013-12-11,210,2419801520,2193
2013-12-12,210,2389213501,-2301
2013-12-13,210,2481473796,14362
2013-12-16,210,2388518775,430
2013-12-17,210,2087546601,2488
2013-12-18,210,2096042405,406
2013-12-19,210,2332988450,22913
2013-12-20,210,2426318095,6746
2013-12-23,210,2549705044,6433
2013-12-24,210,2364985702,-1764
2013-12-25,210,2302187201,-2225
2013-12-26,210,2247696751,-918
2013-12-27,210,2310893874,3252
2013-12-30,210,2161939700,-3579
2013-12-31,210,1923950838,-7429
2014-01-02,210,2022462249,5482
2014-01-03,210,1919171107,-5710
2014-01-06,210,1863842223,-2062
2014-01-07,210,1960116692,1
2014-01-08,210,2140406853,16130
2014-01-09,210,2041419039,1627
2014-01-10,210,1825259891,-9050
2014-01-13,210,1836116941,9433
2014-01-14,210,1669259551,-663
2014-01-15,210,1769565975,10722
2014-01-16,210,1496765002,-5574
2014-01-17,210,1496638897,795
2014-01-20,210,1557046470,4116
2014-01-21,210,1433569488,-4960
2014-01-22,210,1435138731,93
2014-01-23,210,1543670174,7086
