trading_date,rank,volume,volume_change
2013-11-05,210,50549,-859
2013-11-06,210,48277,-974
2013-11-07,210,47028,-1249
2013-11-08,210,46719,-69
2013-11-11,210,46723,-114
2013-11-12,210,46584,138
2013-11-13,210,46412,278
2013-11-14,210,46497,360
2013-11-15,210,47591,1967
2013-11-18,210,46255,-356
2013-11-19,210,57183,669
2013-11-20,210,54836,-1955
2013-11-21,210,56527,1487
2013-11-22,210,56519,195
2013-11-25,210,57314,1600
2013-11-26,210,56950,-285
2013-11-27,210,56296,-237
2013-11-28,210,58667,3564
2013-11-29,210,58030,187
2013-12-02,210,58075,662
2013-12-03,210,57094,-728
2013-12-04,210,55424,-1670
2013-12-05,210,53462,-1465
2013-12-06,210,53125,-629
2013-12-09,210,51273,-1448
2013-12-10,210,49756,-1544
2013-12-11,210,57114,-677
2013-12-12,210,55652,-1573
2013-12-13,210,56390,788
2013-12-16,210,56101,-276
2013-12-17,210,54110,-501
2013-12-18,210,54862,245
2013-12-19,210,55056,460
2013-12-20,210,53906,-966
2013-12-23,210,53960,354
2013-12-24,210,53482,-356
2013-12-25,210,51456,-1230
2013-12-26,210,52004,550
2013-12-27,210,50827,-407
2013-12-30,210,52064,1460
2013-12-31,210,61845,2779
2014-01-02,210,62047,-640
2014-01-03,210,60501,-929
2014-01-06,210,59639,-1395
2014-01-07,210,58877,341
2014-01-08,210,59403,48
2014-01-09,210,59437,566
2014-01-10,210,58994,-52
2014-01-13,210,59021,217
2014-01-14,210,59068,-612
2014-01-15,210,58041,-332
2014-01-16,210,52662,-1895
2014-01-17,210,52414,-40
2014-01-20,210,53293,919
2014-01-21,210,52819,84
2014-01-22,210,52008,-583
2014-01-23,210,52411,-312
2014-01-24,210,51861,142
2014-01-27,210,51896,770
2014-01-28,210,63022,2220
2014-01-29,210,62427,136
2014-01-30,210,63497,845
2014-02-07,210,64076,528
2014-02-10,210,64327,1302
2014-02-11,210,66075,2129
2014-02-12,210,67554,2559
2014-02-13,210,67537,413
