trading_date,rank,volume,volume_change
2013-11-05,210,57708,-765
2013-11-06,210,55235,-2540
2013-11-07,210,53859,-423
2013-11-08,210,53501,-358
2013-11-11,210,53761,327
2013-11-12,210,53240,-116
2013-11-13,210,52627,-172
2013-11-14,210,53160,1212
2013-11-15,210,54069,1800
2013-11-18,210,53607,89
2013-11-19,210,66041,480
2013-11-20,210,65102,-732
2013-11-21,210,67680,2606
2013-11-22,210,68724,1064
2013-11-25,210,70282,1635
2013-11-26,210,69836,-186
2013-11-27,210,69771,24
2013-11-28,210,72875,3457
2013-11-29,210,73832,957
2013-12-02,210,74457,881
2013-12-03,210,74037,-537
2013-12-04,210,72567,-612
2013-12-05,210,71098,-1691
2013-12-06,210,70650,-196
2013-12-09,210,67744,-2863
2013-12-10,210,64642,-1848
2013-12-11,210,76098,504
2013-12-12,210,74057,-2433
2013-12-13,210,73705,-6
2013-12-16,210,72295,-673
2013-12-17,210,72445,278
2013-12-18,210,72913,542
2013-12-19,210,73251,708
2013-12-20,210,71766,-1287
2013-12-23,210,72261,713
2013-12-24,210,71524,591
2013-12-25,210,69429,-1251
2013-12-26,210,69649,220
2013-12-27,210,68817,-374
2013-12-30,210,70218,1835
2013-12-31,210,84239,4338
2014-01-02,210,83043,-957
2014-01-03,210,81645,-1313
2014-01-06,210,79252,-929
2014-01-07,210,79764,1078
2014-01-08,210,79845,560
2014-01-09,210,79716,-5
2014-01-10,210,79449,-428
2014-01-13,210,79136,-239
2014-01-14,210,78227,35
2014-01-15,210,78077,725
2014-01-16,210,75266,-1175
2014-01-17,210,75054,-353
2014-01-20,210,74460,212
2014-01-21,210,73837,-327
2014-01-22,210,71896,-2158
2014-01-23,210,71227,-172
2014-01-24,210,72044,1114
2014-01-27,210,73183,1925
2014-01-28,210,86944,2959
2014-01-29,210,88149,1205
2014-01-30,210,90772,3213
2014-02-07,210,95117,4546
2014-02-10,210,98943,4409
2014-02-11,210,100986,3887
2014-02-12,210,105111,5161
2014-02-13,210,105725,1598
2014-02-14,210,105726,270
2014-02-17,210,106747,2643
2014-02-18,210,106106,3601
2014-02-19,210,108052,1999
2014-02-20,210,109929,2064
2014-02-21,210,113264,3908
2014-02-24,210,112963,904
2014-02-25,210,114119,1453
2014-02-26,210,116178,2123
2014-02-27,210,116380,1035
2014-02-28,210,117690,1772
2014-03-03,210,119290,1962
2014-03-04,210,119938,789
2014-03-05,210,124565,5605
2014-03-06,210,125404,1379
2014-03-07,210,126279,1302
2014-03-10,210,122868,-1617
2014-03-11,210,125320,3572
2014-03-12,210,124296,695
2014-03-13,210,122279,-1132
2014-03-14,210,123410,822
2014-03-17,210,124044,1792
2014-03-18,210,123551,-144
2014-03-19,210,125464,1913
2014-03-20,210,126163,1951
2014-03-21,210,127041,2096
2014-03-24,210,127378,387
2014-03-25,210,128035,1066
2014-03-26,210,128624,800
2014-03-27,210,126817,-676
2014-03-28,210,126568,269
2014-03-31,210,126835,2131
2014-04-01,210,138730,841
2014-04-02,210,144246,5739
2014-04-03,210,143321,-363
2014-04-04,210,143764,42
2014-04-08,210,144892,1937
2014-04-09,210,145282,784
2014-04-10,210,147817,3232
2014-04-11,210,143337,-2935
2014-04-14,210,141491,-2317
2014-04-15,210,139468,-156
2014-04-16,210,126314,266
2014-04-17,210,128343,3282
2014-04-18,210,127891,86
2014-04-21,210,126057,-1118
2014-04-22,210,125631,-20
2014-04-23,210,126773,3569
2014-04-24,210,121891,-1557
2014-04-25,210,122051,-1478
2014-04-28,210,122263,919
2014-04-29,210,123991,2299
2014-04-30,210,123295,299
2014-05-05,210,124299,2845
