trading_date,AL_total_oi
2013-11-05,168332.0
2013-11-06,163894.0
2013-11-07,161482.0
2013-11-08,160964.0
2013-11-11,162294.0
2013-11-12,163980.0
2013-11-13,167646.0
2013-11-14,172210.0
2013-11-15,178634.0
2013-11-18,176208.0
2013-11-19,178788.0
2013-11-20,175666.0
2013-11-21,183286.0
2013-11-22,186192.0
2013-11-25,191722.0
2013-11-26,194436.0
2013-11-27,194732.0
2013-11-28,211376.0
2013-11-29,215586.0
2013-12-02,219520.0
2013-12-03,221956.0
2013-12-04,222258.0
2013-12-05,215180.0
2013-12-06,216320.0
2013-12-09,211986.0
2013-12-10,204256.0
2013-12-11,202250.0
2013-12-12,195834.0
2013-12-13,197456.0
2013-12-16,195582.0
2013-12-17,195106.0
2013-12-18,196414.0
2013-12-19,198796.0
2013-12-20,198742.0
2013-12-23,202806.0
2013-12-24,207030.0
2013-12-25,202976.0
2013-12-26,204998.0
2013-12-27,204874.0
2013-12-30,207984.0
2013-12-31,216020.0
2014-01-02,213342.0
2014-01-03,210478.0
2014-01-06,207422.0
2014-01-07,209798.0
2014-01-08,212432.0
2014-01-09,214630.0
2014-01-10,214668.0
2014-01-13,217276.0
2014-01-14,218642.0
2014-01-15,226452.0
2014-01-16,215210.0
2014-01-17,215628.0
2014-01-20,216654.0
2014-01-21,216144.0
2014-01-22,214970.0
2014-01-23,215848.0
2014-01-24,219998.0
2014-01-27,224500.0
2014-01-28,231076.0
2014-01-29,231216.0
2014-01-30,239532.0
2014-02-07,251218.0
2014-02-10,263798.0
2014-02-11,276640.0
2014-02-12,283118.0
2014-02-13,286674.0
2014-02-14,287544.0
2014-02-17,294324.0
2014-02-18,286382.0
2014-02-19,291430.0
2014-02-20,294118.0
2014-02-21,301566.0
2014-02-24,302126.0
2014-02-25,305612.0
2014-02-26,310286.0
2014-02-27,312920.0
2014-02-28,317850.0
2014-03-03,326636.0
2014-03-04,329756.0
2014-03-05,339802.0
2014-03-06,345324.0
2014-03-07,346486.0
2014-03-10,343610.0
2014-03-11,346516.0
2014-03-12,349818.0
2014-03-13,349966.0
2014-03-14,353820.0
2014-03-17,359026.0
2014-03-18,326408.0
2014-03-19,333046.0
2014-03-20,337442.0
2014-03-21,343584.0
2014-03-24,346734.0
2014-03-25,345698.0
2014-03-26,347778.0
2014-03-27,348348.0
2014-03-28,349544.0
2014-03-31,349378.0
2014-04-01,350034.0
2014-04-02,365806.0
2014-04-03,364592.0
2014-04-04,367450.0
2014-04-08,370400.0
2014-04-09,370124.0
2014-04-10,381394.0
2014-04-11,379848.0
2014-04-14,375672.0
2014-04-15,374776.0
2014-04-16,334280.0
2014-04-17,342236.0
2014-04-18,341378.0
2014-04-21,341076.0
2014-04-22,341836.0
2014-04-23,351852.0
2014-04-24,351304.0
2014-04-25,339116.0
2014-04-28,339206.0
2014-04-29,341692.0
2014-04-30,337418.0
2014-05-05,335108.0
2014-05-06,341232.0
2014-05-07,348688.0
2014-05-08,350668.0
2014-05-09,348438.0
2014-05-12,352498.0
2014-05-13,353888.0
2014-05-14,347708.0
2014-05-15,341522.0
2014-05-16,311466.0
2014-05-19,308232.0
2014-05-20,303976.0
2014-05-21,306586.0
