trading_date,rank,volume,volume_change
2013-11-05,210,233277987,-859
2013-11-06,210,216606201,-974
2013-11-07,210,206567014,-1249
2013-11-08,210,204870167,-69
2013-11-11,210,189352113,-114
2013-11-12,210,188805306,138
2013-11-13,210,193575550,278
2013-11-14,210,191247483,360
2013-11-15,210,195640233,1967
2013-11-18,210,181590331,-356
2013-11-19,210,270486617,669
2013-11-20,210,252345898,-1955
2013-11-21,210,265322433,1487
2013-11-22,210,264906029,195
2013-11-25,210,268362182,1600
2013-11-26,210,261872554,-285
2013-11-27,210,256094944,-237
2013-11-28,210,285273253,3564
2013-11-29,210,280275124,187
2013-12-02,210,278032335,662
2013-12-03,210,269763700,-728
2013-12-04,210,248935624,-1670
2013-12-05,210,236828624,-1465
2013-12-06,210,232764277,-629
2013-12-09,210,213966945,-1448
2013-12-10,210,195842864,-1544
2013-12-11,210,253744822,-677
2013-12-12,210,237110426,-1573
2013-12-13,210,239975930,788
2013-12-16,210,239360953,-276
2013-12-17,210,224663612,-501
2013-12-18,210,223589698,245
2013-12-19,210,220345372,460
2013-12-20,210,213208920,-966
2013-12-23,210,214782268,354
2013-12-24,210,216306244,-356
2013-12-25,210,208658582,-1230
2013-12-26,210,210546418,550
2013-12-27,210,204666503,-407
2013-12-30,210,208393492,1460
2013-12-31,210,297000635,2779
2014-01-02,210,290293947,-640
2014-01-03,210,277130183,-929
2014-01-06,210,267259859,-1395
2014-01-07,210,253613701,341
2014-01-08,210,250134173,48
2014-01-09,210,251171805,566
2014-01-10,210,249446344,-52
2014-01-13,210,252702527,217
2014-01-14,210,252037330,-612
2014-01-15,210,248727745,-332
2014-01-16,210,200219900,-1895
2014-01-17,210,197957322,-40
2014-01-20,210,199315147,919
2014-01-21,210,198017739,84
2014-01-22,210,194404158,-583
2014-01-23,210,197175843,-312
2014-01-24,210,198083977,142
2014-01-27,210,199821480,770
2014-01-28,210,305950454,2220
2014-01-29,210,304283031,136
2014-01-30,210,316053593,845
2014-02-07,210,323321582,528
2014-02-10,210,326416547,1302
2014-02-11,210,339076491,2129
2014-02-12,210,359692046,2559
2014-02-13,210,357452687,413
2014-02-14,210,356147261,-39
2014-02-17,210,388638517,4005
2014-02-18,210,369855527,2144
2014-02-19,210,370940070,706
2014-02-20,210,364983905,718
2014-02-21,210,395074477,4298
2014-02-24,210,406224211,1750
2014-02-25,210,402220916,-60
2014-02-26,210,411395890,2310
2014-02-27,210,419128862,1566
2014-02-28,210,433113388,2304
2014-03-03,210,458670872,4000
2014-03-04,210,474750641,1635
2014-03-05,210,505482807,5161
2014-03-06,210,518694476,2307
2014-03-07,210,529285679,1687
2014-03-10,210,552603004,897
2014-03-11,210,563759491,953
2014-03-12,210,568348246,178
2014-03-13,210,567852141,673
2014-03-14,210,564770514,-336
2014-03-17,210,554807312,282
2014-03-18,210,544232289,3178
2014-03-19,210,568571167,2175
2014-03-20,210,584083378,1626
2014-03-21,210,594510384,544
2014-03-24,210,598623521,-136
2014-03-25,210,593330196,-542
2014-03-26,210,595666078,53
2014-03-27,210,594003626,241
2014-03-28,210,598328229,417
2014-03-31,210,588201511,292
2014-04-01,210,726312812,1887
2014-04-02,210,766977863,6583
2014-04-03,210,757349706,67
2014-04-04,210,782237030,1748
2014-04-08,210,787189812,1379
2014-04-09,210,800331501,1023
2014-04-10,210,820364937,2186
2014-04-11,210,776461189,25
2014-04-14,210,766171040,-441
2014-04-15,210,730906063,1432
2014-04-16,210,588699166,-207
2014-04-17,210,635272293,2779
2014-04-18,210,638715343,766
2014-04-21,210,637431951,223
2014-04-22,210,627195916,-343
2014-04-23,210,620852840,2280
2014-04-24,210,589701271,-1295
2014-04-25,210,520523902,-3351
2014-04-28,210,500327486,-1486
2014-04-29,210,501849479,1202
2014-04-30,210,511981471,-105
2014-05-05,210,514363805,435
2014-05-06,210,527658529,1055
2014-05-07,210,526142255,2403
2014-05-08,210,535644556,1702
2014-05-09,210,528823079,-980
2014-05-12,210,508945645,1135
2014-05-13,210,510691946,1132
2014-05-14,210,491451402,104
2014-05-15,210,501945347,300
2014-05-16,210,387695770,-337
2014-05-19,210,479128580,-349
2014-05-20,210,492232114,562
2014-05-21,210,501004073,-196
2014-05-22,210,515981757,169
2014-05-23,210,438707588,-1534
2014-05-26,210,400884565,3760
2014-05-27,210,424733304,3770
2014-05-28,210,433975744,3619
2014-05-29,210,435241074,1638
2014-05-30,210,423023157,2089
2014-06-03,210,409250954,-742
2014-06-04,210,436286410,2910
2014-06-05,210,437957228,949
2014-06-06,210,428089674,156
2014-06-09,210,482984329,15772
2014-06-10,210,519288389,3969
2014-06-11,210,579746093,5138
2014-06-12,210,572910739,-3
2014-06-13,210,549903413,-970
2014-06-16,210,532805886,-472
2014-06-17,210,494483092,-197
2014-06-18,210,475029982,-1621
