trading_date,rank,volume,volume_change
2013-11-05,210,437040288,-765
2013-11-06,210,394926407,-2540
2013-11-07,210,383558625,-423
2013-11-08,210,383981545,-358
2013-11-11,210,386945971,327
2013-11-12,210,373142550,-116
2013-11-13,210,366276459,-172
2013-11-14,210,364598626,1212
2013-11-15,210,375507993,1800
2013-11-18,210,372378323,89
2013-11-19,210,560128625,480
2013-11-20,210,510220552,-732
2013-11-21,210,531545436,2606
2013-11-22,210,550200252,1064
2013-11-25,210,568656264,1635
2013-11-26,210,562089104,-186
2013-11-27,210,562730545,24
2013-11-28,210,556755065,3457
2013-11-29,210,559461398,957
2013-12-02,210,558128267,881
2013-12-03,210,504018839,-537
2013-12-04,210,476043981,-612
2013-12-05,210,458542134,-1691
2013-12-06,210,445574762,-196
2013-12-09,210,406088076,-2863
2013-12-10,210,374669630,-1848
2013-12-11,210,547368604,504
2013-12-12,210,532525367,-2433
2013-12-13,210,523419483,-6
2013-12-16,210,514128035,-673
2013-12-17,210,527511159,278
2013-12-18,210,538620029,542
2013-12-19,210,537012319,708
2013-12-20,210,490309174,-1287
2013-12-23,210,500682669,713
2013-12-24,210,499599896,591
2013-12-25,210,466227563,-1251
2013-12-26,210,467597713,220
2013-12-27,210,438379845,-374
2013-12-30,210,467080320,1835
2013-12-31,210,668326725,4338
2014-01-02,210,663582515,-957
2014-01-03,210,665671049,-1313
2014-01-06,210,656593550,-929
2014-01-07,210,650534744,1078
2014-01-08,210,653471269,560
2014-01-09,210,655418846,-5
2014-01-10,210,640484341,-428
2014-01-13,210,639006866,-239
2014-01-14,210,628395691,35
2014-01-15,210,609473531,725
2014-01-16,210,556947226,-1175
2014-01-17,210,530587706,-353
2014-01-20,210,503753194,212
2014-01-21,210,506273413,-327
2014-01-22,210,484985612,-2158
2014-01-23,210,490228283,-172
2014-01-24,210,491246458,1114
2014-01-27,210,482795489,1925
2014-01-28,210,646545754,2959
2014-01-29,210,669954387,1205
2014-01-30,210,710974888,3213
2014-02-07,210,763028339,4546
2014-02-10,210,841821293,4409
2014-02-11,210,869784696,3887
2014-02-12,210,923790467,5161
2014-02-13,210,940310245,1598
2014-02-14,210,934931088,270
2014-02-17,210,968200103,2643
2014-02-18,210,978786962,3601
2014-02-19,210,1011633410,1999
2014-02-20,210,1063751619,2064
2014-02-21,210,1131401818,3908
2014-02-24,210,1160241567,904
2014-02-25,210,1199435179,1453
2014-02-26,210,1252847942,2123
2014-02-27,210,1272732016,1035
2014-02-28,210,1304510084,1772
2014-03-03,210,1377353746,1962
2014-03-04,210,1402612286,789
2014-03-05,210,1517891345,5605
2014-03-06,210,1588510972,1379
2014-03-07,210,1647556837,1302
2014-03-10,210,1637568792,-1617
2014-03-11,210,1656124494,3572
2014-03-12,210,1636798758,695
2014-03-13,210,1584666681,-1132
2014-03-14,210,1605493672,822
2014-03-17,210,1616664424,1792
2014-03-18,210,1642161217,-144
2014-03-19,210,1667433034,1913
2014-03-20,210,1641986431,1951
2014-03-21,210,1642807767,2096
2014-03-24,210,1642313398,387
2014-03-25,210,1620454387,1066
2014-03-26,210,1601623364,800
2014-03-27,210,1587571229,-676
2014-03-28,210,1587746502,269
2014-03-31,210,1601905387,2131
2014-04-01,210,1808378938,841
2014-04-02,210,1897872568,5739
2014-04-03,210,1852542735,-363
2014-04-04,210,1833530408,42
2014-04-08,210,1869162306,1937
2014-04-09,210,1890240262,784
2014-04-10,210,1942446317,3232
2014-04-11,210,1828906487,-2935
2014-04-14,210,1747622915,-2317
2014-04-15,210,1686997836,-156
2014-04-16,210,1475062246,266
2014-04-17,210,1473666355,3282
2014-04-18,210,1467812245,86
2014-04-21,210,1423135325,-1118
2014-04-22,210,1385386665,-20
2014-04-23,210,1379203225,3569
2014-04-24,210,1342849555,-1557
2014-04-25,210,1356395291,-1478
2014-04-28,210,1367051053,919
2014-04-29,210,1406492375,2299
2014-04-30,210,1452315629,299
2014-05-05,210,1430159705,2845
2014-05-06,210,1468771634,2112
2014-05-07,210,1529707601,4266
2014-05-08,210,1486434977,-525
2014-05-09,210,1464599946,-617
2014-05-12,210,1493973063,2041
2014-05-13,210,1520775617,596
2014-05-14,210,1481222623,-2330
2014-05-15,210,1414036940,-2406
2014-05-16,210,1284296723,-1528
2014-05-19,210,1489112698,-1136
2014-05-20,210,1464689650,-1509
2014-05-21,210,1468098465,406
2014-05-22,210,1466393044,-335
2014-05-23,210,1250595324,-409
2014-05-26,210,1316552698,6627
2014-05-27,210,1334990186,1130
2014-05-28,210,1409102182,4454
2014-05-29,210,1388551628,-384
2014-05-30,210,1412425442,2782
2014-06-03,210,1431874255,843
2014-06-04,210,1465436193,779
2014-06-05,210,1473626943,469
2014-06-06,210,1477128803,-385
2014-06-09,210,1737315354,17711
2014-06-10,210,2188691232,1064
2014-06-11,210,2294596223,5173
2014-06-12,210,2158088541,-5489
2014-06-13,210,2075313032,-3920
2014-06-16,210,1982594174,-3163
2014-06-17,210,1759491249,-1243
2014-06-18,210,1701825309,-2002
2014-06-19,210,1647121288,-989
2014-06-20,210,1684668643,1869
2014-06-23,210,1622435240,-1223
2014-06-24,210,1654879214,1640
2014-06-25,210,1648302804,1195
2014-06-26,210,1615362053,-449
2014-06-27,210,1661492363,1020
2014-06-30,210,1663194967,-377
2014-07-01,210,1670775995,-489
2014-07-02,210,1616850493,-3419
2014-07-03,210,1612481654,1761
2014-07-04,210,1652425394,1798
2014-07-07,210,1623015763,-1282
2014-07-08,210,1598654981,502
2014-07-09,210,1545378379,-2536
2014-07-10,210,1505630813,-1342
2014-07-11,210,1461380696,-379
2014-07-14,210,1363399272,-1907
2014-07-15,210,1319090393,-939
2014-07-16,210,1147799924,-734
2014-07-17,210,1044494969,-1471
2014-07-18,210,1031479883,-1692
2014-07-21,210,1142096296,5100
2014-07-22,210,1139814130,3478
2014-07-23,210,1168374632,1969
2014-07-24,210,1157267475,-1019
2014-07-25,210,1176745405,3212
2014-07-28,210,1128394473,-479
2014-07-29,210,1095241944,-2237
2014-07-30,210,961531379,-5916
2014-07-31,210,986207764,2830
2014-08-01,210,964908880,-1257
2014-08-04,210,924858629,52
2014-08-05,210,909927689,339
2014-08-06,210,863751823,-2850
2014-08-07,210,828775494,-1173
2014-08-08,210,820285671,-886
2014-08-11,210,795517643,-513
2014-08-12,210,834594690,3358
2014-08-13,210,812620502,-487
2014-08-14,210,755649029,-3233
2014-08-15,210,685822026,-337
2014-08-18,210,632816247,372
2014-08-19,210,657709374,2265
2014-08-20,210,658293502,1329
2014-08-21,210,732852457,4756
2014-08-22,210,737231057,1357
2014-08-25,210,724670541,-487
2014-08-26,210,745645620,1298
2014-08-27,210,729155347,1890
2014-08-28,210,706774494,-1391
2014-08-29,210,810050344,6472
2014-09-01,210,864776910,2010
2014-09-02,210,1084427179,15573
2014-09-03,210,1161583015,4049
2014-09-04,210,1224303352,4160
2014-09-05,210,1213385829,-135
2014-09-09,210,1241164579,1003
2014-09-10,210,1265957326,1032
2014-09-11,210,1247580418,-2163
2014-09-12,210,1183191324,-3548
2014-09-15,210,1127746919,-1270
2014-09-16,210,955672306,-4390
2014-09-17,210,941623412,1701
2014-09-18,210,864207361,-3855
2014-09-19,210,819744483,-2750
2014-09-22,210,823002312,-493
2014-09-23,210,809514521,189
2014-09-24,210,788219699,-366
2014-09-25,210,737081632,-1688
2014-09-26,210,746962291,-48
2014-09-29,210,690526130,-1768
2014-09-30,210,626496973,-344
2014-10-08,210,598189606,-128
2014-10-09,210,523643117,799
2014-10-10,210,563918040,-1187
2014-10-13,210,507447606,-1248
2014-10-14,210,473625870,-445
2014-10-15,210,456155280,-924
2014-10-16,210,422319769,2697
2014-10-17,210,395708024,1647
2014-10-20,210,367684523,-2479
2014-10-21,210,371995587,-145
2014-10-22,210,389696326,6873
2014-10-23,210,405188677,1256
2014-10-24,210,411391133,2246
2014-10-27,210,406698729,32
2014-10-28,210,403861034,-523
2014-10-29,210,398811587,368
2014-10-30,210,481312199,3437
2014-10-31,210,525229306,3286
2014-11-03,210,547690722,2521
2014-11-04,210,610471430,3968
2014-11-05,210,601043963,-836
2014-11-06,210,587711741,1319
2014-11-07,210,573524462,-807
2014-11-10,210,539787795,2512
2014-11-11,210,526958850,1987
2014-11-12,210,515662551,1323
2014-11-13,210,534167795,2164
2014-11-14,210,468792418,-2336
2014-11-17,210,456077865,-5
2014-11-18,210,424493206,-223
2014-11-19,210,403226650,-2967
2014-11-20,210,417876490,1550
2014-11-21,210,445264434,2205
2014-11-24,210,476815219,2451
2014-11-25,210,497609661,549
2014-11-26,210,495187021,-1248
2014-11-27,210,497101298,1074
2014-11-28,210,511025673,-1631
2014-12-01,210,483197722,-54
2014-12-02,210,483150328,1457
2014-12-03,210,471104330,1257
2014-12-04,210,493833979,870
2014-12-05,210,466847138,-2959
2014-12-08,210,485478083,987
2014-12-09,210,494405351,1470
2014-12-10,210,530580897,2112
2014-12-11,210,652415316,1525
2014-12-12,210,624474315,341
2014-12-15,210,632668314,826
2014-12-16,210,583294856,-59
2014-12-17,210,606668394,1734
2014-12-18,210,688838630,4785
2014-12-19,210,696435659,544
2014-12-22,210,731516120,-560
2014-12-23,210,770201316,2657
2014-12-24,210,781339785,1093
2014-12-25,210,798768024,1312
2014-12-26,210,825077989,-209
2014-12-29,210,845878905,1214
2014-12-30,210,906757909,2775
2014-12-31,210,940752479,3080
2015-01-05,210,975050066,4293
2015-01-06,210,1134440856,7647
2015-01-07,210,1169122061,3328
2015-01-08,210,1215035884,2215
2015-01-09,210,1255954604,1678
2015-01-12,210,1245319255,571
2015-01-13,210,1164287939,-1921
2015-01-14,210,1052262350,-1587
2015-01-15,210,1051483093,239
2015-01-16,210,1048734842,1808
2015-01-19,210,1083518954,3925
2015-01-20,210,1119840586,876
2015-01-21,210,1147496017,2288
