trading_date,rank,volume,volume_change
2017-12-22,210,6635,6635
2017-12-25,210,9847,4153
2017-12-26,210,8074,-1271
2017-12-27,210,7035,-606
2017-12-28,210,6370,-386
2017-12-29,210,5741,-546
2018-01-02,210,5199,-311
2018-01-03,210,5063,-136
2018-01-04,210,4976,-57
2018-01-05,210,4563,-334
2018-01-08,210,4347,-196
2018-01-09,210,5724,1594
2018-01-10,210,5756,95
2018-01-11,210,6582,920
2018-01-12,210,7435,887
2018-01-15,210,7363,278
2018-01-16,210,8091,1155
2018-01-17,210,8862,1409
2018-01-18,210,9237,478
2018-01-19,210,9149,57
2018-01-22,210,8996,-22
2018-01-23,210,8403,-372
2018-01-24,210,8643,287
2018-01-25,210,9091,550
2018-01-26,210,8676,-185
2018-01-29,210,9728,1453
2018-01-30,210,10730,1430
2018-01-31,210,10969,467
2018-02-01,210,11145,350
2018-02-02,210,12678,1751
2018-02-05,210,14165,1580
2018-02-06,210,15810,1976
2018-02-07,210,21876,6420
2018-02-08,210,17766,-3169
2018-02-09,210,19055,1379
2018-02-12,210,19311,283
2018-02-13,210,19306,47
2018-02-14,210,19936,1146
2018-02-22,210,24307,4668
2018-02-23,210,25799,2780
2018-02-26,210,21666,-2285
2018-02-27,210,24296,4976
2018-02-28,210,25130,2263
2018-03-01,210,25041,1492
2018-03-02,210,27801,4759
2018-03-05,210,28379,955
2018-03-06,210,29677,2300
2018-03-07,210,26999,-2020
2018-03-08,210,26922,402
2018-03-09,210,27194,1430
2018-03-12,210,28002,2883
2018-03-13,210,25815,-782
2018-03-14,210,25612,836
2018-03-15,210,27847,2795
2018-03-16,210,30043,2741
2018-03-19,210,28416,-1143
2018-03-20,210,26391,-1627
2018-03-21,210,27115,1057
2018-03-22,210,25436,-1568
2018-03-23,210,27260,2588
2018-03-26,210,31059,3850
2018-03-27,210,27821,-2174
2018-03-28,210,30547,3055
2018-03-29,210,28662,-1008
2018-03-30,210,27845,202
2018-04-02,210,33703,5956
2018-04-03,210,29220,-3319
2018-04-04,210,28345,-199
2018-04-09,210,28650,840
2018-04-10,210,36056,8403
2018-04-11,210,43946,9034
2018-04-12,210,46680,3811
2018-04-13,210,49600,3062
2018-04-16,210,50913,1492
2018-04-17,210,48485,-2210
2018-04-18,210,52263,3783
2018-04-19,210,51414,-261
2018-04-20,210,54579,3345
2018-04-23,210,74028,20413
2018-04-24,210,75206,1343
2018-04-25,210,78961,4494
2018-04-26,210,95916,19215
2018-04-27,210,95500,583
2018-05-02,210,113021,19209
2018-05-03,210,118087,6509
2018-05-04,210,111396,-6125
2018-05-07,210,118736,7437
2018-05-08,210,138909,20488
2018-05-09,210,142925,5004
2018-05-10,210,139631,-1958
2018-05-11,210,139840,2188
2018-05-14,210,163268,24350
2018-05-15,210,162410,-844
2018-05-16,210,150992,-9326
2018-05-17,210,171199,20983
2018-05-18,210,182298,12322
2018-05-21,210,203955,23431
2018-05-22,210,239252,42673
2018-05-23,210,250901,15045
2018-05-24,210,252655,5156
2018-05-25,210,257445,9200
2018-05-28,210,259663,3190
2018-05-29,210,278521,21440
2018-05-30,210,267279,-10593
2018-05-31,210,288982,22839
2018-06-01,210,262239,-26521
2018-06-04,210,268939,7321
2018-06-05,210,290791,22305
2018-06-06,210,254508,-34246
2018-06-07,210,259320,5143
2018-06-08,210,290458,34037
2018-06-11,210,243372,-44361
2018-06-12,210,299179,57412
2018-06-13,210,272535,-25559
2018-06-14,210,229994,-37834
2018-06-15,210,247701,17766
2018-06-19,210,245935,-1766
2018-06-20,210,230942,-12117
2018-06-21,210,160300,-60281
2018-06-22,210,154602,-4145
2018-06-25,210,149146,-4695
2018-06-26,210,141605,-7533
2018-06-27,210,140497,-154
2018-06-28,210,139524,-950
2018-06-29,210,135194,-4330
2018-07-02,210,128295,-2591
2018-07-03,210,136313,8787
2018-07-04,210,131627,-4686
2018-07-05,210,126701,-4926
2018-07-06,210,124200,-2501
2018-07-09,210,134173,10514
2018-07-10,210,134281,108
2018-07-11,210,134134,-147
2018-07-12,210,128455,-4176
2018-07-13,210,124264,-3834
2018-07-16,210,124457,193
2018-07-17,210,124394,257
2018-07-18,210,130567,6918
2018-07-19,210,141034,10467
2018-07-20,210,138286,-2469
2018-07-23,210,132264,-5859
2018-07-24,210,133446,1182
2018-07-25,210,128953,-3929
2018-07-26,210,128770,-183
2018-07-27,210,125082,-3688
2018-07-30,210,126537,1455
2018-07-31,210,132665,6128
2018-08-01,210,133462,797
2018-08-02,210,132476,-986
2018-08-03,210,132941,1241
2018-08-06,210,131740,-866
2018-08-07,210,123416,-7414
2018-08-08,210,122873,-537
2018-08-09,210,120118,-2755
2018-08-10,210,119012,-925
2018-08-13,210,117509,-1400
2018-08-14,210,118417,908
2018-08-15,210,117470,-947
2018-08-16,210,113206,-4264
2018-08-17,210,113653,2641
2018-08-20,210,108158,-5471
2018-08-21,210,108485,1007
2018-08-22,210,109296,1125
2018-08-23,210,99880,-8294
2018-08-24,210,97451,-2189
2018-08-27,210,109652,13435
2018-08-28,210,111148,1873
2018-08-29,210,111276,128
2018-08-30,210,113707,2868
2018-08-31,210,117503,3897
2018-09-03,210,114176,-3327
2018-09-04,210,111590,-1805
2018-09-05,210,110768,-822
2018-09-06,210,111878,1484
2018-09-07,210,109659,-2152
2018-09-10,210,115218,5559
2018-09-11,210,111708,-3247
2018-09-12,210,116701,5131
2018-09-13,210,115723,-896
2018-09-14,210,116547,824
2018-09-17,210,115059,-1255
2018-09-18,210,115302,336
2018-09-19,210,126882,12482
2018-09-20,210,126053,-545
2018-09-21,210,125016,-1007
2018-09-25,210,115310,-7571
2018-09-26,210,118675,3683
2018-09-27,210,108532,-9020
2018-09-28,210,106922,-895
2018-10-08,210,108065,1206
2018-10-09,210,107099,-966
2018-10-10,210,109319,2220
2018-10-11,210,106689,-2556
2018-10-12,210,105890,-264
2018-10-15,210,107251,1361
2018-10-16,210,100869,-5361
2018-10-17,210,102176,1307
2018-10-18,210,101556,50
2018-10-19,210,94732,-6332
2018-10-22,210,98092,3935
2018-10-23,210,96435,-513
2018-10-24,210,97343,908
2018-10-25,210,97052,-291
2018-10-26,210,104860,8326
2018-10-29,210,105094,291
2018-10-30,210,105442,348
2018-10-31,210,103705,-1131
2018-11-01,210,100398,-2692
2018-11-02,210,102247,2150
2018-11-05,210,103693,1734
2018-11-06,210,111215,8600
2018-11-07,210,108225,-2931
2018-11-08,210,110763,2538
2018-11-09,210,113730,3188
2018-11-12,210,111885,-1306
2018-11-13,210,112131,246
2018-11-14,210,112669,665
2018-11-15,210,112943,274
2018-11-16,210,110017,-2363
2018-11-19,210,108154,-1692
2018-11-20,210,107494,-497
2018-11-21,210,108203,755
2018-11-22,210,110165,1962
2018-11-23,210,109686,-479
2018-11-26,210,107189,-1667
2018-11-27,210,105213,-1842
2018-11-28,210,98727,-6253
2018-11-29,210,93497,-4809
2018-11-30,210,91305,-849
2018-12-03,210,91103,230
2018-12-04,210,88077,-3026
2018-12-05,210,90937,2860
2018-12-06,210,90068,-869
2018-12-07,210,88052,-1900
2018-12-10,210,88229,301
2018-12-11,210,88205,-24
2018-12-12,210,88970,765
2018-12-13,210,88128,-623
2018-12-14,210,86574,-1554
2018-12-17,210,87381,807
2018-12-18,210,86078,-1303
2018-12-19,210,81576,-3187
2018-12-20,210,81461,-115
2018-12-21,210,78287,-2826
2018-12-24,210,78732,515
2018-12-25,210,76305,-2427
2018-12-26,210,74210,-2095
2018-12-27,210,71919,-2291
2018-12-28,210,69666,-2056
2019-01-02,210,70379,879
2019-01-03,210,69606,-452
2019-01-04,210,65148,-3648
2019-01-07,210,68459,3679
2019-01-08,210,71296,2856
2019-01-09,210,68597,-2564
2019-01-10,210,68076,-453
2019-01-11,210,69230,1247
2019-01-14,210,70995,1903
2019-01-15,210,71204,209
2019-01-16,210,72377,1886
2019-01-17,210,75083,2706
2019-01-18,210,74120,-963
2019-01-21,210,71567,-2553
2019-01-22,210,72359,792
2019-01-23,210,71698,-387
2019-01-24,210,75957,5485
2019-01-25,210,73195,-1398
2019-01-28,210,72913,-34
2019-01-29,210,70687,-2134
2019-01-30,210,69118,-1524
2019-01-31,210,66323,-1988
2019-02-01,210,61368,-3212
2019-02-11,210,63675,2768
2019-02-12,210,67382,3776
2019-02-13,210,66196,-1076
2019-02-14,210,65622,-574
2019-02-15,210,66747,1125
2019-02-18,210,67070,323
2019-02-19,210,67406,420
2019-02-20,210,68205,946
2019-02-21,210,69428,1247
2019-02-22,210,68967,-129
2019-02-25,210,68506,-387
2019-02-26,210,67725,-452
2019-02-27,210,68820,1708
2019-02-28,210,68835,64
2019-03-01,210,68060,151
2019-03-04,210,67924,252
2019-03-05,210,66272,-1652
2019-03-06,210,66097,3
2019-03-07,210,66647,810
2019-03-08,210,65548,-1074
2019-03-11,210,64270,-601
2019-03-12,210,65416,1220
2019-03-13,210,65223,-193
2019-03-14,210,65040,-30
2019-03-15,210,64493,-527
2019-03-18,210,67549,3425
2019-03-19,210,68166,617
2019-03-20,210,67481,-403
2019-03-21,210,67440,30
2019-03-22,210,66398,-922
2019-03-25,210,67030,812
2019-03-26,210,66952,-78
2019-03-27,210,67645,693
2019-03-28,210,67198,-259
2019-03-29,210,67449,865
2019-04-01,210,64852,-2505
2019-04-02,210,63462,-1105
2019-04-03,210,62955,18
2019-04-04,210,61407,-1276
2019-04-08,210,62397,990
2019-04-09,210,62623,226
2019-04-10,210,63401,848
2019-04-11,210,63771,396
2019-04-12,210,65175,1728
2019-04-15,210,65710,939
2019-04-16,210,65491,-41
2019-04-17,210,66068,577
2019-04-18,210,64005,-2063
2019-04-19,210,68438,4867
2019-04-22,210,69397,1011
2019-04-23,210,68292,-668
2019-04-24,210,67853,-254
2019-04-25,210,66888,-667
2019-04-26,210,65029,-1859
2019-04-29,210,65326,1161
2019-04-30,210,60530,-4796
2019-05-06,210,59201,-725
2019-05-07,210,59563,661
2019-05-08,210,60018,538
2019-05-09,210,61363,1633
2019-05-10,210,60644,-591
2019-05-13,210,67844,7215
2019-05-14,210,64067,-2669
2019-05-15,210,66241,2437
2019-05-16,210,68585,2451
2019-05-17,210,67493,-1038
2019-05-20,210,68211,718
2019-05-21,210,67779,-193
2019-05-22,210,68168,406
2019-05-23,210,67289,245
2019-05-24,210,67811,944
2019-05-27,210,66456,-259
2019-05-28,210,67030,1161
2019-05-29,210,66112,-497
2019-05-30,210,67785,1764
2019-05-31,210,66161,-997
2019-06-03,210,67548,1661
2019-06-04,210,68464,916
2019-06-05,210,69758,1294
2019-06-06,210,67669,-979
2019-06-10,210,71523,4070
2019-06-11,210,68596,-2830
2019-06-12,210,70250,2055
2019-06-13,210,71106,1452
2019-06-14,210,71136,416
2019-06-17,210,70743,-204
2019-06-18,210,74206,3524
2019-06-19,210,74408,202
2019-06-20,210,72834,-1187
2019-06-21,210,70086,-2341
2019-06-24,210,69384,-72
2019-06-25,210,68669,-715
2019-06-26,210,67037,-1632
2019-06-27,210,68786,2672
2019-06-28,210,69416,1309
2019-07-01,210,69446,30
2019-07-02,210,70084,638
2019-07-03,210,68710,-1345
2019-07-04,210,72397,4660
2019-07-05,210,70770,-1627
2019-07-08,210,76687,6699
2019-07-09,210,72627,-3695
2019-07-10,210,72019,-596
2019-07-11,210,71956,258
2019-07-12,210,71364,177
2019-07-15,210,68089,-2573
2019-07-16,210,70410,2368
2019-07-17,210,68823,-1587
2019-07-18,210,70318,1495
2019-07-19,210,68226,-2082
2019-07-22,210,68054,-48
2019-07-23,210,71545,3959
2019-07-24,210,66922,-4623
2019-07-25,210,65431,-1491
2019-07-26,210,65243,123
2019-07-29,210,63699,-1218
2019-07-30,210,63862,163
2019-07-31,210,62208,-1654
2019-08-01,210,64450,2242
2019-08-02,210,63531,-371
2019-08-05,210,63903,867
2019-08-06,210,65675,2234
2019-08-07,210,62303,-3041
2019-08-08,210,62859,664
