trading_date,rank,volume,volume_change
2017-12-22,210,7903,7903
2017-12-25,210,10655,3454
2017-12-26,210,9237,-804
2017-12-27,210,8012,-441
2017-12-28,210,6437,-1396
2017-12-29,210,6192,-101
2018-01-02,210,5438,-278
2018-01-03,210,5454,25
2018-01-04,210,5511,244
2018-01-05,210,4902,-432
2018-01-08,210,5003,423
2018-01-09,210,6423,1521
2018-01-10,210,6492,314
2018-01-11,210,8030,1661
2018-01-12,210,8938,939
2018-01-15,210,9519,742
2018-01-16,210,10805,1661
2018-01-17,210,11322,582
2018-01-18,210,11790,993
2018-01-19,210,11529,75
2018-01-22,210,11536,140
2018-01-23,210,11100,-57
2018-01-24,210,11202,216
2018-01-25,210,11503,301
2018-01-26,210,11037,-463
2018-01-29,210,11868,1057
2018-01-30,210,12979,1498
2018-01-31,210,13087,116
2018-02-01,210,13458,525
2018-02-02,210,14848,1588
2018-02-05,210,16423,1725
2018-02-06,210,18232,1922
2018-02-07,210,23109,5857
2018-02-08,210,18943,-3765
2018-02-09,210,19698,1410
2018-02-12,210,20941,1664
2018-02-13,210,20475,219
2018-02-14,210,21590,1303
2018-02-22,210,26786,5695
2018-02-23,210,27251,3336
2018-02-26,210,22367,-2870
2018-02-27,210,23269,2825
2018-02-28,210,24366,1282
2018-03-01,210,25738,1790
2018-03-02,210,27230,2416
2018-03-05,210,29594,3021
2018-03-06,210,30121,2712
2018-03-07,210,28893,-750
2018-03-08,210,28671,231
2018-03-09,210,28697,246
2018-03-12,210,29130,1456
2018-03-13,210,28457,329
2018-03-14,210,27511,-314
2018-03-15,210,31146,4227
2018-03-16,210,33200,2821
2018-03-19,210,30744,-2456
2018-03-20,210,29181,-938
2018-03-21,210,28976,-56
2018-03-22,210,25218,-2917
2018-03-23,210,25389,967
2018-03-26,210,28243,2892
2018-03-27,210,26059,-1948
2018-03-28,210,27073,1543
2018-03-29,210,26189,736
2018-03-30,210,26545,1341
2018-04-02,210,31691,5487
2018-04-03,210,28377,-2587
2018-04-04,210,30294,2387
2018-04-09,210,27402,-1655
2018-04-10,210,32587,5569
2018-04-11,210,38054,5535
2018-04-12,210,39727,3831
2018-04-13,210,41641,2668
2018-04-16,210,41785,1687
2018-04-17,210,39824,-1143
2018-04-18,210,43571,3970
2018-04-19,210,43077,328
2018-04-20,210,46178,3187
2018-04-23,210,62372,17359
2018-04-24,210,63523,2946
2018-04-25,210,68138,5110
2018-04-26,210,84011,16781
2018-04-27,210,84352,2520
2018-05-02,210,97797,14555
2018-05-03,210,104428,6974
2018-05-04,210,95596,-7494
2018-05-07,210,103145,8132
2018-05-08,210,121654,20133
2018-05-09,210,126002,4582
