trading_date,AP_total_oi
2017-12-22,28462.0
2017-12-25,39960.0
2017-12-26,33148.0
2017-12-27,27898.0
2017-12-28,23880.0
2017-12-29,21360.0
2018-01-02,18748.0
2018-01-03,18496.0
2018-01-04,17630.0
2018-01-05,15898.0
2018-01-08,15668.0
2018-01-09,21970.0
2018-01-10,21842.0
2018-01-11,26154.0
2018-01-12,29714.0
2018-01-15,30834.0
2018-01-16,34952.0
2018-01-17,38946.0
2018-01-18,40362.0
2018-01-19,39484.0
2018-01-22,38112.0
2018-01-23,35746.0
2018-01-24,36170.0
2018-01-25,36718.0
2018-01-26,34432.0
2018-01-29,39614.0
2018-01-30,43580.0
2018-01-31,43898.0
2018-02-01,45444.0
2018-02-02,50498.0
2018-02-05,56256.0
2018-02-06,62632.0
2018-02-07,87028.0
2018-02-08,69546.0
2018-02-09,74096.0
2018-02-12,77172.0
2018-02-13,76770.0
2018-02-14,80350.0
2018-02-22,101918.0
2018-02-23,102746.0
2018-02-26,84716.0
2018-02-27,92960.0
2018-02-28,96678.0
2018-03-01,100220.0
2018-03-02,109816.0
2018-03-05,113746.0
2018-03-06,125398.0
2018-03-07,116260.0
2018-03-08,113512.0
2018-03-09,113548.0
2018-03-12,116398.0
2018-03-13,110232.0
2018-03-14,108778.0
2018-03-15,125310.0
2018-03-16,128386.0
2018-03-19,118758.0
2018-03-20,111204.0
2018-03-21,112938.0
2018-03-22,103816.0
2018-03-23,105746.0
2018-03-26,117994.0
2018-03-27,108852.0
2018-03-28,113806.0
2018-03-29,107192.0
2018-03-30,106368.0
2018-04-02,129882.0
2018-04-03,118384.0
2018-04-04,114666.0
2018-04-09,107520.0
2018-04-10,130716.0
2018-04-11,157702.0
2018-04-12,170348.0
2018-04-13,179910.0
2018-04-16,185278.0
2018-04-17,170832.0
2018-04-18,185628.0
2018-04-19,186910.0
2018-04-20,202122.0
2018-04-23,272354.0
2018-04-24,283340.0
2018-04-25,289054.0
2018-04-26,361042.0
2018-04-27,356378.0
2018-05-02,423072.0
2018-05-03,447664.0
2018-05-04,409364.0
2018-05-07,435886.0
2018-05-08,522116.0
2018-05-09,537776.0
