trading_date,rank,volume,volume_change
2017-12-22,210,2483105,6635
2017-12-25,210,5600599,4153
2017-12-26,210,3620732,-1271
2017-12-27,210,2903937,-606
2017-12-28,210,2557380,-386
2017-12-29,210,2136445,-546
2018-01-02,210,1813255,-311
2018-01-03,210,1773983,-136
2018-01-04,210,1678468,-57
2018-01-05,210,1386603,-334
2018-01-08,210,1289157,-196
2018-01-09,210,2021458,1594
2018-01-10,210,2093982,95
2018-01-11,210,2563304,920
2018-01-12,210,3108447,887
2018-01-15,210,2981103,278
2018-01-16,210,3508841,1155
2018-01-17,210,4097606,1409
2018-01-18,210,4531407,478
2018-01-19,210,4483085,57
2018-01-22,210,4352638,-22
2018-01-23,210,3760343,-372
2018-01-24,210,3975013,287
2018-01-25,210,4538703,550
2018-01-26,210,4193398,-185
2018-01-29,210,5141220,1453
2018-01-30,210,6073018,1430
2018-01-31,210,6383621,467
2018-02-01,210,6568631,350
2018-02-02,210,8554816,1751
2018-02-05,210,10913227,1580
2018-02-06,210,13349792,1976
2018-02-07,210,26151850,6420
2018-02-08,210,17523422,-3169
2018-02-09,210,20604733,1379
2018-02-12,210,20715339,283
2018-02-13,210,20699148,47
2018-02-14,210,22599630,1146
2018-02-22,210,32723059,4668
2018-02-23,210,38325271,2780
2018-02-26,210,29513196,-2285
2018-02-27,210,33877738,4976
2018-02-28,210,34839858,2263
2018-03-01,210,35236041,1492
2018-03-02,210,42341157,4759
2018-03-05,210,44463437,955
2018-03-06,210,46520447,2300
2018-03-07,210,38958559,-2020
2018-03-08,210,38573968,402
2018-03-09,210,39667600,1430
2018-03-12,210,43838318,2883
2018-03-13,210,37190489,-782
2018-03-14,210,37306492,836
2018-03-15,210,43265019,2795
2018-03-16,210,51226937,2741
2018-03-19,210,44879854,-1143
2018-03-20,210,39357353,-1627
2018-03-21,210,41248293,1057
2018-03-22,210,35918040,-1568
2018-03-23,210,40189374,2588
2018-03-26,210,51932301,3850
2018-03-27,210,42591875,-2174
2018-03-28,210,50603219,3055
2018-03-29,210,45917226,-1008
2018-03-30,210,41719383,202
2018-04-02,210,60868215,5956
2018-04-03,210,46324088,-3319
2018-04-04,210,43450721,-199
2018-04-09,210,48634470,840
2018-04-10,210,79439652,8403
2018-04-11,210,129556688,9034
2018-04-12,210,145478906,3811
2018-04-13,210,156655046,3062
2018-04-16,210,162002809,1492
2018-04-17,210,142980435,-2210
2018-04-18,210,168814397,3783
2018-04-19,210,165155382,-261
2018-04-20,210,180403579,3345
2018-04-23,210,307082386,20413
2018-04-24,210,328614812,1343
2018-04-25,210,356653079,4494
2018-04-26,210,502989540,19215
2018-04-27,210,496241750,583
2018-05-02,210,693059725,19209
2018-05-03,210,759233329,6509
2018-05-04,210,690386254,-6125
2018-05-07,210,766724430,7437
2018-05-08,210,1041593445,20488
2018-05-09,210,1114978457,5004
2018-05-10,210,1059454517,-1958
2018-05-11,210,1082561892,2188
2018-05-14,210,1444671790,24350
2018-05-15,210,1427957890,-844
2018-05-16,210,1253564528,-9326
2018-05-17,210,1574057629,20983
2018-05-18,210,1789686716,12322
2018-05-21,210,2260318265,23431
2018-05-22,210,3116979554,42673
2018-05-23,210,3489074331,15045
2018-05-24,210,3604842679,5156
2018-05-25,210,3957093657,9200
2018-05-28,210,4047960701,3190
2018-05-29,210,4810876545,21440
2018-05-30,210,4689484795,-10593
2018-05-31,210,5833878432,22839
2018-06-01,210,4500128809,-26521
2018-06-04,210,4589516543,7321
2018-06-05,210,5836005005,22305
2018-06-06,210,4169970306,-34246
2018-06-07,210,4463691126,5143
2018-06-08,210,6171148082,34037
2018-06-11,210,4150429088,-44361
2018-06-12,210,5841068973,57412
2018-06-13,210,5268985453,-25559
2018-06-14,210,3264744548,-37834
2018-06-15,210,3793248935,17766
2018-06-19,210,4035842573,-1766
2018-06-20,210,4101704762,-12117
2018-06-21,210,1430571364,-60281
2018-06-22,210,1325574544,-4145
2018-06-25,210,1221447766,-4695
2018-06-26,210,1086277315,-7533
2018-06-27,210,1064173773,-154
2018-06-28,210,1058468392,-950
2018-06-29,210,969100200,-4330
2018-07-02,210,883679991,-2591
2018-07-03,210,1002060693,8787
2018-07-04,210,929905185,-4686
2018-07-05,210,849966051,-4926
2018-07-06,210,817051698,-2501
2018-07-09,210,943181083,10514
2018-07-10,210,953269505,108
2018-07-11,210,959065422,-147
2018-07-12,210,876296543,-4176
2018-07-13,210,808919946,-3834
2018-07-16,210,813085471,193
2018-07-17,210,804333298,257
2018-07-18,210,888591849,6918
2018-07-19,210,1041478760,10467
2018-07-20,210,998310320,-2469
2018-07-23,210,921098254,-5859
2018-07-24,210,941301980,1182
2018-07-25,210,885418269,-3929
2018-07-26,210,887853786,-183
2018-07-27,210,832381506,-3688
2018-07-30,210,847661107,1455
2018-07-31,210,934919495,6128
2018-08-01,210,952026446,797
2018-08-02,210,943445066,-986
2018-08-03,210,955646215,1241
2018-08-06,210,944494382,-866
2018-08-07,210,833775942,-7414
2018-08-08,210,815728009,-537
2018-08-09,210,791811590,-2755
2018-08-10,210,778516460,-925
2018-08-13,210,752972437,-1400
2018-08-14,210,760513567,908
2018-08-15,210,750781094,-947
2018-08-16,210,698986802,-4264
2018-08-17,210,709729687,2641
2018-08-20,210,641330376,-5471
2018-08-21,210,639739317,1007
2018-08-22,210,655372000,1125
2018-08-23,210,548307924,-8294
2018-08-24,210,511744263,-2189
2018-08-27,210,648491374,13435
2018-08-28,210,660708600,1873
2018-08-29,210,662297912,128
2018-08-30,210,688163993,2868
2018-08-31,210,741256673,3897
2018-09-03,210,705017962,-3327
2018-09-04,210,679867198,-1805
2018-09-05,210,660432778,-822
2018-09-06,210,679699820,1484
2018-09-07,210,641726417,-2152
2018-09-10,210,705578504,5559
2018-09-11,210,661469110,-3247
2018-09-12,210,729595171,5131
2018-09-13,210,713869963,-896
2018-09-14,210,718842305,824
2018-09-17,210,706660915,-1255
2018-09-18,210,710325138,336
2018-09-19,210,855418772,12482
2018-09-20,210,840694847,-545
2018-09-21,210,825586186,-1007
2018-09-25,210,701253454,-7571
2018-09-26,210,746069655,3683
2018-09-27,210,622405740,-9020
2018-09-28,210,603783672,-895
2018-10-08,210,616258017,1206
2018-10-09,210,603274131,-966
2018-10-10,210,633015413,2220
2018-10-11,210,600733479,-2556
2018-10-12,210,592958390,-264
2018-10-15,210,604987241,1361
2018-10-16,210,536329875,-5361
2018-10-17,210,562794202,1307
2018-10-18,210,553323334,50
2018-10-19,210,481440832,-6332
2018-10-22,210,517563764,3935
2018-10-23,210,499413415,-513
2018-10-24,210,515106525,908
2018-10-25,210,512544126,-291
2018-10-26,210,602374962,8326
2018-10-29,210,594299112,291
2018-10-30,210,601229160,348
2018-10-31,210,581575395,-1131
2018-11-01,210,551050204,-2692
2018-11-02,210,585007503,2150
2018-11-05,210,593967823,1734
2018-11-06,210,683471941,8600
2018-11-07,210,637732529,-2931
2018-11-08,210,667486265,2538
2018-11-09,210,694464486,3188
2018-11-12,210,673150975,-1306
2018-11-13,210,673027407,246
2018-11-14,210,679614591,665
2018-11-15,210,688757185,274
2018-11-16,210,655355691,-2363
2018-11-19,210,637512776,-1692
2018-11-20,210,628320958,-497
2018-11-21,210,645768307,755
2018-11-22,210,668519601,1962
2018-11-23,210,664138616,-479
2018-11-26,210,634032505,-1667
2018-11-27,210,612076855,-1842
2018-11-28,210,539797487,-6253
2018-11-29,210,480757097,-4809
