trading_date,rank,volume,volume_change
2017-12-22,210,4260739,7903
2017-12-25,210,7273713,3454
2017-12-26,210,4963143,-804
2017-12-27,210,4029568,-441
2017-12-28,210,2312127,-1396
2017-12-29,210,2137824,-101
2018-01-02,210,1705508,-278
2018-01-03,210,1730124,25
2018-01-04,210,1724855,244
2018-01-05,210,1386854,-432
2018-01-08,210,1533667,423
2018-01-09,210,2346897,1521
2018-01-10,210,2387720,314
2018-01-11,210,3535986,1661
2018-01-12,210,4265786,939
2018-01-15,210,4880151,742
2018-01-16,210,6631417,1661
2018-01-17,210,7429142,582
2018-01-18,210,8691678,993
2018-01-19,210,8366623,75
2018-01-22,210,8382252,140
2018-01-23,210,8063704,-57
2018-01-24,210,8366910,216
2018-01-25,210,9034903,301
2018-01-26,210,8193293,-463
2018-01-29,210,9262798,1057
2018-01-30,210,10919125,1498
2018-01-31,210,11351233,116
2018-02-01,210,12002858,525
2018-02-02,210,14437668,1588
2018-02-05,210,20258565,1725
2018-02-06,210,26101814,1922
2018-02-07,210,40256781,5857
2018-02-08,210,24452563,-3765
2018-02-09,210,25145688,1410
2018-02-12,210,28406837,1664
2018-02-13,210,27077643,219
2018-02-14,210,30590834,1303
2018-02-22,210,50774538,5695
2018-02-23,210,50557987,3336
2018-02-26,210,32744453,-2870
2018-02-27,210,34030833,2825
2018-02-28,210,35035480,1282
2018-03-01,210,37753312,1790
2018-03-02,210,39672162,2416
2018-03-05,210,47714554,3021
2018-03-06,210,48483307,2712
2018-03-07,210,44666847,-750
2018-03-08,210,43370141,231
2018-03-09,210,44291923,246
2018-03-12,210,45721202,1456
2018-03-13,210,44181695,329
2018-03-14,210,40013225,-314
2018-03-15,210,52196880,4227
2018-03-16,210,59748944,2821
2018-03-19,210,52663874,-2456
2018-03-20,210,48210407,-938
2018-03-21,210,47598724,-56
2018-03-22,210,37601458,-2917
2018-03-23,210,36488501,967
2018-03-26,210,47313091,2892
2018-03-27,210,39307087,-1948
2018-03-28,210,42318201,1543
2018-03-29,210,38708879,736
2018-03-30,210,39616309,1341
2018-04-02,210,55141497,5487
2018-04-03,210,43942115,-2587
2018-04-04,210,51068418,2387
2018-04-09,210,41321340,-1655
2018-04-10,210,58709883,5569
2018-04-11,210,80937502,5535
2018-04-12,210,89670421,3831
2018-04-13,210,96749179,2668
2018-04-16,210,97650299,1687
2018-04-17,210,89967366,-1143
2018-04-18,210,106421963,3970
2018-04-19,210,101854025,328
2018-04-20,210,115122154,3187
2018-04-23,210,205837132,17359
2018-04-24,210,218142071,2946
2018-04-25,210,246369528,5110
2018-04-26,210,389451103,16781
2018-04-27,210,393496224,2520
2018-05-02,210,525435815,14555
2018-05-03,210,597087456,6974
2018-05-04,210,514312742,-7494
2018-05-07,210,589577771,8132
2018-05-08,210,826553982,20133
2018-05-09,210,877644244,4582
2018-05-10,210,900861166,2188
2018-05-11,210,881809831,-1128
2018-05-14,210,1261427588,26040
2018-05-15,210,1146817130,-5238
2018-05-16,210,1080939071,-2278
2018-05-17,210,1367925704,18366
2018-05-18,210,1644494642,14636
2018-05-21,210,2125052827,24045
2018-05-22,210,3094043790,45408
2018-05-23,210,3498987342,12905
2018-05-24,210,3896054138,11273
2018-05-25,210,4189041583,5254
2018-05-28,210,4401939869,8769
2018-05-29,210,5264736737,21632
2018-05-30,210,4912307625,-14370
2018-05-31,210,5853824962,18208
2018-06-01,210,4500801012,-27674
2018-06-04,210,4650097121,9005
2018-06-05,210,6130221591,25346
2018-06-06,210,4279795247,-35396
2018-06-07,210,4596752275,6044
2018-06-08,210,6311560781,37799
2018-06-11,210,4192859054,-44743
2018-06-12,210,5789606890,56887
2018-06-13,210,5356124285,-21563
2018-06-14,210,3261509359,-41044
2018-06-15,210,3686276733,13855
2018-06-19,210,3967077677,2823
2018-06-20,210,3969702734,-7863
2018-06-21,210,1380704178,-69279
2018-06-22,210,1173273061,-11626
2018-06-25,210,1077640111,-4002
2018-06-26,210,1024899522,-2772
2018-06-27,210,998968461,-1016
2018-06-28,210,993610096,-425
2018-06-29,210,914756529,-4507
2018-07-02,210,805892372,-7186
2018-07-03,210,881267027,6092
2018-07-04,210,833740141,-3441
2018-07-05,210,787056990,-3258
2018-07-06,210,770440589,-669
2018-07-09,210,850538877,6280
2018-07-10,210,898303747,2947
2018-07-11,210,870572240,-918
2018-07-12,210,819019594,-4024
2018-07-13,210,771798989,-2246
2018-07-16,210,796554174,1617
2018-07-17,210,766718966,-863
2018-07-18,210,810823993,4993
2018-07-19,210,923503042,7811
2018-07-20,210,876843872,-1966
2018-07-23,210,848083349,-2865
2018-07-24,210,807451191,-1823
2018-07-25,210,822146175,-1024
2018-07-26,210,780730285,-1410
2018-07-27,210,701428093,-5422
2018-07-30,210,718927045,1152
2018-07-31,210,773814076,4681
2018-08-01,210,780418791,570
2018-08-02,210,779338604,361
2018-08-03,210,790342034,2707
2018-08-06,210,809254926,1345
2018-08-07,210,667009920,-9497
2018-08-08,210,680403460,1850
2018-08-09,210,660417737,-1053
2018-08-10,210,646680265,-1019
2018-08-13,210,631597078,-1187
2018-08-14,210,637544536,722
2018-08-15,210,630192065,-831
2018-08-16,210,602129735,-2137
2018-08-17,210,608379332,1004
2018-08-20,210,540231435,-5954
2018-08-21,210,530747908,23
2018-08-22,210,545169512,1709
2018-08-23,210,485184863,-4609
2018-08-24,210,473925969,-1760
2018-08-27,210,567693031,9083
2018-08-28,210,587310948,1907
2018-08-29,210,591891744,425
2018-08-30,210,601693812,1000
2018-08-31,210,641725489,3793
2018-09-03,210,609944650,-1969
2018-09-04,210,597638773,-1153
2018-09-05,210,611587567,1082
2018-09-06,210,596192465,-1882
2018-09-07,210,578231091,-1308
2018-09-10,210,604315427,3063
2018-09-11,210,572068049,-2838
2018-09-12,210,608502039,3828
2018-09-13,210,619037475,498
2018-09-14,210,618725842,-73
2018-09-17,210,603688113,-855
2018-09-18,210,573736599,-1685
2018-09-19,210,672562408,8722
2018-09-20,210,669435971,-537
2018-09-21,210,654016460,-1458
2018-09-25,210,583426844,-4338
2018-09-26,210,674083872,6150
2018-09-27,210,595419171,-6024
2018-09-28,210,570549088,-2127
2018-10-08,210,577016293,1287
2018-10-09,210,562067461,-834
2018-10-10,210,574586652,1369
2018-10-11,210,544013158,-2434
2018-10-12,210,552348313,1549
2018-10-15,210,608352075,6557
2018-10-16,210,575672301,-3300
2018-10-17,210,566338792,-1597
2018-10-18,210,561914837,-689
2018-10-19,210,515748977,-3655
2018-10-22,210,546816181,3733
2018-10-23,210,542460468,-683
2018-10-24,210,515891641,-2459
2018-10-25,210,518390959,-398
2018-10-26,210,541601863,3090
2018-10-29,210,569279391,2297
2018-10-30,210,571735322,691
2018-10-31,210,550168579,-1088
2018-11-01,210,533353122,-1037
2018-11-02,210,527339687,-575
2018-11-05,210,541566372,1545
2018-11-06,210,623702877,7881
2018-11-07,210,591967420,-2178
2018-11-08,210,598731052,614
2018-11-09,210,621689893,2099
2018-11-12,210,603199301,-1522
2018-11-13,210,605401703,502
2018-11-14,210,593141597,-607
2018-11-15,210,602547236,805
2018-11-16,210,580812658,-1878
2018-11-19,210,546488203,-2897
2018-11-20,210,545852086,137
2018-11-21,210,551604209,579
2018-11-22,210,544836921,806
2018-11-23,210,530263731,-694
2018-11-26,210,525918474,130
2018-11-27,210,534848075,706
2018-11-28,210,502002534,-3227
2018-11-29,210,440144349,-6168
2018-11-30,210,441582448,-676
2018-12-03,210,418408215,-1529
2018-12-04,210,392640323,-1851
2018-12-05,210,387553286,741
2018-12-06,210,384510221,-398
2018-12-07,210,377543117,344
2018-12-10,210,375147809,-474
2018-12-11,210,375124079,-349
2018-12-12,210,378122553,534
2018-12-13,210,379599751,1052
2018-12-14,210,370796984,-1415
2018-12-17,210,361729004,-813
2018-12-18,210,352965877,-924
2018-12-19,210,339954211,-1099
2018-12-20,210,341952221,461
2018-12-21,210,299805469,-4142
2018-12-24,210,300162542,41
2018-12-25,210,273931841,-3401
2018-12-26,210,270587127,-248
2018-12-27,210,251312570,-2409
2018-12-28,210,228367706,-2832
2019-01-02,210,246707984,3075
2019-01-03,210,244993141,-52
2019-01-04,210,220827653,-2904
2019-01-07,210,247870093,3727
2019-01-08,210,271345629,3802
2019-01-09,210,258822191,-1715
2019-01-10,210,259409101,392
2019-01-11,210,268272191,1236
2019-01-14,210,292684408,2059
2019-01-15,210,295675537,559
2019-01-16,210,301984139,1415
2019-01-17,210,331303370,3097
2019-01-18,210,328970909,-689
2019-01-21,210,305222267,-2982
2019-01-22,210,302483061,-194
2019-01-23,210,298469974,16
2019-01-24,210,329735982,5160
2019-01-25,210,304103669,-2426
2019-01-28,210,301950175,-30
2019-01-29,210,292837967,-1820
2019-01-30,210,289117379,-678
2019-01-31,210,279154445,-984
2019-02-01,210,244642877,-5066
2019-02-11,210,245959842,1189
2019-02-12,210,272560500,3776
2019-02-13,210,266201693,-760
2019-02-14,210,261461410,-6
2019-02-15,210,263432050,431
2019-02-18,210,262944076,414
2019-02-19,210,263688622,714
2019-02-20,210,265077788,118
2019-02-21,210,273891864,908
2019-02-22,210,262768473,-1105
2019-02-25,210,263394003,1014
2019-02-26,210,257532610,-544
2019-02-27,210,265606470,1828
2019-02-28,210,275888846,1089
2019-03-01,210,260665220,-98
2019-03-04,210,271691833,1082
2019-03-05,210,261783213,-1487
2019-03-06,210,259467486,44
2019-03-07,210,261459021,227
2019-03-08,210,260238159,-452
2019-03-11,210,251820278,-437
2019-03-12,210,258963786,582
2019-03-13,210,262309528,431
2019-03-14,210,263139891,85
2019-03-15,210,253629354,-1000
2019-03-18,210,266869446,1963
2019-03-19,210,270732930,470
2019-03-20,210,261552318,-1028
2019-03-21,210,266264230,370
2019-03-22,210,267606466,-9
2019-03-25,210,267465356,639
2019-03-26,210,276850733,1139
2019-03-27,210,270040109,-294
2019-03-28,210,264897054,-601
2019-03-29,210,264302064,-430
2019-04-01,210,249035317,-596
2019-04-02,210,243261855,-616
2019-04-03,210,236766331,-761
2019-04-04,210,230800625,-878
2019-04-08,210,235680263,665
2019-04-09,210,238650086,579
2019-04-10,210,247658775,1281
2019-04-11,210,252771349,534
2019-04-12,210,280246704,3963
2019-04-15,210,280192367,705
2019-04-16,210,260984146,-2536
2019-04-17,210,268235333,871
2019-04-18,210,257050293,-1576
2019-04-19,210,281413223,3276
2019-04-22,210,300185372,1845
2019-04-23,210,300121457,419
2019-04-24,210,300270216,93
2019-04-25,210,278369583,-1976
2019-04-26,210,271542142,-1313
2019-04-29,210,266723223,672
2019-04-30,210,227821157,-4788
2019-05-06,210,229361939,30
2019-05-07,210,236231670,1223
2019-05-08,210,244005763,287
2019-05-09,210,250732010,1645
2019-05-10,210,243044682,-1122
2019-05-13,210,294134149,6819
2019-05-14,210,261851304,-3522
2019-05-15,210,298738036,4502
2019-05-16,210,280077264,-1797
2019-05-17,210,290207542,1652
2019-05-20,210,312004891,2234
2019-05-21,210,294268504,-1369
2019-05-22,210,298730206,843
2019-05-23,210,294780309,-533
2019-05-24,210,295095910,1041
2019-05-27,210,282688326,-1165
2019-05-28,210,280882437,-198
2019-05-29,210,280135712,-198
2019-05-30,210,298832547,3162
2019-05-31,210,285646062,-789
2019-06-03,210,281325201,-287
2019-06-04,210,288898135,1588
2019-06-05,210,293676793,703
2019-06-06,210,329778885,4643
2019-06-10,210,366521121,3782
2019-06-11,210,358922734,-855
2019-06-12,210,371755171,417
2019-06-13,210,371862871,849
2019-06-14,210,371477973,-480
2019-06-17,210,362396925,-327
2019-06-18,210,381838153,2383
2019-06-19,210,385633082,287
2019-06-20,210,385694710,930
2019-06-21,210,361494309,-2097
2019-06-24,210,353171289,812
2019-06-25,210,358979657,578
2019-06-26,210,344085114,-1817
2019-06-27,210,363606709,2121
2019-06-28,210,354604850,528
2019-07-01,210,354283582,-150
2019-07-02,210,360108813,990
2019-07-03,210,356141641,-614
2019-07-04,210,381376779,3547
2019-07-05,210,361112816,-1979
2019-07-08,210,416397576,4636
2019-07-09,210,377489303,-3329
2019-07-10,210,359730333,-855
2019-07-11,210,359289032,900
2019-07-12,210,368054234,498
2019-07-15,210,338798290,-2835
2019-07-16,210,355262136,1596
2019-07-17,210,330470259,-2597
2019-07-18,210,345581604,1584
2019-07-19,210,334370948,-1483
2019-07-22,210,333996329,50
2019-07-23,210,387249248,4941
2019-07-24,210,346627783,-2925
2019-07-25,210,333853849,-498
2019-07-26,210,333017001,-338
2019-07-29,210,327508752,-395
2019-07-30,210,318399637,-1403
2019-07-31,210,303557657,-1566
2019-08-01,210,332413323,3287
2019-08-02,210,312187527,-2079
2019-08-05,210,329917212,3010
2019-08-06,210,340736465,1428
2019-08-07,210,322962214,-1731
2019-08-08,210,311044959,-572
2019-08-09,210,337585047,3587
2019-08-12,210,320706068,-1148
2019-08-13,210,365641589,5333
2019-08-14,210,343174166,-1771
2019-08-15,210,351532823,460
2019-08-16,210,324101494,-2865
2019-08-19,210,336120726,1433
2019-08-20,210,339649058,614
2019-08-21,210,333910102,-626
2019-08-22,210,332576530,214
2019-08-23,210,335315236,649
2019-08-26,210,328220171,-769
2019-08-27,210,343633318,2206
2019-08-28,210,337237891,-673
2019-08-29,210,339482219,315
2019-08-30,210,364997115,3303
2019-09-02,210,319263106,-4704
2019-09-03,210,328437515,1893
2019-09-04,210,324446897,-62
2019-09-05,210,351105723,5396
2019-09-06,210,317347442,-2783
2019-09-09,210,378967169,7186
2019-09-10,210,326865404,-4733
2019-09-11,210,340692742,1758
