trading_date,rank,volume,volume_change
2013-11-05,210,42965,317
2013-11-06,210,42984,1005
2013-11-07,210,42149,543
2013-11-08,210,43730,1759
2013-11-11,210,45135,2441
2013-11-12,210,45774,747
2013-11-13,210,46148,34
2013-11-14,210,43565,-65
2013-11-15,210,44211,499
2013-11-18,210,45659,1257
2013-11-19,210,47616,2158
2013-11-20,210,47885,269
2013-11-21,210,49577,2300
2013-11-22,210,50477,3385
2013-11-25,210,50248,79
2013-11-26,210,48545,-775
2013-11-27,210,46157,-462
2013-11-28,210,47618,2453
2013-11-29,210,48124,1029
2013-12-02,210,49013,1342
2013-12-03,210,52105,3639
2013-12-04,210,52125,176
2013-12-05,210,52488,1410
2013-12-06,210,51091,-345
2013-12-09,210,55466,4500
2013-12-10,210,54672,-797
2013-12-11,210,52733,-1666
2013-12-12,210,52489,284
2013-12-13,210,50090,-1416
2013-12-16,210,49954,406
2013-12-17,210,52423,3156
2013-12-18,210,49888,-2424
2013-12-19,210,49995,707
2013-12-20,210,53948,3953
2013-12-23,210,53053,648
2013-12-24,210,52111,-679
2013-12-25,210,51774,-142
2013-12-26,210,52306,537
2013-12-27,210,52398,330
2013-12-30,210,51085,-507
2013-12-31,210,50378,-358
2014-01-02,210,53173,3565
2014-01-03,210,55191,2298
2014-01-06,210,54817,-51
2014-01-07,210,54502,-243
2014-01-08,210,53657,2244
2014-01-09,210,51737,-1857
2014-01-10,210,52270,856
2014-01-13,210,53362,2589
2014-01-14,210,53679,317
2014-01-15,210,52892,-450
2014-01-16,210,53309,453
2014-01-17,210,53802,732
2014-01-20,210,53565,-122
2014-01-21,210,53443,151
2014-01-22,210,53462,19
2014-01-23,210,52578,-884
2014-01-24,210,52036,-58
2014-01-27,210,51070,-538
2014-01-28,210,48438,-1244
2014-01-29,210,48636,207
2014-01-30,210,48630,97
2014-02-07,210,47183,-1447
2014-02-10,210,48795,2409
2014-02-11,210,52049,4374
2014-02-12,210,52626,1332
2014-02-13,210,53147,1145
2014-02-14,210,55955,3136
2014-02-17,210,55663,1230
2014-02-18,210,55792,129
2014-02-19,210,56262,470
2014-02-20,210,57742,1583
2014-02-21,210,56135,-1481
2014-02-24,210,55217,-749
2014-02-25,210,53521,393
2014-02-26,210,54629,2088
2014-02-27,210,53554,1566
2014-02-28,210,53318,269
2014-03-03,210,51236,-1549
2014-03-04,210,55709,6059
2014-03-05,210,55639,509
2014-03-06,210,56847,1648
2014-03-07,210,54334,-1393
2014-03-10,210,58735,4222
2014-03-11,210,55531,-1319
2014-03-12,210,57854,1082
2014-03-13,210,56407,-206
2014-03-14,210,57371,946
2014-03-17,210,58486,874
2014-03-18,210,58559,226
2014-03-19,210,59064,505
2014-03-20,210,55405,-2130
2014-03-21,210,58611,3709
2014-03-24,210,62665,4492
2014-03-25,210,59536,-1319
2014-03-26,210,58240,-1034
2014-03-27,210,61565,3983
2014-03-28,210,58012,-3125
2014-03-31,210,56464,-480
2014-04-01,210,55927,201
2014-04-02,210,55975,48
2014-04-03,210,54613,-1236
2014-04-04,210,55949,1402
2014-04-08,210,55685,-226
2014-04-09,210,55846,266
2014-04-10,210,54254,-854
2014-04-11,210,55845,1119
