trading_date,rank,volume,volume_change
2013-11-05,210,22379,656
2013-11-06,210,22869,606
2013-11-07,210,21366,-889
2013-11-08,210,22821,1737
2013-11-11,210,25718,4223
2013-11-12,210,26108,1518
2013-11-13,210,26955,1465
2013-11-14,210,23425,-2882
2013-11-15,210,21557,-1569
2013-11-18,210,21768,211
2013-11-19,210,25556,3817
2013-11-20,210,25329,240
2013-11-21,210,28288,3845
2013-11-22,210,29877,1759
2013-11-25,210,30658,528
2013-11-26,210,28968,286
2013-11-27,210,28295,-260
2013-11-28,210,28152,813
2013-11-29,210,28072,131
2013-12-02,210,28021,228
2013-12-03,210,32255,4648
2013-12-04,210,33060,979
2013-12-05,210,32820,23
2013-12-06,210,32866,184
2013-12-09,210,35861,3888
2013-12-10,210,31474,-2046
2013-12-11,210,26620,-4375
2013-12-12,210,27093,520
2013-12-13,210,27762,931
2013-12-16,210,26497,-777
2013-12-17,210,25217,67
2013-12-18,210,23691,-1026
2013-12-19,210,25919,2377
2013-12-20,210,30366,5282
2013-12-23,210,30040,169
2013-12-24,210,29031,-990
2013-12-25,210,28815,-195
2013-12-26,210,30667,2934
2013-12-27,210,31432,878
2013-12-30,210,29569,-6
2013-12-31,210,28249,-1103
2014-01-02,210,28659,1099
2014-01-03,210,27783,594
2014-01-06,210,26018,-1626
2014-01-07,210,26528,566
2014-01-08,210,24909,-1457
2014-01-09,210,24212,-122
2014-01-10,210,25529,1654
2014-01-13,210,23663,-1143
2014-01-14,210,24192,813
2014-01-15,210,23901,170
2014-01-16,210,23817,371
2014-01-17,210,23705,-60
2014-01-20,210,23460,-97
2014-01-21,210,22797,-226
2014-01-22,210,22363,-11
2014-01-23,210,22087,-267
2014-01-24,210,20926,-849
2014-01-27,210,21221,1037
2014-01-28,210,21307,731
2014-01-29,210,23371,2335
2014-01-30,210,20657,-1921
2014-02-07,210,22069,1968
2014-02-10,210,23683,2095
2014-02-11,210,25402,2071
2014-02-12,210,26253,854
2014-02-13,210,26777,596
2014-02-14,210,29521,3346
2014-02-17,210,29768,644
2014-02-18,210,29176,950
2014-02-19,210,28499,382
2014-02-20,210,28754,302
2014-02-21,210,28509,-209
2014-02-24,210,28711,260
2014-02-25,210,29472,798
2014-02-26,210,32294,2939
2014-02-27,210,30399,-1799
2014-02-28,210,30970,1080
2014-03-03,210,32318,1444
2014-03-04,210,34150,2027
2014-03-05,210,35180,1182
2014-03-06,210,36848,1684
2014-03-07,210,33102,-3746
2014-03-10,210,39230,6500
2014-03-11,210,37953,-284
2014-03-12,210,39861,2114
2014-03-13,210,39727,636
2014-03-14,210,39244,-483
2014-03-17,210,39696,436
2014-03-18,210,42589,2990
2014-03-19,210,43268,779
2014-03-20,210,37972,-4115
2014-03-21,210,39763,2077
2014-03-24,210,45058,5488
2014-03-25,210,41377,-3595
2014-03-26,210,41881,2038
2014-03-27,210,43689,3932
2014-03-28,210,43363,333
2014-03-31,210,39896,-2535
2014-04-01,210,39279,-443
2014-04-02,210,38630,-230
2014-04-03,210,37179,-1424
2014-04-04,210,38118,1123
2014-04-08,210,33232,-3737
2014-04-09,210,32466,-272
2014-04-10,210,31734,-309
2014-04-11,210,33001,1470
2014-04-14,210,34488,2358
2014-04-15,210,39571,6170
2014-04-16,210,39167,234
2014-04-17,210,40067,922
2014-04-18,210,43902,4574
2014-04-21,210,48027,5083
2014-04-22,210,44757,-1898
2014-04-23,210,42296,-1334
2014-04-24,210,41878,1661
2014-04-25,210,40014,-863
2014-04-28,210,40650,2545
2014-04-29,210,42733,1760
2014-04-30,210,40969,-154
2014-05-05,210,40744,1669
2014-05-06,210,39472,-925
2014-05-07,210,38685,-776
2014-05-08,210,41122,2485
2014-05-09,210,41024,1330
2014-05-12,210,39425,2536
2014-05-13,210,40409,1418
2014-05-14,210,38574,-117
2014-05-15,210,40940,1907
2014-05-16,210,40562,566
2014-05-19,210,38852,327
2014-05-20,210,40075,1754
2014-05-21,210,40187,1124
2014-05-22,210,40837,909
2014-05-23,210,40364,152
