trading_date,AU_total_oi
2013-11-05,143916.0
2013-11-06,145174.0
2013-11-07,144854.0
2013-11-08,148546.0
2013-11-11,156056.0
2013-11-12,157302.0
2013-11-13,159458.0
2013-11-14,152910.0
2013-11-15,150268.0
2013-11-18,150794.0
2013-11-19,159950.0
2013-11-20,158640.0
2013-11-21,170404.0
2013-11-22,173836.0
2013-11-25,176778.0
2013-11-26,168172.0
2013-11-27,166056.0
2013-11-28,168754.0
2013-11-29,164734.0
2013-12-02,161154.0
2013-12-03,174610.0
2013-12-04,178302.0
2013-12-05,174660.0
2013-12-06,177850.0
2013-12-09,185244.0
2013-12-10,182484.0
2013-12-11,174052.0
2013-12-12,177834.0
2013-12-13,178404.0
2013-12-16,171050.0
2013-12-17,170570.0
2013-12-18,167324.0
2013-12-19,174098.0
2013-12-20,187636.0
2013-12-23,183048.0
2013-12-24,180928.0
2013-12-25,177330.0
2013-12-26,178820.0
2013-12-27,177762.0
2013-12-30,175240.0
2013-12-31,170992.0
2014-01-02,173830.0
2014-01-03,174614.0
2014-01-06,172748.0
2014-01-07,172774.0
2014-01-08,165896.0
2014-01-09,161694.0
2014-01-10,163210.0
2014-01-13,163202.0
2014-01-14,163884.0
2014-01-15,162156.0
2014-01-16,161582.0
2014-01-17,163154.0
2014-01-20,161102.0
2014-01-21,160260.0
2014-01-22,162266.0
2014-01-23,160562.0
2014-01-24,162366.0
2014-01-27,164742.0
2014-01-28,157834.0
2014-01-29,157864.0
2014-01-30,155174.0
2014-02-07,156912.0
2014-02-10,166150.0
2014-02-11,176090.0
2014-02-12,180998.0
2014-02-13,182528.0
2014-02-14,193018.0
2014-02-17,193524.0
2014-02-18,191354.0
2014-02-19,192466.0
2014-02-20,193646.0
2014-02-21,195792.0
2014-02-24,198260.0
2014-02-25,198432.0
2014-02-26,204702.0
2014-02-27,200076.0
2014-02-28,203574.0
2014-03-03,203564.0
2014-03-04,213904.0
2014-03-05,214784.0
2014-03-06,221826.0
2014-03-07,212756.0
2014-03-10,228126.0
2014-03-11,223802.0
2014-03-12,230558.0
2014-03-13,223622.0
2014-03-14,225294.0
2014-03-17,227678.0
2014-03-18,231358.0
2014-03-19,231480.0
2014-03-20,216552.0
2014-03-21,222736.0
2014-03-24,231034.0
2014-03-25,217782.0
2014-03-26,217364.0
2014-03-27,223212.0
2014-03-28,219976.0
2014-03-31,211928.0
2014-04-01,209866.0
2014-04-02,209694.0
2014-04-03,204598.0
2014-04-04,205080.0
2014-04-08,195670.0
2014-04-09,190368.0
2014-04-10,187768.0
2014-04-11,191188.0
2014-04-14,193258.0
2014-04-15,205224.0
2014-04-16,209084.0
2014-04-17,210664.0
2014-04-18,220922.0
2014-04-21,234606.0
2014-04-22,230688.0
2014-04-23,225262.0
2014-04-24,224764.0
2014-04-25,209588.0
2014-04-28,208522.0
2014-04-29,207762.0
2014-04-30,202452.0
2014-05-05,203964.0
2014-05-06,200252.0
2014-05-07,196884.0
2014-05-08,203374.0
2014-05-09,203376.0
2014-05-12,200024.0
2014-05-13,204284.0
2014-05-14,203092.0
2014-05-15,203252.0
2014-05-16,201136.0
2014-05-19,198214.0
2014-05-20,201936.0
2014-05-21,198450.0
2014-05-22,200294.0
2014-05-23,198576.0
2014-05-26,196016.0
2014-05-27,210532.0
2014-05-28,222880.0
2014-05-29,239018.0
2014-05-30,233646.0
2014-06-03,238194.0
2014-06-04,239822.0
2014-06-05,238824.0
2014-06-06,221078.0
2014-06-09,227956.0
2014-06-10,232066.0
2014-06-11,231804.0
2014-06-12,230138.0
2014-06-13,223506.0
2014-06-16,212154.0
2014-06-17,214038.0
2014-06-18,212854.0
2014-06-19,208956.0
2014-06-20,215046.0
2014-06-23,215454.0
2014-06-24,219582.0
2014-06-25,212376.0
2014-06-26,200812.0
2014-06-27,205600.0
2014-06-30,199788.0
2014-07-01,198130.0
2014-07-02,198562.0
2014-07-03,198068.0
2014-07-04,200162.0
2014-07-07,197090.0
2014-07-08,191856.0
2014-07-09,193790.0
2014-07-10,201086.0
2014-07-11,205424.0
2014-07-14,196120.0
2014-07-15,199174.0
2014-07-16,197376.0
2014-07-17,196522.0
2014-07-18,199230.0
2014-07-21,201234.0
2014-07-22,202026.0
2014-07-23,198538.0
2014-07-24,203088.0
2014-07-25,206498.0
2014-07-28,200040.0
2014-07-29,194270.0
2014-07-30,199008.0
2014-07-31,199448.0
2014-08-01,204304.0
2014-08-04,198460.0
2014-08-05,199856.0
2014-08-06,197220.0
2014-08-07,194008.0
2014-08-08,198476.0
2014-08-11,190492.0
2014-08-12,192114.0
2014-08-13,191952.0
2014-08-14,197326.0
2014-08-15,197680.0
2014-08-18,191492.0
2014-08-19,193216.0
2014-08-20,198162.0
2014-08-21,210486.0
2014-08-22,204300.0
2014-08-25,204286.0
2014-08-26,202220.0
2014-08-27,202880.0
2014-08-28,204254.0
2014-08-29,202926.0
2014-09-01,205494.0
2014-09-02,214722.0
2014-09-03,212764.0
2014-09-04,210602.0
2014-09-05,209134.0
2014-09-09,213298.0
2014-09-10,212160.0
2014-09-11,211644.0
2014-09-12,216148.0
2014-09-15,216494.0
2014-09-16,211736.0
2014-09-17,209348.0
2014-09-18,214838.0
2014-09-19,208618.0
2014-09-22,220192.0
2014-09-23,216104.0
2014-09-24,210024.0
2014-09-25,216858.0
2014-09-26,206178.0
2014-09-29,200194.0
2014-09-30,196216.0
2014-10-08,197834.0
2014-10-09,205536.0
2014-10-10,209508.0
2014-10-13,203980.0
2014-10-14,206124.0
2014-10-15,213428.0
2014-10-16,212488.0
2014-10-17,214884.0
2014-10-20,213936.0
2014-10-21,215410.0
2014-10-22,213944.0
2014-10-23,207172.0
2014-10-24,214980.0
2014-10-27,215274.0
2014-10-28,216154.0
2014-10-29,217350.0
2014-10-30,240122.0
2014-10-31,259266.0
2014-11-03,256680.0
2014-11-04,257764.0
2014-11-05,282944.0
2014-11-06,276758.0
2014-11-07,275676.0
2014-11-10,262282.0
2014-11-11,265652.0
2014-11-12,260742.0
2014-11-13,265282.0
2014-11-14,282078.0
2014-11-17,256544.0
2014-11-18,249874.0
2014-11-19,248000.0
2014-11-20,245050.0
2014-11-21,245440.0
2014-11-24,242290.0
2014-11-25,242516.0
2014-11-26,238670.0
2014-11-27,243084.0
2014-11-28,248892.0
2014-12-01,258520.0
2014-12-02,233910.0
2014-12-03,216632.0
2014-12-04,211766.0
2014-12-05,206214.0
2014-12-08,208026.0
2014-12-09,212342.0
2014-12-10,214412.0
2014-12-11,203730.0
2014-12-12,205264.0
2014-12-15,202240.0
2014-12-16,195286.0
2014-12-17,194510.0
2014-12-18,190568.0
2014-12-19,193044.0
2014-12-22,190430.0
2014-12-23,192066.0
2014-12-24,199338.0
2014-12-25,201770.0
2014-12-26,201306.0
2014-12-29,193970.0
2014-12-30,192462.0
2014-12-31,194812.0
2015-01-05,199692.0
2015-01-06,214656.0
2015-01-07,214710.0
2015-01-08,217208.0
2015-01-09,217988.0
2015-01-12,229876.0
2015-01-13,233940.0
2015-01-14,229624.0
2015-01-15,227508.0
2015-01-16,237586.0
2015-01-19,239424.0
2015-01-20,238742.0
2015-01-21,241538.0
2015-01-22,239642.0
2015-01-23,247238.0
2015-01-26,248864.0
2015-01-27,250738.0
2015-01-28,252112.0
2015-01-29,247914.0
2015-01-30,228246.0
2015-02-02,232686.0
2015-02-03,230376.0
2015-02-04,236614.0
2015-02-05,234370.0
2015-02-06,235802.0
2015-02-09,237416.0
2015-02-10,233766.0
2015-02-11,234446.0
2015-02-12,235644.0
2015-02-13,227060.0
2015-02-16,225708.0
2015-02-17,223376.0
2015-02-25,224768.0
2015-02-26,230770.0
2015-02-27,238858.0
2015-03-02,243882.0
2015-03-03,240588.0
2015-03-04,228032.0
2015-03-05,220170.0
2015-03-06,215842.0
2015-03-09,224424.0
2015-03-10,225040.0
2015-03-11,235376.0
2015-03-12,231604.0
2015-03-13,233024.0
2015-03-16,235850.0
2015-03-17,241778.0
2015-03-18,237374.0
2015-03-19,235310.0
2015-03-20,234406.0
2015-03-23,233640.0
2015-03-24,231484.0
2015-03-25,231564.0
2015-03-26,232936.0
2015-03-27,225776.0
2015-03-30,221056.0
2015-03-31,219532.0
2015-04-01,222528.0
2015-04-02,228368.0
2015-04-03,219390.0
2015-04-07,220888.0
2015-04-08,224336.0
2015-04-09,222094.0
2015-04-10,221266.0
2015-04-13,214864.0
2015-04-14,223470.0
2015-04-15,219976.0
2015-04-16,216582.0
2015-04-17,220174.0
2015-04-20,219424.0
2015-04-21,222798.0
2015-04-22,214392.0
2015-04-23,228086.0
2015-04-24,220048.0
2015-04-27,230562.0
2015-04-28,205738.0
2015-04-29,203294.0
2015-04-30,203072.0
2015-05-04,204384.0
2015-05-05,202554.0
2015-05-06,205184.0
2015-05-07,204004.0
2015-05-08,202842.0
2015-05-11,202600.0
2015-05-12,204266.0
2015-05-13,197318.0
2015-05-14,205482.0
2015-05-15,199158.0
2015-05-18,204012.0
2015-05-19,194300.0
2015-05-20,176474.0
2015-05-21,175022.0
2015-05-22,174402.0
2015-05-25,171412.0
2015-05-26,174354.0
2015-05-27,183962.0
2015-05-28,181392.0
2015-05-29,179398.0
2015-06-01,181466.0
2015-06-02,184528.0
2015-06-03,184270.0
2015-06-04,189612.0
2015-06-05,196002.0
2015-06-08,198646.0
2015-06-09,196858.0
2015-06-10,193100.0
2015-06-11,187750.0
2015-06-12,189172.0
2015-06-15,189494.0
2015-06-16,185760.0
2015-06-17,185860.0
2015-06-18,180186.0
2015-06-19,175416.0
2015-06-23,174512.0
2015-06-24,176470.0
2015-06-25,179514.0
2015-06-26,183312.0
2015-06-29,178500.0
2015-06-30,177328.0
2015-07-01,179848.0
2015-07-02,192068.0
2015-07-03,191966.0
2015-07-06,191332.0
2015-07-07,188572.0
2015-07-08,207392.0
2015-07-09,184496.0
2015-07-10,183268.0
2015-07-13,182408.0
2015-07-14,189556.0
2015-07-15,188650.0
2015-07-16,199278.0
2015-07-17,195748.0
