trading_date,rank,volume,volume_change
2013-11-05,210,150203429,317
2013-11-06,210,144299486,1005
2013-11-07,210,143248565,543
2013-11-08,210,151317364,1759
2013-11-11,210,162863585,2441
2013-11-12,210,164964276,747
2013-11-13,210,164829044,34
2013-11-14,210,152694169,-65
2013-11-15,210,152677633,499
2013-11-18,210,156633185,1257
2013-11-19,210,175033092,2158
2013-11-20,210,181828437,269
2013-11-21,210,198693017,2300
2013-11-22,210,201804229,3385
2013-11-25,210,198384586,79
2013-11-26,210,168370367,-775
2013-11-27,210,157244169,-462
2013-11-28,210,168500270,2453
2013-11-29,210,181623188,1029
2013-12-02,210,184383475,1342
2013-12-03,210,201316409,3639
2013-12-04,210,200789967,176
2013-12-05,210,192621974,1410
2013-12-06,210,171603867,-345
2013-12-09,210,193370264,4500
2013-12-10,210,190024522,-797
2013-12-11,210,185102987,-1666
2013-12-12,210,185879161,284
2013-12-13,210,178033662,-1416
2013-12-16,210,177819286,406
2013-12-17,210,180149853,3156
2013-12-18,210,170602512,-2424
2013-12-19,210,169785859,707
2013-12-20,210,203282392,3953
2013-12-23,210,192079193,648
2013-12-24,210,191131657,-679
2013-12-25,210,188515538,-142
2013-12-26,210,190339478,537
2013-12-27,210,191542702,330
2013-12-30,210,188830591,-507
2013-12-31,210,184236192,-358
2014-01-02,210,194077279,3565
2014-01-03,210,203956585,2298
2014-01-06,210,202130965,-51
2014-01-07,210,209844660,-243
2014-01-08,210,215819471,2244
2014-01-09,210,208305991,-1857
2014-01-10,210,203498134,856
2014-01-13,210,211903048,2589
2014-01-14,210,216928907,317
2014-01-15,210,218249346,-450
2014-01-16,210,220145463,453
2014-01-17,210,221700272,732
2014-01-20,210,222564635,-122
2014-01-21,210,218244823,151
2014-01-22,210,216486088,19
2014-01-23,210,209025694,-884
2014-01-24,210,198083222,-58
2014-01-27,210,193473238,-538
2014-01-28,210,182927572,-1244
2014-01-29,210,178184426,207
2014-01-30,210,175211472,97
2014-02-07,210,169315939,-1447
2014-02-10,210,176316993,2409
2014-02-11,210,193667401,4374
2014-02-12,210,199100360,1332
2014-02-13,210,200613735,1145
2014-02-14,210,212843183,3136
2014-02-17,210,199872073,1230
2014-02-18,210,211806032,129
2014-02-19,210,209366362,470
2014-02-20,210,220410080,1583
2014-02-21,210,201683445,-1481
2014-02-24,210,193208585,-749
2014-02-25,210,194771981,393
2014-02-26,210,196825891,2088
2014-02-27,210,201946796,1566
2014-02-28,210,198139018,269
2014-03-03,210,184984212,-1549
2014-03-04,210,213847381,6059
2014-03-05,210,217999243,509
2014-03-06,210,225667833,1648
2014-03-07,210,208861030,-1393
2014-03-10,210,240811143,4222
2014-03-11,210,222879979,-1319
2014-03-12,210,233916086,1082
2014-03-13,210,231170319,-206
2014-03-14,210,236188247,946
2014-03-17,210,240581104,874
2014-03-18,210,249221359,226
2014-03-19,210,257548450,505
2014-03-20,210,227162691,-2130
2014-03-21,210,243182869,3709
2014-03-24,210,272017511,4492
2014-03-25,210,266074264,-1319
2014-03-26,210,257316030,-1034
2014-03-27,210,274193303,3983
2014-03-28,210,249627064,-3125
2014-03-31,210,246894528,-480
2014-04-01,210,244312079,201
2014-04-02,210,244841373,48
2014-04-03,210,232130389,-1236
2014-04-04,210,246455261,1402
2014-04-08,210,246963569,-226
2014-04-09,210,245484904,266
2014-04-10,210,229326542,-854
2014-04-11,210,237540805,1119
2014-04-14,210,241381969,1297
2014-04-15,210,264052338,4921
2014-04-16,210,269557265,504
2014-04-17,210,262373389,-69
2014-04-18,210,270968374,687
2014-04-21,210,285687236,3619
2014-04-22,210,271380166,-468
2014-04-23,210,250267807,-2273
2014-04-24,210,257265391,741
2014-04-25,210,215283372,-3136
2014-04-28,210,207594466,357
2014-04-29,210,204054128,-660
2014-04-30,210,197041711,-448
2014-05-05,210,199633436,1180
2014-05-06,210,173136580,-572
2014-05-07,210,169189606,-298
2014-05-08,210,181760488,2167
2014-05-09,210,195393177,1078
2014-05-12,210,178423075,-1945
2014-05-13,210,177699336,3300
