trading_date,rank,volume,volume_change
2013-11-05,210,39458405,656
2013-11-06,210,40966777,606
2013-11-07,210,39360062,-889
2013-11-08,210,40875913,1737
2013-11-11,210,53350254,4223
2013-11-12,210,52932802,1518
2013-11-13,210,57706423,1465
2013-11-14,210,40765641,-2882
2013-11-15,210,33983691,-1569
2013-11-18,210,35286420,211
2013-11-19,210,46853382,3817
2013-11-20,210,48143921,240
2013-11-21,210,61378358,3845
2013-11-22,210,70593875,1759
2013-11-25,210,69792596,528
2013-11-26,210,63509954,286
2013-11-27,210,56825219,-260
2013-11-28,210,57622814,813
2013-11-29,210,56992170,131
2013-12-02,210,57447483,228
2013-12-03,210,75412467,4648
2013-12-04,210,78095064,979
2013-12-05,210,77393282,23
2013-12-06,210,77241510,184
2013-12-09,210,86821661,3888
2013-12-10,210,71071450,-2046
2013-12-11,210,53612338,-4375
2013-12-12,210,54468189,520
2013-12-13,210,58053112,931
2013-12-16,210,54809163,-777
2013-12-17,210,46364337,67
2013-12-18,210,43111187,-1026
2013-12-19,210,47321457,2377
2013-12-20,210,63508536,5282
2013-12-23,210,59241212,169
2013-12-24,210,57382777,-990
2013-12-25,210,57573549,-195
2013-12-26,210,63794591,2934
2013-12-27,210,67645608,878
2013-12-30,210,60595923,-6
2013-12-31,210,56339529,-1103
2014-01-02,210,59996591,1099
2014-01-03,210,59538023,594
2014-01-06,210,55227188,-1626
2014-01-07,210,56037798,566
2014-01-08,210,53546611,-1457
2014-01-09,210,51212680,-122
2014-01-10,210,52695245,1654
2014-01-13,210,48666805,-1143
2014-01-14,210,50981894,813
2014-01-15,210,50261333,170
2014-01-16,210,50026865,371
2014-01-17,210,49705819,-60
2014-01-20,210,44851954,-97
2014-01-21,210,41254087,-226
2014-01-22,210,35548081,-11
2014-01-23,210,30569107,-267
2014-01-24,210,26735800,-849
2014-01-27,210,26482869,1037
2014-01-28,210,27199609,731
2014-01-29,210,38053045,2335
2014-01-30,210,24756115,-1921
2014-02-07,210,29065975,1968
2014-02-10,210,33974933,2095
2014-02-11,210,38657740,2071
2014-02-12,210,42697155,854
2014-02-13,210,44274561,596
2014-02-14,210,53509639,3346
2014-02-17,210,54266636,644
2014-02-18,210,53829650,950
