trading_date,rank,volume,volume_change
2013-11-05,210,52845,-1266
2013-11-06,210,51789,-1056
2013-11-07,210,54455,2482
2013-11-08,210,52416,-584
2013-11-11,210,50599,-403
2013-11-12,210,51375,561
2013-11-13,210,50184,-637
2013-11-14,210,50465,40
2013-11-15,210,49769,964
2013-11-18,210,48936,954
2013-11-19,210,50485,1263
2013-11-20,210,51840,1593
2013-11-21,210,52715,1080
2013-11-22,210,52196,22
2013-11-25,210,51379,-1337
2013-11-26,210,50979,309
2013-11-27,210,49521,-936
2013-11-28,210,52004,2672
2013-11-29,210,52150,718
2013-12-02,210,48743,-3023
2013-12-03,210,47355,-1090
2013-12-04,210,47175,1066
2013-12-05,210,46656,196
2013-12-06,210,47785,1130
2013-12-09,210,48209,96
2013-12-10,210,49097,856
2013-12-11,210,49546,513
2013-12-12,210,50505,1147
2013-12-13,210,50341,130
2013-12-16,210,47041,-2455
2013-12-17,210,47365,-71
2013-12-18,210,48615,2369
2013-12-19,210,49479,923
2013-12-20,210,50063,577
2013-12-23,210,49449,-622
2013-12-24,210,51053,1552
2013-12-25,210,52017,1115
2013-12-26,210,52522,254
2013-12-27,210,52697,369
2013-12-30,210,75047,29767
2013-12-31,210,73591,4129
2014-01-02,210,72006,-1635
2014-01-03,210,71268,2607
2014-01-06,210,75780,5239
2014-01-07,210,77848,2946
2014-01-08,210,73363,-2993
2014-01-09,210,72457,-712
2014-01-10,210,72875,7596
2014-01-13,210,71410,-927
2014-01-14,210,70418,-59
2014-01-15,210,71773,2790
2014-01-16,210,75936,3726
2014-01-17,210,81086,6474
2014-01-20,210,85669,7665
2014-01-21,210,82681,-2211
2014-01-22,210,80596,541
2014-01-23,210,82041,1528
2014-01-24,210,84151,2684
2014-01-27,210,82939,-1395
2014-01-28,210,83613,1194
2014-01-29,210,81343,-2172
2014-01-30,210,80330,-1216
2014-02-07,210,75472,-3617
2014-02-10,210,88413,15234
2014-02-11,210,95401,10173
2014-02-12,210,99994,4832
2014-02-13,210,105310,4815
2014-02-14,210,104829,-29
2014-02-17,210,105370,1014
2014-02-18,210,102032,-2004
2014-02-19,210,103417,3228
2014-02-20,210,102823,-3
2014-02-21,210,109459,7101
2014-02-24,210,111399,2002
2014-02-25,210,112272,1429
2014-02-26,210,114393,1813
2014-02-27,210,115756,1363
2014-02-28,210,120916,5081
2014-03-03,210,122362,1621
2014-03-04,210,121372,241
2014-03-05,210,120983,-378
2014-03-06,210,121355,258
2014-03-07,210,117531,-3700
2014-03-10,210,98870,-6204
2014-03-11,210,90168,-3538
2014-03-12,210,87602,-2035
2014-03-13,210,86708,-795
2014-03-14,210,84881,-1960
2014-03-17,210,85276,454
2014-03-18,210,81767,-2007
2014-03-19,210,80150,-846
2014-03-20,210,80653,503
2014-03-21,210,81207,219
2014-03-24,210,80666,-541
2014-03-25,210,77198,-2791
2014-03-26,210,81426,4008
2014-03-27,210,84736,3001
2014-03-28,210,85577,1465
2014-03-31,210,85447,-136
