trading_date,rank,volume,volume_change
2013-11-05,210,65048,-1116
2013-11-06,210,65097,239
2013-11-07,210,66673,1872
2013-11-08,210,66420,-247
2013-11-11,210,67613,2789
2013-11-12,210,68486,1185
2013-11-13,210,65885,-2567
2013-11-14,210,65367,-82
2013-11-15,210,65783,949
2013-11-18,210,62661,-825
2013-11-19,210,61788,837
2013-11-20,210,61804,1639
2013-11-21,210,62417,1647
2013-11-22,210,62407,-283
2013-11-25,210,61448,-729
2013-11-26,210,58465,-2894
2013-11-27,210,58893,1028
2013-11-28,210,60771,1665
2013-11-29,210,60272,498
2013-12-02,210,59435,-687
2013-12-03,210,56776,-2412
2013-12-04,210,57803,2179
2013-12-05,210,57537,211
2013-12-06,210,57178,-197
2013-12-09,210,54984,-1628
2013-12-10,210,56785,1574
2013-12-11,210,56233,-107
2013-12-12,210,55404,210
2013-12-13,210,54446,-392
2013-12-16,210,55853,2298
2013-12-17,210,56469,1136
2013-12-18,210,56155,48
2013-12-19,210,56242,131
2013-12-20,210,56615,373
2013-12-23,210,56460,69
2013-12-24,210,54910,-908
2013-12-25,210,57421,2881
2013-12-26,210,57753,490
2013-12-27,210,56908,-322
2013-12-30,210,61481,19769
2013-12-31,210,59252,2388
2014-01-02,210,60076,3914
2014-01-03,210,59660,1325
2014-01-06,210,62958,3970
2014-01-07,210,62551,647
2014-01-08,210,57520,-529
2014-01-09,210,59524,2728
2014-01-10,210,67797,13850
2014-01-13,210,62569,-576
2014-01-14,210,62484,-85
2014-01-15,210,65190,2841
2014-01-16,210,65973,3596
2014-01-17,210,67284,3729
2014-01-20,210,73174,6698
2014-01-21,210,70677,-236
2014-01-22,210,69508,-377
2014-01-23,210,72116,2863
2014-01-24,210,70286,46
2014-01-27,210,71392,1162
2014-01-28,210,68108,-1978
2014-01-29,210,67107,-969
2014-01-30,210,65772,162
2014-02-07,210,64295,-1624
2014-02-10,210,73346,13163
2014-02-11,210,85912,15629
2014-02-12,210,90583,5794
2014-02-13,210,94100,3832
2014-02-14,210,93565,-908
2014-02-17,210,93309,541
2014-02-18,210,91254,-1346
2014-02-19,210,89071,120
2014-02-20,210,88618,-329
2014-02-21,210,93103,6307
2014-02-24,210,94762,3310
2014-02-25,210,95063,328
2014-02-26,210,93984,-577
2014-02-27,210,93636,-346
2014-02-28,210,90016,-2356
2014-03-03,210,91934,2795
2014-03-04,210,90609,-1035
2014-03-05,210,91506,4045
2014-03-06,210,93019,1513
2014-03-07,210,90781,-1943
2014-03-10,210,80865,-4797
2014-03-11,210,68816,-10659
2014-03-12,210,66702,-1643
2014-03-13,210,66767,1242
2014-03-14,210,67268,464
2014-03-17,210,66130,-965
2014-03-18,210,66245,594
2014-03-19,210,67684,1708
2014-03-20,210,68413,666
2014-03-21,210,67381,-658
2014-03-24,210,66178,-1025
2014-03-25,210,67748,2219
2014-03-26,210,71636,3982
2014-03-27,210,73354,3996
2014-03-28,210,76814,3425
2014-03-31,210,77796,1591
2014-04-01,210,80072,3064
2014-04-02,210,84916,5531
2014-04-03,210,83886,782
2014-04-04,210,93659,8778
2014-04-08,210,92858,-85
2014-04-09,210,95075,3360
2014-04-10,210,94572,-503
2014-04-11,210,95498,1332
2014-04-14,210,99637,5926
2014-04-15,210,112389,13142
2014-04-16,210,115819,3489
2014-04-17,210,117677,1930
2014-04-18,210,133635,18605
2014-04-21,210,130529,-1117
2014-04-22,210,130757,1243
2014-04-23,210,131863,1101
2014-04-24,210,135141,3556
2014-04-25,210,149291,17162
2014-04-28,210,154657,7784
2014-04-29,210,159847,7578
2014-04-30,210,158551,-1891
2014-05-05,210,162620,2961
2014-05-06,210,182255,26675
2014-05-07,210,186971,9827
2014-05-08,210,192654,9375
2014-05-09,210,188259,-3187
2014-05-12,210,180475,-3368
2014-05-13,210,186914,6739
2014-05-14,210,204647,20977
2014-05-15,210,210191,5345
2014-05-16,210,213829,5550
2014-05-19,210,224604,13029
2014-05-20,210,223107,-1742
2014-05-21,210,245232,29355
2014-05-22,210,242928,-415
2014-05-23,210,239343,2271
2014-05-26,210,235945,2476
2014-05-27,210,232318,-5405
2014-05-28,210,279661,48295
2014-05-29,210,269621,3163
2014-05-30,210,254612,-12762
2014-06-03,210,252935,-870
2014-06-04,210,250138,-429
2014-06-05,210,239919,-10252
2014-06-06,210,235806,1263
2014-06-09,210,236923,7139
2014-06-10,210,225069,-11854
2014-06-11,210,221241,-1502
2014-06-12,210,219831,1962
2014-06-13,210,217587,-3142
2014-06-16,210,229050,10621
2014-06-17,210,224789,-3541
2014-06-18,210,229443,5733
2014-06-19,210,228682,-284
2014-06-20,210,231570,529
2014-06-23,210,233993,2776
2014-06-24,210,232649,-2025
2014-06-25,210,230471,-1558
2014-06-26,210,230961,490
2014-06-27,210,227497,-2233
2014-06-30,210,225434,-417
2014-07-01,210,197392,-26429
2014-07-02,210,199980,3156
2014-07-03,210,199016,-964
2014-07-04,210,197640,-1276
2014-07-07,210,196048,-854
2014-07-08,210,197495,2542
2014-07-09,210,194450,-3045
2014-07-10,210,188508,-5852
2014-07-11,210,185996,-2564
2014-07-14,210,182752,-2646
2014-07-15,210,177901,-4125
2014-07-16,210,176523,-249
2014-07-17,210,174058,-2866
2014-07-18,210,171942,-1597
2014-07-21,210,171684,746
2014-07-22,210,171667,2397
2014-07-23,210,164959,-6833
2014-07-24,210,166043,1781
2014-07-25,210,165899,-154
2014-07-28,210,170626,5433
2014-07-29,210,166065,153
2014-07-30,210,164663,-345
2014-07-31,210,165866,1452
2014-08-01,210,167107,6119
2014-08-04,210,184410,21449
2014-08-05,210,190228,3985
2014-08-06,210,192463,2474
2014-08-07,210,191820,2577
2014-08-08,210,195822,4359
2014-08-11,210,195451,2399
2014-08-12,210,191727,-3776
2014-08-13,210,192261,4249
2014-08-14,210,179276,-11405
2014-08-15,210,185067,8492
2014-08-18,210,186980,795
2014-08-19,210,176342,-3303
2014-08-20,210,179681,2832
2014-08-21,210,183476,6070
2014-08-22,210,180681,421
2014-08-25,210,179488,-975
2014-08-26,210,188905,11042
2014-08-27,210,196926,8823
2014-08-28,210,194491,-699
2014-08-29,210,193934,-1903
2014-09-01,210,193883,-21
2014-09-02,210,205415,11020
2014-09-03,210,207610,2472
2014-09-04,210,195368,-10784
2014-09-05,210,195245,445
2014-09-09,210,187350,-5346
2014-09-10,210,190574,5622
2014-09-11,210,188356,-1937
2014-09-12,210,213091,25192
2014-09-15,210,229953,24289
2014-09-16,210,224355,-4104
2014-09-17,210,221683,-1314
2014-09-18,210,218295,-3094
2014-09-19,210,204461,-11333
2014-09-22,210,194065,5143
2014-09-23,210,184656,-5535
2014-09-24,210,196329,8290
2014-09-25,210,192263,-4415
2014-09-26,210,188735,1657
2014-09-29,210,189423,-279
2014-09-30,210,178501,-4926
2014-10-08,210,166086,-10073
2014-10-09,210,172144,4176
2014-10-10,210,154332,-4019
2014-10-13,210,181369,34968
2014-10-14,210,175636,17504
2014-10-15,210,169673,-179
2014-10-16,210,189206,24502
2014-10-17,210,193791,7456
2014-10-20,210,196984,6045
2014-10-21,210,192370,1761
2014-10-22,210,196005,2118
2014-10-23,210,201197,3510
2014-10-24,210,201192,3245
2014-10-27,210,202419,8713
2014-10-28,210,190413,-7211
2014-10-29,210,189435,1736
2014-10-30,210,198410,10467
2014-10-31,210,204499,8103
2014-11-03,210,204609,-1750
2014-11-04,210,199603,-5161
2014-11-05,210,201501,486
2014-11-06,210,193252,10379
2014-11-07,210,196580,7071
2014-11-10,210,205705,4777
2014-11-11,210,197791,-3600
2014-11-12,210,202914,4268
2014-11-13,210,194997,-4550
2014-11-14,210,196697,-331
2014-11-17,210,192745,-3952
2014-11-18,210,181958,-7138
2014-11-19,210,184647,2689
2014-11-20,210,182039,564
2014-11-21,210,183054,748
2014-11-24,210,189646,9525
2014-11-25,210,196059,9292
2014-11-26,210,193750,-2162
2014-11-27,210,185685,-7770
2014-11-28,210,180032,-7980
2014-12-01,210,183834,3575
2014-12-02,210,184982,7528
2014-12-03,210,186156,7391
2014-12-04,210,192797,6266
2014-12-05,210,203781,10552
2014-12-08,210,199708,-4372
2014-12-09,210,191205,-8183
2014-12-10,210,180363,-10128
2014-12-11,210,170210,-8503
2014-12-12,210,162784,-6992
2014-12-15,210,153637,-7344
2014-12-16,210,142966,-7626
2014-12-17,210,137626,-4166
2014-12-18,210,134298,-2894
2014-12-19,210,128369,-4533
2014-12-22,210,126425,-2618
2014-12-23,210,125836,-589
2014-12-24,210,126478,6468
2014-12-25,210,132726,13042
2014-12-26,210,135112,2325
2014-12-29,210,131628,1113
2014-12-30,210,127898,-2449
2014-12-31,210,123065,-4155
2015-01-05,210,114822,-4451
2015-01-06,210,113454,-1061
2015-01-07,210,112277,-753
2015-01-08,210,112178,105
2015-01-09,210,110868,-1205
2015-01-12,210,109103,-1375
2015-01-13,210,101950,-7170
2015-01-14,210,101377,-852
2015-01-15,210,99051,-2033
2015-01-16,210,99026,618
2015-01-19,210,95917,-1460
2015-01-20,210,96285,500
2015-01-21,210,91217,-5077
2015-01-22,210,90314,-788
2015-01-23,210,89066,-1248
2015-01-26,210,86983,-811
2015-01-27,210,85937,-824
2015-01-28,210,87290,329
2015-01-29,210,86031,5712
2015-01-30,210,81722,-3502
2015-02-02,210,82123,52
2015-02-03,210,81872,172
2015-02-04,210,83033,1384
2015-02-05,210,79654,-1240
2015-02-06,210,81246,1592
2015-02-09,210,81152,-977
2015-02-10,210,82434,985
2015-02-11,210,81874,-554
2015-02-12,210,81809,499
2015-02-13,210,80827,-982
2015-02-16,210,74148,-2687
2015-02-17,210,72901,155
2015-02-25,210,69479,-1004
2015-02-26,210,75706,7313
2015-02-27,210,76919,5099
2015-03-02,210,81000,3878
2015-03-03,210,83597,2984
2015-03-04,210,85100,1629
2015-03-05,210,94380,9496
2015-03-06,210,95062,1385
2015-03-09,210,94391,-1164
2015-03-10,210,103197,11161
2015-03-11,210,98113,-2841
2015-03-12,210,98188,-537
2015-03-13,210,97263,-884
2015-03-16,210,96263,-1056
2015-03-17,210,96557,297
2015-03-18,210,95797,-817
2015-03-19,210,95969,207
2015-03-20,210,96297,2020
2015-03-23,210,98430,2421
2015-03-24,210,101040,3895
2015-03-25,210,103632,4602
2015-03-26,210,114273,10694
2015-03-27,210,114785,742
2015-03-30,210,118005,4475
2015-03-31,210,117342,-138
2015-04-01,210,116879,-98
2015-04-02,210,114793,281
2015-04-03,210,114097,1798
2015-04-07,210,117997,4695
2015-04-08,210,120176,2631
2015-04-09,210,121124,1728
2015-04-10,210,119052,1503
2015-04-13,210,121478,2606
2015-04-14,210,135193,14433
2015-04-15,210,129439,-4007
2015-04-16,210,128447,-390
2015-04-17,210,135546,6938
2015-04-20,210,133956,1893
2015-04-21,210,133705,863
2015-04-22,210,114857,-11607
2015-04-23,210,113210,-952
2015-04-24,210,114660,4199
2015-04-27,210,110404,1042
2015-04-28,210,107304,-3582
2015-04-29,210,103219,-3425
2015-04-30,210,101944,811
2015-05-04,210,96604,-3108
2015-05-05,210,94364,-514
2015-05-06,210,94660,1747
2015-05-07,210,89559,-4048
2015-05-08,210,87371,-1519
2015-05-11,210,93223,7409
2015-05-12,210,92082,-1243
2015-05-13,210,92254,-845
2015-05-14,210,85098,-7073
2015-05-15,210,82491,-2606
2015-05-18,210,81575,-668
2015-05-19,210,78352,-2826
2015-05-20,210,71624,-5439
2015-05-21,210,69991,-1138
2015-05-22,210,76741,13859
2015-05-25,210,75346,1121
2015-05-26,210,75669,773
2015-05-27,210,72859,-1217
2015-05-28,210,74842,2405
2015-05-29,210,74111,-679
2015-06-01,210,74671,1117
2015-06-02,210,72491,-817
2015-06-03,210,72489,854
2015-06-04,210,70311,-2109
2015-06-05,210,69606,441
2015-06-08,210,69208,653
2015-06-09,210,72384,3196
2015-06-10,210,70379,-1693
2015-06-11,210,72743,2089
2015-06-12,210,69699,1684
2015-06-15,210,69206,1435
2015-06-16,210,67964,196
2015-06-17,210,69171,980
2015-06-18,210,67742,374
2015-06-19,210,66495,-627
2015-06-23,210,67450,1391
2015-06-24,210,67291,-572
2015-06-25,210,66975,-226
2015-06-26,210,64815,-1178
2015-06-29,210,62875,-63
2015-06-30,210,61016,-1746
2015-07-01,210,67287,7329
2015-07-02,210,62896,-3367
2015-07-03,210,65883,3102
2015-07-06,210,65847,379
2015-07-07,210,63679,-1714
2015-07-08,210,62580,25
2015-07-09,210,61512,268
2015-07-10,210,65719,5359
2015-07-13,210,64494,247
2015-07-14,210,64849,692
2015-07-15,210,64860,728
2015-07-16,210,64207,900
2015-07-17,210,64568,60
2015-07-20,210,62790,96
2015-07-21,210,63278,825
2015-07-22,210,66609,3435
2015-07-23,210,68860,3340
2015-07-24,210,67883,-355
2015-07-27,210,68601,803
2015-07-28,210,66592,-1861
2015-07-29,210,65485,537
2015-07-30,210,66201,1259
2015-07-31,210,66532,133
2015-08-03,210,65601,-660
2015-08-04,210,66467,1344
2015-08-05,210,66913,446
2015-08-06,210,69604,4055
2015-08-07,210,69422,1067
2015-08-10,210,73121,3463
2015-08-11,210,73828,283
2015-08-12,210,70462,-3073
2015-08-13,210,66323,-2811
2015-08-14,210,65767,-214
2015-08-17,210,65561,-104
2015-08-18,210,64518,-715
2015-08-19,210,58276,-4764
2015-08-20,210,57694,601
2015-08-21,210,56949,-382
2015-08-24,210,53869,-2137
2015-08-25,210,52086,-1174
2015-08-26,210,50416,-1647
2015-08-27,210,49017,-143
2015-08-28,210,58728,11484
2015-08-31,210,59522,527
2015-09-01,210,55951,-1852
2015-09-02,210,56309,661
2015-09-07,210,58143,1982
2015-09-08,210,55269,-2111
2015-09-09,210,57949,2875
2015-09-10,210,57520,1725
2015-09-11,210,58450,929
2015-09-14,210,58768,769
2015-09-15,210,56215,-2523
2015-09-16,210,54111,-81
2015-09-17,210,54471,365
2015-09-18,210,55646,1076
2015-09-21,210,57336,3998
2015-09-22,210,56758,1272
2015-09-23,210,55659,0
2015-09-24,210,57650,1581
2015-09-25,210,56829,-140
2015-09-28,210,56389,-49
2015-09-29,210,56674,542
2015-09-30,210,55048,-675
2015-10-08,210,62592,10528
2015-10-09,210,63873,3712
2015-10-12,210,58278,-4437
2015-10-13,210,56399,4209
2015-10-14,210,52994,3618
2015-10-15,210,52641,502
2015-10-16,210,62968,10825
2015-10-19,210,66666,4386
2015-10-20,210,71265,4669
2015-10-21,210,70618,-382
2015-10-22,210,68097,-110
2015-10-23,210,62946,-3095
2015-10-26,210,72959,12259
2015-10-27,210,78073,4331
2015-10-28,210,79754,1798
2015-10-29,210,79770,354
2015-10-30,210,84783,5525
2015-11-02,210,83990,-293
2015-11-03,210,83483,380
2015-11-04,210,80050,-2281
2015-11-05,210,80524,1556
2015-11-06,210,85600,5235
2015-11-09,210,85712,2780
2015-11-10,210,85777,556
2015-11-11,210,84986,-240
2015-11-12,210,86407,2566
2015-11-13,210,86699,808
2015-11-16,210,92503,7840
2015-11-17,210,93160,4779
2015-11-18,210,100164,7596
2015-11-19,210,106289,10346
2015-11-20,210,108374,3596
2015-11-23,210,109057,1247
2015-11-24,210,114075,5957
2015-11-25,210,111453,-640
2015-11-26,210,114941,4978
2015-11-27,210,114524,-117
2015-11-30,210,113082,-1055
2015-12-01,210,112048,-733
2015-12-02,210,107532,-3528
2015-12-03,210,101880,-2998
2015-12-04,210,100223,-1031
2015-12-07,210,101486,1396
2015-12-08,210,101669,346
2015-12-09,210,96611,-2329
2015-12-10,210,99003,2668
2015-12-11,210,98830,-377
2015-12-14,210,103652,5577
2015-12-15,210,114775,12347
2015-12-16,210,108988,-5274
2015-12-17,210,97725,-7885
2015-12-18,210,95847,-413
2015-12-21,210,95288,-627
2015-12-22,210,96279,1420
2015-12-23,210,96588,398
2015-12-24,210,95047,-1509
2015-12-25,210,99987,9061
2015-12-28,210,106580,8157
2015-12-29,210,102781,-4202
2015-12-30,210,98795,-2836
2015-12-31,210,98042,-707
2016-01-04,210,94306,-2763
2016-01-05,210,92098,-2050
2016-01-06,210,100491,8249
2016-01-07,210,98164,-1815
2016-01-08,210,96737,-1674
2016-01-11,210,101814,5835
2016-01-12,210,102699,934
2016-01-13,210,98240,-4358
2016-01-14,210,96454,-735
2016-01-15,210,95687,-696
2016-01-18,210,91231,-4604
2016-01-19,210,87029,-2338
2016-01-20,210,88264,1987
2016-01-21,210,90213,2180
2016-01-22,210,89509,-429
2016-01-25,210,93261,3388
2016-01-26,210,100668,9857
2016-01-27,210,97396,711
2016-01-28,210,101364,7216
2016-01-29,210,104332,2382
2016-02-01,210,104702,379
2016-02-02,210,109092,3557
2016-02-03,210,105713,-1642
2016-02-04,210,105121,653
2016-02-05,210,98018,-4909
2016-02-15,210,100786,2750
2016-02-16,210,99757,-593
2016-02-17,210,101211,-300
