trading_date,A_total_oi
2013-11-05,164942.0
2013-11-06,164466.0
2013-11-07,167744.0
2013-11-08,166096.0
2013-11-11,167026.0
2013-11-12,167592.0
2013-11-13,161290.0
2013-11-14,159400.0
2013-11-15,160642.0
2013-11-18,157006.0
2013-11-19,159408.0
2013-11-20,161376.0
2013-11-21,166132.0
2013-11-22,164390.0
2013-11-25,160708.0
2013-11-26,159312.0
2013-11-27,155768.0
2013-11-28,167352.0
2013-11-29,168526.0
2013-12-02,162384.0
2013-12-03,153226.0
2013-12-04,154040.0
2013-12-05,151600.0
2013-12-06,151332.0
2013-12-09,147038.0
2013-12-10,148428.0
2013-12-11,147898.0
2013-12-12,146710.0
2013-12-13,143716.0
2013-12-16,143074.0
2013-12-17,143812.0
2013-12-18,143878.0
2013-12-19,145272.0
2013-12-20,145880.0
2013-12-23,144936.0
2013-12-24,145422.0
2013-12-25,145674.0
2013-12-26,145672.0
2013-12-27,145560.0
2013-12-30,209768.0
2013-12-31,205822.0
2014-01-02,206590.0
2014-01-03,203014.0
2014-01-06,212878.0
2014-01-07,206962.0
2014-01-08,207632.0
2014-01-09,209228.0
2014-01-10,232416.0
2014-01-13,210174.0
2014-01-14,204048.0
2014-01-15,213288.0
2014-01-16,220042.0
2014-01-17,230894.0
2014-01-20,251992.0
2014-01-21,244438.0
2014-01-22,243188.0
2014-01-23,246740.0
2014-01-24,246932.0
2014-01-27,241764.0
2014-01-28,232620.0
2014-01-29,224476.0
2014-01-30,213404.0
2014-02-07,206324.0
2014-02-10,242942.0
2014-02-11,277374.0
2014-02-12,290438.0
2014-02-13,297834.0
2014-02-14,293784.0
2014-02-17,292656.0
2014-02-18,284928.0
2014-02-19,283742.0
2014-02-20,280562.0
2014-02-21,295046.0
2014-02-24,302964.0
2014-02-25,300858.0
2014-02-26,299752.0
2014-02-27,300430.0
2014-02-28,305248.0
2014-03-03,310228.0
2014-03-04,309164.0
2014-03-05,309186.0
2014-03-06,308846.0
2014-03-07,304914.0
2014-03-10,273362.0
2014-03-11,244652.0
2014-03-12,242416.0
2014-03-13,241170.0
2014-03-14,234910.0
2014-03-17,231634.0
2014-03-18,225636.0
2014-03-19,224706.0
2014-03-20,227474.0
2014-03-21,227292.0
2014-03-24,225252.0
2014-03-25,224822.0
2014-03-26,233670.0
2014-03-27,243228.0
2014-03-28,249948.0
2014-03-31,256524.0
2014-04-01,251288.0
2014-04-02,262900.0
2014-04-03,265334.0
2014-04-04,277888.0
2014-04-08,274480.0
2014-04-09,275160.0
2014-04-10,273820.0
2014-04-11,275750.0
2014-04-14,286868.0
2014-04-15,316284.0
2014-04-16,323292.0
2014-04-17,327800.0
2014-04-18,368510.0
2014-04-21,370638.0
2014-04-22,371744.0
2014-04-23,367930.0
2014-04-24,375500.0
2014-04-25,413118.0
2014-04-28,423812.0
2014-04-29,442748.0
2014-04-30,428098.0
2014-05-05,430120.0
2014-05-06,488044.0
2014-05-07,496120.0
2014-05-08,500950.0
2014-05-09,485970.0
2014-05-12,472212.0
2014-05-13,491412.0
2014-05-14,543158.0
2014-05-15,565864.0
2014-05-16,571826.0
2014-05-19,593788.0
2014-05-20,588416.0
2014-05-21,638312.0
2014-05-22,644030.0
2014-05-23,639026.0
2014-05-26,647608.0
2014-05-27,627950.0
2014-05-28,763262.0
2014-05-29,754284.0
2014-05-30,692138.0
2014-06-03,694382.0
2014-06-04,693080.0
2014-06-05,668520.0
2014-06-06,637368.0
2014-06-09,634884.0
2014-06-10,620688.0
2014-06-11,610256.0
2014-06-12,619732.0
2014-06-13,609360.0
2014-06-16,624960.0
2014-06-17,615856.0
2014-06-18,618352.0
2014-06-19,613370.0
2014-06-20,608360.0
2014-06-23,605224.0
