trading_date,rank,volume,volume_change
2013-11-05,210,202387377,-1266
2013-11-06,210,195901581,-1056
2013-11-07,210,200362565,2482
2013-11-08,210,181004592,-584
2013-11-11,210,161283717,-403
2013-11-12,210,160007653,561
2013-11-13,210,155279390,-637
2013-11-14,210,157007589,40
2013-11-15,210,150974291,964
2013-11-18,210,149111774,954
2013-11-19,210,156414129,1263
2013-11-20,210,166465822,1593
2013-11-21,210,173346241,1080
2013-11-22,210,170444444,22
2013-11-25,210,160464639,-1337
2013-11-26,210,159623319,309
2013-11-27,210,157352497,-936
2013-11-28,210,173393148,2672
2013-11-29,210,180845316,718
2013-12-02,210,159039895,-3023
2013-12-03,210,154981773,-1090
2013-12-04,210,153386725,1066
2013-12-05,210,153076810,196
2013-12-06,210,165479825,1130
2013-12-09,210,167814029,96
2013-12-10,210,180065485,856
2013-12-11,210,183685636,513
2013-12-12,210,201776773,1147
2013-12-13,210,218685899,130
2013-12-16,210,162424797,-2455
2013-12-17,210,166091891,-71
2013-12-18,210,178301425,2369
2013-12-19,210,193077995,923
2013-12-20,210,199090655,577
2013-12-23,210,197290433,-622
2013-12-24,210,209206383,1552
2013-12-25,210,217370203,1115
2013-12-26,210,221993974,254
2013-12-27,210,222755141,369
2013-12-30,210,535566891,29767
2013-12-31,210,504797535,4129
2014-01-02,210,456103158,-1635
2014-01-03,210,464476128,2607
2014-01-06,210,513832138,5239
2014-01-07,210,526969230,2946
2014-01-08,210,492252741,-2993
2014-01-09,210,450310057,-712
2014-01-10,210,388947413,7596
2014-01-13,210,414148750,-927
2014-01-14,210,410783456,-59
2014-01-15,210,418303121,2790
2014-01-16,210,494521482,3726
2014-01-17,210,574532332,6474
2014-01-20,210,579608585,7665
2014-01-21,210,551841317,-2211
2014-01-22,210,476739966,541
2014-01-23,210,470307131,1528
2014-01-24,210,498359549,2684
2014-01-27,210,476310503,-1395
2014-01-28,210,519171203,1194
2014-01-29,210,493711715,-2172
2014-01-30,210,494608356,-1216
2014-02-07,210,437891670,-3617
2014-02-10,210,573417349,15234
2014-02-11,210,844481789,10173
2014-02-12,210,893382978,4832
2014-02-13,210,1019470970,4815
2014-02-14,210,1014332595,-29
2014-02-17,210,1030378554,1014
2014-02-18,210,1022311078,-2004
2014-02-19,210,1064021163,3228
2014-02-20,210,976770019,-3
2014-02-21,210,1071367445,7101
2014-02-24,210,1132241187,2002
2014-02-25,210,1209153274,1429
2014-02-26,210,1252270223,1813
2014-02-27,210,1242281008,1363
2014-02-28,210,1301974964,5081
2014-03-03,210,1336094370,1621
2014-03-04,210,1328089028,241
2014-03-05,210,1348714153,-378
2014-03-06,210,1354675589,258
2014-03-07,210,1262992303,-3700
2014-03-10,210,712021446,-6204
2014-03-11,210,731241768,-3538
2014-03-12,210,705547516,-2035
2014-03-13,210,701621562,-795
2014-03-14,210,678624379,-1960
2014-03-17,210,685742036,454
2014-03-18,210,648560655,-2007
2014-03-19,210,640937972,-846
