trading_date,rank,volume,volume_change
2013-11-05,210,579128612,-1116
2013-11-06,210,565982201,239
2013-11-07,210,664702991,1872
2013-11-08,210,701467796,-247
2013-11-11,210,744213501,2789
2013-11-12,210,839691866,1185
2013-11-13,210,827012467,-2567
2013-11-14,210,824846589,-82
2013-11-15,210,845205229,949
2013-11-18,210,714119389,-825
2013-11-19,210,702383788,837
2013-11-20,210,627339344,1639
2013-11-21,210,577728737,1647
2013-11-22,210,571372647,-283
2013-11-25,210,559724880,-729
2013-11-26,210,499247527,-2894
2013-11-27,210,525322849,1028
2013-11-28,210,497280225,1665
2013-11-29,210,488929318,498
2013-12-02,210,503046245,-687
2013-12-03,210,457090968,-2412
2013-12-04,210,543126449,2179
2013-12-05,210,547807387,211
2013-12-06,210,556983082,-197
2013-12-09,210,538814228,-1628
2013-12-10,210,543461221,1574
2013-12-11,210,542368725,-107
2013-12-12,210,541184330,210
2013-12-13,210,544665606,-392
2013-12-16,210,634705309,2298
2013-12-17,210,658983183,1136
2013-12-18,210,660267415,48
2013-12-19,210,642636150,131
2013-12-20,210,596700541,373
2013-12-23,210,597710530,69
2013-12-24,210,472841854,-908
2013-12-25,210,516674165,2881
2013-12-26,210,531637187,490
2013-12-27,210,524224716,-322
2013-12-30,210,592002737,19769
2013-12-31,210,464205050,2388
2014-01-02,210,432667368,3914
2014-01-03,210,434123248,1325
2014-01-06,210,417876858,3970
2014-01-07,210,380011685,647
2014-01-08,210,352966688,-529
2014-01-09,210,385858668,2728
2014-01-10,210,493290757,13850
2014-01-13,210,458562551,-576
2014-01-14,210,459248310,-85
2014-01-15,210,477742096,2841
2014-01-16,210,486365753,3596
2014-01-17,210,483503666,3729
2014-01-20,210,518126498,6698
2014-01-21,210,499871261,-236
2014-01-22,210,476063030,-377
2014-01-23,210,490172916,2863
2014-01-24,210,454653692,46
2014-01-27,210,480155556,1162
2014-01-28,210,453974824,-1978
2014-01-29,210,447344725,-969
2014-01-30,210,437005978,162
2014-02-07,210,428296299,-1624
2014-02-10,210,505953928,13163
2014-02-11,210,782994314,15629
2014-02-12,210,868325879,5794
2014-02-13,210,913378818,3832
2014-02-14,210,907870165,-908
2014-02-17,210,876667579,541
