trading_date,rank,volume,volume_change
2015-09-17,210,27238,1639
2015-09-18,210,27323,1962
2015-09-21,210,26114,702
2015-09-22,210,29862,4829
2015-09-23,210,27846,-727
2015-09-24,210,27249,124
2015-09-25,210,23322,-852
2015-09-28,210,22791,179
2015-09-29,210,17139,-1505
2015-09-30,210,13579,-2805
2015-10-08,210,16145,3901
2015-10-09,210,22007,8015
2015-10-12,210,27464,5897
2015-10-13,210,25083,-1808
2015-10-14,210,26144,1668
2015-10-15,210,27565,1974
2015-10-16,210,28307,3333
2015-10-19,210,36272,10112
2015-10-20,210,32798,158
2015-10-21,210,32570,4687
2015-10-22,210,34801,3571
2015-10-23,210,48576,18754
2015-10-26,210,45381,1629
2015-10-27,210,42588,-1374
2015-10-28,210,42620,1382
2015-10-29,210,38376,-1349
2015-10-30,210,46470,13023
2015-11-02,210,40755,-3487
2015-11-03,210,48194,9340
2015-11-04,210,38076,4547
2015-11-05,210,50073,14820
2015-11-06,210,47123,3310
2015-11-09,210,35761,-4222
2015-11-10,210,35677,669
2015-11-11,210,34898,272
2015-11-12,210,34842,531
2015-11-13,210,30966,1240
2015-11-16,210,29274,2537
2015-11-17,210,23811,-2248
2015-11-18,210,24235,1535
2015-11-19,210,21495,-1897
2015-11-20,210,19397,-1111
2015-11-23,210,21645,3694
2015-11-24,210,16931,-2231
2015-11-25,210,14928,933
2015-11-26,210,9030,-4885
2015-11-27,210,37445,10228
2015-11-30,210,40453,6377
2015-12-01,210,33175,-3773
2015-12-02,210,32052,302
2015-12-03,210,42629,12011
2015-12-04,210,35586,-5869
2015-12-07,210,35290,4283
2015-12-08,210,42556,8922
2015-12-09,210,40969,-329
2015-12-10,210,46633,6683
2015-12-11,210,42698,-1486
2015-12-14,210,36952,-4843
2015-12-15,210,35268,1059
2015-12-16,210,30690,613
2015-12-17,210,31084,2090
2015-12-18,210,32149,3502
2015-12-21,210,25457,-394
2015-12-22,210,49348,9627
2015-12-23,210,55675,9986
2015-12-24,210,52061,-1994
2015-12-25,210,55961,8164
2015-12-28,210,54531,1691
2015-12-29,210,60881,7537
2015-12-30,210,62201,2440
2015-12-31,210,63507,3542
2016-01-04,210,58534,4282
2016-01-05,210,62100,7707
2016-01-06,210,68491,8558
2016-01-07,210,74895,13146
2016-01-08,210,69030,7312
2016-01-11,210,69110,3525
2016-01-12,210,87212,22893
2016-01-13,210,88014,2564
2016-01-14,210,93348,8067
2016-01-15,210,96617,9336
2016-01-18,210,102837,13159
2016-01-19,210,109920,13200
2016-01-20,210,116714,14682
2016-01-21,210,114248,-318
2016-01-22,210,110101,2188
2016-01-25,210,109888,4061
2016-01-26,210,104188,-4391
2016-01-27,210,103781,5974
2016-01-28,210,106718,5887
2016-01-29,210,135006,33577
2016-02-01,210,154403,23473
2016-02-02,210,146599,-7532
2016-02-03,210,146865,8364
2016-02-04,210,135327,-6147
2016-02-05,210,135965,7379
2016-02-15,210,143056,7295
2016-02-16,210,155245,12189
2016-02-17,210,158950,4898
2016-02-18,210,154997,853
2016-02-19,210,154932,4005
2016-02-22,210,147021,6709
2016-02-23,210,144259,-1618
2016-02-24,210,145523,2428
2016-02-25,210,148250,4182
2016-02-26,210,184049,41703
2016-02-29,210,180493,-2577
2016-03-01,210,178321,-2181
2016-03-02,210,203372,31678
2016-03-03,210,207814,9383
2016-03-04,210,220010,1638
2016-03-07,210,238125,47538
2016-03-08,210,211371,-22595
2016-03-09,210,198187,-7320
2016-03-10,210,223831,28571
2016-03-11,210,226674,9517
2016-03-14,210,237256,12586
2016-03-15,210,226199,1489
2016-03-16,210,219588,-7007
2016-03-17,210,224661,13064
