trading_date,BU_total_oi
2015-09-17,105670.0
2015-09-18,105404.0
2015-09-21,101866.0
2015-09-22,111072.0
2015-09-23,102088.0
2015-09-24,102014.0
2015-09-25,86066.0
2015-09-28,82464.0
2015-09-29,65252.0
2015-09-30,51514.0
2015-10-08,57296.0
2015-10-09,78570.0
2015-10-12,92890.0
2015-10-13,86642.0
2015-10-14,89332.0
2015-10-15,93022.0
2015-10-16,95192.0
2015-10-19,121566.0
2015-10-20,110946.0
2015-10-21,120904.0
2015-10-22,129502.0
2015-10-23,168036.0
2015-10-26,160554.0
2015-10-27,151480.0
2015-10-28,145778.0
2015-10-29,135748.0
2015-10-30,163508.0
2015-11-02,147088.0
2015-11-03,165688.0
2015-11-04,139806.0
2015-11-05,160628.0
2015-11-06,169202.0
2015-11-09,143998.0
2015-11-10,142252.0
2015-11-11,130856.0
2015-11-12,131390.0
2015-11-13,130478.0
2015-11-16,141206.0
2015-11-17,124892.0
2015-11-18,122206.0
2015-11-19,113710.0
2015-11-20,100804.0
2015-11-23,124194.0
2015-11-24,110910.0
2015-11-25,136876.0
2015-11-26,108636.0
2015-11-27,131928.0
2015-11-30,137380.0
2015-12-01,124002.0
2015-12-02,114754.0
2015-12-03,161274.0
2015-12-04,138762.0
2015-12-07,152658.0
2015-12-08,180588.0
2015-12-09,185348.0
2015-12-10,235376.0
2015-12-11,239908.0
2015-12-14,204364.0
2015-12-15,200726.0
2015-12-16,188250.0
2015-12-17,191788.0
2015-12-18,190130.0
2015-12-21,175000.0
2015-12-22,194492.0
2015-12-23,200182.0
2015-12-24,188864.0
2015-12-25,209520.0
2015-12-28,202976.0
2015-12-29,215762.0
2015-12-30,212488.0
2015-12-31,210914.0
2016-01-04,226874.0
2016-01-05,242006.0
2016-01-06,256990.0
2016-01-07,282152.0
2016-01-08,262824.0
2016-01-11,256394.0
2016-01-12,321514.0
2016-01-13,320324.0
2016-01-14,329120.0
2016-01-15,336342.0
2016-01-18,372512.0
2016-01-19,395880.0
2016-01-20,418744.0
2016-01-21,416078.0
2016-01-22,400812.0
2016-01-25,424150.0
2016-01-26,403904.0
2016-01-27,399732.0
2016-01-28,406766.0
2016-01-29,529590.0
2016-02-01,604826.0
2016-02-02,586592.0
2016-02-03,613130.0
2016-02-04,541366.0
2016-02-05,566498.0
2016-02-15,589044.0
2016-02-16,619896.0
2016-02-17,640822.0
2016-02-18,635586.0
2016-02-19,610230.0
2016-02-22,614956.0
2016-02-23,608104.0
2016-02-24,651350.0
2016-02-25,638180.0
2016-02-26,763754.0
2016-02-29,761474.0
2016-03-01,757758.0
2016-03-02,862818.0
2016-03-03,925470.0
2016-03-04,939450.0
2016-03-07,1004646.0
2016-03-08,905368.0
2016-03-09,867668.0
2016-03-10,983394.0
2016-03-11,997256.0
2016-03-14,987006.0
2016-03-15,990198.0
2016-03-16,940328.0
2016-03-17,940502.0
2016-03-18,935534.0
2016-03-21,958960.0
2016-03-22,1007752.0
2016-03-23,1067924.0
2016-03-24,1035434.0
2016-03-25,1009544.0
2016-03-28,1034872.0
2016-03-29,1070946.0
2016-03-30,1099094.0
2016-03-31,1128220.0
2016-04-01,1082306.0
2016-04-05,1034286.0
2016-04-06,997630.0
2016-04-07,1022064.0
2016-04-08,982222.0
2016-04-11,936604.0
2016-04-12,966502.0
2016-04-13,973102.0
2016-04-14,992446.0
2016-04-15,972300.0
2016-04-18,902910.0
2016-04-19,967424.0
2016-04-20,1119516.0
2016-04-21,1169878.0
2016-04-22,1079534.0
2016-04-25,1082988.0
2016-04-26,973826.0
2016-04-27,1072422.0
2016-04-28,1114598.0
2016-04-29,1115394.0
2016-05-03,1157096.0
2016-05-04,1162290.0
2016-05-05,1172510.0
2016-05-06,1148850.0
2016-05-09,1111066.0
2016-05-10,1019606.0
2016-05-11,1038866.0
2016-05-12,1061750.0
2016-05-13,982686.0
2016-05-16,990554.0
2016-05-17,1058000.0
2016-05-18,1010612.0
2016-05-19,936680.0
2016-05-20,918744.0
2016-05-23,822610.0
2016-05-24,826880.0
2016-05-25,813344.0
2016-05-26,823820.0
2016-05-27,901148.0
2016-05-30,886360.0
2016-05-31,864708.0
2016-06-01,948102.0
2016-06-02,899532.0
2016-06-03,878636.0
2016-06-06,835668.0
2016-06-07,830638.0
2016-06-08,809574.0
2016-06-13,818970.0
2016-06-14,824728.0
2016-06-15,819178.0
2016-06-16,781760.0
2016-06-17,790812.0
2016-06-20,841400.0
2016-06-21,802554.0
2016-06-22,892180.0
2016-06-23,901788.0
2016-06-24,814120.0
2016-06-27,852124.0
2016-06-28,910204.0
2016-06-29,957734.0
2016-06-30,935582.0
2016-07-01,893084.0
2016-07-04,965058.0
2016-07-05,918388.0
2016-07-06,891502.0
2016-07-07,856510.0
2016-07-08,837896.0
2016-07-11,851156.0
2016-07-12,849130.0
2016-07-13,851322.0
2016-07-14,953876.0
2016-07-15,963564.0
2016-07-18,924304.0
