trading_date,rank,volume,volume_change
2016-07-26,36,19,0
2016-07-27,36,20,1
2016-07-28,36,20,0
2016-07-29,36,17,-3
2016-08-01,36,18,1
2016-08-02,36,17,-1
2016-08-03,36,17,0
2016-08-04,36,17,0
2016-08-05,36,17,0
2016-08-08,36,17,0
2016-08-09,36,19,2
2016-08-10,45,22,3
2016-08-11,36,22,0
2016-08-12,66,25,3
2016-08-15,91,28,3
2016-08-16,66,28,0
2016-08-17,66,27,-1
2016-08-18,55,27,0
2016-08-19,55,25,-2
2016-08-22,66,24,-1
2016-08-23,66,24,0
2016-08-24,66,26,2
2016-08-25,66,26,0
2016-08-26,66,25,-1
2016-08-29,78,28,3
2016-08-30,78,27,-1
2016-08-31,66,26,-1
2016-09-01,55,26,0
2016-09-02,36,26,0
2016-09-05,36,26,0
2016-09-06,36,26,0
2016-09-07,36,24,-2
2016-09-08,28,24,0
2016-09-09,28,24,0
2016-09-12,28,24,0
2016-09-13,28,24,0
2016-09-14,28,24,0
2016-09-19,28,24,0
2016-09-20,28,24,0
2016-09-21,28,23,-1
2016-09-22,28,23,0
2016-09-23,28,23,0
2016-09-26,28,23,0
2016-09-27,28,23,0
2016-09-28,28,23,0
2016-09-29,28,25,2
2016-09-30,28,25,0
2016-10-10,28,25,0
2016-10-11,28,24,-1
2016-10-12,36,24,0
2016-10-13,36,24,0
2016-10-14,28,24,0
2016-10-17,28,24,0
2016-10-18,28,23,-1
2016-10-19,21,23,0
2016-10-20,21,20,-3
2016-10-21,21,18,-2
2016-10-24,15,14,-4
2016-10-25,10,14,0
2016-10-26,10,14,0
2016-10-27,10,14,0
2016-10-28,15,16,2
2016-10-31,21,13,-3
2016-11-01,15,12,-1
2016-11-02,15,12,0
2016-11-03,15,12,0
2016-11-04,15,12,0
2016-11-07,15,12,0
2016-11-08,15,12,0
2016-11-09,15,12,0
2016-11-10,15,12,0
2016-11-11,15,13,1
2016-11-14,10,13,0
2016-11-15,15,14,1
2016-11-16,15,13,-1
2016-11-17,15,14,1
2016-11-18,15,14,0
2016-11-21,15,14,0
2016-11-22,15,15,1
2016-11-23,15,14,-1
2016-11-24,21,15,1
2016-11-25,21,15,0
2016-11-28,21,15,0
2016-11-29,21,15,0
2016-11-30,21,15,0
2016-12-01,21,15,0
2016-12-02,21,14,-1
2016-12-05,21,14,0
2016-12-06,28,15,1
2016-12-07,28,15,0
2016-12-08,28,12,-3
2016-12-09,21,11,-1
2016-12-12,15,11,0
2016-12-13,15,11,0
2016-12-14,15,11,0
2016-12-15,15,11,0
2016-12-16,15,10,-1
2016-12-19,10,10,0
