trading_date,B_total_oi
2016-07-26,38.0
2016-07-27,40.0
2016-07-28,40.0
2016-07-29,34.0
2016-08-01,36.0
2016-08-02,34.0
2016-08-03,34.0
2016-08-04,34.0
2016-08-05,34.0
2016-08-08,34.0
2016-08-09,38.0
2016-08-10,44.0
2016-08-11,44.0
2016-08-12,50.0
2016-08-15,56.0
2016-08-16,56.0
2016-08-17,54.0
2016-08-18,54.0
2016-08-19,50.0
2016-08-22,48.0
2016-08-23,48.0
2016-08-24,52.0
2016-08-25,52.0
2016-08-26,50.0
2016-08-29,56.0
2016-08-30,54.0
2016-08-31,52.0
2016-09-01,52.0
2016-09-02,52.0
2016-09-05,52.0
2016-09-06,52.0
2016-09-07,48.0
2016-09-08,48.0
2016-09-09,48.0
2016-09-12,48.0
2016-09-13,48.0
2016-09-14,48.0
2016-09-19,48.0
2016-09-20,48.0
2016-09-21,46.0
2016-09-22,46.0
2016-09-23,46.0
2016-09-26,46.0
2016-09-27,46.0
2016-09-28,46.0
2016-09-29,50.0
2016-09-30,50.0
2016-10-10,50.0
2016-10-11,48.0
2016-10-12,48.0
2016-10-13,48.0
2016-10-14,48.0
2016-10-17,48.0
2016-10-18,46.0
2016-10-19,46.0
2016-10-20,40.0
2016-10-21,36.0
2016-10-24,28.0
2016-10-25,28.0
2016-10-26,28.0
2016-10-27,28.0
2016-10-28,32.0
2016-10-31,26.0
2016-11-01,24.0
2016-11-02,24.0
2016-11-03,24.0
2016-11-04,24.0
2016-11-07,24.0
2016-11-08,24.0
2016-11-09,24.0
2016-11-10,24.0
2016-11-11,26.0
2016-11-14,26.0
2016-11-15,28.0
2016-11-16,26.0
2016-11-17,28.0
2016-11-18,28.0
2016-11-21,28.0
2016-11-22,30.0
2016-11-23,28.0
2016-11-24,30.0
2016-11-25,30.0
2016-11-28,30.0
2016-11-29,30.0
2016-11-30,30.0
2016-12-01,30.0
2016-12-02,28.0
2016-12-05,28.0
2016-12-06,30.0
2016-12-07,30.0
2016-12-08,24.0
2016-12-09,22.0
2016-12-12,22.0
2016-12-13,22.0
2016-12-14,22.0
2016-12-15,22.0
2016-12-16,20.0
2016-12-19,20.0
2016-12-20,20.0
2016-12-21,20.0
2016-12-22,22.0
2016-12-23,22.0
2016-12-26,22.0
2016-12-27,22.0
2016-12-28,22.0
2016-12-29,22.0
2016-12-30,22.0
2017-01-03,22.0
2017-01-04,68.0
2017-01-05,66.0
2017-01-06,24.0
2017-01-09,22.0
2017-01-10,22.0
2017-01-11,22.0
2017-01-12,22.0
2017-01-13,24.0
2017-01-16,20.0
2017-01-17,20.0
2017-01-18,22.0
2017-01-19,24.0
2017-01-20,24.0
2017-01-23,24.0
2017-01-24,24.0
2017-01-25,22.0
2017-01-26,22.0
2017-02-03,22.0
2017-02-06,20.0
2017-02-07,20.0
2017-02-08,20.0
2017-02-09,20.0
2017-02-10,20.0
2017-02-13,20.0
2017-02-14,20.0
2017-02-15,20.0
2017-02-16,20.0
2017-02-17,20.0
2017-02-20,20.0
2017-02-21,20.0
2017-02-22,20.0
2017-02-23,20.0
2017-02-24,18.0
2017-02-27,18.0
2017-02-28,16.0
2017-03-01,12.0
2017-03-02,12.0
2017-03-03,12.0
2017-03-06,12.0
2017-03-07,12.0
2017-03-08,12.0
2017-03-09,12.0
2017-03-10,12.0
2017-03-13,12.0
2017-03-14,10.0
2017-03-15,10.0
2017-03-16,4.0
2017-03-17,10.0
2017-03-20,10.0
2017-03-21,10.0
2017-03-22,10.0
2017-03-23,16.0
2017-03-24,16.0
2017-03-27,14.0
2017-03-28,20.0
2017-03-29,20.0
2017-03-30,22.0
2017-03-31,22.0
2017-04-05,22.0
2017-04-06,22.0
2017-04-07,22.0
2017-04-10,20.0
2017-04-11,16.0
2017-04-12,20.0
2017-04-13,18.0
2017-04-14,18.0
2017-04-17,18.0
2017-04-18,24.0
2017-04-19,24.0
2017-04-20,18.0
2017-04-21,20.0
2017-04-24,18.0
2017-04-25,16.0
2017-04-26,16.0
2017-04-27,16.0
2017-04-28,16.0
2017-05-02,18.0
2017-05-03,18.0
2017-05-04,18.0
2017-05-05,18.0
2017-05-08,20.0
2017-05-09,18.0
2017-05-10,18.0
2017-05-11,18.0
2017-05-12,20.0
2017-05-15,20.0
2017-05-16,18.0
2017-05-17,18.0
2017-05-18,18.0
2017-05-19,18.0
2017-05-22,14.0
2017-05-23,16.0
2017-05-24,16.0
2017-05-25,16.0
2017-05-26,16.0
2017-05-31,152.0
2017-06-01,178.0
2017-06-02,198.0
2017-06-05,316.0
2017-06-06,314.0
2017-06-07,818.0
2017-06-08,838.0
2017-06-09,854.0
2017-06-12,900.0
2017-06-13,910.0
2017-06-14,890.0
2017-06-15,890.0
2017-06-16,862.0
2017-06-19,854.0
2017-06-20,848.0
2017-06-21,844.0
2017-06-22,844.0
2017-06-23,944.0
2017-06-26,1004.0
2017-06-27,992.0
2017-06-28,1092.0
2017-06-29,1102.0
2017-06-30,1096.0
2017-07-03,1094.0
2017-07-04,1090.0
2017-07-05,1090.0
2017-07-06,1084.0
2017-07-07,1084.0
2017-07-10,1086.0
2017-07-11,1084.0
2017-07-12,1084.0
2017-07-13,1090.0
2017-07-14,1086.0
2017-07-17,1088.0
2017-07-18,1088.0
2017-07-19,1086.0
2017-07-20,1086.0
2017-07-21,1086.0
2017-07-24,1090.0
2017-07-25,1086.0
2017-07-26,1086.0
2017-07-27,1084.0
2017-07-28,1086.0
2017-07-31,1086.0
2017-08-01,1084.0
2017-08-02,1084.0
2017-08-03,1098.0
2017-08-04,1090.0
2017-08-07,1090.0
2017-08-08,1092.0
2017-08-09,1094.0
2017-08-10,1090.0
2017-08-11,1090.0
2017-08-14,1090.0
2017-08-15,1090.0
2017-08-16,1090.0
2017-08-17,1088.0
2017-08-18,1086.0
2017-08-21,1086.0
2017-08-22,1086.0
2017-08-23,1086.0
2017-08-24,1086.0
2017-08-25,1096.0
2017-08-28,1092.0
2017-08-29,1092.0
2017-08-30,1092.0
2017-08-31,1092.0
2017-09-01,1108.0
2017-09-04,1124.0
2017-09-05,1130.0
2017-09-06,1130.0
2017-09-07,1130.0
2017-09-08,1130.0
2017-09-11,1130.0
2017-09-12,1130.0
2017-09-13,1130.0
2017-09-14,1132.0
2017-09-15,1130.0
2017-09-18,1130.0
2017-09-19,1330.0
2017-09-20,1332.0
2017-09-21,1330.0
2017-09-22,1330.0
2017-09-25,1330.0
2017-09-26,1330.0
2017-09-27,1332.0
2017-09-28,1332.0
2017-09-29,1330.0
2017-10-09,1328.0
2017-10-10,1228.0
2017-10-11,1228.0
2017-10-12,1228.0
2017-10-13,1228.0
2017-10-16,1226.0
2017-10-17,1222.0
2017-10-18,1222.0
2017-10-19,1222.0
2017-10-20,1218.0
2017-10-23,1216.0
2017-10-24,1248.0
2017-10-25,1408.0
2017-10-26,1580.0
2017-10-27,1634.0
2017-10-30,2066.0
2017-10-31,2904.0
2017-11-01,3814.0
2017-11-02,4576.0
2017-11-03,5002.0
2017-11-06,4410.0
2017-11-07,5472.0
2017-11-08,7372.0
2017-11-09,8564.0
2017-11-10,9562.0
2017-11-13,10224.0
2017-11-14,10614.0
2017-11-15,10532.0
2017-11-16,10564.0
2017-11-17,11542.0
2017-11-20,11806.0
2017-11-21,11838.0
2017-11-22,11920.0
2017-11-23,12324.0
2017-11-24,12120.0
2017-11-27,12228.0
2017-11-28,12232.0
2017-11-29,12248.0
2017-11-30,12254.0
2017-12-01,12208.0
2017-12-04,11504.0
2017-12-05,11406.0
2017-12-06,11304.0
2017-12-07,11218.0
2017-12-08,11194.0
2017-12-11,11188.0
2017-12-12,11152.0
2017-12-13,11144.0
2017-12-14,11128.0
2017-12-15,11126.0
2017-12-18,10762.0
2017-12-19,10738.0
2017-12-20,10754.0
2017-12-21,9950.0
2017-12-22,9928.0
2017-12-25,9930.0
2017-12-26,9456.0
2017-12-27,9468.0
2017-12-28,8656.0
2017-12-29,8474.0
2018-01-02,9488.0
2018-01-03,24336.0
2018-01-04,30882.0
2018-01-05,33882.0
2018-01-08,36176.0
2018-01-09,37434.0
2018-01-10,37428.0
2018-01-11,41260.0
2018-01-12,41126.0
2018-01-15,42522.0
2018-01-16,44704.0
2018-01-17,46022.0
2018-01-18,51606.0
2018-01-19,45464.0
2018-01-22,48886.0
2018-01-23,47562.0
2018-01-24,43502.0
2018-01-25,52348.0
2018-01-26,50216.0
2018-01-29,49558.0
2018-01-30,46368.0
2018-01-31,49342.0
