trading_date,rank,volume,volume_change
2016-07-26,36,79,0
2016-07-27,36,86,1
2016-07-28,36,86,0
2016-07-29,36,67,-3
2016-08-01,36,70,1
2016-08-02,36,67,-1
2016-08-03,36,67,0
2016-08-04,36,67,0
2016-08-05,36,67,0
2016-08-08,36,67,0
2016-08-09,36,131,2
2016-08-10,45,160,3
2016-08-11,36,124,0
2016-08-12,66,89,3
2016-08-15,91,128,3
2016-08-16,66,128,0
2016-08-17,66,147,-1
2016-08-18,55,133,0
2016-08-19,55,117,-2
2016-08-22,66,114,-1
2016-08-23,66,126,0
2016-08-24,66,170,2
2016-08-25,66,170,0
2016-08-26,66,147,-1
2016-08-29,78,156,3
2016-08-30,78,173,-1
2016-08-31,66,216,-1
2016-09-01,55,274,0
2016-09-02,36,274,0
2016-09-05,36,274,0
2016-09-06,36,274,0
2016-09-07,36,270,-2
2016-09-08,28,270,0
2016-09-09,28,270,0
2016-09-12,28,270,0
2016-09-13,28,270,0
2016-09-14,28,270,0
2016-09-19,28,270,0
2016-09-20,28,270,0
2016-09-21,28,239,-1
2016-09-22,28,239,0
2016-09-23,28,239,0
2016-09-26,28,239,0
2016-09-27,28,239,0
2016-09-28,28,239,0
2016-09-29,28,303,2
2016-09-30,28,303,0
2016-10-10,28,303,0
2016-10-11,28,242,-1
2016-10-12,36,242,0
2016-10-13,36,242,0
2016-10-14,28,242,0
2016-10-17,28,242,0
2016-10-18,28,241,-1
2016-10-19,21,241,0
2016-10-20,21,160,-3
2016-10-21,21,136,-2
2016-10-24,15,78,-4
2016-10-25,10,78,0
2016-10-26,10,78,0
2016-10-27,10,78,0
2016-10-28,15,82,2
2016-10-31,21,61,-3
2016-11-01,15,48,-1
2016-11-02,15,48,0
2016-11-03,15,48,0
2016-11-04,15,48,0
2016-11-07,15,48,0
2016-11-08,15,48,0
2016-11-09,15,48,0
2016-11-10,15,48,0
2016-11-11,15,63,1
2016-11-14,10,63,0
2016-11-15,15,88,1
2016-11-16,15,71,-1
2016-11-17,15,88,1
2016-11-18,15,88,0
2016-11-21,15,88,0
2016-11-22,15,107,1
2016-11-23,15,88,-1
2016-11-24,21,89,1
2016-11-25,21,89,0
2016-11-28,21,89,0
2016-11-29,21,89,0
2016-11-30,21,89,0
2016-12-01,21,89,0
2016-12-02,21,72,-1
2016-12-05,21,72,0
2016-12-06,28,73,1
2016-12-07,28,73,0
2016-12-08,28,44,-3
2016-12-09,21,43,-1
2016-12-12,15,43,0
2016-12-13,15,43,0
2016-12-14,15,43,0
2016-12-15,15,43,0
2016-12-16,15,42,-1
2016-12-19,10,42,0
2016-12-20,10,42,0
2016-12-21,10,42,0
2016-12-22,10,45,1
2016-12-23,10,45,0
2016-12-26,10,55,0
2016-12-27,10,55,0
2016-12-28,10,55,0
2016-12-29,10,55,0
2016-12-30,10,55,0
2017-01-03,10,55,0
2017-01-04,21,572,23
2017-01-05,21,571,-1
2017-01-06,15,50,-21
2017-01-09,10,45,-1
2017-01-10,10,45,0
2017-01-11,10,45,0
2017-01-12,10,45,0
2017-01-13,15,46,1
2017-01-16,15,32,-2
2017-01-17,15,32,0
2017-01-18,15,37,1
2017-01-19,21,38,1
2017-01-20,21,38,0
2017-01-23,21,36,0
2017-01-24,21,36,0
2017-01-25,21,35,-1
2017-01-26,15,35,0
2017-02-03,15,35,0
2017-02-06,15,34,-1
2017-02-07,10,34,0
2017-02-08,10,34,0
2017-02-09,10,34,0
2017-02-10,10,34,0
2017-02-13,10,34,0
2017-02-14,10,34,0
2017-02-15,10,34,0
2017-02-16,10,34,0
2017-02-17,10,34,0
2017-02-20,10,54,0
2017-02-21,6,54,0
2017-02-22,6,54,0
2017-02-23,6,54,0
2017-02-24,6,41,-1
2017-02-27,6,41,0
2017-02-28,6,30,-1
2017-03-01,6,14,-2
2017-03-02,6,14,0
2017-03-03,6,14,0
2017-03-06,6,14,0
2017-03-07,6,14,0
2017-03-08,6,14,0
2017-03-09,6,14,0
2017-03-10,10,12,0
2017-03-13,10,12,0
2017-03-14,10,11,-1
2017-03-15,10,7,0
2017-03-16,10,2,-3
2017-03-17,3,17,3
2017-03-20,3,17,0
2017-03-21,3,17,0
2017-03-22,3,17,0
2017-03-23,6,38,3
2017-03-24,6,50,0
2017-03-27,3,37,-1
2017-03-28,3,82,3
2017-03-29,3,82,0
2017-03-30,6,83,1
2017-03-31,6,83,0
2017-04-05,6,83,0
2017-04-06,6,83,0
2017-04-07,6,83,0
2017-04-10,6,66,-1
2017-04-11,6,38,-2
2017-04-12,6,54,2
2017-04-13,6,53,-1
2017-04-14,3,53,0
2017-04-17,3,81,0
2017-04-18,3,90,3
2017-04-19,3,90,0
2017-04-20,3,81,-3
2017-04-21,3,82,1
2017-04-24,6,65,-1
2017-04-25,3,64,-1
2017-04-26,1,64,0
2017-04-27,1,64,0
2017-04-28,1,64,0
2017-05-02,1,81,1
2017-05-03,3,65,0
2017-05-04,3,65,0
