trading_date,rank,volume,volume_change
2016-07-26,55,63,0
2016-07-27,55,72,1
2016-07-28,55,72,0
2016-07-29,55,55,-3
2016-08-01,45,60,1
2016-08-02,45,59,-1
2016-08-03,36,59,0
2016-08-04,36,59,0
2016-08-05,36,59,0
2016-08-08,36,59,0
2016-08-09,45,63,2
2016-08-10,55,68,3
2016-08-11,55,68,0
2016-08-12,55,123,3
2016-08-15,55,198,3
2016-08-16,45,198,0
2016-08-17,45,203,-1
2016-08-18,45,203,0
2016-08-19,45,155,-2
2016-08-22,45,134,-1
2016-08-23,55,128,0
2016-08-24,55,136,2
2016-08-25,55,136,0
2016-08-26,55,131,-1
2016-08-29,55,170,3
2016-08-30,55,167,-1
2016-08-31,55,152,-1
2016-09-01,55,206,0
2016-09-02,36,186,0
2016-09-05,36,186,0
2016-09-06,36,186,0
2016-09-07,36,142,-2
2016-09-08,36,142,0
2016-09-09,36,142,0
2016-09-12,36,142,0
2016-09-13,36,142,0
2016-09-14,36,140,0
2016-09-19,36,140,0
2016-09-20,36,142,0
2016-09-21,36,133,-1
2016-09-22,36,133,0
2016-09-23,36,133,0
2016-09-26,36,133,0
2016-09-27,36,133,0
2016-09-28,36,133,0
2016-09-29,45,141,2
2016-09-30,36,141,0
2016-10-10,36,141,0
2016-10-11,36,140,-1
2016-10-12,28,140,0
2016-10-13,28,140,0
2016-10-14,28,140,0
2016-10-17,28,140,0
2016-10-18,36,117,-1
2016-10-19,36,117,0
2016-10-20,36,106,-3
2016-10-21,28,98,-2
2016-10-24,28,42,-4
2016-10-25,28,42,0
2016-10-26,28,42,0
2016-10-27,28,42,0
2016-10-28,28,58,2
2016-10-31,36,53,-3
2016-11-01,15,52,-1
2016-11-02,10,52,0
2016-11-03,10,52,0
2016-11-04,10,52,0
2016-11-07,10,52,0
2016-11-08,10,52,0
2016-11-09,10,52,0
2016-11-10,10,52,0
2016-11-11,10,63,1
2016-11-14,10,63,0
2016-11-15,10,76,1
2016-11-16,10,67,-1
2016-11-17,15,68,1
2016-11-18,15,68,0
2016-11-21,15,68,0
2016-11-22,15,63,1
2016-11-23,15,58,-1
2016-11-24,15,71,1
2016-11-25,15,71,0
2016-11-28,15,71,0
2016-11-29,15,71,0
2016-11-30,15,71,0
2016-12-01,15,71,0
2016-12-02,15,58,-1
2016-12-05,15,58,0
2016-12-06,21,63,1
2016-12-07,15,63,0
2016-12-08,15,54,-3
2016-12-09,10,53,-1
2016-12-12,6,53,0
2016-12-13,6,53,0
2016-12-14,6,53,0
2016-12-15,6,53,0
2016-12-16,6,42,-1
2016-12-19,6,42,0
2016-12-20,6,42,0
2016-12-21,6,42,0
2016-12-22,6,53,1
2016-12-23,6,53,0
2016-12-26,6,53,0
2016-12-27,6,53,0
2016-12-28,6,53,0
2016-12-29,6,53,0
2016-12-30,6,53,0
2017-01-03,6,53,0
2017-01-04,10,582,23
2017-01-05,10,537,-1
2017-01-06,15,54,-21
2017-01-09,10,53,-1
2017-01-10,6,53,0
2017-01-11,6,53,0
2017-01-12,6,53,0
2017-01-13,6,66,1
2017-01-16,6,46,-2
2017-01-17,6,46,0
2017-01-18,6,59,1
2017-01-19,6,74,1
2017-01-20,6,74,0
2017-01-23,6,74,0
2017-01-24,6,74,0
2017-01-25,6,73,-1
2017-01-26,3,73,0
2017-02-03,3,73,0
2017-02-06,3,58,-1
2017-02-07,3,58,0
2017-02-08,3,58,0
2017-02-09,6,54,0
2017-02-10,6,54,0
2017-02-13,6,54,0
2017-02-14,6,54,0
2017-02-15,10,54,0
2017-02-16,6,54,0
2017-02-17,6,54,0
2017-02-20,6,54,0
2017-02-21,6,54,0
2017-02-22,10,42,0
2017-02-23,10,42,0
2017-02-24,10,41,-1
2017-02-27,10,39,0
2017-02-28,10,38,-1
2017-03-01,6,26,-2
2017-03-02,3,26,0
2017-03-03,3,26,0
2017-03-06,3,26,0
2017-03-07,3,26,0
2017-03-08,3,26,0
2017-03-09,3,26,0
2017-03-10,3,26,0
2017-03-13,3,26,0
2017-03-14,3,17,-1
2017-03-15,6,11,0
2017-03-16,6,2,-3
2017-03-17,6,11,3
2017-03-20,6,11,0
2017-03-21,6,11,0
2017-03-22,6,11,0
2017-03-23,15,28,3
2017-03-24,10,30,0
2017-03-27,6,29,-1
2017-03-28,3,68,3
2017-03-29,3,68,0
2017-03-30,6,69,1
2017-03-31,6,69,0
2017-04-05,6,69,0
2017-04-06,6,69,0
2017-04-07,6,69,0
2017-04-10,15,32,-1
2017-04-11,15,22,-2
2017-04-12,10,36,2
2017-04-13,10,35,-1
2017-04-14,6,35,0
2017-04-17,6,51,0
2017-04-18,6,102,3
2017-04-19,6,102,0
2017-04-20,6,51,-3
2017-04-21,6,66,1
2017-04-24,6,51,-1
2017-04-25,21,14,-1
2017-04-26,21,14,0
2017-04-27,28,12,0
2017-04-28,36,12,0
2017-05-02,28,21,1
2017-05-03,28,15,0
2017-05-04,28,15,0
2017-05-05,36,15,0
2017-05-08,28,24,1
2017-05-09,36,13,-1
2017-05-10,28,13,0
2017-05-11,36,13,0
2017-05-12,36,14,1
2017-05-15,36,14,0
2017-05-16,36,13,-1
2017-05-17,28,13,0
2017-05-18,28,13,0
2017-05-19,28,13,0
2017-05-22,28,9,-2
2017-05-23,21,12,1
2017-05-24,21,12,0
2017-05-25,21,12,0
2017-05-26,21,12,0
2017-05-31,136,1136,68
2017-06-01,136,1841,13
2017-06-02,136,1805,10
2017-06-05,190,6402,59
2017-06-06,171,6401,-1
2017-06-07,153,104555,252
2017-06-08,120,106159,10
2017-06-09,105,107555,8
2017-06-12,136,109316,23
2017-06-13,171,109357,5
2017-06-14,153,109291,-10
2017-06-15,105,109291,0
2017-06-16,120,109067,-14
2017-06-19,105,109055,-4
2017-06-20,78,109044,-3
2017-06-21,78,109042,-2
2017-06-22,55,109042,0
2017-06-23,55,143442,50
2017-06-26,66,165686,30
2017-06-27,66,165666,-6
2017-06-28,45,207966,50
2017-06-29,45,212471,5
2017-06-30,45,209762,-3
2017-07-03,45,213631,-1
2017-07-04,55,213599,-2
2017-07-05,55,213599,0
2017-07-06,55,213586,-3
2017-07-07,45,213586,0
2017-07-10,55,213587,1
2017-07-11,55,213586,-1
2017-07-12,45,213586,0
2017-07-13,55,215415,3
2017-07-14,55,215413,-2
2017-07-17,36,215418,1
2017-07-18,36,215418,0
2017-07-19,36,215413,-1
2017-07-20,36,215413,0
2017-07-21,36,215413,0
2017-07-24,45,215423,2
2017-07-25,45,215419,-2
2017-07-26,36,215413,0
2017-07-27,36,215410,-1
2017-07-28,36,215413,1
2017-07-31,36,215413,0
2017-08-01,36,215410,-1
2017-08-02,36,215410,0
2017-08-03,45,215449,7
2017-08-04,45,217249,-4
2017-08-07,36,217249,0
2017-08-08,36,217254,1
2017-08-09,36,217257,1
2017-08-10,36,217253,-2
2017-08-11,28,217253,0
2017-08-14,28,217253,0
2017-08-15,28,217253,0
2017-08-16,45,217247,0
2017-08-17,45,217246,-1
2017-08-18,36,217245,-1
2017-08-21,28,217245,0
2017-08-22,28,217245,0
2017-08-23,28,217245,0
2017-08-24,28,217245,0
2017-08-25,55,217258,5
2017-08-28,45,217250,-2
2017-08-29,36,217250,0
2017-08-30,36,217250,0
2017-08-31,36,217250,0
2017-09-01,36,227482,8
2017-09-04,45,227520,8
2017-09-05,45,231317,3
2017-09-06,28,231317,0
2017-09-07,28,231317,0
2017-09-08,28,231317,0
2017-09-11,28,231317,0
2017-09-12,28,231317,0
2017-09-13,28,231317,0
2017-09-14,36,231318,1
2017-09-15,36,231317,-1
2017-09-18,28,231317,0
2017-09-19,28,336317,100
2017-09-20,36,336318,1
2017-09-21,36,336317,-1
2017-09-22,28,336317,0
2017-09-25,28,336317,0
2017-09-26,45,336303,0
2017-09-27,78,336300,1
2017-09-28,66,336302,0
2017-09-29,55,336291,-1
2017-10-09,55,336288,-1
2017-10-10,78,281286,-50
2017-10-11,78,281286,0
2017-10-12,66,281286,0
2017-10-13,66,281286,0
2017-10-16,91,281283,-1
2017-10-17,66,281281,-2
2017-10-18,45,281281,0
2017-10-19,45,281281,0
2017-10-20,45,281279,-2
2017-10-23,28,281278,-1
2017-10-24,21,281566,16
2017-10-25,21,290686,80
2017-10-26,36,303152,86
2017-10-27,45,311369,27
2017-10-30,78,389817,216
2017-10-31,78,688518,419
2017-11-01,78,1361283,455
2017-11-02,105,1938272,381
2017-11-03,171,2155667,213
2017-11-06,171,1370079,-296
2017-11-07,190,2119808,531
2017-11-08,210,3847737,951
2017-11-09,210,5516075,602
2017-11-10,210,6700759,504
2017-11-13,171,8305900,331
2017-11-14,171,9188035,195
2017-11-15,190,9191432,-41
2017-11-16,171,9338950,16
2017-11-17,171,12264453,489
2017-11-20,210,12267261,132
2017-11-21,210,11543721,17
2017-11-22,190,11557882,41
2017-11-23,171,11751012,202
2017-11-24,190,11137008,-102
2017-11-27,210,11437456,59
2017-11-28,190,11422016,2
2017-11-29,210,10858188,8
2017-11-30,210,10858817,3
2017-12-01,171,10840044,-23
2017-12-04,153,9199418,-352
2017-12-05,171,9171925,-49
2017-12-06,171,9167082,-51
2017-12-07,190,9168969,-43
2017-12-08,210,9161229,-6
2017-12-11,210,9153620,-3
2017-12-12,190,9145636,-18
2017-12-13,153,9145456,-4
2017-12-14,153,9145126,-8
2017-12-15,171,9145123,-1
2017-12-18,210,8139059,-181
2017-12-19,210,8138823,-12
2017-12-20,210,8138307,8
2017-12-21,210,6377463,-402
2017-12-22,190,6377394,-11
2017-12-25,171,6377023,1
2017-12-26,171,5680490,-237
2017-12-27,153,5722164,6
2017-12-28,136,4711474,-406
2017-12-29,136,4423619,-91
2018-01-02,210,3401269,507
2018-01-03,210,15271705,7433
2018-01-04,210,21335066,3271
2018-01-05,210,23435719,1506
2018-01-08,210,24405154,1169
2018-01-09,210,25426055,775
2018-01-10,210,22519664,-189
2018-01-11,210,26411738,2224
2018-01-12,210,25022654,-88
2018-01-15,210,24853307,859
2018-01-16,210,27556693,1085
2018-01-17,210,27745132,737
2018-01-18,210,38048739,3710
2018-01-19,210,27250456,-3100
2018-01-22,210,33307249,2153
2018-01-23,210,31302112,-528
2018-01-24,210,25250756,-1960
2018-01-25,210,31707173,4527
2018-01-26,210,29417550,-961
2018-01-29,210,28929001,-271
2018-01-30,210,25183395,-1645
2018-01-31,210,25069121,287
2018-02-01,210,29140523,3943
2018-02-02,210,32202509,2096
2018-02-05,210,24401797,112
2018-02-06,210,23277978,695
2018-02-07,210,39546788,6390
2018-02-08,210,44332080,2588
