trading_date,rank,volume,volume_change
2013-11-05,210,32578,50
2013-11-06,210,32799,373
2013-11-07,210,32858,59
2013-11-08,210,32276,-582
2013-11-11,210,31707,-569
2013-11-12,210,32409,738
2013-11-13,210,32060,-349
2013-11-14,210,29890,-1595
2013-11-15,210,29165,-66
2013-11-18,210,37790,8866
2013-11-19,210,41816,4632
2013-11-20,210,39356,-2174
2013-11-21,210,38662,-498
2013-11-22,210,38734,75
2013-11-25,210,39849,1437
2013-11-26,210,39262,-587
2013-11-27,210,39413,1197
2013-11-28,210,38367,-775
2013-11-29,210,36544,-1823
2013-12-02,210,33997,-2510
2013-12-03,210,35012,1588
2013-12-04,210,34539,-129
2013-12-05,210,34178,-61
2013-12-06,210,33980,257
2013-12-09,210,33356,-453
2013-12-10,210,33108,-248
2013-12-11,210,33263,318
2013-12-12,210,33474,1244
2013-12-13,210,33118,70
2013-12-16,210,34512,1559
2013-12-17,210,34873,361
2013-12-18,210,35160,720
2013-12-19,210,35194,680
2013-12-20,210,35184,95
2013-12-23,210,35678,494
2013-12-24,210,37416,1871
2013-12-25,210,38140,724
2013-12-26,210,38243,1406
2013-12-27,210,36728,53
2013-12-30,210,41680,5249
2013-12-31,210,47678,6332
2014-01-02,210,50484,2806
2014-01-03,210,50715,231
2014-01-06,210,52797,4953
2014-01-07,210,55558,2939
2014-01-08,210,54990,-568
2014-01-09,210,51810,-1285
2014-01-10,210,50703,-1107
2014-01-13,210,54239,3536
2014-01-14,210,53255,-984
2014-01-15,210,53054,-201
2014-01-16,210,54796,1742
2014-01-17,210,54206,696
2014-01-20,210,54837,1152
2014-01-21,210,55801,1003
2014-01-22,210,54785,-1016
2014-01-23,210,55805,1069
2014-01-24,210,57774,1969
2014-01-27,210,55724,-2050
2014-01-28,210,56215,1126
2014-01-29,210,54734,-1150
2014-01-30,210,53598,-925
2014-02-07,210,53531,263
2014-02-10,210,54400,1309
2014-02-11,210,54003,-397
2014-02-12,210,53954,-49
2014-02-13,210,54931,977
2014-02-14,210,57979,3333
2014-02-17,210,58693,737
2014-02-18,210,59431,819
2014-02-19,210,59111,-185
2014-02-20,210,59843,845
2014-02-21,210,59857,14
2014-02-24,210,59838,88
2014-02-25,210,59524,-314
2014-02-26,210,62648,3226
2014-02-27,210,61622,-1026
2014-02-28,210,60259,-482
2014-03-03,210,60376,2820
2014-03-04,210,60875,950
2014-03-05,210,62944,2069
2014-03-06,210,62818,780
2014-03-07,210,61717,-937
2014-03-10,210,59850,-1124
2014-03-11,210,58465,-1374
2014-03-12,210,57963,-502
2014-03-13,210,58327,364
2014-03-14,210,58489,440
2014-03-17,210,59641,1773
2014-03-18,210,59082,-559
2014-03-19,210,58495,-587
2014-03-20,210,57463,-1021
2014-03-21,210,58136,702
2014-03-24,210,58656,520
2014-03-25,210,62784,4617
2014-03-26,210,63170,386
2014-03-27,210,64367,1492
2014-03-28,210,64724,357
2014-03-31,210,63805,-707
2014-04-01,210,62449,-1356
2014-04-02,210,60852,-1505
2014-04-03,210,60998,146
2014-04-04,210,62615,2177
2014-04-08,210,63000,543
2014-04-09,210,61955,-556
2014-04-10,210,61757,2096
2014-04-11,210,59628,-609
2014-04-14,210,59637,9
2014-04-15,210,58208,-1062
2014-04-16,210,57901,-50
2014-04-17,210,58555,1155
2014-04-18,210,57783,-772
2014-04-21,210,56483,-779
2014-04-22,210,57016,1584
2014-04-23,210,57469,453
2014-04-24,210,57459,9
2014-04-25,210,56877,-465
2014-04-28,210,59031,3972
2014-04-29,210,58435,1871
2014-04-30,210,59166,782
2014-05-05,210,58691,-475
2014-05-06,210,60095,1404
2014-05-07,210,60629,625
2014-05-08,210,61327,698
2014-05-09,210,61403,76
2014-05-12,210,63489,2086
2014-05-13,210,62070,-1419
2014-05-14,210,60471,-1065
2014-05-15,210,60811,340
2014-05-16,210,63184,2373
2014-05-19,210,65634,2450
2014-05-20,210,65561,113
2014-05-21,210,65653,368
2014-05-22,210,65878,225
2014-05-23,210,66788,910
2014-05-26,210,71854,5781
2014-05-27,210,71724,-130
2014-05-28,210,72291,586
2014-05-29,210,72883,611
2014-05-30,210,74085,1202
2014-06-03,210,77885,3995
2014-06-04,210,78403,705
2014-06-05,210,80733,2343
2014-06-06,210,77768,-908
2014-06-09,210,77672,-96
2014-06-10,210,77498,-127
2014-06-11,210,77260,-238
2014-06-12,210,77082,273
2014-06-13,210,77857,783
2014-06-16,210,77911,73
2014-06-17,210,78241,330
2014-06-18,210,79078,837
2014-06-19,210,78122,-915
2014-06-20,210,76330,-1792
2014-06-23,210,77993,1683
2014-06-24,210,78558,565
2014-06-25,210,79742,1300
2014-06-26,210,81075,1835
2014-06-27,210,80596,-237
2014-06-30,210,78917,-1676
2014-07-01,210,83903,5002
2014-07-02,210,91572,10043
2014-07-03,210,97683,6460
2014-07-04,210,96511,-1172
2014-07-07,210,105251,9788
2014-07-08,210,103004,-2247
2014-07-09,210,113223,10219
2014-07-10,210,122312,9089
2014-07-11,210,129720,7408
2014-07-14,210,129215,-505
2014-07-15,210,130601,1386
2014-07-16,210,131891,1290
2014-07-17,210,131950,59
2014-07-18,210,131696,-254
2014-07-21,210,130691,-1005
2014-07-22,210,128162,-2529
2014-07-23,210,125002,-1946
2014-07-24,210,125554,552
2014-07-25,210,126229,675
2014-07-28,210,124337,-1892
2014-07-29,210,124216,448
2014-07-30,210,125760,1544
2014-07-31,210,125380,-380
2014-08-01,210,150552,25960
2014-08-04,210,141580,-8356
2014-08-05,210,145855,4876
2014-08-06,210,153167,9733
2014-08-07,210,155121,1954
2014-08-08,210,155872,1197
2014-08-11,210,163829,8362
2014-08-12,210,168026,4197
2014-08-13,210,169122,1096
2014-08-14,210,167701,-1421
2014-08-15,210,169388,1687
2014-08-18,210,164838,-4022
2014-08-19,210,160367,-4299
2014-08-20,210,158278,-2089
2014-08-21,210,159513,1235
2014-08-22,210,158467,2832
2014-08-25,210,161838,3583
2014-08-26,210,165962,4134
2014-08-27,210,172054,6092
2014-08-28,210,179849,9140
2014-08-29,210,184775,4926
2014-09-01,210,196282,11507
2014-09-02,210,189884,-6103
2014-09-03,210,189100,1132
2014-09-04,210,194486,5751
2014-09-05,210,201311,6825
2014-09-09,210,190622,-6808
2014-09-10,210,188373,-1964
2014-09-11,210,185664,-2709
2014-09-12,210,190717,6253
2014-09-15,210,185178,-5253
2014-09-16,210,184573,-493
2014-09-17,210,178163,-6243
2014-09-18,210,213497,35951
2014-09-19,210,228187,20075
2014-09-22,210,224931,-1674
2014-09-23,210,242593,24054
2014-09-24,210,270284,34769
2014-09-25,210,261114,-9170
2014-09-26,210,257194,-3920
2014-09-29,210,228107,-28201
2014-09-30,210,231912,4831
2014-10-08,210,231071,2970
2014-10-09,210,239667,10719
2014-10-10,210,231783,-7827
2014-10-13,210,226233,-3370
2014-10-14,210,227056,823
2014-10-15,210,230191,5034
2014-10-16,210,228243,-1392
2014-10-17,210,243883,18555
2014-10-20,210,241314,-1421
2014-10-21,210,244034,3696
2014-10-22,210,236834,-4699
2014-10-23,210,254746,19876
2014-10-24,210,244983,-9441
2014-10-27,210,286814,47054
2014-10-28,210,279445,-3513
2014-10-29,210,262364,-16438
2014-10-30,210,255439,-6925
2014-10-31,210,260979,8609
2014-11-03,210,279079,18108
2014-11-04,210,284019,4940
2014-11-05,210,283653,-297
2014-11-06,210,278915,-4509
2014-11-07,210,274643,-4272
2014-11-10,210,276610,1967
2014-11-11,210,276798,353
2014-11-12,210,274508,-2238
2014-11-13,210,278774,4458
2014-11-14,210,288927,10153
2014-11-17,210,312271,23344
2014-11-18,210,298172,-14099
2014-11-19,210,300739,2567
2014-11-20,210,321146,23462
2014-11-21,210,322418,1272
2014-11-24,210,328667,6966
2014-11-25,210,301353,-26615
2014-11-26,210,301991,1755
2014-11-27,210,301608,1555
2014-11-28,210,294993,-5929
2014-12-01,210,298603,4475
2014-12-02,210,290810,-7432
2014-12-03,210,292019,1209
2014-12-04,210,276198,-15821
2014-12-05,210,269282,-3954
2014-12-08,210,259801,-9481
2014-12-09,210,239015,-16936
2014-12-10,210,235191,-475
2014-12-11,210,230528,-4663
2014-12-12,210,226690,-1331
2014-12-15,210,220615,-4752
2014-12-16,210,214617,-4663
2014-12-17,210,199105,-11797
2014-12-18,210,201857,3097
2014-12-19,210,200618,-1239
2014-12-22,210,202248,1630
2014-12-23,210,201812,-52
2014-12-24,210,206100,12033
2014-12-25,210,228366,26690
2014-12-26,210,217290,-11076
2014-12-29,210,219164,1992
2014-12-30,210,217090,-1653
2014-12-31,210,211248,-5563
2015-01-05,210,201229,-8336
2015-01-06,210,198944,-2285
2015-01-07,210,198331,-613
2015-01-08,210,200232,1901
2015-01-09,210,199250,-940
2015-01-12,210,200710,1525
2015-01-13,210,184947,-15607
2015-01-14,210,181144,-3217
2015-01-15,210,177232,-3912
2015-01-16,210,166382,-9228
2015-01-19,210,163090,-3292
2015-01-20,210,160701,-2389
2015-01-21,210,154788,-4556
2015-01-22,210,151186,-2794
2015-01-23,210,145856,-1817
2015-01-26,210,143019,-1859
2015-01-27,210,140582,-2250
2015-01-28,210,149865,10407
2015-01-29,210,156578,9695
2015-01-30,210,148985,-5196
2015-02-02,210,146625,645
2015-02-03,210,150344,3797
2015-02-04,210,164522,14958
2015-02-05,210,155056,-7347
2015-02-06,210,158348,4178
2015-02-09,210,162975,4627
2015-02-10,210,161006,-1969
2015-02-11,210,159192,-411
2015-02-12,210,156322,-2870
2015-02-13,210,144013,-11404
2015-02-16,210,137078,-5692
2015-02-17,210,134640,-1625
2015-02-25,210,133692,-948
2015-02-26,210,140440,10156
2015-02-27,210,138387,-2053
2015-03-02,210,136577,-1062
2015-03-03,210,119631,-12178
2015-03-04,210,116093,-2668
2015-03-05,210,116044,2259
2015-03-06,210,115027,-942
2015-03-09,210,116003,1017
2015-03-10,210,113400,-2603
2015-03-11,210,111172,-2228
2015-03-12,210,110816,-356
2015-03-13,210,110652,-164
2015-03-16,210,108285,-1918
2015-03-17,210,108001,-284
2015-03-18,210,104368,-1532
2015-03-19,210,109398,6066
