trading_date,rank,volume,volume_change
2013-11-05,210,37647,-222
2013-11-06,210,38135,514
2013-11-07,210,38757,622
2013-11-08,210,38350,907
2013-11-11,210,37343,-981
2013-11-12,210,36908,144
2013-11-13,210,36389,-180
2013-11-14,210,35221,459
2013-11-15,210,34203,-937
2013-11-18,210,39391,6066
2013-11-19,210,40527,1756
2013-11-20,210,38888,-1410
2013-11-21,210,39321,2094
2013-11-22,210,39463,147
2013-11-25,210,40304,841
2013-11-26,210,40261,97
2013-11-27,210,38684,-51
2013-11-28,210,37755,-755
2013-11-29,210,36839,-131
2013-12-02,210,36149,-428
2013-12-03,210,37984,2148
2013-12-04,210,37859,-125
2013-12-05,210,37003,-856
2013-12-06,210,37264,261
2013-12-09,210,37112,-152
2013-12-10,210,36734,-378
2013-12-11,210,36543,-126
2013-12-12,210,37257,714
2013-12-13,210,35924,-1333
2013-12-16,210,35293,-126
2013-12-17,210,35178,-115
2013-12-18,210,35365,317
2013-12-19,210,36409,3124
2013-12-20,210,35804,-578
2013-12-23,210,35877,611
2013-12-24,210,37341,1464
2013-12-25,210,37728,387
2013-12-26,210,38326,598
2013-12-27,210,39229,4237
2013-12-30,210,43182,4987
2013-12-31,210,47019,4458
2014-01-02,210,50415,3810
2014-01-03,210,49459,-812
2014-01-06,210,50003,726
2014-01-07,210,53287,3677
2014-01-08,210,52932,365
2014-01-09,210,48275,-1954
2014-01-10,210,46681,1572
2014-01-13,210,50662,4385
2014-01-14,210,50489,-173
2014-01-15,210,50082,-176
2014-01-16,210,50951,885
2014-01-17,210,53187,2444
2014-01-20,210,54965,2788
2014-01-21,210,54754,-112
2014-01-22,210,54617,1264
2014-01-23,210,54324,-264
2014-01-24,210,55383,2116
2014-01-27,210,55205,-34
2014-01-28,210,54324,-756
2014-01-29,210,53064,-1178
2014-01-30,210,52289,-775
2014-02-07,210,51391,-898
2014-02-10,210,55328,4414
2014-02-11,210,56131,803
2014-02-12,210,56389,258
2014-02-13,210,56807,823
2014-02-14,210,61119,5078
2014-02-17,210,62454,1335
2014-02-18,210,62337,79
2014-02-19,210,62322,-15
2014-02-20,210,62102,147
2014-02-21,210,62163,61
2014-02-24,210,58619,-3094
2014-02-25,210,58051,-568
2014-02-26,210,58369,427
2014-02-27,210,59667,1727
2014-02-28,210,55214,-218
2014-03-03,210,58145,3522
2014-03-04,210,58953,808
2014-03-05,210,60081,1164
2014-03-06,210,58977,-276
2014-03-07,210,58370,-563
2014-03-10,210,57241,577
2014-03-11,210,56248,-226
2014-03-12,210,56123,-125
2014-03-13,210,55812,148
2014-03-14,210,55777,444
2014-03-17,210,57199,1955
2014-03-18,210,57695,517
2014-03-19,210,57858,266
2014-03-20,210,56528,-239
2014-03-21,210,57413,1782
2014-03-24,210,58907,1527
2014-03-25,210,63900,7314
2014-03-26,210,64875,975
2014-03-27,210,67552,2731
2014-03-28,210,68975,1595
2014-03-31,210,69096,2775
2014-04-01,210,69022,-74
2014-04-02,210,67005,-2017
2014-04-03,210,66308,-544
2014-04-04,210,67658,1350
2014-04-08,210,74453,11953
2014-04-09,210,75247,1192
2014-04-10,210,72736,-2164
2014-04-11,210,69358,-2001
2014-04-14,210,68202,-742
2014-04-15,210,67809,-301
2014-04-16,210,68515,706
2014-04-17,210,69165,650
2014-04-18,210,65792,-3255
2014-04-21,210,65453,110
2014-04-22,210,63870,-1564
2014-04-23,210,63962,92
2014-04-24,210,63149,751
2014-04-25,210,63332,219
2014-04-28,210,67799,4870
2014-04-29,210,67610,-189
2014-04-30,210,69132,1729
2014-05-05,210,69237,191
2014-05-06,210,67997,-925
2014-05-07,210,69099,1103
2014-05-08,210,68250,-849
2014-05-09,210,68991,766
2014-05-12,210,69974,1057
2014-05-13,210,69493,-190
2014-05-14,210,71338,1919
2014-05-15,210,71212,-126
2014-05-16,210,69919,-909
2014-05-19,210,70951,1032
2014-05-20,210,71321,370
2014-05-21,210,72847,2579
2014-05-22,210,74543,1696
2014-05-23,210,76494,1951
2014-05-26,210,83129,6807
2014-05-27,210,82898,-231
2014-05-28,210,82575,-323
2014-05-29,210,81745,-675
2014-05-30,210,82415,670
2014-06-03,210,82279,776
2014-06-04,210,82879,1848
2014-06-05,210,84431,2820
