trading_date,rank,volume,volume_change
2013-11-05,210,79259846,50
2013-11-06,210,78950023,373
2013-11-07,210,79162262,59
2013-11-08,210,75627146,-582
2013-11-11,210,73921065,-569
2013-11-12,210,80989947,738
2013-11-13,210,80744550,-349
2013-11-14,210,70755066,-1595
2013-11-15,210,67278443,-66
2013-11-18,210,120484014,8866
2013-11-19,210,136338112,4632
2013-11-20,210,129281484,-2174
2013-11-21,210,124286522,-498
2013-11-22,210,123972846,75
2013-11-25,210,130483501,1437
2013-11-26,210,128599802,-587
2013-11-27,210,128168363,1197
2013-11-28,210,114140795,-775
2013-11-29,210,101426396,-1823
2013-12-02,210,82697207,-2510
2013-12-03,210,87414810,1588
2013-12-04,210,86196789,-129
2013-12-05,210,85696950,-61
2013-12-06,210,84477362,257
2013-12-09,210,80859430,-453
2013-12-10,210,80232314,-248
2013-12-11,210,81120437,318
2013-12-12,210,82123326,1244
2013-12-13,210,80257140,70
2013-12-16,210,84663778,1559
2013-12-17,210,85423085,361
2013-12-18,210,85078946,720
2013-12-19,210,86036734,680
2013-12-20,210,82664804,95
2013-12-23,210,85950516,494
2013-12-24,210,90589944,1871
2013-12-25,210,92791524,724
2013-12-26,210,93740631,1406
2013-12-27,210,84549782,53
2013-12-30,210,97905756,5249
2013-12-31,210,126053400,6332
2014-01-02,210,139190420,2806
2014-01-03,210,143352857,231
2014-01-06,210,157269953,4953
2014-01-07,210,180577560,2939
2014-01-08,210,182902760,-568
2014-01-09,210,171687096,-1285
2014-01-10,210,162421861,-1107
2014-01-13,210,178841881,3536
2014-01-14,210,171373545,-984
2014-01-15,210,169481882,-201
2014-01-16,210,179789124,1742
2014-01-17,210,172427244,696
2014-01-20,210,171060797,1152
2014-01-21,210,179648121,1003
2014-01-22,210,173944305,-1016
2014-01-23,210,179388239,1069
2014-01-24,210,190841204,1969
2014-01-27,210,180728802,-2050
2014-01-28,210,188664443,1126
2014-01-29,210,182884772,-1150
2014-01-30,210,179252450,-925
2014-02-07,210,178485555,263
2014-02-10,210,181731222,1309
2014-02-11,210,177694487,-397
2014-02-12,210,177110744,-49
2014-02-13,210,186800947,977
2014-02-14,210,207400463,3333
2014-02-17,210,211308075,737
2014-02-18,210,216351107,819
2014-02-19,210,215481385,-185
2014-02-20,210,219507419,845
2014-02-21,210,219829389,14
2014-02-24,210,218088110,88
2014-02-25,210,216698162,-314
2014-02-26,210,240031166,3226
2014-02-27,210,235220836,-1026
2014-02-28,210,219823739,-482
2014-03-03,210,211834278,2820
2014-03-04,210,213125309,950
2014-03-05,210,226510940,2069
2014-03-06,210,224874924,780
2014-03-07,210,217422481,-937
2014-03-10,210,201227318,-1124
2014-03-11,210,192620579,-1374
2014-03-12,210,188012455,-502
2014-03-13,210,190755971,364
2014-03-14,210,191166729,440
2014-03-17,210,195473775,1773
2014-03-18,210,190132732,-559
2014-03-19,210,185221565,-587
2014-03-20,210,178825273,-1021
2014-03-21,210,183217144,702
2014-03-24,210,186494344,520
2014-03-25,210,215511592,4617
2014-03-26,210,219441824,386
2014-03-27,210,228156861,1492
2014-03-28,210,229181854,357
2014-03-31,210,225345041,-707
2014-04-01,210,217850529,-1356
2014-04-02,210,205150270,-1505
2014-04-03,210,205959310,146
2014-04-04,210,215870137,2177
2014-04-08,210,227517056,543
2014-04-09,210,226681645,-556
