trading_date,rank,volume,volume_change
2013-11-05,210,104784217,-222
2013-11-06,210,104883029,514
2013-11-07,210,106416277,622
2013-11-08,210,108595016,907
2013-11-11,210,110004955,-981
2013-11-12,210,104739846,144
2013-11-13,210,99401539,-180
2013-11-14,210,93860561,459
2013-11-15,210,93091463,-937
2013-11-18,210,126453469,6066
2013-11-19,210,132274231,1756
2013-11-20,210,125877156,-1410
2013-11-21,210,148490625,2094
2013-11-22,210,149176191,147
2013-11-25,210,149559548,841
2013-11-26,210,147742809,97
2013-11-27,210,141438514,-51
2013-11-28,210,138572341,-755
2013-11-29,210,127478859,-131
2013-12-02,210,115610935,-428
2013-12-03,210,120469582,2148
2013-12-04,210,116804509,-125
2013-12-05,210,110498323,-856
2013-12-06,210,110000174,261
2013-12-09,210,105048570,-152
2013-12-10,210,103431594,-378
2013-12-11,210,101163685,-126
2013-12-12,210,105605339,714
2013-12-13,210,97479422,-1333
2013-12-16,210,93777685,-126
2013-12-17,210,94108972,-115
2013-12-18,210,92869795,317
2013-12-19,210,94037847,3124
2013-12-20,210,90946354,-578
2013-12-23,210,89464707,611
2013-12-24,210,95254285,1464
2013-12-25,210,99035186,387
2013-12-26,210,105990454,598
2013-12-27,210,118405991,4237
2013-12-30,210,133521550,4987
2013-12-31,210,146421669,4458
2014-01-02,210,168435697,3810
2014-01-03,210,163441611,-812
2014-01-06,210,164369711,726
2014-01-07,210,199119829,3677
2014-01-08,210,186820690,365
2014-01-09,210,162928615,-1954
2014-01-10,210,156668531,1572
2014-01-13,210,184779726,4385
2014-01-14,210,188075943,-173
2014-01-15,210,184994484,-176
2014-01-16,210,195248861,885
2014-01-17,210,214201155,2444
2014-01-20,210,214486563,2788
2014-01-21,210,204967486,-112
2014-01-22,210,207850039,1264
2014-01-23,210,204085832,-264
2014-01-24,210,212968669,2116
2014-01-27,210,209813375,-34
2014-01-28,210,194014454,-756
2014-01-29,210,186791506,-1178
2014-01-30,210,182427587,-775
2014-02-07,210,175702477,-898
2014-02-10,210,203932968,4414
2014-02-11,210,208799219,803
2014-02-12,210,209539565,258
2014-02-13,210,204339743,823
2014-02-14,210,239536435,5078
2014-02-17,210,252194696,1335
2014-02-18,210,251522127,79
2014-02-19,210,246114972,-15
2014-02-20,210,250017136,147
2014-02-21,210,251431943,61
2014-02-24,210,215496197,-3094
2014-02-25,210,208133719,-568
2014-02-26,210,210903539,427
2014-02-27,210,217000395,1727
2014-02-28,210,206727836,-218
2014-03-03,210,209088463,3522
2014-03-04,210,204040793,808
2014-03-05,210,208544115,1164
2014-03-06,210,201240381,-276
2014-03-07,210,194078902,-563
2014-03-10,210,192331167,577
2014-03-11,210,187228838,-226
2014-03-12,210,189826775,-125
2014-03-13,210,195097240,148
2014-03-14,210,189488681,444
2014-03-17,210,204331049,1955
2014-03-18,210,211163333,517
2014-03-19,210,214198044,266
2014-03-20,210,209364212,-239
2014-03-21,210,212374967,1782
2014-03-24,210,228101807,1527
2014-03-25,210,254475278,7314
2014-03-26,210,263607607,975
2014-03-27,210,274690750,2731
2014-03-28,210,291226065,1595
2014-03-31,210,295265660,2775
2014-04-01,210,286902022,-74
2014-04-02,210,268588489,-2017
2014-04-03,210,258860130,-544
2014-04-04,210,266390406,1350
2014-04-08,210,321992535,11953
2014-04-09,210,330490395,1192
2014-04-10,210,306436714,-2164
2014-04-11,210,288180948,-2001
2014-04-14,210,280563318,-742
2014-04-15,210,272914085,-301
2014-04-16,210,279429761,706
2014-04-17,210,284506363,650
2014-04-18,210,261753954,-3255
2014-04-21,210,258542869,110
2014-04-22,210,251191312,-1564
2014-04-23,210,252328982,92
2014-04-24,210,248495475,751
2014-04-25,210,251705528,219
2014-04-28,210,282166807,4870
2014-04-29,210,282412008,-189
2014-04-30,210,295576402,1729
2014-05-05,210,295187023,191
2014-05-06,210,279986205,-925
2014-05-07,210,285563001,1103
2014-05-08,210,280262642,-849
2014-05-09,210,287291741,766
2014-05-12,210,291489544,1057
2014-05-13,210,291869287,-190
2014-05-14,210,309713606,1919
2014-05-15,210,309444616,-126
2014-05-16,210,297205639,-909
2014-05-19,210,306695185,1032
2014-05-20,210,309697319,370
2014-05-21,210,322052891,2579
2014-05-22,210,340634803,1696
2014-05-23,210,355682182,1951
2014-05-26,210,420476853,6807
2014-05-27,210,415466432,-231
2014-05-28,210,408834389,-323
2014-05-29,210,401626347,-675
2014-05-30,210,415375769,670
2014-06-03,210,414078955,776
2014-06-04,210,420833691,1848
