trading_date,CS_total_oi
2014-12-19,7240.0
2014-12-22,10660.0
2014-12-23,11306.0
2014-12-24,10454.0
2014-12-25,11334.0
2014-12-26,11632.0
2014-12-29,11162.0
2014-12-30,10906.0
2014-12-31,10148.0
2015-01-05,12268.0
2015-01-06,17486.0
2015-01-07,15496.0
2015-01-08,15668.0
2015-01-09,16404.0
2015-01-12,16120.0
2015-01-13,16782.0
2015-01-14,15844.0
2015-01-15,15866.0
2015-01-16,15218.0
2015-01-19,14024.0
2015-01-20,14198.0
2015-01-21,14082.0
2015-01-22,15532.0
2015-01-23,16202.0
2015-01-26,16026.0
2015-01-27,15872.0
2015-01-28,17048.0
2015-01-29,17964.0
2015-01-30,18170.0
2015-02-02,18290.0
2015-02-03,18844.0
2015-02-04,19702.0
2015-02-05,25956.0
2015-02-06,25430.0
2015-02-09,32114.0
2015-02-10,36340.0
2015-02-11,36076.0
2015-02-12,32900.0
2015-02-13,33622.0
2015-02-16,32378.0
2015-02-17,30594.0
2015-02-25,30668.0
2015-02-26,30626.0
2015-02-27,32236.0
2015-03-02,33138.0
2015-03-03,28890.0
2015-03-04,34654.0
2015-03-05,30918.0
2015-03-06,29624.0
2015-03-09,32270.0
2015-03-10,55144.0
2015-03-11,64022.0
2015-03-12,62720.0
2015-03-13,67326.0
2015-03-16,73230.0
2015-03-17,74370.0
2015-03-18,61922.0
2015-03-19,60244.0
2015-03-20,61922.0
2015-03-23,60096.0
2015-03-24,68086.0
2015-03-25,67574.0
2015-03-26,71098.0
2015-03-27,75434.0
2015-03-30,75498.0
2015-03-31,71432.0
2015-04-01,61470.0
2015-04-02,60948.0
2015-04-03,57680.0
2015-04-07,56036.0
2015-04-08,56032.0
2015-04-09,56476.0
2015-04-10,47868.0
2015-04-13,48908.0
2015-04-14,45432.0
2015-04-15,45036.0
2015-04-16,42644.0
2015-04-17,39216.0
2015-04-20,38634.0
2015-04-21,38882.0
2015-04-22,37560.0
2015-04-23,37992.0
2015-04-24,38698.0
2015-04-27,38966.0
2015-04-28,38456.0
2015-04-29,37698.0
2015-04-30,38240.0
2015-05-04,40020.0
2015-05-05,37846.0
2015-05-06,35416.0
2015-05-07,36754.0
2015-05-08,34214.0
2015-05-11,33452.0
2015-05-12,34344.0
2015-05-13,35824.0
2015-05-14,34970.0
2015-05-15,36950.0
2015-05-18,34648.0
2015-05-19,35224.0
2015-05-20,34058.0
2015-05-21,33154.0
2015-05-22,32376.0
2015-05-25,30544.0
2015-05-26,30372.0
2015-05-27,32640.0
2015-05-28,31874.0
2015-05-29,29870.0
2015-06-01,30032.0
2015-06-02,29526.0
2015-06-03,29348.0
2015-06-04,31146.0
2015-06-05,33450.0
2015-06-08,38220.0
2015-06-09,38902.0
2015-06-10,38736.0
