trading_date,rank,volume,volume_change
2013-11-05,210,130596,540
2013-11-06,210,135398,3438
2013-11-07,210,136271,316
2013-11-08,210,138567,1452
2013-11-11,210,139496,1110
2013-11-12,210,142042,4921
2013-11-13,210,158798,19837
2013-11-14,210,156062,3347
2013-11-15,210,161842,6734
2013-11-18,210,157755,2398
2013-11-19,210,157117,1857
2013-11-20,210,154897,-3994
2013-11-21,210,157281,4037
2013-11-22,210,149888,-6248
2013-11-25,210,148798,5882
2013-11-26,210,141730,-7812
2013-11-27,210,147676,2123
2013-11-28,210,147145,2675
2013-11-29,210,147898,4950
2013-12-02,210,148804,1310
2013-12-03,210,156694,6428
2013-12-04,210,153969,-919
2013-12-05,210,145518,-7546
2013-12-06,210,136681,-4671
2013-12-09,210,131880,-3737
2013-12-10,210,128331,-211
2013-12-11,210,125668,-923
2013-12-12,210,121854,-969
2013-12-13,210,126463,7589
2013-12-16,210,125018,2943
2013-12-17,210,125947,1404
2013-12-18,210,128061,6973
2013-12-19,210,128292,8450
2013-12-20,210,131767,4698
2013-12-23,210,131329,2506
2013-12-24,210,128653,-1360
2013-12-25,210,127806,-718
2013-12-26,210,126108,3104
2013-12-27,210,123451,-846
2013-12-30,210,121584,3361
2013-12-31,210,126277,60
2014-01-02,210,132005,5306
2014-01-03,210,134155,4429
2014-01-06,210,132902,-436
2014-01-07,210,133632,1323
2014-01-08,210,134260,610
2014-01-09,210,145409,11203
2014-01-10,210,138093,-2242
2014-01-13,210,139971,1208
2014-01-14,210,140073,487
2014-01-15,210,146512,6747
2014-01-16,210,141322,-2284
2014-01-17,210,138063,-2894
2014-01-20,210,135991,-1110
2014-01-21,210,139554,6204
2014-01-22,210,143176,1271
2014-01-23,210,146352,5286
2014-01-24,210,144783,1336
2014-01-27,210,146711,1951
2014-01-28,210,141587,-4104
2014-01-29,210,135623,-4190
2014-01-30,210,130893,-5423
2014-02-07,210,131932,677
2014-02-10,210,137310,1146
2014-02-11,210,140016,4824
2014-02-12,210,136865,-1261
2014-02-13,210,137168,-323
2014-02-14,210,139606,1361
2014-02-17,210,133872,-3151
2014-02-18,210,132964,163
2014-02-19,210,132367,2647
2014-02-20,210,141437,8348
2014-02-21,210,143613,2713
2014-02-24,210,151074,13240
2014-02-25,210,156845,6081
2014-02-26,210,156780,2370
2014-02-27,210,172614,10761
2014-02-28,210,169635,-504
2014-03-03,210,174018,7151
2014-03-04,210,173923,1119
