trading_date,CU_total_oi
2013-11-05,539984.0
2013-11-06,551940.0
2013-11-07,552466.0
2013-11-08,552212.0
2013-11-11,549702.0
2013-11-12,563024.0
2013-11-13,639672.0
2013-11-14,630664.0
2013-11-15,652916.0
2013-11-18,641186.0
2013-11-19,649108.0
2013-11-20,625278.0
2013-11-21,637748.0
2013-11-22,608522.0
2013-11-25,616844.0
2013-11-26,584678.0
2013-11-27,587788.0
2013-11-28,591064.0
2013-11-29,578546.0
2013-12-02,578994.0
2013-12-03,600150.0
2013-12-04,596448.0
2013-12-05,564082.0
2013-12-06,550602.0
2013-12-09,543132.0
2013-12-10,541212.0
2013-12-11,537190.0
2013-12-12,519304.0
2013-12-13,536114.0
2013-12-16,535382.0
2013-12-17,529428.0
2013-12-18,540826.0
2013-12-19,556526.0
2013-12-20,551722.0
2013-12-23,546552.0
2013-12-24,544878.0
2013-12-25,527382.0
2013-12-26,533160.0
2013-12-27,527838.0
2013-12-30,522854.0
2013-12-31,518586.0
2014-01-02,531478.0
2014-01-03,534892.0
2014-01-06,525502.0
2014-01-07,523412.0
2014-01-08,525098.0
2014-01-09,579648.0
2014-01-10,554692.0
2014-01-13,542568.0
2014-01-14,540426.0
2014-01-15,546942.0
2014-01-16,531086.0
2014-01-17,518410.0
2014-01-20,514900.0
2014-01-21,532174.0
2014-01-22,524910.0
2014-01-23,539618.0
2014-01-24,543010.0
2014-01-27,544858.0
2014-01-28,525238.0
2014-01-29,501184.0
2014-01-30,484850.0
2014-02-07,485126.0
2014-02-10,489920.0
2014-02-11,522188.0
2014-02-12,520510.0
2014-02-13,520308.0
2014-02-14,516172.0
2014-02-17,500002.0
2014-02-18,498788.0
2014-02-19,509290.0
2014-02-20,530206.0
2014-02-21,537120.0
2014-02-24,592030.0
2014-02-25,608656.0
2014-02-26,608550.0
2014-02-27,649456.0
2014-02-28,648222.0
2014-03-03,678246.0
2014-03-04,667776.0
2014-03-05,633584.0
2014-03-06,641776.0
2014-03-07,659336.0
2014-03-10,719584.0
2014-03-11,729950.0
2014-03-12,818536.0
2014-03-13,853684.0
2014-03-14,870116.0
2014-03-17,897868.0
2014-03-18,888302.0
2014-03-19,898338.0
2014-03-20,833970.0
2014-03-21,820326.0
2014-03-24,831998.0
2014-03-25,790116.0
2014-03-26,795096.0
2014-03-27,803844.0
2014-03-28,768472.0
2014-03-31,746502.0
2014-04-01,750300.0
2014-04-02,780886.0
2014-04-03,804470.0
2014-04-04,777576.0
2014-04-08,767706.0
2014-04-09,787806.0
2014-04-10,810706.0
2014-04-11,806956.0
2014-04-14,802402.0
2014-04-15,790982.0
2014-04-16,791110.0
2014-04-17,790748.0
2014-04-18,807850.0
2014-04-21,804802.0
2014-04-22,826202.0
2014-04-23,838208.0
2014-04-24,835120.0
2014-04-25,807536.0
2014-04-28,810656.0
2014-04-29,807488.0
2014-04-30,791598.0
2014-05-05,792040.0
2014-05-06,806836.0
2014-05-07,815210.0
2014-05-08,826030.0
2014-05-09,823450.0
2014-05-12,835262.0
2014-05-13,814226.0
2014-05-14,816408.0
2014-05-15,813616.0
2014-05-16,821074.0
2014-05-19,808572.0
2014-05-20,791504.0
2014-05-21,796620.0
2014-05-22,791246.0
2014-05-23,780914.0
2014-05-26,772748.0
2014-05-27,781108.0
2014-05-28,772088.0
2014-05-29,770130.0
2014-05-30,741232.0
2014-06-03,732328.0
2014-06-04,753906.0
2014-06-05,746154.0
2014-06-06,730914.0
2014-06-09,741962.0
2014-06-10,741030.0
2014-06-11,740170.0
2014-06-12,735774.0
2014-06-13,715268.0
2014-06-16,710788.0
2014-06-17,704876.0
2014-06-18,713028.0
2014-06-19,709744.0
2014-06-20,670072.0
2014-06-23,665924.0
2014-06-24,662638.0
2014-06-25,660014.0
2014-06-26,662086.0
2014-06-27,650048.0
2014-06-30,634140.0
2014-07-01,626808.0
2014-07-02,611616.0
2014-07-03,622670.0
2014-07-04,626176.0
2014-07-07,604204.0
2014-07-08,624404.0
2014-07-09,622550.0
2014-07-10,621410.0
2014-07-11,613990.0
2014-07-14,619252.0
2014-07-15,634798.0
2014-07-16,640982.0
2014-07-17,644018.0
2014-07-18,647610.0
2014-07-21,645186.0
2014-07-22,631954.0
2014-07-23,634684.0
