trading_date,rank,volume,volume_change
2013-11-05,210,1457787276,540
2013-11-06,210,1569528690,3438
2013-11-07,210,1595767733,316
2013-11-08,210,1624659063,1452
2013-11-11,210,1737153832,1110
2013-11-12,210,1857188836,4921
2013-11-13,210,2323952858,19837
2013-11-14,210,2366087922,3347
2013-11-15,210,2411841866,6734
2013-11-18,210,2171935629,2398
2013-11-19,210,2161970615,1857
2013-11-20,210,2003832735,-3994
2013-11-21,210,2105310419,4037
2013-11-22,210,1833782362,-6248
2013-11-25,210,1807780194,5882
2013-11-26,210,1633040590,-7812
2013-11-27,210,1722550854,2123
2013-11-28,210,1703169301,2675
2013-11-29,210,1721729908,4950
2013-12-02,210,1744861184,1310
2013-12-03,210,1868577156,6428
2013-12-04,210,1830977717,-919
2013-12-05,210,1641925742,-7546
2013-12-06,210,1506025925,-4671
2013-12-09,210,1429341838,-3737
2013-12-10,210,1312022277,-211
2013-12-11,210,1267284644,-923
2013-12-12,210,1131030764,-969
2013-12-13,210,1182085781,7589
2013-12-16,210,1168523164,2943
2013-12-17,210,1128862055,1404
2013-12-18,210,1211847479,6973
2013-12-19,210,1271918294,8450
2013-12-20,210,1387138425,4698
2013-12-23,210,1346346775,2506
2013-12-24,210,1259309975,-1360
2013-12-25,210,1222197902,-718
2013-12-26,210,1195874180,3104
2013-12-27,210,1154465371,-846
2013-12-30,210,1085790728,3361
2013-12-31,210,1212739235,60
2014-01-02,210,1266397163,5306
2014-01-03,210,1306846751,4429
2014-01-06,210,1284534672,-436
2014-01-07,210,1315032030,1323
2014-01-08,210,1317008552,610
2014-01-09,210,1484635587,11203
2014-01-10,210,1428504529,-2242
2014-01-13,210,1526498955,1208
2014-01-14,210,1510459279,487
2014-01-15,210,1688964078,6747
2014-01-16,210,1456637534,-2284
2014-01-17,210,1391676881,-2894
2014-01-20,210,1327955113,-1110
2014-01-21,210,1529160754,6204
2014-01-22,210,1587030176,1271
2014-01-23,210,1595996206,5286
2014-01-24,210,1647774395,1336
2014-01-27,210,1673999937,1951
2014-01-28,210,1529408115,-4104
2014-01-29,210,1402674567,-4190
2014-01-30,210,1349910161,-5423
2014-02-07,210,1416270554,677
2014-02-10,210,1506803926,1146
2014-02-11,210,1501470158,4824
2014-02-12,210,1431525435,-1261
2014-02-13,210,1420426004,-323
2014-02-14,210,1439231998,1361
2014-02-17,210,1323635060,-3151
2014-02-18,210,1215101682,163
2014-02-19,210,1222302023,2647
2014-02-20,210,1354476825,8348
2014-02-21,210,1440159377,2713
2014-02-24,210,1856061466,13240
2014-02-25,210,2119900721,6081
2014-02-26,210,2207917708,2370
2014-02-27,210,2736969638,10761
2014-02-28,210,2672514675,-504
2014-03-03,210,2939317610,7151
2014-03-04,210,2984465941,1119
2014-03-05,210,2415077845,-8901
2014-03-06,210,2428188476,2472
2014-03-07,210,2630649708,6210
2014-03-10,210,3421081092,16989
2014-03-11,210,3768772506,8839
2014-03-12,210,4239768035,21338
2014-03-13,210,4797854228,6707
2014-03-14,210,4961654537,6173
2014-03-17,210,5388757058,15024
2014-03-18,210,5021649352,6064
2014-03-19,210,5120777543,6016
2014-03-20,210,4574449075,-7274
2014-03-21,210,4603874560,-4565
2014-03-24,210,5107110881,6407
2014-03-25,210,4492145445,-13721
2014-03-26,210,4964373929,5078
2014-03-27,210,5211688866,6846
2014-03-28,210,4628994674,-5881
2014-03-31,210,4399988288,-8630
2014-04-01,210,4402694087,88
2014-04-02,210,4501882569,9712
2014-04-03,210,4803863010,10556
2014-04-04,210,4734822818,-1133
2014-04-08,210,4757405943,-2850
2014-04-09,210,5266935883,5427
2014-04-10,210,5187937216,5813
2014-04-11,210,4837183329,-662
2014-04-14,210,4881797160,-132
2014-04-15,210,4786725094,802
2014-04-16,210,4619695968,2174
2014-04-17,210,4760654709,3549
2014-04-18,210,4977310203,6143
2014-04-21,210,5035305726,1498
2014-04-22,210,5364353854,9413
2014-04-23,210,5665373115,5345
2014-04-24,210,5342114335,-4010
2014-04-25,210,4768447965,-7120
2014-04-28,210,4781629229,3786
2014-04-29,210,4555516042,-3950
2014-04-30,210,4564458012,-368
2014-05-05,210,4571075470,-1209
2014-05-06,210,4891772865,5722
2014-05-07,210,4863162657,3530
2014-05-08,210,4977144804,4216
2014-05-09,210,4960929532,739
2014-05-12,210,4931920326,6211
2014-05-13,210,4982051733,-2856
2014-05-14,210,5054008679,2405
2014-05-15,210,5053613056,751
2014-05-16,210,5197791911,3891
2014-05-19,210,4988616469,-2972
2014-05-20,210,4699087557,-3948
2014-05-21,210,4716522269,1817
2014-05-22,210,4811362256,495
2014-05-23,210,4840466377,122
2014-05-26,210,4605180232,-3258
2014-05-27,210,4715392019,1226
2014-05-28,210,4653235467,-2000
2014-05-29,210,4409136756,-1732
2014-05-30,210,4430865632,-4517
2014-06-03,210,3995414520,-6147
2014-06-04,210,3942243410,2962
2014-06-05,210,3833240006,-3039
2014-06-06,210,3732293713,340
2014-06-09,210,3461603131,-4776
2014-06-10,210,3566260659,472
2014-06-11,210,3640983453,2959
2014-06-12,210,3695718717,683
2014-06-13,210,3519311551,-5342
2014-06-16,210,3327487307,-2255
2014-06-17,210,3134575794,-1292
2014-06-18,210,3150790463,2513
2014-06-19,210,3132567236,-1073
2014-06-20,210,3073583291,-5128
2014-06-23,210,3260378976,-649
2014-06-24,210,3378567690,2867
2014-06-25,210,3399867894,2725
2014-06-26,210,3262573823,-1540
2014-06-27,210,3327841884,2375
2014-06-30,210,3213951662,-466
2014-07-01,210,3186050129,268
2014-07-02,210,3214969827,534
2014-07-03,210,3087473582,3463
2014-07-04,210,3383872443,6132
2014-07-07,210,3283340476,-1647
2014-07-08,210,3364156840,7281
2014-07-09,210,3441190387,1697
