trading_date,rank,volume,volume_change
2013-11-05,210,952230232,553
2013-11-06,210,1005438477,2107
2013-11-07,210,974914414,575
2013-11-08,210,943864123,525
2013-11-11,210,936476593,-40
2013-11-12,210,947575738,2501
2013-11-13,210,1081114180,17468
2013-11-14,210,1018886849,1804
2013-11-15,210,1279014916,9579
2013-11-18,210,1224278721,638
2013-11-19,210,1218147695,7662
2013-11-20,210,1148613213,-4835
2013-11-21,210,1080142944,3326
2013-11-22,210,1085715535,-986
2013-11-25,210,1115992919,3638
2013-11-26,210,978843191,-7775
2013-11-27,210,1186684822,3748
2013-11-28,210,1168349864,441
2013-11-29,210,1124962656,1643
2013-12-02,210,1102999989,-481
2013-12-03,210,1215456730,6644
2013-12-04,210,1170770486,1234
2013-12-05,210,1063099297,-5546
2013-12-06,210,1004833503,-3467
2013-12-09,210,988932317,-1248
2013-12-10,210,1131404516,2655
2013-12-11,210,1148451797,-4
2013-12-12,210,1141429813,1105
2013-12-13,210,1151291310,5707
2013-12-16,210,1172148920,1455
2013-12-17,210,1136973634,154
2013-12-18,210,1180893052,5041
2013-12-19,210,1178820578,3745
2013-12-20,210,1248999945,3709
2013-12-23,210,1183835000,-2427
2013-12-24,210,1233201286,3145
2013-12-25,210,1379930252,6659
2013-12-26,210,1409034142,4156
2013-12-27,210,1387974450,139
2013-12-30,210,1246764362,-1475
2013-12-31,210,1286601051,-3477
2014-01-02,210,1381814175,3475
2014-01-03,210,1382473532,2500
2014-01-06,210,1269159607,-3620
2014-01-07,210,1264096697,-170
2014-01-08,210,1290425500,1496
2014-01-09,210,1428102297,16735
2014-01-10,210,1278047528,-6795
2014-01-13,210,1288147763,1695
2014-01-14,210,1298359914,579
2014-01-15,210,1237460085,3965
2014-01-16,210,1325697728,8789
2014-01-17,210,1295097926,-344
2014-01-20,210,1295578354,-1497
2014-01-21,210,1288316960,3399
2014-01-22,210,1319815319,108
2014-01-23,210,1376014960,5360
2014-01-24,210,1312631075,-364
2014-01-27,210,1193075520,-3143
2014-01-28,210,1004534293,-5458
2014-01-29,210,895498281,-4624
2014-01-30,210,823402872,-5286
2014-02-07,210,876653562,2841
2014-02-10,210,999281368,416
2014-02-11,210,954744103,3625
2014-02-12,210,900542988,-130
2014-02-13,210,906545367,902
2014-02-14,210,854777455,-1607
2014-02-17,210,896844262,4739
2014-02-18,210,832621154,1637
2014-02-19,210,929886770,7247
2014-02-20,210,889451721,5355
2014-02-21,210,936030554,3202
2014-02-24,210,994215392,9309
2014-02-25,210,1089478796,11083
2014-02-26,210,1090144103,1620
2014-02-27,210,1252272633,14440
2014-02-28,210,1316542344,2266
2014-03-03,210,1419969164,6980
2014-03-04,210,1445699883,416
2014-03-05,210,1404482005,-1009
2014-03-06,210,1382720449,3036
2014-03-07,210,1413493715,7271
2014-03-10,210,1941505402,25833
2014-03-11,210,2003704717,3887
2014-03-12,210,2325145713,23114
2014-03-13,210,2804297469,11778
2014-03-14,210,2731320594,3387
2014-03-17,210,2867375989,7766
2014-03-18,210,2762409488,3381
2014-03-19,210,2900706501,6838
2014-03-20,210,2490268583,-4053
2014-03-21,210,2683002490,5872
2014-03-24,210,2627617514,4206
2014-03-25,210,2379388804,-8949
2014-03-26,210,2370894019,3118
2014-03-27,210,2338923414,-189
2014-03-28,210,2143845371,-11175
2014-03-31,210,2133620033,-260
2014-04-01,210,2149489911,4211
2014-04-02,210,2354754576,12177
2014-04-03,210,2164202362,-697
2014-04-04,210,2215112772,328
2014-04-08,210,2178591021,2051
2014-04-09,210,2316726648,1895
2014-04-10,210,2404805059,3055
2014-04-11,210,2514283820,3798
2014-04-14,210,2493786750,-436
2014-04-15,210,2448786969,2135
2014-04-16,210,2173526228,-5978
2014-04-17,210,2304024574,8621
2014-04-18,210,2558451375,11834
2014-04-21,210,2515854689,-1655
2014-04-22,210,2542686866,3889
2014-04-23,210,2621289888,2908
2014-04-24,210,2663506521,5838
2014-04-25,210,2516115398,-6579
2014-04-28,210,2406938056,-3155
2014-04-29,210,2419809621,-1490
2014-04-30,210,2358674414,-3134
2014-05-05,210,2379989638,2946
2014-05-06,210,2445006439,2064
2014-05-07,210,2470847828,-843
2014-05-08,210,2501078296,4500
2014-05-09,210,2497832078,-1843
2014-05-12,210,2607255641,5993
