trading_date,rank,volume,volume_change
2017-08-18,210,2382,2382
2017-08-21,210,2733,638
2017-08-22,210,2513,33
2017-08-23,210,2455,155
2017-08-24,210,2372,53
2017-08-25,210,2254,-90
2017-08-28,210,2263,34
2017-08-29,210,2152,-98
2017-08-30,210,2155,22
2017-08-31,210,2000,-26
2017-09-01,210,2020,110
2017-09-04,210,2547,1013
2017-09-05,210,2477,-14
2017-09-06,210,2380,8
2017-09-07,210,2138,-168
2017-09-08,210,1662,-54
2017-09-11,210,1511,-32
2017-09-12,210,1461,37
2017-09-13,210,1349,-60
2017-09-14,210,1219,-24
2017-09-15,210,1254,53
2017-09-18,210,1100,-22
2017-09-19,210,956,-49
2017-09-20,210,807,-88
2017-09-21,210,746,-61
2017-09-22,210,742,43
2017-09-25,210,707,11
2017-09-26,210,746,52
2017-09-27,210,720,15
2017-09-28,210,773,229
2017-09-29,210,710,-24
2017-10-09,210,708,22
2017-10-10,210,699,35
2017-10-11,210,649,-50
2017-10-12,210,660,28
2017-10-13,210,648,-2
2017-10-16,210,615,-3
2017-10-17,210,611,-4
2017-10-18,210,596,1
2017-10-19,210,617,25
2017-10-20,210,624,7
2017-10-23,210,641,17
2017-10-24,210,640,-1
2017-10-25,210,617,-16
2017-10-26,210,608,-6
2017-10-27,210,615,7
2017-10-30,210,588,-26
2017-10-31,210,587,2
2017-11-01,210,558,-19
2017-11-02,210,553,-5
2017-11-03,210,500,-14
2017-11-06,210,503,24
2017-11-07,210,473,-21
2017-11-08,210,467,-6
2017-11-09,210,459,-6
2017-11-10,210,454,-2
2017-11-13,210,459,6
2017-11-14,210,423,-19
2017-11-15,210,409,-14
2017-11-16,210,399,-10
2017-11-17,210,392,-1
2017-11-20,210,391,-1
2017-11-21,210,366,-24
2017-11-22,210,370,5
2017-11-23,210,352,-6
2017-11-24,210,344,4
2017-11-27,210,332,-10
2017-11-28,210,299,8
2017-11-29,210,258,-41
2017-11-30,210,559,313
2017-12-01,210,269,-288
2017-12-04,210,264,-3
2017-12-05,210,248,-1
2017-12-06,210,236,-10
2017-12-07,210,233,-3
2017-12-08,210,207,-25
2017-12-11,210,174,-11
2017-12-12,210,171,-1
2017-12-13,210,170,4
2017-12-14,210,160,-10
2017-12-15,210,157,-1
2017-12-18,210,157,0
2017-12-19,210,153,-4
2017-12-20,210,148,-4
2017-12-21,210,147,-1
2017-12-22,210,142,-3
2017-12-25,210,132,3
2017-12-26,210,133,3
2017-12-27,210,122,-3
2017-12-28,210,117,-2
2017-12-29,210,111,-5
2018-01-02,210,114,5
2018-01-03,210,107,-6
2018-01-04,210,102,-1
2018-01-05,210,96,-6
2018-01-08,210,99,4
2018-01-09,210,96,3
2018-01-10,210,94,-2
2018-01-11,210,94,0
2018-01-12,210,90,2
2018-01-15,210,82,-2
2018-01-16,210,78,-3
2018-01-17,210,68,4
2018-01-18,210,65,-1
2018-01-19,210,69,4
2018-01-22,210,61,-5
2018-01-23,210,64,5
2018-01-24,210,58,-3
2018-01-25,210,45,2
2018-01-26,210,43,1
2018-01-29,210,39,-1
2018-01-30,210,38,0
2018-01-31,210,39,1
2018-02-01,210,37,0
2018-02-02,210,34,-2
2018-02-05,210,33,-1
2018-02-06,210,33,0
2018-02-07,210,32,-1
2018-02-08,210,30,-2
2018-02-09,210,30,0
2018-02-12,210,36,8
2018-02-13,210,32,5
2018-02-14,210,29,-2
2018-02-22,210,29,0
2018-02-23,190,29,0
2018-02-26,190,24,-5
2018-02-27,190,24,0
2018-02-28,171,24,0
2018-03-01,171,24,0
