trading_date,rank,volume,volume_change
2017-08-18,210,3041,3041
2017-08-21,210,3419,659
2017-08-22,210,3071,3
2017-08-23,210,2948,-34
2017-08-24,210,2850,-13
2017-08-25,210,2654,-164
2017-08-28,210,2651,48
2017-08-29,210,2506,-112
2017-08-30,210,2501,81
2017-08-31,210,2334,-48
2017-09-01,210,2309,0
2017-09-04,210,2842,724
2017-09-05,210,2720,65
2017-09-06,210,2751,54
2017-09-07,210,2526,-207
2017-09-08,210,2124,10
2017-09-11,210,1994,348
2017-09-12,210,1935,-37
2017-09-13,210,1767,97
2017-09-14,210,1707,-37
2017-09-15,210,1664,-17
2017-09-18,210,1478,-170
2017-09-19,210,1275,-202
2017-09-20,210,1053,-140
2017-09-21,210,974,-36
2017-09-22,210,967,22
2017-09-25,210,921,5
2017-09-26,210,966,81
2017-09-27,210,968,66
2017-09-28,210,988,57
2017-09-29,210,911,-57
2017-10-09,210,892,-18
2017-10-10,210,857,-10
2017-10-11,210,825,-23
2017-10-12,210,813,25
2017-10-13,210,777,12
2017-10-16,210,762,-1
2017-10-17,210,737,-23
2017-10-18,210,748,24
2017-10-19,210,736,-2
2017-10-20,210,751,19
2017-10-23,210,761,14
2017-10-24,210,758,-3
2017-10-25,210,716,-23
2017-10-26,210,705,-3
2017-10-27,210,707,4
2017-10-30,210,687,-17
2017-10-31,210,673,-11
2017-11-01,210,674,3
2017-11-02,210,646,-6
2017-11-03,210,593,-41
2017-11-06,210,575,-12
2017-11-07,210,544,-28
2017-11-08,210,543,12
2017-11-09,210,538,-5
2017-11-10,210,528,-7
2017-11-13,210,525,-3
2017-11-14,210,495,4
2017-11-15,210,473,-22
2017-11-16,210,456,17
2017-11-17,210,452,-2
2017-11-20,210,464,17
2017-11-21,210,435,-22
2017-11-22,210,445,16
2017-11-23,210,423,-14
2017-11-24,210,415,-5
2017-11-27,210,403,-9
2017-11-28,210,349,8
2017-11-29,210,320,7
2017-11-30,210,616,298
2017-12-01,210,322,-20
2017-12-04,210,312,-8
2017-12-05,210,288,-23
2017-12-06,210,274,-11
2017-12-07,210,270,-3
2017-12-08,210,239,-27
2017-12-11,210,202,-14
2017-12-12,210,194,-8
2017-12-13,210,190,10
2017-12-14,210,182,-2
2017-12-15,210,174,-6
2017-12-18,210,172,-2
2017-12-19,210,169,-2
2017-12-20,210,163,-1
2017-12-21,210,163,0
2017-12-22,210,156,0
2017-12-25,210,145,-11
2017-12-26,210,144,-1
2017-12-27,210,131,-5
2017-12-28,210,126,-5
2017-12-29,210,120,0
2018-01-02,210,122,2
2018-01-03,210,116,-5
2018-01-04,210,109,-6
2018-01-05,210,102,-6
2018-01-08,210,104,2
2018-01-09,210,101,0
2018-01-10,210,100,0
2018-01-11,210,100,0
2018-01-12,210,94,-5
2018-01-15,210,85,-5
2018-01-16,210,81,-4
2018-01-17,210,70,-11
2018-01-18,210,67,-2
2018-01-19,210,69,2
2018-01-22,210,61,-5
2018-01-23,210,64,7
2018-01-24,210,60,1
2018-01-25,210,48,4
2018-01-26,210,43,-1
2018-01-29,210,39,-2
2018-01-30,210,38,-1
2018-01-31,210,39,2
2018-02-01,210,37,-1
2018-02-02,210,34,-2
2018-02-05,210,33,0
2018-02-06,210,33,0
2018-02-07,210,32,0
2018-02-08,210,30,-1
2018-02-09,210,30,2
2018-02-12,210,36,7
2018-02-13,210,32,3
2018-02-14,210,29,-2
2018-02-22,210,29,0
2018-02-23,190,29,0
2018-02-26,190,24,-5
2018-02-27,190,24,0
2018-02-28,171,24,0
2018-03-01,171,24,0
2018-03-02,190,22,-2
2018-03-05,210,23,1
2018-03-06,210,23,0
2018-03-07,171,23,0
2018-03-08,210,19,-4
2018-03-09,210,19,0
2018-03-12,190,17,-2
2018-03-13,190,14,-3
2018-03-14,171,14,0
2018-03-15,171,14,0
2018-03-16,120,14,0
2018-03-19,136,13,-1
2018-03-20,136,12,-1
2018-03-21,91,12,0
2018-03-22,91,14,2
2018-03-23,105,13,-1
2018-03-26,136,13,0
2018-03-27,210,12,2
2018-03-28,210,13,1
2018-03-29,190,13,0
2018-03-30,153,12,-1
2018-04-02,171,14,2
2018-04-03,190,19,5
2018-04-04,171,19,0
2018-04-09,210,18,-1
2018-04-10,210,18,0
2018-04-11,171,16,-2
2018-04-12,171,16,0
2018-04-13,120,16,0
2018-04-16,120,16,0
2018-04-17,120,16,0
2018-04-18,210,12,-2
2018-04-19,210,11,-1
2018-04-20,105,10,-1
2018-04-23,91,9,-1
2018-04-24,91,10,1
2018-04-25,120,10,0
2018-04-26,120,10,0
2018-04-27,91,7,-3
2018-05-02,91,7,0
2018-05-03,66,7,0
2018-05-04,78,7,0
2018-05-07,78,7,0
2018-05-08,153,16,9
2018-05-09,210,17,1
2018-05-10,171,18,1
2018-05-11,91,13,-5
2018-05-14,91,12,-1
2018-05-15,78,7,-5
2018-05-16,171,10,3
2018-05-17,210,40,31
2018-05-18,210,143,110
2018-05-21,210,553,444
2018-05-22,210,1138,696
2018-05-23,210,3584,2611
2018-05-24,210,5548,2940
2018-05-25,210,5237,1357
2018-05-28,210,5663,606
2018-05-29,210,6158,2423
2018-05-30,210,5329,26
2018-05-31,210,4391,-644
2018-06-01,210,5160,986
2018-06-04,210,5195,1020
2018-06-05,210,5625,1450
2018-06-06,210,3880,229
2018-06-07,210,3992,178
2018-06-08,210,3355,-440
2018-06-11,210,3453,268
2018-06-12,210,3602,158
2018-06-13,210,4150,735
2018-06-14,210,3817,-66
2018-06-15,210,3365,-393
2018-06-19,210,2705,-66
2018-06-20,210,2271,-24
2018-06-21,210,2289,92
2018-06-22,210,2149,-134
2018-06-25,210,2028,-6
2018-06-26,210,2043,178
2018-06-27,210,1965,62
2018-06-28,210,1973,13
2018-06-29,210,2018,111
2018-07-02,210,1994,13
2018-07-03,210,1963,85
2018-07-04,210,1979,37
2018-07-05,210,1707,-17
2018-07-06,210,1807,238
2018-07-09,210,1758,-7
2018-07-10,210,1918,192
2018-07-11,210,1734,-183
2018-07-12,210,1840,112
2018-07-13,210,1687,-39
2018-07-16,210,1755,179
2018-07-17,210,1544,-159
2018-07-18,210,1462,-70
2018-07-19,210,1540,238
2018-07-20,210,1539,18
2018-07-23,210,1465,75
2018-07-24,210,1457,-7
2018-07-25,210,1311,-20
2018-07-26,210,1337,150
2018-07-27,210,1458,153
2018-07-30,210,1505,49
2018-07-31,210,1637,167
2018-08-01,210,1721,304
2018-08-02,210,1408,-287
2018-08-03,210,1732,368
2018-08-06,210,1559,-144
2018-08-07,210,1308,-237
2018-08-08,210,1237,-65
2018-08-09,210,1143,-63
2018-08-10,210,1169,46
2018-08-13,210,1014,-78
2018-08-14,210,1030,24
2018-08-15,210,963,-37
2018-08-16,210,904,21
2018-08-17,210,811,-22
2018-08-20,210,905,128
2018-08-21,210,827,-49
2018-08-22,210,943,117
2018-08-23,210,884,2
2018-08-24,210,862,38
2018-08-27,210,1718,1213
2018-08-28,210,1963,395
2018-08-29,210,2043,198
2018-08-30,210,2061,25
2018-08-31,210,1462,-189
2018-09-03,210,2603,1333
2018-09-04,210,3100,836
2018-09-05,210,2937,34
2018-09-06,210,2862,-64
2018-09-07,210,2264,-469
2018-09-10,210,2115,-79
2018-09-11,210,2364,270
2018-09-12,210,1761,-247
2018-09-13,210,1792,83
2018-09-14,210,1544,-177
2018-09-17,210,1405,-33
2018-09-18,210,1213,-143
2018-09-19,210,1047,36
2018-09-20,210,1035,5
2018-09-21,210,958,-45
2018-09-25,210,993,52
2018-09-26,210,825,-123
2018-09-27,210,761,-15
2018-09-28,210,442,-135
2018-10-08,210,410,-4
2018-10-09,210,423,37
2018-10-10,210,462,53
2018-10-11,210,520,108
2018-10-12,210,517,15
2018-10-15,210,551,61
2018-10-16,210,535,-6
2018-10-17,210,682,207
2018-10-18,210,584,-83
2018-10-19,210,617,184
2018-10-22,210,601,15
2018-10-23,210,574,17
2018-10-24,210,561,3
2018-10-25,210,509,-46
2018-10-26,210,581,82
2018-10-29,210,698,137
2018-10-30,210,707,12
2018-10-31,210,726,34
2018-11-01,210,703,-7
2018-11-02,210,619,8
2018-11-05,210,599,3
2018-11-06,210,630,75
2018-11-07,210,612,37
2018-11-08,210,589,-15
2018-11-09,210,584,28
2018-11-12,210,633,70
2018-11-13,210,1013,403
2018-11-14,210,972,-31
2018-11-15,210,924,-41
2018-11-16,210,985,68
2018-11-19,210,830,-90
2018-11-20,210,827,20
2018-11-21,210,703,-98
2018-11-22,210,723,22
2018-11-23,210,679,-21
2018-11-26,210,686,30
2018-11-27,210,729,82
2018-11-28,210,690,-31
2018-11-29,210,621,-38
2018-11-30,210,631,23
2018-12-03,210,647,75
2018-12-04,210,669,22
2018-12-05,210,580,-45
2018-12-06,210,559,-3
2018-12-07,210,570,35
2018-12-10,210,534,-10
2018-12-11,210,513,-15
2018-12-12,210,493,-20
2018-12-13,210,476,-7
2018-12-14,210,435,-30
2018-12-17,210,371,-41
2018-12-18,210,319,-49
2018-12-19,210,277,-26
2018-12-20,210,235,-24
2018-12-21,210,219,-15
2018-12-24,210,193,-5
2018-12-25,210,184,1
2018-12-26,210,138,-28
2018-12-27,210,104,-4
2018-12-28,210,76,-17
2019-01-02,210,78,4
2019-01-03,210,87,10
2019-01-04,210,131,52
2019-01-07,210,212,85
2019-01-08,210,192,-18
2019-01-09,210,205,23
2019-01-10,210,215,15
2019-01-11,210,191,-15
2019-01-14,210,183,-3
2019-01-15,210,187,11
2019-01-16,210,180,10
2019-01-17,210,219,40
2019-01-18,210,211,2
2019-01-21,210,277,69
2019-01-22,210,189,-57
2019-01-23,210,192,6
2019-01-24,210,191,1
2019-01-25,210,174,-14
2019-01-28,210,168,7
2019-01-29,210,155,-13
2019-01-30,210,170,21
2019-01-31,210,137,-31
2019-02-01,210,123,-9
2019-02-11,210,122,3
2019-02-12,210,258,145
2019-02-13,210,201,-52
2019-02-14,210,232,32
2019-02-15,210,223,-7
2019-02-18,210,222,8
2019-02-19,210,227,9
2019-02-20,210,213,-5
2019-02-21,210,189,-2
2019-02-22,210,234,50
2019-02-25,210,255,24
2019-02-26,210,263,30
2019-02-27,210,250,-8
2019-02-28,210,257,24
2019-03-01,210,258,3
2019-03-04,210,297,42
2019-03-05,210,339,56
2019-03-06,210,238,-60
2019-03-07,210,256,31
2019-03-08,210,234,-3
2019-03-11,210,210,-21
2019-03-12,210,180,-12
2019-03-13,210,181,9
