trading_date,CY_total_oi
2017-08-18,8328.0
2017-08-21,9258.0
2017-08-22,8276.0
2017-08-23,7730.0
2017-08-24,7160.0
2017-08-25,6484.0
2017-08-28,6334.0
2017-08-29,5966.0
2017-08-30,5924.0
2017-08-31,5500.0
2017-09-01,5364.0
2017-09-04,6760.0
2017-09-05,6516.0
2017-09-06,6248.0
2017-09-07,5742.0
2017-09-08,4816.0
2017-09-11,4430.0
2017-09-12,4282.0
2017-09-13,3964.0
2017-09-14,3796.0
2017-09-15,3684.0
2017-09-18,3314.0
2017-09-19,2940.0
2017-09-20,2606.0
2017-09-21,2320.0
2017-09-22,2230.0
2017-09-25,2160.0
2017-09-26,2230.0
2017-09-27,2178.0
2017-09-28,2334.0
2017-09-29,2100.0
2017-10-09,2056.0
2017-10-10,2008.0
2017-10-11,1942.0
2017-10-12,1946.0
2017-10-13,1860.0
2017-10-16,1798.0
2017-10-17,1742.0
2017-10-18,1720.0
2017-10-19,1756.0
2017-10-20,1786.0
2017-10-23,1790.0
2017-10-24,1772.0
2017-10-25,1706.0
2017-10-26,1670.0
2017-10-27,1686.0
2017-10-30,1610.0
2017-10-31,1590.0
2017-11-01,1532.0
2017-11-02,1492.0
2017-11-03,1370.0
2017-11-06,1356.0
2017-11-07,1268.0
2017-11-08,1228.0
2017-11-09,1216.0
2017-11-10,1192.0
2017-11-13,1178.0
2017-11-14,1110.0
2017-11-15,1038.0
2017-11-16,1002.0
2017-11-17,982.0
2017-11-20,976.0
2017-11-21,916.0
2017-11-22,932.0
2017-11-23,894.0
2017-11-24,870.0
2017-11-27,840.0
2017-11-28,742.0
2017-11-29,658.0
2017-11-30,1254.0
2017-12-01,664.0
2017-12-04,652.0
2017-12-05,598.0
2017-12-06,568.0
2017-12-07,554.0
2017-12-08,486.0
2017-12-11,408.0
2017-12-12,392.0
2017-12-13,388.0
2017-12-14,366.0
2017-12-15,354.0
2017-12-18,350.0
2017-12-19,338.0
2017-12-20,326.0
2017-12-21,326.0
2017-12-22,312.0
2017-12-25,290.0
2017-12-26,288.0
2017-12-27,262.0
2017-12-28,252.0
2017-12-29,240.0
2018-01-02,244.0
2018-01-03,232.0
2018-01-04,218.0
2018-01-05,204.0
2018-01-08,208.0
2018-01-09,202.0
2018-01-10,200.0
2018-01-11,200.0
2018-01-12,188.0
2018-01-15,186.0
2018-01-16,162.0
2018-01-17,140.0
2018-01-18,134.0
2018-01-19,138.0
2018-01-22,122.0
2018-01-23,128.0
2018-01-24,120.0
2018-01-25,96.0
2018-01-26,86.0
2018-01-29,78.0
2018-01-30,76.0
2018-01-31,78.0
2018-02-01,74.0
2018-02-02,68.0
2018-02-05,66.0
2018-02-06,66.0
2018-02-07,64.0
2018-02-08,60.0
2018-02-09,60.0
2018-02-12,72.0
2018-02-13,64.0
2018-02-14,58.0
2018-02-22,58.0
2018-02-23,58.0
2018-02-26,48.0
2018-02-27,48.0
2018-02-28,48.0
2018-03-01,48.0
2018-03-02,44.0
2018-03-05,46.0
2018-03-06,46.0
2018-03-07,46.0
2018-03-08,38.0
2018-03-09,38.0
2018-03-12,34.0
2018-03-13,28.0
2018-03-14,28.0
2018-03-15,28.0
2018-03-16,28.0
2018-03-19,26.0
2018-03-20,24.0
2018-03-21,24.0
2018-03-22,28.0
2018-03-23,26.0
2018-03-26,26.0
2018-03-27,24.0
2018-03-28,26.0
2018-03-29,26.0
2018-03-30,24.0
2018-04-02,28.0
2018-04-03,38.0
2018-04-04,38.0
2018-04-09,36.0
2018-04-10,36.0
2018-04-11,32.0
