trading_date,rank,volume,volume_change
2017-08-18,210,327586,2382
2017-08-21,210,505839,638
2017-08-22,210,418419,33
2017-08-23,210,472751,155
2017-08-24,210,455630,53
2017-08-25,210,405642,-90
2017-08-28,210,404585,34
2017-08-29,210,379666,-98
2017-08-30,210,364709,22
2017-08-31,210,335904,-26
2017-09-01,210,329644,110
2017-09-04,210,728537,1013
2017-09-05,210,752459,-14
2017-09-06,210,657860,8
2017-09-07,210,444318,-168
2017-09-08,210,253132,-54
2017-09-11,210,222587,-32
2017-09-12,210,199675,37
2017-09-13,210,165415,-60
2017-09-14,210,122575,-24
2017-09-15,210,111612,53
2017-09-18,210,86646,-22
2017-09-19,210,63126,-49
2017-09-20,210,40431,-88
2017-09-21,210,30882,-61
2017-09-22,210,31368,43
2017-09-25,210,28721,11
2017-09-26,210,33176,52
2017-09-27,210,30128,15
2017-09-28,210,39473,229
2017-09-29,210,33538,-24
2017-10-09,210,33368,22
2017-10-10,210,34381,35
2017-10-11,210,24707,-50
2017-10-12,210,26218,28
2017-10-13,210,25776,-2
2017-10-16,210,21893,-3
2017-10-17,210,21779,-4
2017-10-18,210,21080,1
2017-10-19,210,22605,25
2017-10-20,210,23698,7
2017-10-23,210,25279,17
2017-10-24,210,25946,-1
2017-10-25,210,23769,-16
2017-10-26,210,23110,-6
2017-10-27,210,23745,7
2017-10-30,210,21288,-26
2017-10-31,210,21135,2
2017-11-01,210,18976,-19
2017-11-02,210,18289,-5
2017-11-03,210,15390,-14
2017-11-06,210,15117,24
2017-11-07,210,13167,-21
2017-11-08,210,12901,-6
2017-11-09,210,12549,-6
2017-11-10,210,12276,-2
2017-11-13,210,13137,6
2017-11-14,210,10991,-19
2017-11-15,210,10137,-14
2017-11-16,210,9635,-10
2017-11-17,210,9260,-1
2017-11-20,210,9509,-1
2017-11-21,210,8092,-24
2017-11-22,210,8344,5
2017-11-23,210,7340,-6
2017-11-24,210,7092,4
2017-11-27,210,6510,-10
2017-11-28,210,5153,8
2017-11-29,210,3992,-41
2017-11-30,210,94203,313
2017-12-01,210,4411,-288
2017-12-04,210,4430,-3
2017-12-05,210,4068,-1
2017-12-06,210,3892,-10
2017-12-07,210,3787,-3
2017-12-08,210,3047,-25
2017-12-11,210,2318,-11
2017-12-12,210,2467,-1
2017-12-13,210,2458,4
2017-12-14,210,2148,-10
2017-12-15,210,2155,-1
2017-12-18,210,2089,0
2017-12-19,210,2041,-4
2017-12-20,210,1998,-4
2017-12-21,210,1943,-1
2017-12-22,210,1916,-3
2017-12-25,210,1796,3
2017-12-26,210,1771,3
2017-12-27,210,1656,-3
2017-12-28,210,1629,-2
2017-12-29,210,1511,-5
2018-01-02,210,1532,5
2018-01-03,210,1201,-6
2018-01-04,210,1176,-1
2018-01-05,210,1136,-6
2018-01-08,210,1163,4
2018-01-09,210,1116,3
2018-01-10,210,1060,-2
2018-01-11,210,1060,0
2018-01-12,210,924,2
2018-01-15,210,824,-2
2018-01-16,210,804,-3
2018-01-17,210,608,4
2018-01-18,210,509,-1
2018-01-19,210,547,4
2018-01-22,210,491,-5
2018-01-23,210,478,5
2018-01-24,210,314,-3
2018-01-25,210,141,2
2018-01-26,210,137,1
2018-01-29,210,119,-1
2018-01-30,210,104,0
2018-01-31,210,109,1
2018-02-01,210,115,0
2018-02-02,210,94,-2
2018-02-05,210,111,-1
2018-02-06,210,97,0
2018-02-07,210,84,-1
2018-02-08,210,82,-2
2018-02-09,210,82,0
2018-02-12,210,134,8
2018-02-13,210,154,5
2018-02-14,210,127,-2
2018-02-22,210,127,0
2018-02-23,190,127,0
2018-02-26,190,62,-5
2018-02-27,190,62,0
2018-02-28,171,62,0
2018-03-01,171,62,0
2018-03-02,190,60,-2
2018-03-05,210,77,1
2018-03-06,210,81,0
2018-03-07,171,69,0
2018-03-08,210,53,-4
2018-03-09,210,53,0
2018-03-12,190,41,-2
2018-03-13,190,24,-3
2018-03-14,171,30,0
2018-03-15,171,30,0
2018-03-16,120,30,0
2018-03-19,136,29,-1
2018-03-20,136,22,-1
2018-03-21,91,22,0
2018-03-22,91,24,2
2018-03-23,105,23,-1
2018-03-26,136,27,0
2018-03-27,210,20,0
2018-03-28,210,21,2
2018-03-29,190,17,0
2018-03-30,153,16,-1
2018-04-02,171,22,2
2018-04-03,190,59,5
2018-04-04,171,59,0
2018-04-09,210,54,-1
2018-04-10,210,42,0
2018-04-11,171,34,-2
2018-04-12,171,34,0
2018-04-13,120,34,0
2018-04-16,120,34,0
2018-04-17,120,34,0
2018-04-18,210,28,-4
2018-04-19,210,33,-1
2018-04-20,105,24,-1
2018-04-23,91,17,-1
2018-04-24,91,24,1
2018-04-25,120,14,0
2018-04-26,120,14,0
2018-04-27,91,9,-3
2018-05-02,91,9,0
2018-05-03,66,9,0
2018-05-04,78,11,0
2018-05-07,78,11,0
2018-05-08,153,36,9
2018-05-09,210,51,2
2018-05-10,171,60,1
2018-05-11,91,35,-5
2018-05-14,91,32,-1
2018-05-15,78,15,-5
2018-05-16,171,34,3
2018-05-17,210,252,34
2018-05-18,210,1069,87
2018-05-21,210,18009,415
2018-05-22,210,47391,519
2018-05-23,210,667731,2393
2018-05-24,210,978829,2052
2018-05-25,210,858408,456
2018-05-28,210,942910,376
