trading_date,rank,volume,volume_change
2017-08-18,210,1239371,3041
2017-08-21,210,1700523,659
2017-08-22,210,1352227,3
2017-08-23,210,1323624,-34
2017-08-24,210,1278784,-13
2017-08-25,210,1248936,-164
2017-08-28,210,1289575,48
2017-08-29,210,1207520,-112
2017-08-30,210,1186343,81
2017-08-31,210,1170270,-48
2017-09-01,210,1150227,0
2017-09-04,210,1311044,724
2017-09-05,210,1303888,65
2017-09-06,210,1358103,54
2017-09-07,210,1265298,-207
2017-09-08,210,1109714,10
2017-09-11,210,1047206,348
2017-09-12,210,1015459,-37
2017-09-13,210,927429,97
2017-09-14,210,847235,-37
2017-09-15,210,686408,-17
2017-09-18,210,484982,-170
2017-09-19,210,277177,-202
2017-09-20,210,114751,-140
2017-09-21,210,106000,-36
2017-09-22,210,104123,22
2017-09-25,210,93569,5
2017-09-26,210,94670,81
2017-09-27,210,95660,66
2017-09-28,210,95206,57
2017-09-29,210,85517,-57
2017-10-09,210,84376,-18
2017-10-10,210,76419,-10
2017-10-11,210,71723,-23
2017-10-12,210,55911,25
2017-10-13,210,50453,12
2017-10-16,210,49536,-1
2017-10-17,210,44385,-23
2017-10-18,210,47632,24
2017-10-19,210,40438,-2
2017-10-20,210,44351,19
2017-10-23,210,48639,14
2017-10-24,210,46258,-3
2017-10-25,210,36342,-23
2017-10-26,210,35221,-3
2017-10-27,210,35391,4
2017-10-30,210,33719,-17
2017-10-31,210,32211,-11
2017-11-01,210,30798,3
2017-11-02,210,28370,-6
2017-11-03,210,24465,-41
2017-11-06,210,22407,-12
2017-11-07,210,19154,-28
2017-11-08,210,19793,12
2017-11-09,210,19428,-5
2017-11-10,210,19276,-7
2017-11-13,210,19023,-3
2017-11-14,210,18343,4
2017-11-15,210,17569,-22
2017-11-16,210,17880,17
2017-11-17,210,18044,-2
2017-11-20,210,19936,17
2017-11-21,210,16719,-22
2017-11-22,210,18283,16
2017-11-23,210,17635,-14
2017-11-24,210,17405,-5
2017-11-27,210,16449,-9
2017-11-28,210,13815,8
2017-11-29,210,14444,7
2017-11-30,210,87070,298
2017-12-01,210,11302,-20
2017-12-04,210,10874,-8
2017-12-05,210,9252,-23
2017-12-06,210,8896,-11
2017-12-07,210,8648,-3
2017-12-08,210,7985,-27
2017-12-11,210,6558,-14
2017-12-12,210,5726,-8
2017-12-13,210,6164,10
2017-12-14,210,5636,-2
2017-12-15,210,5332,-6
2017-12-18,210,5318,-2
2017-12-19,210,5251,-2
2017-12-20,210,5123,-1
2017-12-21,210,4953,0
2017-12-22,210,4884,0
2017-12-25,210,4487,-11
2017-12-26,210,4484,-1
2017-12-27,210,4347,-5
2017-12-28,210,4242,-5
2017-12-29,210,4228,0
2018-01-02,210,4154,2
2018-01-03,210,3924,-5
2018-01-04,210,3873,-6
2018-01-05,210,3488,-6
2018-01-08,210,3472,2
2018-01-09,210,3469,0
2018-01-10,210,3466,0
2018-01-11,210,3466,0
2018-01-12,210,3264,-5
2018-01-15,210,3193,-5
2018-01-16,210,2721,-4
2018-01-17,210,2224,-11
2018-01-18,210,1953,-2
2018-01-19,210,1607,2
2018-01-22,210,1081,-5
2018-01-23,210,764,7
2018-01-24,210,508,1
2018-01-25,210,338,4
2018-01-26,210,329,-1
2018-01-29,210,317,-2
2018-01-30,210,314,-1
2018-01-31,210,315,2
2018-02-01,210,311,-1
2018-02-02,210,300,-2
2018-02-05,210,299,0
2018-02-06,210,299,0
2018-02-07,210,292,0
2018-02-08,210,286,-1
2018-02-09,210,294,2
2018-02-12,210,342,7
2018-02-13,210,306,3
2018-02-14,210,269,-2
2018-02-22,210,269,0
2018-02-23,190,269,0
2018-02-26,190,144,-5
2018-02-27,190,144,0
2018-02-28,171,144,0
2018-03-01,171,144,0
2018-03-02,190,108,-2
2018-03-05,210,103,1
2018-03-06,210,103,0
2018-03-07,171,95,0
2018-03-08,210,55,-4
2018-03-09,210,55,0
2018-03-12,190,43,-2
2018-03-13,190,26,-3
2018-03-14,171,26,0
2018-03-15,171,26,0
2018-03-16,120,26,0
2018-03-19,136,25,-1
2018-03-20,136,24,-1
2018-03-21,91,24,0
2018-03-22,91,28,2
2018-03-23,105,25,-1
2018-03-26,136,25,0
2018-03-27,210,26,2
2018-03-28,210,27,1
2018-03-29,190,27,0
2018-03-30,153,26,-1
2018-04-02,171,30,2
2018-04-03,190,63,5
2018-04-04,171,63,0
2018-04-09,210,44,-1
2018-04-10,210,36,0
2018-04-11,171,38,-2
2018-04-12,171,38,0
2018-04-13,120,38,0
2018-04-16,120,38,0
2018-04-17,120,38,0
2018-04-18,210,20,-2
2018-04-19,210,15,-1
2018-04-20,105,14,-1
2018-04-23,91,13,-1
2018-04-24,91,14,1
2018-04-25,120,14,0
2018-04-26,120,14,0
2018-04-27,91,9,-3
2018-05-02,91,9,0
2018-05-03,66,9,0
2018-05-04,78,9,0
2018-05-07,78,9,0
2018-05-08,153,90,9
2018-05-09,210,77,1
2018-05-10,171,80,1
2018-05-11,91,29,-5
2018-05-14,91,28,-1
2018-05-15,78,11,-5
2018-05-16,171,14,3
2018-05-17,210,298,31
2018-05-18,210,2701,110
2018-05-21,210,48843,444
2018-05-22,210,215334,696
2018-05-23,210,1483992,2611
2018-05-24,210,2960708,2940
2018-05-25,210,2537861,1357
2018-05-28,210,2984293,606
2018-05-29,210,2824500,2423
2018-05-30,210,2881459,26
2018-05-31,210,1793689,-644
2018-06-01,210,2207712,986
2018-06-04,210,2029369,1020
2018-06-05,210,1969737,1450
2018-06-06,210,1010088,229
2018-06-07,210,1131128,178
2018-06-08,210,740689,-440
2018-06-11,210,864465,268
2018-06-12,210,1065540,158
2018-06-13,210,1093910,735
2018-06-14,210,946749,-66
2018-06-15,210,761433,-393
2018-06-19,210,449781,-66
2018-06-20,210,326775,-24
2018-06-21,210,343279,92
2018-06-22,210,312911,-134
2018-06-25,210,332138,-6
2018-06-26,210,310325,178
2018-06-27,210,293561,62
2018-06-28,210,317173,13
2018-06-29,210,317444,111
2018-07-02,210,315660,13
2018-07-03,210,309545,85
2018-07-04,210,312503,37
2018-07-05,210,234063,-17
2018-07-06,210,257269,238
2018-07-09,210,243990,-7
2018-07-10,210,276722,192
2018-07-11,210,232794,-183
2018-07-12,210,257100,112
2018-07-13,210,222323,-39
2018-07-16,210,241197,179
2018-07-17,210,198786,-159
2018-07-18,210,162198,-70
2018-07-19,210,183608,238
2018-07-20,210,170261,18
2018-07-23,210,169263,75
2018-07-24,210,171965,-7
2018-07-25,210,148077,-20
2018-07-26,210,161323,150
2018-07-27,210,193652,153
2018-07-30,210,204139,49
2018-07-31,210,245717,167
2018-08-01,210,302977,304
2018-08-02,210,203618,-287
2018-08-03,210,326924,368
2018-08-06,210,284381,-144
2018-08-07,210,210102,-237
2018-08-08,210,202855,-65
2018-08-09,210,179635,-63
2018-08-10,210,186329,46
2018-08-13,210,142314,-78
2018-08-14,210,149704,24
2018-08-15,210,103829,-37
2018-08-16,210,87172,21
2018-08-17,210,78607,-22
2018-08-20,210,83811,128
2018-08-21,210,72535,-49
2018-08-22,210,93367,117
2018-08-23,210,85944,2
2018-08-24,210,75542,38
2018-08-27,210,266126,1213
2018-08-28,210,394765,395
2018-08-29,210,361005,198
2018-08-30,210,395547,25
2018-08-31,210,248634,-189
2018-09-03,210,471233,1333
2018-09-04,210,1025868,836
2018-09-05,210,966255,34
2018-09-06,210,1025508,-64
2018-09-07,210,664882,-469
2018-09-10,210,561945,-79
2018-09-11,210,892242,270
2018-09-12,210,404421,-247
2018-09-13,210,369810,83
2018-09-14,210,213144,-177
2018-09-17,210,250451,-33
2018-09-18,210,167717,-143
2018-09-19,210,153215,36
2018-09-20,210,149223,5
2018-09-21,210,146168,-45
2018-09-25,210,124811,52
2018-09-26,210,88567,-123
2018-09-27,210,69725,-15
2018-09-28,210,23342,-135
2018-10-08,210,19056,-4
2018-10-09,210,19231,37
2018-10-10,210,22466,53
2018-10-11,210,25798,108
2018-10-12,210,24911,15
2018-10-15,210,28263,61
2018-10-16,210,26599,-6
2018-10-17,210,41656,207
2018-10-18,210,30904,-83
2018-10-19,210,57685,184
2018-10-22,210,56439,15
2018-10-23,210,55986,17
2018-10-24,210,55307,3
2018-10-25,210,52179,-46
2018-10-26,210,58757,82
2018-10-29,210,68766,137
2018-10-30,210,73033,12
2018-10-31,210,72628,34
