trading_date,rank,volume,volume_change
2013-11-05,210,209358,-4908
2013-11-06,210,200788,-7071
2013-11-07,210,201033,700
2013-11-08,210,203544,3751
2013-11-11,210,207735,3655
2013-11-12,210,201462,-5690
2013-11-13,210,192242,-6868
2013-11-14,210,189850,-2413
2013-11-15,210,184997,-4739
2013-11-18,210,185553,288
2013-11-19,210,197061,11781
2013-11-20,210,190027,-3910
2013-11-21,210,179341,-8576
2013-11-22,210,170139,-5702
2013-11-25,210,165991,-2421
2013-11-26,210,164654,-1337
2013-11-27,210,161736,-2992
2013-11-28,210,161827,177
2013-11-29,210,163281,2340
2013-12-02,210,159838,-2900
2013-12-03,210,157984,-475
2013-12-04,210,157117,-602
2013-12-05,210,155860,-736
2013-12-06,210,151830,-3135
2013-12-09,210,147925,-3905
2013-12-10,210,146312,-1613
2013-12-11,210,147000,866
2013-12-12,210,148214,3676
2013-12-13,210,156910,8997
2013-12-16,210,165892,10588
2013-12-17,210,167562,1784
2013-12-18,210,173381,5940
2013-12-19,210,177771,5089
2013-12-20,210,176872,-860
2013-12-23,210,181110,5435
2013-12-24,210,192642,11401
2013-12-25,210,204973,12251
2013-12-26,210,213211,8537
2013-12-27,210,215437,2234
2013-12-30,210,215777,365
2013-12-31,210,214928,235
2014-01-02,210,211044,-3181
2014-01-03,210,214950,6454
2014-01-06,210,217095,2184
2014-01-07,210,216142,427
2014-01-08,210,206665,-5499
2014-01-09,210,210301,9391
2014-01-10,210,209416,-882
2014-01-13,210,209309,858
2014-01-14,210,214643,5625
2014-01-15,210,218018,4009
2014-01-16,210,219049,3147
2014-01-17,210,219984,1126
2014-01-20,210,219802,1002
2014-01-21,210,218231,-1443
2014-01-22,210,220710,1980
2014-01-23,210,218093,-3376
2014-01-24,210,215931,-930
2014-01-27,210,210973,-1984
2014-01-28,210,203327,-7371
2014-01-29,210,195702,-7625
2014-01-30,210,195870,434
2014-02-07,210,200963,5070
2014-02-10,210,233705,34602
2014-02-11,210,236867,8269
2014-02-12,210,254996,18279
2014-02-13,210,260537,4902
2014-02-14,210,265307,8061
2014-02-17,210,268802,5726
2014-02-18,210,271065,2263
2014-02-19,210,271912,847
2014-02-20,210,272662,755
2014-02-21,210,267452,-5154
2014-02-24,210,273210,5764
2014-02-25,210,273323,4039
2014-02-26,210,278496,5603
2014-02-27,210,279494,1122
2014-02-28,210,290074,10681
2014-03-03,210,288121,-1837
2014-03-04,210,285857,-2625
2014-03-05,210,282679,-1722
2014-03-06,210,283800,1121
2014-03-07,210,274015,-7905
2014-03-10,210,278022,4902
2014-03-11,210,274552,-3470
2014-03-12,210,279651,5254
2014-03-13,210,245017,-26304
2014-03-14,210,210112,-34464
2014-03-17,210,213799,3545
2014-03-18,210,205877,-6926
2014-03-19,210,202932,198
2014-03-20,210,195083,-4672
2014-03-21,210,193690,-1252
2014-03-24,210,191906,-1784
2014-03-25,210,186194,-5603
2014-03-26,210,196328,12687
2014-03-27,210,192399,-528
2014-03-28,210,192254,734
2014-03-31,210,191566,-655
2014-04-01,210,191438,765
2014-04-02,210,210381,28951
2014-04-03,210,209966,967
2014-04-04,210,204161,-4359
2014-04-08,210,198402,-6960
2014-04-09,210,195326,-4217
2014-04-10,210,188006,-5546
2014-04-11,210,186064,-1942
2014-04-14,210,169011,-15190
2014-04-15,210,159300,-4975
2014-04-16,210,152830,-4320
2014-04-17,210,145754,-5845
2014-04-18,210,138788,-4400
2014-04-21,210,140771,5360
2014-04-22,210,140084,-166
2014-04-23,210,134433,-5666
2014-04-24,210,131515,-2440
2014-04-25,210,130637,214
2014-04-28,210,124114,-4924
2014-04-29,210,122533,-1313
2014-04-30,210,113605,-7749
2014-05-05,210,115165,1693
2014-05-06,210,111571,2301
2014-05-07,210,112134,2604
2014-05-08,210,116918,5819
2014-05-09,210,116131,-749
2014-05-12,210,119916,5101
2014-05-13,210,122262,2295
2014-05-14,210,121239,2710
2014-05-15,210,122831,1679
2014-05-16,210,124591,4252
2014-05-19,210,129475,5041
2014-05-20,210,132286,2811
2014-05-21,210,133328,1222
2014-05-22,210,135757,4596
2014-05-23,210,128233,-4005
2014-05-26,210,129431,1197
2014-05-27,210,128892,-322
2014-05-28,210,127776,-1074
2014-05-29,210,134192,9447
2014-05-30,210,133098,2978
2014-06-03,210,136801,8330
2014-06-04,210,136707,53
2014-06-05,210,136730,23
2014-06-06,210,137800,1541
2014-06-09,210,132566,-5167
2014-06-10,210,132060,-449
2014-06-11,210,127317,-3346
2014-06-12,210,127553,1261
2014-06-13,210,132544,5025
2014-06-16,210,131772,-894
2014-06-17,210,125052,-3861
2014-06-18,210,124901,239
2014-06-19,210,126736,2235
2014-06-20,210,126012,-706
2014-06-23,210,122878,-2159
2014-06-24,210,123276,-629
2014-06-25,210,121795,158
2014-06-26,210,122439,121
2014-06-27,210,120073,-2366
2014-06-30,210,121477,1405
2014-07-01,210,122099,-42
2014-07-02,210,119258,4138
2014-07-03,210,121300,3644
2014-07-04,210,129372,11777
2014-07-07,210,139298,11326
2014-07-08,210,147220,7972
2014-07-09,210,151937,4992
2014-07-10,210,142761,-5265
2014-07-11,210,135262,-5876
2014-07-14,210,145228,12661
2014-07-15,210,165897,23946
2014-07-16,210,166091,2299
2014-07-17,210,164125,-1933
2014-07-18,210,157924,-3081
2014-07-21,210,157900,29
2014-07-22,210,146152,-11381
2014-07-23,210,147334,1182
2014-07-24,210,146912,391
2014-07-25,210,144678,-2233
2014-07-28,210,142865,180
2014-07-29,210,132316,-2498
2014-07-30,210,128868,3876
2014-07-31,210,136018,10479
2014-08-01,210,146953,11930
2014-08-04,210,166148,24507
2014-08-05,210,171340,7845
2014-08-06,210,172374,2389
2014-08-07,210,168985,-2587
2014-08-08,210,168958,2362
2014-08-11,210,175509,7523
2014-08-12,210,176602,4821
2014-08-13,210,169771,969
2014-08-14,210,164475,-3190
2014-08-15,210,165819,3006
2014-08-18,210,155939,-2467
2014-08-19,210,159359,3846
2014-08-20,210,156336,2950
2014-08-21,210,154359,-2598
2014-08-22,210,155322,374
2014-08-25,210,155649,1211
2014-08-26,210,156379,737
2014-08-27,210,154468,-1055
2014-08-28,210,156118,2612
2014-08-29,210,165186,8812
2014-09-01,210,166372,2190
2014-09-02,210,166418,744
2014-09-03,210,167381,1010
2014-09-04,210,167647,373
2014-09-05,210,166703,2491
2014-09-09,210,168123,845
2014-09-10,210,168566,443
2014-09-11,210,177073,8425
2014-09-12,210,173827,-2079
2014-09-15,210,169091,-4581
2014-09-16,210,172494,4588
2014-09-17,210,173633,936
2014-09-18,210,179634,6531
2014-09-19,210,182452,4446
2014-09-22,210,192067,13140
2014-09-23,210,196125,2270
2014-09-24,210,195511,-587
2014-09-25,210,188987,-3687
2014-09-26,210,184037,-4673
2014-09-29,210,172654,-10547
2014-09-30,210,165043,-6593
2014-10-08,210,164416,1269
2014-10-09,210,175459,13097
2014-10-10,210,230617,58847
2014-10-13,210,244946,16609
2014-10-14,210,247687,6767
2014-10-15,210,231147,-14828
2014-10-16,210,214981,-10261
2014-10-17,210,212526,391
2014-10-20,210,224731,11424
2014-10-21,210,230976,8013
2014-10-22,210,228793,-2052
2014-10-23,210,223575,-5106
2014-10-24,210,214670,-5822
2014-10-27,210,218070,5889
2014-10-28,210,206242,-8415
2014-10-29,210,200948,-4340
2014-10-30,210,187470,-12060
2014-10-31,210,184640,-2102
2014-11-03,210,187332,3167
2014-11-04,210,185067,-1227
2014-11-05,210,184802,26
2014-11-06,210,184028,661
2014-11-07,210,181223,-2805
2014-11-10,210,180083,-1652
2014-11-11,210,177080,-1110
2014-11-12,210,167761,-8209
2014-11-13,210,169961,3271
2014-11-14,210,166714,-3265
2014-11-17,210,163375,-1650
2014-11-18,210,161207,-2168
2014-11-19,210,159985,934
2014-11-20,210,159329,-656
2014-11-21,210,159675,2077
2014-11-24,210,160780,276
2014-11-25,210,163381,6065
2014-11-26,210,160168,-2645
2014-11-27,210,154813,-5311
2014-11-28,210,145234,-4569
2014-12-01,210,138085,-6578
2014-12-02,210,137314,-910
2014-12-03,210,139102,2721
2014-12-04,210,135920,-1669
2014-12-05,210,131871,-3966
2014-12-08,210,135912,11389
2014-12-09,210,135211,-377
2014-12-10,210,129531,-5746
2014-12-11,210,130847,1385
2014-12-12,210,136649,9809
2014-12-15,210,130235,-4068
2014-12-16,210,129674,83
2014-12-17,210,129354,888
2014-12-18,210,128429,-43
2014-12-19,210,125811,-2278
2014-12-22,210,129163,8404
2014-12-23,210,138108,10210
2014-12-24,210,140339,3904
2014-12-25,210,143562,4925
2014-12-26,210,143802,262
2014-12-29,210,133021,-10229
2014-12-30,210,121126,-8119
