trading_date,rank,volume,volume_change
2013-11-05,210,173210,847
2013-11-06,210,169372,-856
2013-11-07,210,165751,-493
2013-11-08,210,169286,5572
2013-11-11,210,172557,4496
2013-11-12,210,168521,-4258
2013-11-13,210,161316,-4920
2013-11-14,210,161422,2470
2013-11-15,210,161332,4204
2013-11-18,210,158710,-2162
2013-11-19,210,159465,915
2013-11-20,210,159654,1906
2013-11-21,210,165457,8018
2013-11-22,210,160279,-2791
2013-11-25,210,157101,-1121
2013-11-26,210,156717,-29
2013-11-27,210,154318,-1022
2013-11-28,210,153819,-181
2013-11-29,210,154299,-433
2013-12-02,210,148563,-4439
2013-12-03,210,147054,-474
2013-12-04,210,145530,-1082
2013-12-05,210,143542,-1553
2013-12-06,210,134816,-5959
2013-12-09,210,133966,-850
2013-12-10,210,131656,-2571
2013-12-11,210,129468,-1840
2013-12-12,210,126579,-2801
2013-12-13,210,123695,-1180
2013-12-16,210,123053,2137
2013-12-17,210,122225,-274
2013-12-18,210,127381,3751
2013-12-19,210,125899,1913
2013-12-20,210,126642,4071
2013-12-23,210,130827,4505
2013-12-24,210,138924,9910
2013-12-25,210,142735,13645
2013-12-26,210,149917,11975
2013-12-27,210,154509,4938
2013-12-30,210,158294,2715
2013-12-31,210,159157,4420
2014-01-02,210,156479,-1787
2014-01-03,210,151712,-2310
2014-01-06,210,154380,4231
2014-01-07,210,161391,12920
2014-01-08,210,165798,4848
2014-01-09,210,172483,10476
2014-01-10,210,174406,1435
2014-01-13,210,175829,1560
2014-01-14,210,179924,3407
2014-01-15,210,177263,-1318
2014-01-16,210,180963,5108
2014-01-17,210,181618,667
2014-01-20,210,183411,1839
2014-01-21,210,181818,-1577
2014-01-22,210,181998,261
2014-01-23,210,180019,-1979
2014-01-24,210,177023,-2996
2014-01-27,210,176289,1292
2014-01-28,210,171790,-2939
2014-01-29,210,168267,-1216
2014-01-30,210,167443,-1220
2014-02-07,210,174104,6678
2014-02-10,210,173273,23134
2014-02-11,210,171832,6078
2014-02-12,210,184759,11462
2014-02-13,210,188711,11360
2014-02-14,210,196696,9853
2014-02-17,210,204289,10331
2014-02-18,210,205789,1500
2014-02-19,210,205177,1977
2014-02-20,210,209870,5717
2014-02-21,210,207270,-2374
2014-02-24,210,205313,-593
2014-02-25,210,206246,980
2014-02-26,210,213104,6137
2014-02-27,210,212543,2115
2014-02-28,210,217578,5073
2014-03-03,210,225564,10754
2014-03-04,210,227721,1125
2014-03-05,210,222064,2149
2014-03-06,210,222647,1160
2014-03-07,210,226140,3573
2014-03-10,210,225078,-1063
2014-03-11,210,225560,-280
2014-03-12,210,234169,6696
2014-03-13,210,214650,-13484
2014-03-14,210,189125,-17651
2014-03-17,210,183887,-3473
2014-03-18,210,181181,-1785
2014-03-19,210,181930,1832
2014-03-20,210,173517,-9235
2014-03-21,210,171865,-850
2014-03-24,210,168844,-3021
2014-03-25,210,160662,-7622
2014-03-26,210,163645,3621
2014-03-27,210,163750,-707
2014-03-28,210,162224,-1526
2014-03-31,210,157468,-2302
2014-04-01,210,154571,-2184
2014-04-02,210,164634,11489
2014-04-03,210,167628,2756
2014-04-04,210,163340,-3380
2014-04-08,210,159500,-4289
2014-04-09,210,155871,-2285
2014-04-10,210,151334,-3178
2014-04-11,210,147247,-4123
2014-04-14,210,140081,-6602
2014-04-15,210,136091,-1542
2014-04-16,210,128417,-7482
2014-04-17,210,123191,186
2014-04-18,210,119313,-2136
2014-04-21,210,114560,-1066
2014-04-22,210,117258,4025
2014-04-23,210,115821,-1084
2014-04-24,210,115367,-2108
2014-04-25,210,118203,4974
2014-04-28,210,118212,749
2014-04-29,210,117315,-888
2014-04-30,210,111031,-4579
2014-05-05,210,112213,1486
2014-05-06,210,111678,-535
2014-05-07,210,108865,1940
2014-05-08,210,111552,2796
2014-05-09,210,108703,-503
2014-05-12,210,113885,4002
2014-05-13,210,117316,3441
2014-05-14,210,116899,2893
2014-05-15,210,119374,4058
2014-05-16,210,118430,348
2014-05-19,210,120701,1908
2014-05-20,210,122454,2000
2014-05-21,210,123003,549
2014-05-22,210,128299,4124
2014-05-23,210,126798,-1450
2014-05-26,210,127058,36
2014-05-27,210,127258,1050
2014-05-28,210,127291,246
2014-05-29,210,132722,6325
2014-05-30,210,131754,-968
