trading_date,C_total_oi
2013-11-05,488936.0
2013-11-06,473992.0
2013-11-07,463506.0
2013-11-08,471878.0
2013-11-11,480178.0
2013-11-12,470052.0
2013-11-13,451236.0
2013-11-14,446084.0
2013-11-15,438500.0
2013-11-18,437046.0
2013-11-19,456758.0
2013-11-20,450818.0
2013-11-21,440164.0
2013-11-22,423890.0
2013-11-25,418726.0
2013-11-26,414886.0
2013-11-27,412290.0
2013-11-28,411806.0
2013-11-29,409776.0
2013-12-02,393680.0
2013-12-03,390732.0
2013-12-04,388354.0
2013-12-05,384464.0
2013-12-06,371488.0
2013-12-09,369216.0
2013-12-10,364368.0
2013-12-11,362606.0
2013-12-12,363104.0
2013-12-13,374066.0
2013-12-16,376552.0
2013-12-17,377822.0
2013-12-18,392396.0
2013-12-19,401706.0
2013-12-20,399602.0
2013-12-23,408732.0
2013-12-24,433986.0
2013-12-25,458826.0
2013-12-26,479406.0
2013-12-27,485502.0
2013-12-30,481176.0
2013-12-31,477720.0
2014-01-02,466124.0
2014-01-03,469694.0
2014-01-06,473122.0
2014-01-07,474366.0
2014-01-08,474494.0
2014-01-09,491222.0
2014-01-10,489446.0
2014-01-13,491994.0
2014-01-14,497388.0
2014-01-15,500726.0
2014-01-16,509750.0
2014-01-17,510692.0
2014-01-20,512276.0
2014-01-21,508502.0
2014-01-22,510690.0
2014-01-23,505246.0
2014-01-24,497416.0
2014-01-27,495824.0
2014-01-28,477066.0
2014-01-29,460670.0
2014-01-30,454010.0
2014-02-07,470252.0
2014-02-10,538434.0
2014-02-11,553144.0
2014-02-12,591490.0
2014-02-13,597810.0
2014-02-14,616550.0
2014-02-17,632828.0
2014-02-18,637316.0
2014-02-19,641338.0
2014-02-20,638124.0
2014-02-21,622506.0
2014-02-24,630030.0
2014-02-25,636800.0
2014-02-26,651228.0
2014-02-27,655638.0
2014-02-28,683122.0
2014-03-03,679164.0
2014-03-04,682216.0
2014-03-05,671516.0
2014-03-06,675706.0
2014-03-07,658262.0
2014-03-10,661216.0
2014-03-11,656816.0
2014-03-12,664392.0
2014-03-13,609160.0
2014-03-14,528762.0
2014-03-17,523678.0
2014-03-18,499850.0
2014-03-19,487138.0
2014-03-20,464866.0
2014-03-21,465772.0
2014-03-24,459218.0
2014-03-25,445958.0
2014-03-26,472472.0
2014-03-27,465616.0
2014-03-28,465796.0
2014-03-31,461830.0
2014-04-01,453464.0
2014-04-02,510564.0
2014-04-03,505982.0
2014-04-04,487750.0
2014-04-08,469392.0
2014-04-09,460666.0
2014-04-10,453866.0
2014-04-11,451990.0
2014-04-14,409260.0
2014-04-15,388892.0
2014-04-16,369168.0
2014-04-17,349710.0
2014-04-18,333412.0
2014-04-21,333530.0
2014-04-22,329222.0
2014-04-23,320646.0
2014-04-24,313306.0
2014-04-25,312782.0
2014-04-28,304518.0
2014-04-29,300820.0
2014-04-30,283858.0
2014-05-05,288030.0
2014-05-06,286260.0
2014-05-07,285944.0
2014-05-08,291226.0
2014-05-09,288282.0
2014-05-12,297318.0
2014-05-13,303922.0
2014-05-14,305468.0
2014-05-15,308408.0
2014-05-16,309644.0
2014-05-19,319218.0
2014-05-20,326294.0
2014-05-21,328036.0
2014-05-22,330634.0
2014-05-23,320590.0
2014-05-26,319832.0
2014-05-27,319638.0
2014-05-28,318798.0
2014-05-29,340996.0
2014-05-30,334584.0
2014-06-03,325686.0
2014-06-04,324310.0
2014-06-05,320754.0
2014-06-06,322884.0
2014-06-09,310802.0
2014-06-10,311906.0
2014-06-11,299138.0
2014-06-12,300512.0
2014-06-13,310018.0
2014-06-16,309922.0
2014-06-17,298576.0
2014-06-18,295078.0
2014-06-19,299900.0
2014-06-20,298262.0
2014-06-23,294928.0
2014-06-24,291744.0
2014-06-25,293414.0
2014-06-26,293772.0
2014-06-27,287620.0
2014-06-30,290338.0
2014-07-01,284764.0
2014-07-02,285054.0
2014-07-03,292762.0
2014-07-04,312282.0
2014-07-07,331022.0
2014-07-08,344680.0
2014-07-09,358124.0
2014-07-10,346970.0
2014-07-11,327788.0
2014-07-14,351988.0
2014-07-15,403578.0
2014-07-16,388618.0
2014-07-17,380696.0
2014-07-18,370558.0
2014-07-21,370802.0
2014-07-22,347290.0
2014-07-23,349456.0
2014-07-24,346254.0
2014-07-25,341758.0
2014-07-28,341968.0
2014-07-29,347842.0
2014-07-30,351454.0
2014-07-31,389456.0
2014-08-01,410990.0
2014-08-04,502802.0
2014-08-05,505712.0
2014-08-06,490158.0
2014-08-07,477108.0
2014-08-08,481824.0
2014-08-11,489502.0
2014-08-12,500478.0
2014-08-13,486050.0
2014-08-14,465610.0
2014-08-15,491034.0
2014-08-18,475672.0
2014-08-19,444462.0
2014-08-20,444738.0
2014-08-21,429074.0
2014-08-22,433180.0
2014-08-25,427244.0
2014-08-26,430978.0
2014-08-27,428946.0
2014-08-28,429142.0
2014-08-29,434678.0
2014-09-01,450008.0
2014-09-02,443772.0
2014-09-03,442888.0
2014-09-04,444150.0
2014-09-05,443354.0
2014-09-09,446470.0
2014-09-10,447464.0
2014-09-11,450108.0
2014-09-12,445442.0
2014-09-15,433768.0
2014-09-16,440614.0
2014-09-17,438806.0
2014-09-18,448994.0
2014-09-19,453722.0
2014-09-22,482340.0
2014-09-23,484876.0
2014-09-24,472362.0
2014-09-25,459726.0
2014-09-26,442590.0
2014-09-29,409960.0
2014-09-30,385548.0
2014-10-08,387946.0
2014-10-09,408584.0
2014-10-10,545444.0
2014-10-13,582002.0
2014-10-14,587640.0
2014-10-15,546272.0
2014-10-16,503138.0
2014-10-17,498932.0
2014-10-20,519522.0
2014-10-21,539692.0
2014-10-22,535800.0
2014-10-23,521256.0
2014-10-24,503968.0
2014-10-27,519420.0
2014-10-28,488900.0
2014-10-29,479924.0
2014-10-30,457254.0
2014-10-31,449614.0
2014-11-03,448770.0
2014-11-04,444010.0
2014-11-05,443462.0
2014-11-06,440518.0
2014-11-07,433080.0
2014-11-10,433026.0
2014-11-11,429884.0
2014-11-12,406968.0
2014-11-13,410264.0
2014-11-14,403822.0
2014-11-17,396828.0
2014-11-18,391318.0
2014-11-19,386526.0
2014-11-20,384372.0
2014-11-21,380722.0
2014-11-24,375718.0
2014-11-25,383746.0
2014-11-26,373638.0
2014-11-27,359616.0
2014-11-28,337788.0
2014-12-01,316194.0
2014-12-02,311948.0
2014-12-03,313784.0
2014-12-04,309786.0
2014-12-05,303704.0
2014-12-08,322012.0
2014-12-09,322268.0
2014-12-10,311684.0
2014-12-11,309664.0
2014-12-12,310826.0
2014-12-15,293998.0
2014-12-16,291440.0
2014-12-17,289732.0
2014-12-18,285982.0
2014-12-19,281760.0
2014-12-22,302084.0
2014-12-23,324572.0
2014-12-24,324124.0
2014-12-25,328016.0
2014-12-26,324038.0
2014-12-29,296770.0
2014-12-30,271582.0
2014-12-31,278958.0
2015-01-05,296642.0
2015-01-06,272504.0
2015-01-07,275618.0
2015-01-08,269282.0
2015-01-09,251066.0
2015-01-12,251210.0
2015-01-13,261818.0
