trading_date,rank,volume,volume_change
2013-11-05,210,3632885074,-4908
2013-11-06,210,3408704700,-7071
2013-11-07,210,3368246995,700
2013-11-08,210,3350326910,3751
2013-11-11,210,3362137839,3655
2013-11-12,210,3077784300,-5690
2013-11-13,210,2801516586,-6868
2013-11-14,210,2750214764,-2413
2013-11-15,210,2616648293,-4739
2013-11-18,210,2551483289,288
2013-11-19,210,2868361481,11781
2013-11-20,210,2655947323,-3910
2013-11-21,210,2128702465,-8576
2013-11-22,210,1986549521,-5702
2013-11-25,210,1902247649,-2421
2013-11-26,210,1895377434,-1337
2013-11-27,210,1867725358,-2992
2013-11-28,210,1784105137,177
2013-11-29,210,1811799479,2340
2013-12-02,210,1755415224,-2900
2013-12-03,210,1705699942,-475
2013-12-04,210,1633375615,-602
2013-12-05,210,1623288956,-736
2013-12-06,210,1561411418,-3135
2013-12-09,210,1448826983,-3905
2013-12-10,210,1435320916,-1613
2013-12-11,210,1463007540,866
2013-12-12,210,1530562016,3676
2013-12-13,210,1953624050,8997
2013-12-16,210,2169089260,10588
2013-12-17,210,2188717248,1784
2013-12-18,210,2317157023,5940
2013-12-19,210,2405137341,5089
2013-12-20,210,2400894466,-860
2013-12-23,210,2505039790,5435
2013-12-24,210,3002288840,11401
2013-12-25,210,3166161683,12251
2013-12-26,210,3396192355,8537
2013-12-27,210,3441353461,2234
2013-12-30,210,3429926977,365
2013-12-31,210,3450208924,235
2014-01-02,210,3391195018,-3181
2014-01-03,210,3557905522,6454
2014-01-06,210,3752003859,2184
2014-01-07,210,3745081162,427
2014-01-08,210,3570537575,-5499
2014-01-09,210,3791463411,9391
2014-01-10,210,3631544318,-882
2014-01-13,210,3717850511,858
2014-01-14,210,3860843309,5625
2014-01-15,210,3919080250,4009
2014-01-16,210,3948682663,3147
2014-01-17,210,3969305604,1126
2014-01-20,210,3925587358,1002
2014-01-21,210,3872981065,-1443
2014-01-22,210,3900769880,1980
2014-01-23,210,3784539111,-3376
2014-01-24,210,3734770579,-930
2014-01-27,210,3571000453,-1984
2014-01-28,210,3359599249,-7371
2014-01-29,210,3107631660,-7625
2014-01-30,210,3092141190,434
2014-02-07,210,3251773831,5070
2014-02-10,210,4254387041,34602
2014-02-11,210,4452277477,8269
2014-02-12,210,5010026160,18279
2014-02-13,210,5233075511,4902
2014-02-14,210,5371204791,8061
2014-02-17,210,5532334912,5726
2014-02-18,210,5570305963,2263
2014-02-19,210,5587880412,847
2014-02-20,210,5614865304,755
2014-02-21,210,5433370794,-5154
2014-02-24,210,5620083420,5764
2014-02-25,210,5708984947,4039
2014-02-26,210,5874741072,5603
2014-02-27,210,5946017814,1122
2014-02-28,210,6332421946,10681
2014-03-03,210,6358126693,-1837
2014-03-04,210,6249708237,-2625
2014-03-05,210,6157546757,-1722
2014-03-06,210,6231401994,1121
2014-03-07,210,5794392583,-7905
2014-03-10,210,5971073498,4902
2014-03-11,210,5872757638,-3470
2014-03-12,210,5915286821,5254
2014-03-13,210,4411831095,-26304
2014-03-14,210,3335600086,-34464
2014-03-17,210,3462998537,3545
2014-03-18,210,3202244035,-6926
2014-03-19,210,3184856850,198
2014-03-20,210,3002293435,-4672
