trading_date,rank,volume,volume_change
2013-11-05,210,2536528788,847
2013-11-06,210,2613865358,-856
2013-11-07,210,2624008331,-493
2013-11-08,210,2731770876,5572
2013-11-11,210,2819181881,4496
2013-11-12,210,2747470285,-4258
2013-11-13,210,2643835292,-4920
2013-11-14,210,2747902540,2470
2013-11-15,210,2814080160,4204
2013-11-18,210,2725820920,-2162
2013-11-19,210,2639790179,915
2013-11-20,210,2803313214,1906
2013-11-21,210,3241042335,8018
2013-11-22,210,3259584133,-2791
2013-11-25,210,3031515961,-1121
2013-11-26,210,3044796431,-29
2013-11-27,210,2946876558,-1022
2013-11-28,210,2981140365,-181
2013-11-29,210,2970235369,-433
2013-12-02,210,2707071419,-4439
2013-12-03,210,2660022872,-474
2013-12-04,210,2596501672,-1082
2013-12-05,210,2498753516,-1553
2013-12-06,210,2015201586,-5959
2013-12-09,210,1960782842,-850
2013-12-10,210,1882426762,-2571
2013-12-11,210,1724952684,-1840
2013-12-12,210,1590790587,-2801
2013-12-13,210,1363673169,-1180
2013-12-16,210,1279440567,2137
2013-12-17,210,1254260373,-274
2013-12-18,210,1287644273,3751
2013-12-19,210,1268072495,1913
2013-12-20,210,1299889042,4071
2013-12-23,210,1381376523,4505
2013-12-24,210,1505189914,9910
2013-12-25,210,1683413197,13645
2013-12-26,210,1864879371,11975
2013-12-27,210,1994240349,4938
2013-12-30,210,2066235348,2715
2013-12-31,210,2117704499,4420
2014-01-02,210,2058798731,-1787
2014-01-03,210,1889025708,-2310
2014-01-06,210,1953414502,4231
2014-01-07,210,2110176105,12920
2014-01-08,210,2176962186,4848
2014-01-09,210,2365818595,10476
2014-01-10,210,2464108134,1435
2014-01-13,210,2475777821,1560
2014-01-14,210,2602796944,3407
2014-01-15,210,2471094481,-1318
2014-01-16,210,2570042857,5108
2014-01-17,210,2599956930,667
2014-01-20,210,2645673111,1839
2014-01-21,210,2590093244,-1577
2014-01-22,210,2525033978,261
2014-01-23,210,2490142821,-1979
2014-01-24,210,2364647997,-2996
2014-01-27,210,2350990309,1292
2014-01-28,210,2227769534,-2939
2014-01-29,210,2177571475,-1216
2014-01-30,210,2145811147,-1220
2014-02-07,210,2408950844,6678
2014-02-10,210,2373884833,23134
2014-02-11,210,2432845404,6078
2014-02-12,210,2621953871,11462
2014-02-13,210,2848000529,11360
2014-02-14,210,3052641940,9853
2014-02-17,210,3170381035,10331
2014-02-18,210,3193512787,1500
2014-02-19,210,3219974455,1977
2014-02-20,210,3344926510,5717
2014-02-21,210,3176152114,-2374
2014-02-24,210,3114304199,-593
2014-02-25,210,3114006860,980
2014-02-26,210,3252183150,6137
2014-02-27,210,3253577541,2115
2014-02-28,210,3339865528,5073
2014-03-03,210,3532502666,10754
2014-03-04,210,3560061953,1125
