trading_date,rank,volume,volume_change
2018-12-10,210,24970,24970
2018-12-11,210,31291,8172
2018-12-12,210,33651,3032
2018-12-13,210,34996,1847
2018-12-14,210,36746,2083
2018-12-17,210,38824,2170
2018-12-18,210,38708,-103
2018-12-19,210,35617,-653
2018-12-20,210,36240,1018
2018-12-21,210,43049,8251
2018-12-24,210,46782,4130
2018-12-25,210,47079,2576
2018-12-26,210,44544,-1068
2018-12-27,210,49066,5977
2018-12-28,210,44625,-4381
2019-01-02,210,54009,3484
2019-01-03,210,55455,3062
2019-01-04,210,54477,2046
2019-01-07,210,59431,6915
2019-01-08,210,64915,7197
2019-01-09,210,66651,3530
2019-01-10,210,72290,5145
2019-01-11,210,73894,7659
2019-01-14,210,78851,5070
2019-01-15,210,80605,2436
2019-01-16,210,84044,5045
2019-01-17,210,89203,5375
2019-01-18,210,103161,16134
2019-01-21,210,109960,8404
2019-01-22,210,111121,1603
2019-01-23,210,111397,577
2019-01-24,210,110594,115
2019-01-25,210,108135,-2707
2019-01-28,210,106210,-1237
2019-01-29,210,105778,-432
2019-01-30,210,100802,-3762
2019-01-31,210,98639,-1486
2019-02-01,210,96684,-1955
2019-02-11,210,100243,3857
2019-02-12,210,104773,4530
2019-02-13,210,113235,8569
2019-02-14,210,115482,3207
2019-02-15,210,116542,1703
2019-02-18,210,122720,6303
2019-02-19,210,119347,-2896
2019-02-20,210,119724,17
2019-02-21,210,118135,-872
2019-02-22,210,118634,226
2019-02-25,210,119086,641
2019-02-26,210,116668,-1061
2019-02-27,210,115153,-386
2019-02-28,210,116901,2326
2019-03-01,210,118485,1910
2019-03-04,210,121729,3787
2019-03-05,210,118096,-1001
2019-03-06,210,123120,8427
2019-03-07,210,121556,-4150
2019-03-08,210,123236,2525
2019-03-11,210,123725,489
2019-03-12,210,124412,-1392
2019-03-13,210,124163,415
2019-03-14,210,126709,2546
2019-03-15,210,127016,1069
2019-03-18,210,125503,740
2019-03-19,210,127180,2297
2019-03-20,210,126284,-836
2019-03-21,210,131589,2704
2019-03-22,210,130468,1327
2019-03-25,210,129122,1023
2019-03-26,210,135841,7645
2019-03-27,210,150459,14618
2019-03-28,210,146187,773
2019-03-29,210,140654,-5533
2019-04-01,210,139845,-98
2019-04-02,210,141606,1761
2019-04-03,210,137315,-4864
2019-04-04,210,135280,3372
2019-04-08,210,146804,16056
2019-04-09,210,147867,1384
2019-04-10,210,144649,-4026
2019-04-11,210,152282,8790
2019-04-12,210,154980,1489
2019-04-15,210,152526,3126
2019-04-16,210,156642,13253
2019-04-17,210,157155,485
2019-04-18,210,152028,-1748
2019-04-19,210,149715,-1027
2019-04-22,210,143894,-9128
2019-04-23,210,147985,3269
2019-04-24,210,157428,10051
2019-04-25,210,159225,5434
2019-04-26,210,160814,1991
2019-04-29,210,155224,-9174
2019-04-30,210,150097,-1054
2019-05-06,210,151135,-2135
2019-05-07,210,149348,1478
2019-05-08,210,147611,338
2019-05-09,210,146419,-865
2019-05-10,210,140596,-3765
2019-05-13,210,151878,16284
2019-05-14,210,151392,-972
2019-05-15,210,150614,-778
2019-05-16,210,155822,7613
2019-05-17,210,162467,10598
2019-05-20,210,157577,-1798
2019-05-21,210,155594,-1735
2019-05-22,210,161521,3733
2019-05-23,210,161597,-249
2019-05-24,210,151044,-10413
2019-05-27,210,144714,-2083
2019-05-28,210,151853,7431
2019-05-29,210,148818,-2293
2019-05-30,210,150651,1043
2019-05-31,210,148438,1051
2019-06-03,210,140983,-7399
2019-06-04,210,132533,2407
2019-06-05,210,150158,19286
2019-06-06,210,138614,-11120
2019-06-10,210,139068,1550
2019-06-11,210,137882,-1600
2019-06-12,210,136893,112
2019-06-13,210,134840,-776
2019-06-14,210,136857,3260
2019-06-17,210,136015,-527
2019-06-18,210,136073,664
2019-06-19,210,133450,-203
2019-06-20,210,131659,-1791
2019-06-21,210,141012,10928
2019-06-24,210,143592,7940
2019-06-25,210,144064,732
2019-06-26,210,141540,-589
2019-06-27,210,149023,3523
2019-06-28,210,142145,-4246
2019-07-01,210,141776,-906
2019-07-02,210,135889,-2246
2019-07-03,210,134108,-838
2019-07-04,210,131771,-2079
2019-07-05,210,130899,-303
2019-07-08,210,138741,7960
2019-07-09,210,147669,9822
2019-07-10,210,131767,-16839
2019-07-11,210,129701,67
2019-07-12,210,129882,181
2019-07-15,210,127719,-980
2019-07-16,210,128261,7823
2019-07-17,210,126121,-1491
2019-07-18,210,121574,-4038
2019-07-19,210,127897,12620
2019-07-22,210,128392,1205
2019-07-23,210,127951,2242
2019-07-24,210,125803,-1945
2019-07-25,210,125696,-107
2019-07-26,210,132296,7756
2019-07-29,210,140479,13106
2019-07-30,210,141856,892
2019-07-31,210,135734,-5339
2019-08-01,210,140109,2465
2019-08-02,210,128793,-7467
