trading_date,rank,volume,volume_change
2018-12-10,210,26474,26474
2018-12-11,210,30367,7861
2018-12-12,210,33335,4681
2018-12-13,210,32623,2057
2018-12-14,210,36468,5669
2018-12-17,210,37823,2094
2018-12-18,210,36347,918
2018-12-19,210,32967,-2947
2018-12-20,210,34525,1558
2018-12-21,210,40294,10022
2018-12-24,210,43966,3672
2018-12-25,210,41886,-142
2018-12-26,210,42092,1764
2018-12-27,210,49466,10752
2018-12-28,210,45905,-1654
2019-01-02,210,56696,5515
2019-01-03,210,60429,5462
2019-01-04,210,59866,555
2019-01-07,210,68016,8642
2019-01-08,210,72439,4408
2019-01-09,210,77213,4874
2019-01-10,210,80450,3237
2019-01-11,210,86408,8473
2019-01-14,210,89158,3840
2019-01-15,210,94311,5670
2019-01-16,210,96675,2571
2019-01-17,210,102708,6238
2019-01-18,210,116469,14841
2019-01-21,210,126118,9907
2019-01-22,210,122988,-1102
2019-01-23,210,122781,2460
2019-01-24,210,125060,2279
2019-01-25,210,125138,-21
2019-01-28,210,124823,-131
2019-01-29,210,120164,-3867
2019-01-30,210,105475,-11881
2019-01-31,210,103034,-2441
2019-02-01,210,100100,-2693
2019-02-11,210,109825,10361
2019-02-12,210,118092,8412
2019-02-13,210,128925,14105
2019-02-14,210,135205,6629
2019-02-15,210,140665,9370
2019-02-18,210,162079,20652
2019-02-19,210,160420,-182
2019-02-20,210,161921,2302
2019-02-21,210,152266,-4641
2019-02-22,210,149671,-2163
2019-02-25,210,150567,1443
2019-02-26,210,150591,24
2019-02-27,210,149046,-1545
2019-02-28,210,145829,-1060
2019-03-01,210,145279,-469
2019-03-04,210,138344,-5867
2019-03-05,210,134684,-562
2019-03-06,210,139285,5603
2019-03-07,210,133900,-3637
2019-03-08,210,128920,-1105
2019-03-11,210,129861,275
2019-03-12,210,128069,-414
2019-03-13,210,131254,3642
2019-03-14,210,134227,2881
2019-03-15,210,134034,-166
2019-03-18,210,139988,9570
2019-03-19,210,144462,3008
2019-03-20,210,145663,2374
2019-03-21,210,146529,1714
